ind,attr,val
7,ProviderNumber,10018
7,HospitalName,callahan eye foundation hospital
7,Address1,1720 university blvd
7,Address2,empty
7,Address3,empty
7,city,birmingham
7,State,al
7,Zipcode,35233
7,countyName,jefferson
7,PhoneNumber,2053258100
7,HospitalType,acute care hospitals
7,HospitalOwner,voluntary non-profit - private
7,EmergencyService,yes
7,condition,surgical infection prevention
7,Measurecode,scip-vte-1
7,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
7,Score,empty
7,Sample,empty
7,Stateavg,al_scip-vte-1
8,ProviderNumber,10018
8,HospitalName,callahan eye foundation hospital
8,Address1,1720 university blvd
8,Address2,empty
8,Address3,empty
8,city,birmingham
8,State,al
8,Zipcode,35233
8,countyName,jefferson
8,PhoneNumber,2053258100
8,HospitalType,acute care hospitals
8,HospitalOwner,voluntary non-profit - private
8,EmergencyService,yes
8,condition,surgical infection prevention
8,Measurecode,scip-vte-2
8,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
8,Score,empty
8,Sample,empty
8,Stateavg,al_scip-vte-2
9,ProviderNumber,10019
9,HospitalName,helen keller memorial hospital
9,Address1,1300 south montgomery avenue
9,Address2,empty
9,Address3,empty
9,city,sheffield
9,State,al
9,Zipcode,35660
9,countyName,jefferson
9,PhoneNumber,2563864556
9,HospitalType,acute care hospitals
9,HospitalOwner,government - hospital district or authority
9,EmergencyService,yes
9,condition,heart attack
9,Measurecode,ami-1
9,MeasureName,heart attack patients given aspirin at arrival
9,Score,97%
9,Sample,33 patients
9,Stateavg,al_ami-1
10,ProviderNumber,10019
10,HospitalName,helen keller memorial hospital
10,Address1,1300 south montgomery avenue
10,Address2,empty
10,Address3,empty
10,city,sheffield
10,State,al
10,Zipcode,35660
10,countyName,jefferson
10,PhoneNumber,2563864556
10,HospitalType,acute care hospitals
10,HospitalOwner,government - hospital district or authority
10,EmergencyService,yes
10,condition,heart attack
10,Measurecode,ami-2
10,MeasureName,heart attack patients given aspirin at discharge
10,Score,92%
10,Sample,13 patients
10,Stateavg,al_ami-2
11,ProviderNumber,10019
11,HospitalName,helen keller memorial hospital
11,Address1,1300 south montgomery avenue
11,Address2,empty
11,Address3,empty
11,city,sheffield
11,State,al
11,Zipcode,35660
11,countyName,jefferson
11,PhoneNumber,2563864556
11,HospitalType,acute care hospitals
11,HospitalOwner,government - hospital district or authority
11,EmergencyService,yes
11,condition,heart attack
11,Measurecode,ami-3
11,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
11,Score,75%
11,Sample,4 patients
11,Stateavg,al_ami-3
12,ProviderNumber,10019
12,HospitalName,helen keller memorial hospital
12,Address1,1300 south montgomery avenue
12,Address2,empty
12,Address3,empty
12,city,sheffield
12,State,al
12,Zipcode,35660
12,countyName,jefferson
12,PhoneNumber,2563864556
12,HospitalType,acute care hospitals
12,HospitalOwner,government - hospital district or authority
12,EmergencyService,yes
12,condition,heart attack
12,Measurecode,ami-4
12,MeasureName,heart attack patients given smoking cessation advice/counseling
12,Score,100%
12,Sample,4 patients
12,Stateavg,al_ami-4
13,ProviderNumber,10019
13,HospitalName,helen keller memorial hospital
13,Address1,1300 south montgomery avenue
13,Address2,empty
13,Address3,empty
13,city,sheffield
13,State,al
13,Zipcode,35660
13,countyName,jefferson
13,PhoneNumber,2563864556
13,HospitalType,acute care hospitals
13,HospitalOwner,government - hospital district or authority
13,EmergencyService,yes
13,condition,heart attack
13,Measurecode,ami-5
13,MeasureName,heart attack patients given beta blocker at discharge
13,Score,86%
13,Sample,14 patients
13,Stateavg,al_ami-5
14,ProviderNumber,10019
14,HospitalName,helen keller memorial hospital
14,Address1,1300 south montgomery avenue
14,Address2,empty
14,Address3,empty
14,city,sheffield
14,State,al
14,Zipcode,35660
14,countyName,jefferson
14,PhoneNumber,2563864556
14,HospitalType,acute care hospitals
14,HospitalOwner,government - hospital district or authority
14,EmergencyService,yes
14,condition,heart attack
14,Measurecode,ami-7a
14,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
14,Score,empty
14,Sample,0 patients
14,Stateavg,al_ami-7a
15,ProviderNumber,10019
15,HospitalName,helen keller memorial hospital
15,Address1,1300 south montgomery avenue
15,Address2,empty
15,Address3,empty
15,city,sheffield
15,State,al
15,Zipcode,35660
15,countyName,jefferson
15,PhoneNumber,2563864556
15,HospitalType,acute care hospitals
15,HospitalOwner,government - hospital district or authority
15,EmergencyService,yes
15,condition,heart attack
15,Measurecode,ami-8a
15,MeasureName,heart attack patients given pci within 90 minutes of arrival
15,Score,empty
15,Sample,0 patients
15,Stateavg,al_ami-8a
16,ProviderNumber,10019
16,HospitalName,helen keller memorial hospital
16,Address1,1300 south montgomery avenue
16,Address2,empty
16,Address3,empty
16,city,sheffield
16,State,al
16,Zipcode,35660
16,countyName,jefferson
16,PhoneNumber,2563864556
16,HospitalType,acute care hospitals
16,HospitalOwner,government - hospital district or authority
16,EmergencyService,yes
16,condition,heart failure
16,Measurecode,hf-1
16,MeasureName,heart failure patients given discharge instructions
16,Score,80%
16,Sample,114 patients
16,Stateavg,al_hf-1
17,ProviderNumber,10019
17,HospitalName,helen keller memorial hospital
17,Address1,1300 south montgomery avenue
17,Address2,empty
17,Address3,empty
17,city,sheffield
17,State,al
17,Zipcode,35660
17,countyName,jefferson
17,PhoneNumber,2563864556
17,HospitalType,acute care hospitals
17,HospitalOwner,government - hospital district or authority
17,EmergencyService,yes
17,condition,heart failure
17,Measurecode,hf-2
17,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
17,Score,99%
17,Sample,149 patients
17,Stateavg,al_hf-2
18,ProviderNumber,10019
18,HospitalName,helen keller memorial hospital
18,Address1,1300 south montgomery avenue
18,Address2,empty
18,Address3,empty
18,city,sheffield
18,State,al
18,Zipcode,35660
18,countyName,jefferson
18,PhoneNumber,2563864556
18,HospitalType,acute care hospitals
18,HospitalOwner,government - hospital district or authority
18,EmergencyService,yes
18,condition,heart failure
18,Measurecode,hf-3
18,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
18,Score,92%
18,Sample,37 patients
18,Stateavg,al_hf-3
19,ProviderNumber,10019
19,HospitalName,helen keller memorial hospital
19,Address1,1300 south montgomery avenue
19,Address2,empty
19,Address3,empty
19,city,sheffield
19,State,al
19,Zipcode,35660
19,countyName,jefferson
19,PhoneNumber,2563864556
19,HospitalType,acute care hospitals
19,HospitalOwner,government - hospital district or authority
19,EmergencyService,yes
19,condition,heart failure
19,Measurecode,hf-4
19,MeasureName,heart failure patients given smoking cessation advice/counseling
19,Score,100%
19,Sample,41 patients
19,Stateavg,al_hf-4
20,ProviderNumber,10001
20,HospitalName,southeast alabama medical center
20,Address1,1108 ross clark circle
20,Address2,empty
20,Address3,empty
20,city,dothan
20,State,al
20,Zipcode,36302
20,countyName,houston
20,PhoneNumber,3347938701
20,HospitalType,acute care hospitals
20,HospitalOwner,government - hospital district or authority
20,EmergencyService,yes
20,condition,heart attack
20,Measurecode,ami-1
20,MeasureName,heart attack patients given aspirin at arrival
20,Score,98%
20,Sample,270 patients
20,Stateavg,al_ami-1
21,ProviderNumber,10001
21,HospitalName,southeast alabama medical center
21,Address1,1108 ross clark circle
21,Address2,empty
21,Address3,empty
21,city,dothan
21,State,al
21,Zipcode,36302
21,countyName,houston
21,PhoneNumber,3347938701
21,HospitalType,acute care hospitals
21,HospitalOwner,government - hospital district or authority
21,EmergencyService,yes
21,condition,heart attack
21,Measurecode,ami-2
21,MeasureName,heart attack patients given aspirin at discharge
21,Score,99%
21,Sample,516 patients
21,Stateavg,al_ami-2
22,ProviderNumber,10001
22,HospitalName,southeast alabama medical center
22,Address1,1108 ross clark circle
22,Address2,empty
22,Address3,empty
22,city,dothan
22,State,al
22,Zipcode,36302
22,countyName,houston
22,PhoneNumber,3347938701
22,HospitalType,acute care hospitals
22,HospitalOwner,government - hospital district or authority
22,EmergencyService,yes
22,condition,heart attack
22,Measurecode,ami-3
22,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
22,Score,96%
22,Sample,71 patients
22,Stateavg,al_ami-3
23,ProviderNumber,10001
23,HospitalName,southeast alabama medical center
23,Address1,1108 ross clark circle
23,Address2,empty
23,Address3,empty
23,city,dothan
23,State,al
23,Zipcode,36302
23,countyName,houston
23,PhoneNumber,3347938701
23,HospitalType,acute care hospitals
23,HospitalOwner,government - hospital district or authority
23,EmergencyService,yes
23,condition,heart attack
23,Measurecode,ami-4
23,MeasureName,heart attack patients given smoking cessation advice/counseling
23,Score,100%
23,Sample,244 patients
23,Stateavg,al_ami-4
24,ProviderNumber,10001
24,HospitalName,southeast alabama medical center
24,Address1,1108 ross clark circle
24,Address2,empty
24,Address3,empty
24,city,dothan
24,State,al
24,Zipcode,36302
24,countyName,houston
24,PhoneNumber,3347938701
24,HospitalType,acute care hospitals
24,HospitalOwner,government - hospital district or authority
24,EmergencyService,yes
24,condition,heart attack
24,Measurecode,ami-5
24,MeasureName,heart attack patients given beta blocker at discharge
24,Score,99%
24,Sample,441 patients
24,Stateavg,al_ami-5
25,ProviderNumber,10001
25,HospitalName,southeast alabama medical center
25,Address1,1108 ross clark circle
25,Address2,empty
25,Address3,empty
25,city,dothan
25,State,al
25,Zipcode,36302
25,countyName,houston
25,PhoneNumber,3347938701
25,HospitalType,acute care hospitals
25,HospitalOwner,government - hospital district or authority
25,EmergencyService,yes
25,condition,heart attack
25,Measurecode,ami-7a
25,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
25,Score,empty
25,Sample,0 patients
25,Stateavg,al_ami-7a
26,ProviderNumber,10001
26,HospitalName,southeast alabama medical center
26,Address1,1108 ross clark circle
26,Address2,empty
26,Address3,empty
26,city,dothan
26,State,al
26,Zipcode,36302
26,countyName,houston
26,PhoneNumber,3347938701
26,HospitalType,acute care hospitals
26,HospitalOwner,government - hospital district or authority
26,EmergencyService,yes
26,condition,heart attack
26,Measurecode,ami-8a
26,MeasureName,heart attack patients given pci within 90 minutes of arrival
26,Score,72%
26,Sample,40 patients
26,Stateavg,al_ami-8a
27,ProviderNumber,10001
27,HospitalName,southeast alabama medical center
27,Address1,1108 ross clark circle
27,Address2,empty
27,Address3,empty
27,city,dothan
27,State,al
27,Zipcode,36302
27,countyName,houston
27,PhoneNumber,3347938701
27,HospitalType,acute care hospitals
27,HospitalOwner,government - hospital district or authority
27,EmergencyService,yes
27,condition,heart failure
27,Measurecode,hf-1
27,MeasureName,heart failure patients given discharge instructions
27,Score,78%
27,Sample,455 patients
27,Stateavg,al_hf-1
28,ProviderNumber,10001
28,HospitalName,southeast alabama medical center
28,Address1,1108 ross clark circle
28,Address2,empty
28,Address3,empty
28,city,dothan
28,State,al
28,Zipcode,36302
28,countyName,houston
28,PhoneNumber,3347938701
28,HospitalType,acute care hospitals
28,HospitalOwner,government - hospital district or authority
28,EmergencyService,yes
28,condition,heart failure
28,Measurecode,hf-2
28,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
28,Score,99%
28,Sample,514 patients
28,Stateavg,al_hf-2
29,ProviderNumber,10001
29,HospitalName,southeast alabama medical center
29,Address1,1108 ross clark circle
29,Address2,empty
29,Address3,empty
29,city,dothan
29,State,al
29,Zipcode,36302
29,countyName,houston
29,PhoneNumber,3347938701
29,HospitalType,acute care hospitals
29,HospitalOwner,government - hospital district or authority
29,EmergencyService,yes
29,condition,heart failure
29,Measurecode,hf-3
29,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
29,Score,91%
29,Sample,165 patients
29,Stateavg,al_hf-3
30,ProviderNumber,10001
30,HospitalName,southeast alabama medical center
30,Address1,1108 ross clark circle
30,Address2,empty
30,Address3,empty
30,city,dothan
30,State,al
30,Zipcode,36302
30,countyName,houston
30,PhoneNumber,3347938701
30,HospitalType,acute care hospitals
30,HospitalOwner,government - hospital district or authority
30,EmergencyService,yes
30,condition,heart failure
30,Measurecode,hf-4
30,MeasureName,heart failure patients given smoking cessation advice/counseling
30,Score,100%
30,Sample,110 patients
30,Stateavg,al_hf-4
31,ProviderNumber,10001
31,HospitalName,southeast alabama medical center
31,Address1,1108 ross clark circle
31,Address2,empty
31,Address3,empty
31,city,dothan
31,State,al
31,Zipcode,36302
31,countyName,houston
31,PhoneNumber,3347938701
31,HospitalType,acute care hospitals
31,HospitalOwner,government - hospital district or authority
31,EmergencyService,yes
31,condition,pneumonia
31,Measurecode,pn-2
31,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
31,Score,93%
31,Sample,191 patients
31,Stateavg,al_pn-2
32,ProviderNumber,10001
32,HospitalName,southeast alabama medical center
32,Address1,1108 ross clark circle
32,Address2,empty
32,Address3,empty
32,city,dothan
32,State,al
32,Zipcode,36302
32,countyName,houston
32,PhoneNumber,3347938701
32,HospitalType,acute care hospitals
32,HospitalOwner,government - hospital district or authority
32,EmergencyService,yes
32,condition,pneumonia
32,Measurecode,pn-3b
32,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
32,Score,89%
32,Sample,125 patients
32,Stateavg,al_pn-3b
33,ProviderNumber,10001
33,HospitalName,southeast alabama medical center
33,Address1,1108 ross clark circle
33,Address2,empty
33,Address3,empty
33,city,dothan
33,State,al
33,Zipcode,36302
33,countyName,houston
33,PhoneNumber,3347938701
33,HospitalType,acute care hospitals
33,HospitalOwner,government - hospital district or authority
33,EmergencyService,yes
33,condition,pneumonia
33,Measurecode,pn-4
33,MeasureName,pneumonia patients given smoking cessation advice/counseling
33,Score,99%
33,Sample,107 patients
33,Stateavg,al_pn-4
34,ProviderNumber,10001
34,HospitalName,southeast alabama medical center
34,Address1,1108 ross clark circle
34,Address2,empty
34,Address3,empty
34,city,dothan
34,State,al
34,Zipcode,36302
34,countyName,houston
34,PhoneNumber,3347938701
34,HospitalType,acute care hospitals
34,HospitalOwner,government - hospital district or authority
34,EmergencyService,yes
34,condition,pneumonia
34,Measurecode,pn-5c
34,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
34,Score,92%
34,Sample,196 patients
34,Stateavg,al_pn-5c
35,ProviderNumber,10001
35,HospitalName,southeast alabama medical center
35,Address1,1108 ross clark circle
35,Address2,empty
35,Address3,empty
35,city,dothan
35,State,al
35,Zipcode,36302
35,countyName,houston
35,PhoneNumber,3347938701
35,HospitalType,acute care hospitals
35,HospitalOwner,government - hospital district or authority
35,EmergencyService,yes
35,condition,pneumonia
35,Measurecode,pn-6
35,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
35,Score,80%
35,Sample,147 patients
35,Stateavg,al_pn-6
36,ProviderNumber,10001
36,HospitalName,southeast alabama medical center
36,Address1,1108 ross clark circle
36,Address2,empty
36,Address3,empty
36,city,dothan
36,State,al
36,Zipcode,36302
36,countyName,houston
36,PhoneNumber,3347938701
36,HospitalType,acute care hospitals
36,HospitalOwner,government - hospital district or authority
36,EmergencyService,yes
36,condition,pneumonia
36,Measurecode,pn-7
36,MeasureName,pneumonia patients assessed and given influenza vaccination
36,Score,84%
36,Sample,160 patients
36,Stateavg,al_pn-7
37,ProviderNumber,10001
37,HospitalName,southeast alabama medical center
37,Address1,1108 ross clark circle
37,Address2,empty
37,Address3,empty
37,city,dothan
37,State,al
37,Zipcode,36302
37,countyName,houston
37,PhoneNumber,3347938701
37,HospitalType,acute care hospitals
37,HospitalOwner,government - hospital district or authority
37,EmergencyService,yes
37,condition,surgical infection prevention
37,Measurecode,scip-card-2
37,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
37,Score,72%
37,Sample,79 patients
37,Stateavg,al_scip-card-2
38,ProviderNumber,10001
38,HospitalName,southeast alabama medical center
38,Address1,1108 ross clark circle
38,Address2,empty
38,Address3,empty
38,city,dothan
38,State,al
38,Zipcode,36302
38,countyName,houston
38,PhoneNumber,3347938701
38,HospitalType,acute care hospitals
38,HospitalOwner,government - hospital district or authority
38,EmergencyService,yes
38,condition,surgical infection prevention
38,Measurecode,scip-inf-1
38,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
38,Score,94%
38,Sample,399 patients
38,Stateavg,al_scip-inf-1
39,ProviderNumber,10001
39,HospitalName,southeast alabama medical center
39,Address1,1108 ross clark circle
39,Address2,empty
39,Address3,empty
39,city,dothan
39,State,al
39,Zipcode,36302
39,countyName,houston
39,PhoneNumber,3347938701
39,HospitalType,acute care hospitals
39,HospitalOwner,government - hospital district or authority
39,EmergencyService,yes
39,condition,surgical infection prevention
39,Measurecode,scip-inf-2
39,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
39,Score,98%
39,Sample,405 patients
39,Stateavg,al_scip-inf-2
40,ProviderNumber,10001
40,HospitalName,southeast alabama medical center
40,Address1,1108 ross clark circle
40,Address2,empty
40,Address3,empty
40,city,dothan
40,State,al
40,Zipcode,36302
40,countyName,houston
40,PhoneNumber,3347938701
40,HospitalType,acute care hospitals
40,HospitalOwner,government - hospital district or authority
40,EmergencyService,yes
40,condition,surgical infection prevention
40,Measurecode,scip-inf-3
40,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
40,Score,88%
40,Sample,385 patients
40,Stateavg,al_scip-inf-3
41,ProviderNumber,10001
41,HospitalName,southeast alabama medical center
41,Address1,1108 ross clark circle
41,Address2,empty
41,Address3,empty
41,city,dothan
41,State,al
41,Zipcode,36302
41,countyName,houston
41,PhoneNumber,3347938701
41,HospitalType,acute care hospitals
41,HospitalOwner,government - hospital district or authority
41,EmergencyService,yes
41,condition,surgical infection prevention
41,Measurecode,scip-inf-4
41,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
41,Score,96%
41,Sample,136 patients
41,Stateavg,al_scip-inf-4
42,ProviderNumber,10001
42,HospitalName,southeast alabama medical center
42,Address1,1108 ross clark circle
42,Address2,empty
42,Address3,empty
42,city,dothan
42,State,al
42,Zipcode,36302
42,countyName,houston
42,PhoneNumber,3347938701
42,HospitalType,acute care hospitals
42,HospitalOwner,government - hospital district or authority
42,EmergencyService,yes
42,condition,surgical infection prevention
42,Measurecode,scip-inf-6
42,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
42,Score,90%
42,Sample,537 patients
42,Stateavg,al_scip-inf-6
43,ProviderNumber,10001
43,HospitalName,southeast alabama medical center
43,Address1,1108 ross clark circle
43,Address2,empty
43,Address3,empty
43,city,dothan
43,State,al
43,Zipcode,36302
43,countyName,houston
43,PhoneNumber,3347938701
43,HospitalType,acute care hospitals
43,HospitalOwner,government - hospital district or authority
43,EmergencyService,yes
43,condition,surgical infection prevention
43,Measurecode,scip-vte-1
43,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
43,Score,86%
43,Sample,185 patients
43,Stateavg,al_scip-vte-1
44,ProviderNumber,10001
44,HospitalName,southeast alabama medical center
44,Address1,1108 ross clark circle
44,Address2,empty
44,Address3,empty
44,city,dothan
44,State,al
44,Zipcode,36302
44,countyName,houston
44,PhoneNumber,3347938701
44,HospitalType,acute care hospitals
44,HospitalOwner,government - hospital district or authority
44,EmergencyService,yes
44,condition,surgical infection prevention
44,Measurecode,scip-vte-2
44,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
44,Score,83%
44,Sample,184 patients
44,Stateavg,al_scip-vte-2
45,ProviderNumber,10005
45,HospitalName,marshall medical center south
45,Address1,2505 u s highway 431 north
45,Address2,empty
45,Address3,empty
45,city,boaz
45,State,al
45,Zipcode,35957
45,countyName,marshall
45,PhoneNumber,2565938310
45,HospitalType,acute care hospitals
45,HospitalOwner,government - hospital district or authority
45,EmergencyService,yes
45,condition,heart attack
45,Measurecode,ami-1
45,MeasureName,heart attack patients given aspirin at arrival
45,Score,80%
45,Sample,20 patients
45,Stateavg,al_ami-1
46,ProviderNumber,10005
46,HospitalName,marshall medical center south
46,Address1,2505 u s highway 431 north
46,Address2,empty
46,Address3,empty
46,city,boaz
46,State,al
46,Zipcode,35957
46,countyName,marshall
46,PhoneNumber,2565938310
46,HospitalType,acute care hospitals
46,HospitalOwner,government - hospital district or authority
46,EmergencyService,yes
46,condition,heart attack
46,Measurecode,ami-2
46,MeasureName,heart attack patients given aspirin at discharge
46,Score,60%
46,Sample,5 patients
46,Stateavg,al_ami-2
47,ProviderNumber,10005
47,HospitalName,marshall medical center south
47,Address1,2505 u s highway 431 north
47,Address2,empty
47,Address3,empty
47,city,boaz
47,State,al
47,Zipcode,35957
47,countyName,marshall
47,PhoneNumber,2565938310
47,HospitalType,acute care hospitals
47,HospitalOwner,government - hospital district or authority
47,EmergencyService,yes
47,condition,heart attack
47,Measurecode,ami-3
47,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
47,Score,100%
47,Sample,2 patients
47,Stateavg,al_ami-3
48,ProviderNumber,10005
48,HospitalName,marshall medical center south
48,Address1,2505 u s highway 431 north
48,Address2,empty
48,Address3,empty
48,city,boaz
48,State,al
48,Zipcode,35957
48,countyName,marshall
48,PhoneNumber,2565938310
48,HospitalType,acute care hospitals
48,HospitalOwner,government - hospital district or authority
48,EmergencyService,yes
48,condition,heart attack
48,Measurecode,ami-4
48,MeasureName,heart attack patients given smoking cessation advice/counseling
48,Score,empty
48,Sample,0 patients
48,Stateavg,al_ami-4
49,ProviderNumber,10005
49,HospitalName,marshall medical center south
49,Address1,2505 u s highway 431 north
49,Address2,empty
49,Address3,empty
49,city,boaz
49,State,al
49,Zipcode,35957
49,countyName,marshall
49,PhoneNumber,2565938310
49,HospitalType,acute care hospitals
49,HospitalOwner,government - hospital district or authority
49,EmergencyService,yes
49,condition,heart attack
49,Measurecode,ami-5
49,MeasureName,heart attack patients given beta blocker at discharge
49,Score,100%
49,Sample,5 patients
49,Stateavg,al_ami-5
50,ProviderNumber,10005
50,HospitalName,marshall medical center south
50,Address1,2505 u s highway 431 north
50,Address2,empty
50,Address3,empty
50,city,boaz
50,State,al
50,Zipcode,35957
50,countyName,marshall
50,PhoneNumber,2565938310
50,HospitalType,acute care hospitals
50,HospitalOwner,government - hospital district or authority
50,EmergencyService,yes
50,condition,heart attack
50,Measurecode,ami-7a
50,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
50,Score,empty
50,Sample,0 patients
50,Stateavg,al_ami-7a
51,ProviderNumber,10005
51,HospitalName,marshall medical center south
51,Address1,2505 u s highway 431 north
51,Address2,empty
51,Address3,empty
51,city,boaz
51,State,al
51,Zipcode,35957
51,countyName,marshall
51,PhoneNumber,2565938310
51,HospitalType,acute care hospitals
51,HospitalOwner,government - hospital district or authority
51,EmergencyService,yes
51,condition,heart attack
51,Measurecode,ami-8a
51,MeasureName,heart attack patients given pci within 90 minutes of arrival
51,Score,empty
51,Sample,0 patients
51,Stateavg,al_ami-8a
52,ProviderNumber,10005
52,HospitalName,marshall medical center south
52,Address1,2505 u s highway 431 north
52,Address2,empty
52,Address3,empty
52,city,boaz
52,State,al
52,Zipcode,35957
52,countyName,marshall
52,PhoneNumber,2565938310
52,HospitalType,acute care hospitals
52,HospitalOwner,government - hospital district or authority
52,EmergencyService,yes
52,condition,heart failure
52,Measurecode,hf-1
52,MeasureName,heart failure patients given discharge instructions
52,Score,78%
52,Sample,110 patients
52,Stateavg,al_hf-1
53,ProviderNumber,10005
53,HospitalName,marshall medical center south
53,Address1,2505 u s highway 431 north
53,Address2,empty
53,Address3,empty
53,city,boaz
53,State,al
53,Zipcode,35957
53,countyName,marshall
53,PhoneNumber,2565938310
53,HospitalType,acute care hospitals
53,HospitalOwner,government - hospital district or authority
53,EmergencyService,yes
53,condition,heart failure
53,Measurecode,hf-2
53,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
53,Score,99%
53,Sample,160 patients
53,Stateavg,al_hf-2
54,ProviderNumber,10005
54,HospitalName,marshall medical center south
54,Address1,2505 u s highway 431 north
54,Address2,empty
54,Address3,empty
54,city,boaz
54,State,al
54,Zipcode,35957
54,countyName,marshall
54,PhoneNumber,2565938310
54,HospitalType,acute care hospitals
54,HospitalOwner,government - hospital district or authority
54,EmergencyService,yes
54,condition,heart failure
