tid,attr_name,attr_val
6,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
6,Address1,1720 UNIVERSITY BLVD
6,Address2,Empty
6,Address3,Empty
6,City,BIRMINGHAM
6,State,AL
6,ZipCode,35233
6,CountyName,JEFFERSON
6,PhoneNumber,2053258100
6,HospitalType,Acute Care Hospitals
6,HospitalOwner,Voluntary non-profit - Private
6,EmergencyService,Yes
6,Condition,Surgical Infection Prevention
6,MeasureCode,SCIP-INF-6
6,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
6,Score,Empty
6,Sample,Empty
6,Stateavg,AL_SCIP-INF-6
7,ProviderNumber,10018
7,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
7,Address1,1720 UNIVERSITY BLVD
7,Address2,Empty
7,Address3,Empty
7,City,BIRMINGHAM
7,State,AL
7,ZipCode,35233
7,CountyName,JEFFERSON
7,PhoneNumber,2053258100
7,HospitalType,Acute Care Hospitals
7,HospitalOwner,Voluntary non-profit - Private
7,EmergencyService,Yes
7,Condition,Surgical Infection Prevention
7,MeasureCode,SCIP-VTE-1
7,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
7,Score,Empty
7,Sample,Empty
7,Stateavg,AL_SCIP-VTE-1
8,ProviderNumber,10018
8,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
8,Address1,1720 UNIVERSITY BLVD
8,Address2,Empty
8,Address3,Empty
8,City,BIRMINGHAM
8,State,AL
8,ZipCode,35233
8,CountyName,JEFFERSON
8,PhoneNumber,2053258100
8,HospitalType,Acute Care Hospitals
8,HospitalOwner,Voluntary non-profit - Private
8,EmergencyService,Yes
8,Condition,Surgical Infection Prevention
8,MeasureCode,SCIP-VTE-2
8,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
8,Score,Empty
8,Sample,Empty
8,Stateavg,AL_SCIP-VTE-2
9,ProviderNumber,10019
9,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
9,Address1,1300 SOUTH MONTGOMERY AVENUE
9,Address2,Empty
9,Address3,Empty
9,City,SHEFFIELD
9,State,AL
9,ZipCode,35660
9,CountyName,JEFFERSON
9,PhoneNumber,2563864556
9,HospitalType,Acute Care Hospitals
9,HospitalOwner,Government - Hospital District or Authority
9,EmergencyService,Yes
9,Condition,Heart Attack
9,MeasureCode,AMI-1
9,MeasureName,Heart Attack Patients Given Aspirin at Arrival
9,Score,97%
9,Sample,33 patients
9,Stateavg,AL_AMI-1
10,ProviderNumber,10019
10,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
10,Address1,1300 SOUTH MONTGOMERY AVENUE
10,Address2,Empty
10,Address3,Empty
10,City,SHEFFIELD
10,State,AL
10,ZipCode,35660
10,CountyName,JEFFERSON
10,PhoneNumber,2563864556
10,HospitalType,Acute Care Hospitals
10,HospitalOwner,Government - Hospital District or Authority
10,EmergencyService,Yes
10,Condition,Heart Attack
10,MeasureCode,AMI-2
10,MeasureName,Heart Attack Patients Given Aspirin at Discharge
10,Score,92%
10,Sample,13 patients
10,Stateavg,AL_AMI-2
11,ProviderNumber,10019
11,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
11,Address1,1300 SOUTH MONTGOMERY AVENUE
11,Address2,Empty
11,Address3,Empty
11,City,SHEFFIELD
11,State,AL
11,ZipCode,35660
11,CountyName,JEFFERSON
11,PhoneNumber,2563864556
11,HospitalType,Acute Care Hospitals
11,HospitalOwner,Government - Hospital District or Authority
11,EmergencyService,Yes
11,Condition,Heart Attack
11,MeasureCode,AMI-3
11,MeasureName,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
11,Score,75%
11,Sample,4 patients
11,Stateavg,AL_AMI-3
12,ProviderNumber,10019
12,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
12,Address1,1300 SOUTH MONTGOMERY AVENUE
12,Address2,Empty
12,Address3,Empty
12,City,SHEFFIELD
12,State,AL
12,ZipCode,35660
12,CountyName,JEFFERSON
12,PhoneNumber,2563864556
12,HospitalType,Acute Care Hospitals
12,HospitalOwner,Government - Hospital District or Authority
12,EmergencyService,Yes
12,Condition,Heart Attack
12,MeasureCode,AMI-4
12,MeasureName,Heart Attack Patients Given Smoking Cessation Advice/Counseling
12,Score,100%
12,Sample,4 patients
12,Stateavg,AL_AMI-4
13,ProviderNumber,10019
13,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
13,Address1,1300 SOUTH MONTGOMERY AVENUE
13,Address2,Empty
13,Address3,Empty
13,City,SHEFFIELD
13,State,AL
13,ZipCode,35660
13,CountyName,JEFFERSON
13,PhoneNumber,2563864556
13,HospitalType,Acute Care Hospitals
13,HospitalOwner,Government - Hospital District or Authority
13,EmergencyService,Yes
13,Condition,Heart Attack
13,MeasureCode,AMI-5
13,MeasureName,Heart Attack Patients Given Beta Blocker at Discharge
13,Score,86%
13,Sample,14 patients
13,Stateavg,AL_AMI-5
14,ProviderNumber,10019
14,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
14,Address1,1300 SOUTH MONTGOMERY AVENUE
14,Address2,Empty
14,Address3,Empty
14,City,SHEFFIELD
14,State,AL
14,ZipCode,35660
14,CountyName,JEFFERSON
14,PhoneNumber,2563864556
14,HospitalType,Acute Care Hospitals
14,HospitalOwner,Government - Hospital District or Authority
14,EmergencyService,Yes
14,Condition,Heart Attack
14,MeasureCode,AMI-7A
14,MeasureName,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
14,Score,Empty
14,Sample,0 patients
14,Stateavg,AL_AMI-7A
15,ProviderNumber,10019
15,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
15,Address1,1300 SOUTH MONTGOMERY AVENUE
15,Address2,Empty
15,Address3,Empty
15,City,SHEFFIELD
15,State,AL
15,ZipCode,35660
15,CountyName,JEFFERSON
15,PhoneNumber,2563864556
15,HospitalType,Acute Care Hospitals
15,HospitalOwner,Government - Hospital District or Authority
15,EmergencyService,Yes
15,Condition,Heart Attack
15,MeasureCode,AMI-8A
15,MeasureName,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
15,Score,Empty
15,Sample,0 patients
15,Stateavg,AL_AMI-8A
16,ProviderNumber,10019
16,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
16,Address1,1300 SOUTH MONTGOMERY AVENUE
16,Address2,Empty
16,Address3,Empty
16,City,SHEFFIELD
16,State,AL
16,ZipCode,35660
16,CountyName,JEFFERSON
16,PhoneNumber,2563864556
16,HospitalType,Acute Care Hospitals
16,HospitalOwner,Government - Hospital District or Authority
16,EmergencyService,Yes
16,Condition,Heart Failure
16,MeasureCode,HF-1
16,MeasureName,Heart Failure Patients Given Discharge Instructions
16,Score,80%
16,Sample,114 patients
16,Stateavg,AL_HF-1
17,ProviderNumber,10019
17,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
17,Address1,1300 SOUTH MONTGOMERY AVENUE
17,Address2,Empty
17,Address3,Empty
17,City,SHEFFIELD
17,State,AL
17,ZipCode,35660
17,CountyName,JEFFERSON
17,PhoneNumber,2563864556
17,HospitalType,Acute Care Hospitals
17,HospitalOwner,Government - Hospital District or Authority
17,EmergencyService,Yes
17,Condition,Heart Failure
17,MeasureCode,HF-2
17,MeasureName,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
17,Score,99%
17,Sample,149 patients
17,Stateavg,AL_HF-2
18,ProviderNumber,10019
18,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
18,Address1,1300 SOUTH MONTGOMERY AVENUE
18,Address2,Empty
18,Address3,Empty
18,City,SHEFFIELD
18,State,AL
18,ZipCode,35660
18,CountyName,JEFFERSON
18,PhoneNumber,2563864556
18,HospitalType,Acute Care Hospitals
18,HospitalOwner,Government - Hospital District or Authority
18,EmergencyService,Yes
18,Condition,Heart Failure
18,MeasureCode,HF-3
18,MeasureName,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
18,Score,92%
18,Sample,37 patients
18,Stateavg,AL_HF-3
19,ProviderNumber,10019
19,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
19,Address1,1300 SOUTH MONTGOMERY AVENUE
19,Address2,Empty
19,Address3,Empty
19,City,SHEFFIELD
19,State,AL
19,ZipCode,35660
19,CountyName,JEFFERSON
19,PhoneNumber,2563864556
19,HospitalType,Acute Care Hospitals
19,HospitalOwner,Government - Hospital District or Authority
19,EmergencyService,Yes
19,Condition,Heart Failure
19,MeasureCode,HF-4
19,MeasureName,Heart Failure Patients Given Smoking Cessation Advice/Counseling
19,Score,100%
19,Sample,41 patients
19,Stateavg,AL_HF-4
20,ProviderNumber,10001
20,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
20,Address1,1108 ROSS CLARK CIRCLE
20,Address2,Empty
20,Address3,Empty
20,City,DOTHAN
20,State,AL
20,ZipCode,36302
20,CountyName,HOUSTON
20,PhoneNumber,3347938701
20,HospitalType,Acute Care Hospitals
20,HospitalOwner,Government - Hospital District or Authority
20,EmergencyService,Yes
20,Condition,Heart Attack
20,MeasureCode,AMI-1
20,MeasureName,Heart Attack Patients Given Aspirin at Arrival
20,Score,98%
20,Sample,270 patients
20,Stateavg,AL_AMI-1
21,ProviderNumber,10001
21,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
21,Address1,1108 ROSS CLARK CIRCLE
21,Address2,Empty
21,Address3,Empty
21,City,DOTHAN
21,State,AL
21,ZipCode,36302
21,CountyName,HOUSTON
21,PhoneNumber,3347938701
21,HospitalType,Acute Care Hospitals
21,HospitalOwner,Government - Hospital District or Authority
21,EmergencyService,Yes
21,Condition,Heart Attack
21,MeasureCode,AMI-2
21,MeasureName,Heart Attack Patients Given Aspirin at Discharge
21,Score,99%
21,Sample,516 patients
21,Stateavg,AL_AMI-2
22,ProviderNumber,10001
22,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
22,Address1,1108 ROSS CLARK CIRCLE
22,Address2,Empty
22,Address3,Empty
22,City,DOTHAN
22,State,AL
22,ZipCode,36302
22,CountyName,HOUSTON
22,PhoneNumber,3347938701
22,HospitalType,Acute Care Hospitals
22,HospitalOwner,Government - Hospital District or Authority
22,EmergencyService,Yes
22,Condition,Heart Attack
22,MeasureCode,AMI-3
22,MeasureName,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
22,Score,96%
22,Sample,71 patients
22,Stateavg,AL_AMI-3
23,ProviderNumber,10001
23,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
23,Address1,1108 ROSS CLARK CIRCLE
23,Address2,Empty
23,Address3,Empty
23,City,DOTHAN
23,State,AL
23,ZipCode,36302
23,CountyName,HOUSTON
23,PhoneNumber,3347938701
23,HospitalType,Acute Care Hospitals
23,HospitalOwner,Government - Hospital District or Authority
23,EmergencyService,Yes
23,Condition,Heart Attack
23,MeasureCode,AMI-4
23,MeasureName,Heart Attack Patients Given Smoking Cessation Advice/Counseling
23,Score,100%
23,Sample,244 patients
23,Stateavg,AL_AMI-4
24,ProviderNumber,10001
24,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
24,Address1,1108 ROSS CLARK CIRCLE
24,Address2,Empty
24,Address3,Empty
24,City,DOTHAN
24,State,AL
24,ZipCode,36302
24,CountyName,HOUSTON
24,PhoneNumber,3347938701
24,HospitalType,Acute Care Hospitals
24,HospitalOwner,Government - Hospital District or Authority
24,EmergencyService,Yes
24,Condition,Heart Attack
24,MeasureCode,AMI-5
24,MeasureName,Heart Attack Patients Given Beta Blocker at Discharge
24,Score,99%
24,Sample,441 patients
24,Stateavg,AL_AMI-5
25,ProviderNumber,10001
25,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
25,Address1,1108 ROSS CLARK CIRCLE
25,Address2,Empty
25,Address3,Empty
25,City,DOTHAN
25,State,AL
25,ZipCode,36302
25,CountyName,HOUSTON
25,PhoneNumber,3347938701
25,HospitalType,Acute Care Hospitals
25,HospitalOwner,Government - Hospital District or Authority
25,EmergencyService,Yes
25,Condition,Heart Attack
25,MeasureCode,AMI-7A
25,MeasureName,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
25,Score,Empty
25,Sample,0 patients
25,Stateavg,AL_AMI-7A
26,ProviderNumber,10001
26,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
26,Address1,1108 ROSS CLARK CIRCLE
26,Address2,Empty
26,Address3,Empty
26,City,DOTHAN
26,State,AL
26,ZipCode,36302
26,CountyName,HOUSTON
26,PhoneNumber,3347938701
26,HospitalType,Acute Care Hospitals
26,HospitalOwner,Government - Hospital District or Authority
26,EmergencyService,Yes
26,Condition,Heart Attack
26,MeasureCode,AMI-8A
26,MeasureName,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
26,Score,72%
26,Sample,40 patients
26,Stateavg,AL_AMI-8A
27,ProviderNumber,10001
27,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
27,Address1,1108 ROSS CLARK CIRCLE
27,Address2,Empty
27,Address3,Empty
27,City,DOTHAN
27,State,AL
27,ZipCode,36302
27,CountyName,HOUSTON
27,PhoneNumber,3347938701
27,HospitalType,Acute Care Hospitals
27,HospitalOwner,Government - Hospital District or Authority
27,EmergencyService,Yes
27,Condition,Heart Failure
27,MeasureCode,HF-1
27,MeasureName,Heart Failure Patients Given Discharge Instructions
27,Score,78%
27,Sample,455 patients
27,Stateavg,AL_HF-1
28,ProviderNumber,10001
28,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
28,Address1,1108 ROSS CLARK CIRCLE
28,Address2,Empty
28,Address3,Empty
28,City,DOTHAN
28,State,AL
28,ZipCode,36302
28,CountyName,HOUSTON
28,PhoneNumber,3347938701
28,HospitalType,Acute Care Hospitals
28,HospitalOwner,Government - Hospital District or Authority
28,EmergencyService,Yes
28,Condition,Heart Failure
28,MeasureCode,HF-2
28,MeasureName,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
28,Score,99%
28,Sample,514 patients
28,Stateavg,AL_HF-2
29,ProviderNumber,10001
29,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
29,Address1,1108 ROSS CLARK CIRCLE
29,Address2,Empty
29,Address3,Empty
29,City,DOTHAN
29,State,AL
29,ZipCode,36302
29,CountyName,HOUSTON
29,PhoneNumber,3347938701
29,HospitalType,Acute Care Hospitals
29,HospitalOwner,Government - Hospital District or Authority
29,EmergencyService,Yes
29,Condition,Heart Failure
29,MeasureCode,HF-3
29,MeasureName,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
29,Score,91%
29,Sample,165 patients
29,Stateavg,AL_HF-3
30,ProviderNumber,10001
30,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
30,Address1,1108 ROSS CLARK CIRCLE
30,Address2,Empty
30,Address3,Empty
30,City,DOTHAN
30,State,AL
30,ZipCode,36302
30,CountyName,HOUSTON
30,PhoneNumber,3347938701
30,HospitalType,Acute Care Hospitals
30,HospitalOwner,Government - Hospital District or Authority
30,EmergencyService,Yes
30,Condition,Heart Failure
30,MeasureCode,HF-4
30,MeasureName,Heart Failure Patients Given Smoking Cessation Advice/Counseling
30,Score,100%
30,Sample,110 patients
30,Stateavg,AL_HF-4
31,ProviderNumber,10001
31,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
31,Address1,1108 ROSS CLARK CIRCLE
31,Address2,Empty
31,Address3,Empty
31,City,DOTHAN
31,State,AL
31,ZipCode,36302
31,CountyName,HOUSTON
31,PhoneNumber,3347938701
31,HospitalType,Acute Care Hospitals
31,HospitalOwner,Government - Hospital District or Authority
31,EmergencyService,Yes
31,Condition,Pneumonia
31,MeasureCode,PN-2
31,MeasureName,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
31,Score,93%
31,Sample,191 patients
31,Stateavg,AL_PN-2
32,ProviderNumber,10001
32,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
32,Address1,1108 ROSS CLARK CIRCLE
32,Address2,Empty
32,Address3,Empty
32,City,DOTHAN
32,State,AL
32,ZipCode,36302
32,CountyName,HOUSTON
32,PhoneNumber,3347938701
32,HospitalType,Acute Care Hospitals
32,HospitalOwner,Government - Hospital District or Authority
32,EmergencyService,Yes
32,Condition,Pneumonia
32,MeasureCode,PN-3B
32,MeasureName,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
32,Score,89%
32,Sample,125 patients
32,Stateavg,AL_PN-3B
33,ProviderNumber,10001
33,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
33,Address1,1108 ROSS CLARK CIRCLE
33,Address2,Empty
33,Address3,Empty
33,City,DOTHAN
33,State,AL
33,ZipCode,36302
33,CountyName,HOUSTON
33,PhoneNumber,3347938701
33,HospitalType,Acute Care Hospitals
33,HospitalOwner,Government - Hospital District or Authority
33,EmergencyService,Yes
33,Condition,Pneumonia
33,MeasureCode,PN-4
33,MeasureName,Pneumonia Patients Given Smoking Cessation Advice/Counseling
33,Score,99%
33,Sample,107 patients
33,Stateavg,AL_PN-4
34,ProviderNumber,10001
34,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
34,Address1,1108 ROSS CLARK CIRCLE
34,Address2,Empty
34,Address3,Empty
34,City,DOTHAN
34,State,AL
34,ZipCode,36302
34,CountyName,HOUSTON
34,PhoneNumber,3347938701
34,HospitalType,Acute Care Hospitals
34,HospitalOwner,Government - Hospital District or Authority
34,EmergencyService,Yes
34,Condition,Pneumonia
34,MeasureCode,PN-5C
34,MeasureName,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
34,Score,92%
34,Sample,196 patients
34,Stateavg,AL_PN-5C
35,ProviderNumber,10001
35,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
35,Address1,1108 ROSS CLARK CIRCLE
35,Address2,Empty
35,Address3,Empty
35,City,DOTHAN
35,State,AL
35,ZipCode,36302
35,CountyName,HOUSTON
35,PhoneNumber,3347938701
35,HospitalType,Acute Care Hospitals
35,HospitalOwner,Government - Hospital District or Authority
35,EmergencyService,Yes
35,Condition,Pneumonia
35,MeasureCode,PN-6
35,MeasureName,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
35,Score,80%
35,Sample,147 patients
35,Stateavg,AL_PN-6
36,ProviderNumber,10001
36,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
36,Address1,1108 ROSS CLARK CIRCLE
36,Address2,Empty
36,Address3,Empty
36,City,DOTHAN
36,State,AL
36,ZipCode,36302
36,CountyName,HOUSTON
36,PhoneNumber,3347938701
36,HospitalType,Acute Care Hospitals
36,HospitalOwner,Government - Hospital District or Authority
36,EmergencyService,Yes
36,Condition,Pneumonia
36,MeasureCode,PN-7
36,MeasureName,Pneumonia Patients Assessed and Given Influenza Vaccination
36,Score,84%
36,Sample,160 patients
36,Stateavg,AL_PN-7
37,ProviderNumber,10001
37,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
37,Address1,1108 ROSS CLARK CIRCLE
37,Address2,Empty
37,Address3,Empty
37,City,DOTHAN
37,State,AL
37,ZipCode,36302
37,CountyName,HOUSTON
37,PhoneNumber,3347938701
37,HospitalType,Acute Care Hospitals
37,HospitalOwner,Government - Hospital District or Authority
37,EmergencyService,Yes
37,Condition,Surgical Infection Prevention
37,MeasureCode,SCIP-CARD-2
37,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
37,Score,72%
37,Sample,79 patients
37,Stateavg,AL_SCIP-CARD-2
38,ProviderNumber,10001
38,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
38,Address1,1108 ROSS CLARK CIRCLE
38,Address2,Empty
38,Address3,Empty
38,City,DOTHAN
38,State,AL
38,ZipCode,36302
38,CountyName,HOUSTON
38,PhoneNumber,3347938701
38,HospitalType,Acute Care Hospitals
38,HospitalOwner,Government - Hospital District or Authority
38,EmergencyService,Yes
38,Condition,Surgical Infection Prevention
38,MeasureCode,SCIP-INF-1
38,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
38,Score,94%
38,Sample,399 patients
38,Stateavg,AL_SCIP-INF-1
39,ProviderNumber,10001
39,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
39,Address1,1108 ROSS CLARK CIRCLE
39,Address2,Empty
39,Address3,Empty
39,City,DOTHAN
39,State,AL
39,ZipCode,36302
39,CountyName,HOUSTON
39,PhoneNumber,3347938701
39,HospitalType,Acute Care Hospitals
39,HospitalOwner,Government - Hospital District or Authority
39,EmergencyService,Yes
39,Condition,Surgical Infection Prevention
39,MeasureCode,SCIP-INF-2
39,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
39,Score,98%
39,Sample,405 patients
39,Stateavg,AL_SCIP-INF-2
40,ProviderNumber,10001
40,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
40,Address1,1108 ROSS CLARK CIRCLE
40,Address2,Empty
40,Address3,Empty
40,City,DOTHAN
40,State,AL
40,ZipCode,36302
40,CountyName,HOUSTON
40,PhoneNumber,3347938701
40,HospitalType,Acute Care Hospitals
40,HospitalOwner,Government - Hospital District or Authority
40,EmergencyService,Yes
40,Condition,Surgical Infection Prevention
40,MeasureCode,SCIP-INF-3
40,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
40,Score,88%
40,Sample,385 patients
40,Stateavg,AL_SCIP-INF-3
41,ProviderNumber,10001
41,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
41,Address1,1108 ROSS CLARK CIRCLE
41,Address2,Empty
41,Address3,Empty
41,City,DOTHAN
41,State,AL
41,ZipCode,36302
41,CountyName,HOUSTON
41,PhoneNumber,3347938701
41,HospitalType,Acute Care Hospitals
41,HospitalOwner,Government - Hospital District or Authority
41,EmergencyService,Yes
41,Condition,Surgical Infection Prevention
41,MeasureCode,SCIP-INF-4
41,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
41,Score,96%
41,Sample,136 patients
41,Stateavg,AL_SCIP-INF-4
42,ProviderNumber,10001
42,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
42,Address1,1108 ROSS CLARK CIRCLE
42,Address2,Empty
42,Address3,Empty
42,City,DOTHAN
42,State,AL
42,ZipCode,36302
42,CountyName,HOUSTON
42,PhoneNumber,3347938701
42,HospitalType,Acute Care Hospitals
42,HospitalOwner,Government - Hospital District or Authority
42,EmergencyService,Yes
42,Condition,Surgical Infection Prevention
42,MeasureCode,SCIP-INF-6
42,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
42,Score,90%
42,Sample,537 patients
42,Stateavg,AL_SCIP-INF-6
43,ProviderNumber,10001
43,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
43,Address1,1108 ROSS CLARK CIRCLE
43,Address2,Empty
43,Address3,Empty
43,City,DOTHAN
43,State,AL
43,ZipCode,36302
43,CountyName,HOUSTON
43,PhoneNumber,3347938701
43,HospitalType,Acute Care Hospitals
43,HospitalOwner,Government - Hospital District or Authority
43,EmergencyService,Yes
43,Condition,Surgical Infection Prevention
43,MeasureCode,SCIP-VTE-1
43,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
43,Score,86%
43,Sample,185 patients
43,Stateavg,AL_SCIP-VTE-1
44,ProviderNumber,10001
44,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
44,Address1,1108 ROSS CLARK CIRCLE
44,Address2,Empty
44,Address3,Empty
44,City,DOTHAN
44,State,AL
44,ZipCode,36302
44,CountyName,HOUSTON
44,PhoneNumber,3347938701
44,HospitalType,Acute Care Hospitals
44,HospitalOwner,Government - Hospital District or Authority
44,EmergencyService,Yes
44,Condition,Surgical Infection Prevention
44,MeasureCode,SCIP-VTE-2
44,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
44,Score,83%
44,Sample,184 patients
44,Stateavg,AL_SCIP-VTE-2
45,ProviderNumber,10005
45,HospitalName,MARSHALL MEDICAL CENTER SOUTH
