AA-1221-MCO-ORD	12/03/2011 08:00 PM	12/03/2011 08:09 PM	15	12/03/2011 09:50 PM	12/03/2011 09:38 PM	L8
AA-222-LAX-BOS	12/03/2011 07:10 AM	12/03/2011 07:21 AM	42B	12/03/2011 03:30 PM	12/03/2011 03:13 PM	B35
AA-3823-LAX-DEN	12/03/2011 09:00 PM		44J	12/04/2011 12:15 AM		A49
AA-1165-JFK-MIA	12/03/2011 06:59 AM	12/03/2011 07:14 AM	36	12/03/2011 10:34 AM	12/03/2011 09:44 AM	D25
AA-3786-IAH-ORD	12/03/2011 04:00 PM	12/03/2011 04:15 PM	A29	12/03/2011 06:40 PM	12/03/2011 06:09 PM	G9
AA-4330-CVG-ORD	12/03/2011 03:35 PM	12/03/2011 03:38 PM	3	12/03/2011 04:00 PM	12/03/2011 03:39 PM	G20
AA-1664-MIA-ATL	12/03/2011 10:15 AM	12/03/2011 10:35 AM	D17	12/03/2011 12:10 PM	12/03/2011 12:11 PM	T11
AA-789-ORD-DEN	12/03/2011 01:05 PM	12/03/2011 01:11 PM	H6	12/03/2011 02:35 PM	12/03/2011 02:38 PM	A49
AA-3468-CVG-MIA	12/03/2011 07:00 AM	12/03/2011 07:17 AM	1	12/03/2011 09:55 AM	12/03/2011 09:40 AM	D60
AA-204-LAX-MCO	12/03/2011 11:25 PM		43	12/04/2011 06:55 AM		TBA
AA-1733-ORD-PHX	12/03/2011 07:45 PM	12/03/2011 07:57 PM	H6	12/03/2011 10:30 PM		4
AA-1733-ORD-PHX	12/03/2011 07:45 PM	12/03/2011 07:57 PM	H6	12/03/2011 10:30 PM		4
AA-4277-CVG-JFK	12/03/2011 12:10 PM	12/03/2011 12:17 PM	1	12/03/2011 02:15 PM	12/03/2011 02:03 PM	32H
AA-466-IAH-MIA	12/03/2011 06:00 AM	12/03/2011 06:06 AM	A27	12/03/2011 09:20 AM	12/03/2011 09:11 AM	D17
AA-2312-DFW-DTW	12/03/2011 08:25 PM		C8	12/03/2011 11:50 PM		D32
AA-404-MIA-MCO	12/03/2011 06:45 AM	12/03/2011 07:00 AM	E5	12/03/2011 07:45 AM	12/03/2011 07:52 AM	16
AA-85-JFK-SFO	12/03/2011 03:05 PM	12/03/2011 03:19 PM	6	12/03/2011 06:30 PM	12/03/2011 06:11 PM	57
AA-446-DFW-PHL	12/03/2011 11:50 AM	12/03/2011 12:11 PM	D33	12/03/2011 03:50 PM	12/03/2011 03:47 PM	A9
AA-3-JFK-LAX	12/03/2011 12:00 PM	12/03/2011 12:10 PM	42	12/03/2011 03:15 PM	12/03/2011 02:54 PM	46A
AA-2268-PHX-ORD	12/03/2011 07:15 AM	12/03/2011 07:20 AM	6	12/03/2011 11:35 AM	12/03/2011 11:15 AM	H15
AA-1007-MIA-PHX	12/03/2011 04:55 PM	12/03/2011 05:11 PM	D36	12/03/2011 08:05 PM	12/03/2011 08:07 PM	4
AA-4344-ORD-DTW	12/03/2011 11:45 AM	12/03/2011 11:57 AM	G6B	12/03/2011 02:00 PM	12/03/2011 01:51 PM	D28
AA-484-DFW-MIA	12/03/2011 04:15 PM	12/03/2011 04:41 PM	D16	12/03/2011 07:55 PM	12/03/2011 08:17 PM	D4
AA-3979-CVG-ORD	12/03/2011 07:30 AM	12/03/2011 07:38 AM	3	12/03/2011 08:00 AM	12/03/2011 07:35 AM	G12
AA-3063-SLC-LAX	12/03/2011 08:20 PM	12/03/2011 08:34 PM	A3	12/03/2011 09:20 PM		44I
AA-3859-IAH-ORD	12/04/2011 07:10 AM	12/04/2011 07:09 AM	A29	12/03/2011 09:40 AM	12/03/2011 09:34 AM	H5
AA-3842-MSP-ORD	12/03/2011 06:00 AM	12/03/2011 06:15 AM	E14	12/03/2011 07:30 AM	12/03/2011 07:13 AM	G1B
AA-271-MIA-LAX	12/03/2011 11:35 AM	12/03/2011 11:55 AM	D8	12/03/2011 02:25 PM	12/03/2011 02:22 PM	46B
AA-643-MIA-ORD	12/03/2011 07:10 AM	12/03/2011 07:23 AM	D3	12/03/2011 09:35 AM	12/03/2011 09:21 AM	K16
AA-4198-ORD-CLE	12/03/2011 10:40 AM	12/03/2011 10:57 AM	G2B	12/03/2011 12:55 PM	12/03/2011 12:55 PM	A1
AA-400-DFW-JFK	12/03/2011 10:40 AM	12/03/2011 11:00 AM	C4	12/03/2011 02:59 PM	12/03/2011 03:11 PM	44
AA-1886-BOS-MIA	12/03/2011 10:45 AM	12/03/2011 11:10 AM	B35	12/03/2011 02:20 PM	12/03/2011 02:07 PM	D14
AA-1917-JFK-MCO	12/03/2011 02:55 PM	12/03/2011 03:07 PM	45	12/03/2011 05:55 PM	12/03/2011 05:27 PM	16
AA-1544-SAN-ORD	12/03/2011 11:25 AM	12/03/2011 11:39 AM	27	12/03/2011 05:25 PM	12/03/2011 04:55 PM	H6
AA-649-ORD-SNA	12/03/2011 01:30 PM		H11B	12/03/2011 03:50 PM		7
AA-3809-PHX-LAX	12/03/2011 06:00 AM	12/03/2011 06:07 AM	2	12/03/2011 06:40 AM	12/03/2011 06:18 AM	44J
AA-2957-DFW-CVG	12/03/2011 07:55 AM	12/03/2011 08:40 AM	B21	12/03/2011 11:05 AM	12/03/2011 11:31 AM	3
UA-1500-IAH-GUA	Sat, Dec 3 8:55 AM	Sat, Dec 3 10:39 AM	E20	Sat, Dec 3 11:45 AM	Sat, Dec 3 1:22 PM	15
UA-257-JFK-SFO	Sat, Dec 3 2:30 PM	Sat, Dec 3 2:24 PM	12	Sat, Dec 3 6:07 PM	Sat, Dec 3 5:34 PM	80
UA-62-IAH-EWR	Sat, Dec 3 2:30 PM	Sat, Dec 3 2:52 PM	C-39	Sat, Dec 3 7:01 PM	Sat, Dec 3 6:57 PM	C73
UA-397-JFK-SFO	Sat, Dec 3 8:00 AM	Sat, Dec 3 7:58 AM	10	Sat, Dec 3 11:55 AM	Sat, Dec 3 11:08 AM	80
UA-2704-DTW-PHX	Sat, Dec 3 11:15 AM	Sat, Dec 3 11:15 AM	D25	Sat, Dec 3 1:40 PM	Sat, Dec 3 2:12 PM	A19
UA-3373-IAD-PHL	Sat, Dec 3 8:27 AM	Sat, Dec 3 8:25 AM	C26	Sat, Dec 3 9:22 AM	Sat, Dec 3 9:32 AM	D7
UA-2906-PHL-MCO	Sat, Dec 3 3:50 PM	Sat, Dec 3 3:50 PM            Delayed	B15	Sat, Dec 3 6:23 PM	Sat, Dec 3 6:19 PM	58
UA-938-DEN-ORD	Sat, Dec 3 3:55 PM	Sat, Dec 3 4:01 PM	B36	Sat, Dec 3 7:15 PM	Sat, Dec 3 7:24 PM	B11
UA-3099-PHX-PHL	Sat, Dec 3 11:55 AM	Sat, Dec 3 12:45 PM	A22	Sat, Dec 3 6:17 PM	Sat, Dec 3 6:47 PM	A8
UA-3925-IAD-ORF	Sat, Dec 3 8:41 AM	Sat, Dec 3 10:17 AM	A2A	Sat, Dec 3 9:54 AM	Sat, Dec 3 11:17 AM	--
UA-5487-SFO-MRY	Sat, Dec 3 10:39 AM	Sat, Dec 3 10:34 AM	87A	Sat, Dec 3 11:19 AM	Sat, Dec 3 11:09 AM	--
UA-3050-PHX-CLT	Sat, Dec 3 11:05 AM	Sat, Dec 3 11:05 AM	A11	Sat, Dec 3 4:57 PM	Sat, Dec 3 4:48 PM	B11
UA-828-SFO-ORD	Sat, Dec 3 10:59 PM	Sat, Dec 3 10:59 PM	74	Sun, Dec 4 5:14 AM	Sun, Dec 4 5:14 AM	C29
UA-2830-MCO-CLT	Sat, Dec 3 3:27 PM	Sat, Dec 3 3:27 PM	58	Sat, Dec 3 5:05 PM	Sat, Dec 3 4:54 PM	B14
UA-37-EWR-MCO	Sat, Dec 3 1:45 PM	Sat, Dec 3 1:53 PM            Delayed	C113	Sat, Dec 3 4:30 PM	Sat, Dec 3 4:22 PM	39
UA-37-EDI-EWR	Sat, Dec 3 9:05 AM	Sat, Dec 3 9:26 AM	--	Sat, Dec 3 11:53 AM	Sat, Dec 3 1:17 PM	C126
UA-2708-EWR-CLT	Sat, Dec 3 2:55 PM	Sat, Dec 3 2:55 PM	A37	Sat, Dec 3 4:53 PM	Sat, Dec 3 4:29 PM	C12
UA-2726-FLL-PHL	Sat, Dec 3 4:00 PM	Sat, Dec 3 4:00 PM	E3	Sat, Dec 3 6:46 PM	Sat, Dec 3 6:47 PM	B9
UA-2945-PHL-CLT	Sat, Dec 3 12:00 AM	Sat, Dec 3 2:11 AM	C21	Sat, Dec 3 1:45 PM	Sat, Dec 3 1:18 PM	B6
UA-6273-YYC-SFO	Sat, Dec 3 7:35 AM	Sat, Dec 3 7:30 AM	--	Sat, Dec 3 9:43 AM	Sat, Dec 3 9:03 AM	69
UA-382-IAD-LAX	Sat, Dec 3 12:30 PM	Sat, Dec 3 12:31 PM            Delayed	C17	Sat, Dec 3 3:19 PM	Sat, Dec 3 3:03 PM	75B
UA-382-IAD-LAX	Sat, Dec 3 12:30 PM	Sat, Dec 3 12:31 PM            Delayed	C17	Sat, Dec 3 3:19 PM	Sat, Dec 3 3:02 PM	75B
UA-858-PVG-SFO	Sat, Dec 3 1:45 PM	Sat, Dec 3 1:41 PM	75	Sat, Dec 3 8:27 AM	Sat, Dec 3 8:50 AM	97
UA-854-SFO-IAH	Sat, Dec 3 7:55 AM	Sat, Dec 3 7:53 AM	83	Sat, Dec 3 1:41 PM	Sat, Dec 3 1:18 PM	C16
CO-1586-IAH-MCO	Sat., Dec.03, 2011 7:00 p.m.	Sat., Dec.03, 2011 7:06 p.m.		Sat., Dec.03, 2011 10:15 p.m.	Sat., Dec.03, 2011 10:13 p.m.	
CO-1088-CLE-IAH	Sat., Dec.03, 2011 8:40 a.m.	Sat., Dec.03, 2011 8:45 a.m.		Sat., Dec.03, 2011 10:54 a.m.	Sat., Dec.03, 2011 10:58 a.m.	
CO-16-LAX-EWR	Sat., Dec.03, 2011 10:25 a.m.	Sat., Dec.03, 2011 10:34 a.m.		Sat., Dec.03, 2011 6:42 p.m.	Sat., Dec.03, 2011 6:40 p.m.	
CO-58-DEN-IAH	Sat., Dec.03, 2011 11:25 a.m.	Sat., Dec.03, 2011 11:36 a.m.		Sat., Dec.03, 2011 2:47 p.m.	Sat., Dec.03, 2011 3:17 p.m.	
CO-1193-EWR-MCO	Sat., Dec.03, 2011 3:45 p.m.	Sat., Dec.03, 2011 5:40 p.m.		Sat., Dec.03, 2011 6:31 p.m.	Sat., Dec.03, 2011 8:15 p.m.	
CO-1023-IAH-DEN	Sat., Dec.03, 2011 11:40 a.m.	Sat., Dec.03, 2011 11:38 a.m.		Sat., Dec.03, 2011 1:16 p.m.	Sat., Dec.03, 2011 1:08 p.m.	
CO-1250-MIA-IAH	Sat., Dec.03, 2011 2:53 p.m.	Sat., Dec.03, 2011 2:44 p.m.		Sat., Dec.03, 2011 4:48 p.m.	Sat., Dec.03, 2011 4:18 p.m.	
CO-62-IAH-EWR	Sat., Dec.03, 2011 2:30 p.m.	Sat., Dec.03, 2011 2:52 p.m.		Sat., Dec.03, 2011 7:01 p.m.	Sat., Dec.03, 2011 6:57 p.m.	
CO-52-IAH-LAX	Sat., Dec.03, 2011 7:35 a.m.	Sat., Dec.03, 2011 7:34 a.m.		Sat., Dec.03, 2011 9:21 a.m.	Sat., Dec.03, 2011 9:21 a.m.	
CO-1614-LAX-IAH	Sat., Dec.03, 2011 12:30 a.m.	Sat., Dec.03, 2011 12:35 a.m.		Sat., Dec.03, 2011 5:35 a.m.	Sat., Dec.03, 2011 5:28 a.m.	
CO-89-IAH-EWR	Sat., Dec.03, 2011 6:00 a.m.	Sat., Dec.03, 2011 5:54 a.m.		Sat., Dec.03, 2011 10:20 a.m.	Sat., Dec.03, 2011 10:13 a.m.	
CO-1090-BOS-IAH	Sat., Dec.03, 2011 9:00 a.m.	Sat., Dec.03, 2011 9:02 a.m.		Sat., Dec.03, 2011 12:31 p.m.	Sat., Dec.03, 2011 12:25 p.m.	
CO-63-EWR-IAH	Sat., Dec.03, 2011 5:25 p.m.	Sat., Dec.03, 2011 5:23 p.m.		Sat., Dec.03, 2011 8:19 p.m.	Sat., Dec.03, 2011 8:14 p.m.	
CO-50-CLE-EWR	Sat., Dec.03, 2011 2:55 p.m.	Sat., Dec.03, 2011 2:54 p.m.		Sat., Dec.03, 2011 4:39 p.m.	Sat., Dec.03, 2011 4:23 p.m.	
CO-1561-PHX-IAH	Sat., Dec.03, 2011 8:05 a.m.	Sat., Dec.03, 2011 8:02 a.m.		Sat., Dec.03, 2011 11:35 a.m.	Sat., Dec.03, 2011 11:26 a.m.	
