Row(rv_index=u'2011-12-05-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-08-AA-2957-DFW-CVG', rv_attr=u'Scheduled_Dept', assigned_val=u'7:55')
Row(rv_index=u'2011-12-08-AA-3063-SLC-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'8:20')
Row(rv_index=u'2011-12-08-AA-3859-IAH-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-08-AA-404-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:45')
Row(rv_index=u'2011-12-08-AA-431-MIA-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'8:35')
Row(rv_index=u'2011-12-08-CO-1614-LAX-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'12:30')
Row(rv_index=u'2011-12-08-CO-47-IAH-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-08-CO-58-DEN-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-08-CO-89-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-08-UA-1500-IAH-GUA', rv_attr=u'Scheduled_Dept', assigned_val=u'8:55')
Row(rv_index=u'2011-12-08-UA-248-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'12:57')
Row(rv_index=u'2011-12-08-UA-2515-DFW-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'7:05')
Row(rv_index=u'2011-12-08-UA-257-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-08-UA-2830-MCO-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'3:27')
Row(rv_index=u'2011-12-08-UA-37-EDI-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'9:05')
Row(rv_index=u'2011-12-08-UA-37-EWR-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'1:29')
Row(rv_index=u'2011-12-08-UA-664-ORD-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'1:33')
Row(rv_index=u'2011-12-08-UA-858-PVG-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'1:45')
Row(rv_index=u'2011-12-09-AA-1221-MCO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'8:00')
Row(rv_index=u'2011-12-09-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-09-AA-1640-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:30')
Row(rv_index=u'2011-12-09-AA-1733-ORD-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:45')
Row(rv_index=u'2011-12-09-AA-2050-ORD-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-09-AA-2268-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-09-AA-2525-DFW-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'7:25')
Row(rv_index=u'2011-12-09-AA-2957-DFW-CVG', rv_attr=u'Scheduled_Dept', assigned_val=u'7:55')
Row(rv_index=u'2011-12-09-AA-3063-SLC-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'8:20')
Row(rv_index=u'2011-12-09-AA-3756-ORD-SLC', rv_attr=u'Scheduled_Dept', assigned_val=u'12:15')
Row(rv_index=u'2011-12-09-AA-415-BOS-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'8:35')
Row(rv_index=u'2011-12-09-AA-431-MIA-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'8:35')
Row(rv_index=u'2011-12-09-AA-4330-CVG-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'3:35')
Row(rv_index=u'2011-12-09-CO-1193-EWR-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'9:15')
Row(rv_index=u'2011-12-09-CO-63-EWR-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'5:25')
Row(rv_index=u'2011-12-09-CO-89-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-09-UA-233-LAX-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'4:25')
Row(rv_index=u'2011-12-09-UA-2515-DFW-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'7:05')
Row(rv_index=u'2011-12-09-UA-2830-MCO-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'3:27')
Row(rv_index=u'2011-12-09-UA-3099-PHX-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-09-UA-37-EWR-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'1:29')
Row(rv_index=u'2011-12-09-UA-414-LAX-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-09-UA-664-ORD-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'1:33')
Row(rv_index=u'2011-12-09-UA-938-DEN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'4:16')
Row(rv_index=u'2011-12-10-AA-1165-JFK-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'6:59')
Row(rv_index=u'2011-12-10-AA-1434-DFW-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-10-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-10-AA-1640-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:30')
Row(rv_index=u'2011-12-10-AA-1733-ORD-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:45')
Row(rv_index=u'2011-12-10-AA-2268-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-10-AA-2312-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'8:25')
Row(rv_index=u'2011-12-10-AA-3756-ORD-SLC', rv_attr=u'Scheduled_Dept', assigned_val=u'12:15')
Row(rv_index=u'2011-12-10-AA-3786-IAH-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'4:00')
Row(rv_index=u'2011-12-10-AA-3804-PHL-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'2:35')
Row(rv_index=u'2011-12-10-AA-400-DFW-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-10-AA-415-BOS-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'8:35')
Row(rv_index=u'2011-12-10-AA-4344-ORD-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'11:45')
Row(rv_index=u'2011-12-10-AA-446-DFW-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:50')
Row(rv_index=u'2011-12-10-AA-616-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'9:05')
Row(rv_index=u'2011-12-10-AA-649-ORD-SNA', rv_attr=u'Scheduled_Dept', assigned_val=u'1:30')
Row(rv_index=u'2011-12-10-CO-1023-IAH-DEN', rv_attr=u'Scheduled_Dept', assigned_val=u'11:40')
Row(rv_index=u'2011-12-10-CO-1090-BOS-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'9:45')
Row(rv_index=u'2011-12-10-CO-1586-IAH-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:00')
Row(rv_index=u'2011-12-10-CO-1614-LAX-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'12:30')
Row(rv_index=u'2011-12-10-CO-50-CLE-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-10-UA-1500-IAH-GUA', rv_attr=u'Scheduled_Dept', assigned_val=u'8:55')
Row(rv_index=u'2011-12-10-UA-257-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-10-UA-2704-DTW-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'11:15')
Row(rv_index=u'2011-12-10-UA-3099-PHX-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-10-UA-382-IAD-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'12:30')
Row(rv_index=u'2011-12-11-AA-1279-DFW-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'1:00')
Row(rv_index=u'2011-12-11-AA-1434-DFW-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-11-AA-1522-SFO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-11-AA-1733-ORD-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:45')
Row(rv_index=u'2011-12-11-AA-3063-SLC-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'8:20')
Row(rv_index=u'2011-12-11-AA-3468-CVG-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'7:00')
Row(rv_index=u'2011-12-11-AA-3756-ORD-SLC', rv_attr=u'Scheduled_Dept', assigned_val=u'12:15')
Row(rv_index=u'2011-12-11-AA-400-DFW-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-11-AA-4330-CVG-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'3:35')
Row(rv_index=u'2011-12-11-AA-466-IAH-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-11-AA-518-MIA-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'6:30')
Row(rv_index=u'2011-12-11-AA-649-ORD-SNA', rv_attr=u'Scheduled_Dept', assigned_val=u'1:30')
Row(rv_index=u'2011-12-11-AA-85-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'3:05')
Row(rv_index=u'2011-12-11-CO-1023-IAH-DEN', rv_attr=u'Scheduled_Dept', assigned_val=u'11:40')
Row(rv_index=u'2011-12-11-CO-16-LAX-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'10:25')
Row(rv_index=u'2011-12-11-CO-89-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-11-UA-1500-IAH-GUA', rv_attr=u'Scheduled_Dept', assigned_val=u'8:55')
Row(rv_index=u'2011-12-11-UA-257-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-11-UA-2726-FLL-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'4:00')
Row(rv_index=u'2011-12-11-UA-3373-IAD-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'8:25')
Row(rv_index=u'2011-12-11-UA-3515-IAD-MSP', rv_attr=u'Scheduled_Dept', assigned_val=u'8:15')
Row(rv_index=u'2011-12-11-UA-37-EDI-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'9:05')
Row(rv_index=u'2011-12-11-UA-664-ORD-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'1:20')
Row(rv_index=u'2011-12-11-UA-843-LAX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'1:50')
Row(rv_index=u'2011-12-11-UA-854-SFO-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'7:53')
Row(rv_index=u'2011-12-11-UA-858-PVG-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'1:45')
Row(rv_index=u'2011-12-11-UA-938-DEN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'4:16')
Row(rv_index=u'2011-12-12-AA-1279-DFW-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'1:00')
Row(rv_index=u'2011-12-12-AA-1434-DFW-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-12-AA-1522-SFO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-12-AA-1886-BOS-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'10:45')
Row(rv_index=u'2011-12-12-AA-204-LAX-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-12-AA-2312-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'8:25')
Row(rv_index=u'2011-12-12-AA-2525-DFW-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'7:25')
Row(rv_index=u'2011-12-12-AA-3823-LAX-DEN', rv_attr=u'Scheduled_Dept', assigned_val=u'9:00')
Row(rv_index=u'2011-12-12-AA-3859-IAH-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-12-AA-400-DFW-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-12-AA-431-MIA-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'8:35')
Row(rv_index=u'2011-12-12-CO-1586-IAH-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:00')
Row(rv_index=u'2011-12-12-CO-58-DEN-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-12-CO-62-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-12-CO-63-EWR-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'5:25')
Row(rv_index=u'2011-12-12-CO-89-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-12-UA-233-LAX-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'4:25')
Row(rv_index=u'2011-12-12-UA-248-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'12:57')
Row(rv_index=u'2011-12-12-UA-3050-PHX-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'11:05')
Row(rv_index=u'2011-12-12-UA-382-IAD-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'12:30')
Row(rv_index=u'2011-12-12-UA-3925-IAD-ORF', rv_attr=u'Scheduled_Dept', assigned_val=u'8:42')
Row(rv_index=u'2011-12-12-UA-5487-SFO-MRY', rv_attr=u'Scheduled_Dept', assigned_val=u'10:39')
Row(rv_index=u'2011-12-12-UA-858-PVG-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'1:45')
Row(rv_index=u'2011-12-13-AA-1221-MCO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'8:00')
Row(rv_index=u'2011-12-13-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-13-AA-222-LAX-BOS', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-13-AA-271-MIA-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'11:35')
Row(rv_index=u'2011-12-13-AA-3809-PHX-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-13-AA-3979-CVG-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:30')
Row(rv_index=u'2011-12-13-AA-466-IAH-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-13-AA-616-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'9:05')
Row(rv_index=u'2011-12-13-AA-649-ORD-SNA', rv_attr=u'Scheduled_Dept', assigned_val=u'1:30')
Row(rv_index=u'2011-12-13-AA-85-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'3:05')
Row(rv_index=u'2011-12-13-CO-45-EWR-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'4:00')
Row(rv_index=u'2011-12-13-CO-4888-IAH-DAL', rv_attr=u'Scheduled_Dept', assigned_val=u'5:30')
Row(rv_index=u'2011-12-13-CO-52-IAH-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:35')
Row(rv_index=u'2011-12-13-UA-257-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-13-UA-854-SFO-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'7:53')
Row(rv_index=u'2011-12-14-AA-1434-DFW-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-14-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-14-AA-1917-JFK-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-14-AA-3063-SLC-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'8:20')
Row(rv_index=u'2011-12-14-AA-3979-CVG-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:30')
Row(rv_index=u'2011-12-14-AA-400-DFW-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-14-AA-4344-ORD-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'11:45')
Row(rv_index=u'2011-12-14-AA-466-IAH-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-14-AA-518-MIA-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'6:30')
Row(rv_index=u'2011-12-14-AA-616-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'9:05')
Row(rv_index=u'2011-12-14-AA-85-JFK-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'3:05')
Row(rv_index=u'2011-12-14-CO-1193-EWR-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'9:15')
Row(rv_index=u'2011-12-14-CO-1250-MIA-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'2:53')
Row(rv_index=u'2011-12-14-CO-16-LAX-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'10:25')
Row(rv_index=u'2011-12-14-CO-50-CLE-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-14-CO-58-DEN-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-14-UA-2314-ATL-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-14-UA-233-LAX-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'4:25')
Row(rv_index=u'2011-12-14-UA-2726-FLL-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'4:00')
Row(rv_index=u'2011-12-14-UA-2945-PHL-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'12:00')
Row(rv_index=u'2011-12-14-UA-3099-PHX-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-14-UA-828-SFO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:13')
Row(rv_index=u'2011-12-15-AA-1522-SFO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-15-AA-2312-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'8:25')
Row(rv_index=u'2011-12-15-AA-3809-PHX-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-15-AA-643-MIA-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-15-UA-1500-IAH-GUA', rv_attr=u'Scheduled_Dept', assigned_val=u'8:50')
Row(rv_index=u'2011-12-16-AA-1007-MIA-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'4:55')
Row(rv_index=u'2011-12-16-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-16-AA-222-LAX-BOS', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-16-AA-2525-DFW-MIA', rv_attr=u'Scheduled_Dept', assigned_val=u'7:25')
Row(rv_index=u'2011-12-16-AA-3756-ORD-SLC', rv_attr=u'Scheduled_Dept', assigned_val=u'12:15')
Row(rv_index=u'2011-12-16-AA-3804-PHL-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'2:35')
Row(rv_index=u'2011-12-16-AA-3809-PHX-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-16-AA-404-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:45')
Row(rv_index=u'2011-12-16-AA-4198-ORD-CLE', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-16-AA-643-MIA-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-16-CO-1023-IAH-DEN', rv_attr=u'Scheduled_Dept', assigned_val=u'11:40')
Row(rv_index=u'2011-12-16-CO-1193-EWR-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'9:35')
Row(rv_index=u'2011-12-16-CO-1586-IAH-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:00')
Row(rv_index=u'2011-12-16-CO-16-LAX-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'10:25')
Row(rv_index=u'2011-12-16-CO-1694-LAX-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'7:41')
Row(rv_index=u'2011-12-16-CO-62-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
