aa	AA-1007-TPA-MIA	December 12, 2011               01:55 PM    	December 12, 2011               01:55 PM    	 F77	December 12, 2011               03:00 PM    	December 12, 2011               02:58 PM    	 D19    
helloflight	UA-432-SFO-ORD		12/12/11 6:29 AM (-08:00)			12/12/11 11:51 AM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/12/11 6:29 AM (-08:00)			12/12/11 11:51 AM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-12 06:02 AM	83		2011-12-12 11:52 AM	C26
businesstravellogue	UA-432-SFO-ORD		2011-12-12 06:02 AM	83		2011-12-12 11:52 AM	C26
flylouisville	UA-432-SFO-ORD		2011-12-12 06:02 AM	83		2011-12-12 11:52 AM	C26
flightview	UA-432-SFO-ORD		6:29 AMDec 12			11:52 AMDec 12	
panynj	UA-432-SFO-ORD		6:29 AMDec 12			11:52 AMDec 12	
gofox	UA-432-SFO-ORD		6:29 AMDec 12			11:52 AMDec 12	
foxbusiness	UA-432-SFO-ORD		6:29 AMDec 12			11:52 AMDec 12	
allegiantair	UA-432-SFO-ORD		6:29 AMDec 12			11:52 AMDec 12	
boston	UA-432-SFO-ORD		6:29 AMDec 12			11:54 AMDec 12	
orbitz	UA-432-SFO-ORD	6:00aDec 12	6:02aDec 12	 83	12:18pDec 12	11:52aDec 12	 C26
weather	UA-432-SFO-ORD	2011-12-12 06:00 AM			2011-12-12 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-12 6:00 AM		83	2011-12-12 12:18 PM		C26
flightarrival	UA-432-SFO-ORD	2011-12-12 06:00 AM			2011-12-12 12:18 PM		
CO	CO-4461-EWR-CVG	Mon., Dec.12, 2011 1:55 p.m.	Mon., Dec.12, 2011 1:47 p.m.		Mon., Dec.12, 2011 4:00 p.m.	Mon., Dec.12, 2011 3:41 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/12/11 1:55 PM (-05:00)			12/12/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/12/11 1:55 PM (-05:00)			12/12/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/12/11 1:55 PM (-05:00)			12/12/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/12/11 1:55 PM (-05:00)			12/12/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-12 01:47 PM	27		2011-12-12 03:41 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-12 01:47 PM	27		2011-12-12 03:41 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-12 01:47 PM	27		2011-12-12 03:41 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-12 1:55 PM	2011-12-12 1:47 PM		2011-12-12 4:00 PM	2011-12-12 3:41 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-12 1:55 PM	2011-12-12 1:47 PM		2011-12-12 4:00 PM	2011-12-12 3:41 PM	
flightview	CO-4461-EWR-CVG		2:02 PMDec 12			3:41 PMDec 12	
panynj	CO-4461-EWR-CVG		2:02 PMDec 12			3:41 PMDec 12	
gofox	CO-4461-EWR-CVG		2:02 PMDec 12			3:41 PMDec 12	
foxbusiness	CO-4461-EWR-CVG		2:02 PMDec 12			3:41 PMDec 12	
allegiantair	CO-4461-EWR-CVG		2:02 PMDec 12			3:41 PMDec 12	
boston	CO-4461-EWR-CVG		2:02 PMDec 12			3:40 PMDec 12	
orbitz	CO-4461-EWR-CVG	1:55pDec 12	1:47pDec 12	 -	4:00pDec 12	3:41pDec 12	 -
orbitz	CO-4461-EWR-CVG	1:55pDec 12	1:47pDec 12	 A27	4:00pDec 12	3:41pDec 12	 2
weather	CO-4461-EWR-CVG	2011-12-12 01:55 PM			2011-12-12 04:00 PM		
ifly	CO-4461-EWR-CVG	2011-12-12 1:55 PM	2011-12-12 1:47 PM		2011-12-12 4:00 PM	2011-12-12 3:41 PM	
usatoday	CO-4461-EWR-CVG	2011-12-12 1:55 PM	2011-12-12 1:47 PM		2011-12-12 4:00 PM	2011-12-12 3:41 PM	
flightarrival	CO-4461-EWR-CVG		2:02 PMDec 12			3:40 PMDec 12	
ua	UA-581-DEN-IAD	Mon, Dec 12 8:36 AM	Mon, Dec 12 8:34 AM	B39	Mon, Dec 12 1:52 PM	Mon, Dec 12 1:43 PM	C11
flightexplorer	UA-581-DEN-IAD		12/12/2011 8:44AM MST			12/12/2011 1:31PM EST	
airtravelcenter	UA-581-DEN-IAD		12/12/11 8:46 AM (-07:00)			12/12/11 1:31 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/12/11 8:46 AM (-07:00)			12/12/11 1:31 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/12/11 8:46 AM (-07:00)			12/12/11 1:31 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/12/11 8:46 AM (-07:00)			12/12/11 1:31 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-12 08:36AM MST	2011-12-12 08:46AM MST	 B39 	2011-12-12 01:35PM EST	2011-12-12 01:38PM EST	 C11 
wunderground	UA-581-DEN-IAD	2011-12-12 08:36AM MST	2011-12-12 08:46AM MST	 B39 	2011-12-12 01:35PM EST	2011-12-12 01:38PM EST	 C11 
flights	UA-581-DEN-IAD	08:36 AM  Mon 12-Dec-2011	08:34 AM  Mon 12-Dec-2011	B39	01:52 PM  Mon 12-Dec-2011	01:43 PM  Mon 12-Dec-2011	C11
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Mon 12-Dec-2011	08:34 AM  Mon 12-Dec-2011	B39	01:52 PM  Mon 12-Dec-2011	01:43 PM  Mon 12-Dec-2011	C11
flylouisville	UA-581-DEN-IAD	08:36 AM  Mon 12-Dec-2011	08:34 AM  Mon 12-Dec-2011	B39	01:52 PM  Mon 12-Dec-2011	01:43 PM  Mon 12-Dec-2011	C11
flightstats	UA-581-DEN-IAD	2011-12-12 8:36 AM	2011-12-12 8:34 AM		2011-12-12 1:52 PM	2011-12-12 1:43 PM	
quicktrip	UA-581-DEN-IAD	2011-12-12 8:36 AM	2011-12-12 8:34 AM		2011-12-12 1:52 PM	2011-12-12 1:43 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-12 8:36 AM	2011-12-12 8:34 AM		2011-12-12 1:52 PM	2011-12-12 1:43 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12	B39	1:52 PM, Dec 12	1:43 PM, Dec 12	C11
panynj	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12	B39	1:52 PM, Dec 12	1:43 PM, Dec 12	C11
gofox	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12		1:52 PM, Dec 12	1:43 PM, Dec 12	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12	B39	1:52 PM, Dec 12	1:43 PM, Dec 12	C11
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12	B39	1:52 PM, Dec 12	1:43 PM, Dec 12	C11
boston	UA-581-DEN-IAD	8:36 AM, Dec 12	8:46 AM, Dec 12		1:52 PM, Dec 12	1:38 PM, Dec 12	
orbitz	UA-581-DEN-IAD	8:47aDec 12	8:45aDec 12	 B39	1:52pDec 12	1:43pDec 12	 -
weather	UA-581-DEN-IAD	2011-12-12 08:36 AM	2011-12-12 08:46 AM		2011-12-12 01:52 PM	2011-12-12 01:37 PM	
den	UA-581-DEN-IAD	2011-12-12 8:36 AM		B39			
iad	UA-581-DEN-IAD				2011-12-12 13:52 	2011-12-12 13:46 	
ifly	UA-581-DEN-IAD	2011-12-12 8:36 AM	2011-12-12 8:34 AM		2011-12-12 1:52 PM	2011-12-12 1:43 PM	
usatoday	UA-581-DEN-IAD	2011-12-12 08:36 AM	2011-12-12 08:46 AM		2011-12-12 01:52 PM	2011-12-12 01:37 PM	
ua	UA-779-BOS-DEN	Mon, Dec 12 2:40 PM	Mon, Dec 12 2:37 PM            On Time	C19	Mon, Dec 12 5:22 PM	Mon, Dec 12 5:17 PM	B49
airtravelcenter	UA-779-BOS-DEN		12/12/11 2:59 PM (-05:00)			12/12/11 5:13 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/12/11 2:59 PM (-05:00)			12/12/11 5:13 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/12/11 2:59 PM (-05:00)			12/12/11 5:13 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/12/11 2:59 PM (-05:00)			12/12/11 5:13 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-12 02:37 PM	C19		2011-12-12 05:17 PM	B49
businesstravellogue	UA-779-BOS-DEN		2011-12-12 02:37 PM	C19		2011-12-12 05:17 PM	B49
flylouisville	UA-779-BOS-DEN		2011-12-12 02:37 PM	C19		2011-12-12 05:17 PM	B49
flightstats	UA-779-BOS-DEN	2011-12-12 2:40 PM	2011-12-12 2:37 PM		2011-12-12 5:22 PM	2011-12-12 5:17 PM	
quicktrip	UA-779-BOS-DEN	2011-12-12 2:40 PM	2011-12-12 2:37 PM		2011-12-12 5:22 PM	2011-12-12 5:17 PM	
flightview	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
panynj	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
gofox	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
foxbusiness	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
allegiantair	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
boston	UA-779-BOS-DEN		2:59 PMDec 12			5:17 PMDec 12	
orbitz	UA-779-BOS-DEN	3:02pDec 12	2:59pDec 12	 -	5:22pDec 12	5:17pDec 12	 -
ua	UA-2708-EWR-CLT	Mon, Dec 12 2:55 PM	Mon, Dec 12 2:55 PM	A37	Mon, Dec 12 4:53 PM	Mon, Dec 12 4:34 PM	C4
airtravelcenter	UA-2708-EWR-CLT		12/12/11 3:05 PM (-05:00)			12/12/11 4:29 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/12/11 3:05 PM (-05:00)			12/12/11 4:29 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/12/11 3:05 PM (-05:00)			12/12/11 4:29 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/12/11 3:05 PM (-05:00)			12/12/11 4:29 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-12 02:48 PM	37		2011-12-12 04:34 PM	C4
businesstravellogue	UA-2708-EWR-CLT		2011-12-12 02:48 PM	37		2011-12-12 04:34 PM	C4
flylouisville	UA-2708-EWR-CLT		2011-12-12 02:48 PM	37		2011-12-12 04:34 PM	C4
flightstats	UA-2708-EWR-CLT	2011-12-12 2:55 PM	2011-12-12 2:48 PM		2011-12-12 4:53 PM	2011-12-12 4:34 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-12 2:55 PM	2011-12-12 2:48 PM		2011-12-12 4:53 PM	2011-12-12 4:34 PM	
flightview	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
panynj	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
gofox	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
foxbusiness	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
allegiantair	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
boston	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
orbitz	UA-2708-EWR-CLT	2:55pDec 12	2:48pDec 12	 A37	4:53pDec 12	4:34pDec 12	 C4
weather	UA-2708-EWR-CLT	2011-12-12 02:55 PM			2011-12-12 04:53 PM		
flightarrival	UA-2708-EWR-CLT		3:05 PMDec 12			4:31 PMDec 12	
CO	CO-53-LAX-IAH	Mon., Dec.12, 2011 2:40 p.m.	Mon., Dec.12, 2011 2:50 p.m.		Mon., Dec.12, 2011 7:48 p.m.	Mon., Dec.12, 2011 7:51 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/12/11 2:40 PM (-08:00)			12/12/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/12/11 2:40 PM (-08:00)			12/12/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/12/11 2:40 PM (-08:00)			12/12/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/12/11 2:40 PM (-08:00)			12/12/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-12 02:50 PM	62		2011-12-12 07:51 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-12 02:50 PM	62		2011-12-12 07:51 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-12 02:50 PM	62		2011-12-12 07:51 PM	43
flightstats	CO-53-LAX-IAH	2011-12-12 2:40 PM	2011-12-12 2:50 PM		2011-12-12 7:48 PM	2011-12-12 7:51 PM	
quicktrip	CO-53-LAX-IAH	2011-12-12 2:40 PM	2011-12-12 2:50 PM		2011-12-12 7:48 PM	2011-12-12 7:51 PM	
flightview	CO-53-LAX-IAH		3:03 PMDec 12			7:51 PMDec 12	
panynj	CO-53-LAX-IAH		3:03 PMDec 12			7:51 PMDec 12	
gofox	CO-53-LAX-IAH		3:03 PMDec 12			7:51 PMDec 12	
foxbusiness	CO-53-LAX-IAH		3:03 PMDec 12			7:51 PMDec 12	
allegiantair	CO-53-LAX-IAH		3:03 PMDec 12			7:51 PMDec 12	
boston	CO-53-LAX-IAH		3:03 PMDec 12			7:45 PMDec 12	
orbitz	CO-53-LAX-IAH	2:40pDec 12	2:50pDec 12	 62	7:48pDec 12	7:51pDec 12	 43
weather	CO-53-LAX-IAH	2011-12-12 02:40 PM			2011-12-12 07:48 PM		
usatoday	CO-53-LAX-IAH	2011-12-12 2:40 PM	2011-12-12 2:50 PM		2011-12-12 7:48 PM	2011-12-12 7:51 PM	
flightarrival	CO-53-LAX-IAH	2011-12-12 02:40 PM			2011-12-12 07:48 PM		
CO	CO-1030-DEN-IAH	Mon., Dec.12, 2011 2:15 p.m.	Mon., Dec.12, 2011 2:17 p.m.		Mon., Dec.12, 2011 5:38 p.m.	Mon., Dec.12, 2011 5:26 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/12/11 2:15 PM (-07:00)			12/12/11 5:38 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/12/11 2:15 PM (-07:00)			12/12/11 5:38 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/12/11 2:15 PM (-07:00)			12/12/11 5:38 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/12/11 2:15 PM (-07:00)			12/12/11 5:38 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-12 02:17 PM	B20		2011-12-12 05:26 PM	45
businesstravellogue	CO-1030-DEN-IAH		2011-12-12 02:17 PM	B20		2011-12-12 05:26 PM	45
flylouisville	CO-1030-DEN-IAH		2011-12-12 02:17 PM	B20		2011-12-12 05:26 PM	45
flightstats	CO-1030-DEN-IAH	2011-12-12 2:15 PM	2011-12-12 2:17 PM		2011-12-12 5:38 PM	2011-12-12 5:26 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-12 2:15 PM	2011-12-12 2:17 PM		2011-12-12 5:38 PM	2011-12-12 5:26 PM	
flightview	CO-1030-DEN-IAH		2:32 PMDec 12			5:26 PMDec 12	
panynj	CO-1030-DEN-IAH		2:32 PMDec 12			5:26 PMDec 12	
gofox	CO-1030-DEN-IAH		2:32 PMDec 12			5:26 PMDec 12	
foxbusiness	CO-1030-DEN-IAH		2:32 PMDec 12			5:26 PMDec 12	
allegiantair	CO-1030-DEN-IAH		2:32 PMDec 12			5:26 PMDec 12	
boston	CO-1030-DEN-IAH		2:32 PMDec 12			5:22 PMDec 12	
orbitz	CO-1030-DEN-IAH	2:15pDec 12	2:17pDec 12	 B20	5:38pDec 12	5:26pDec 12	 45
weather	CO-1030-DEN-IAH	2011-12-12 02:15 PM			2011-12-12 05:38 PM		
den	CO-1030-DEN-IAH	2011-12-12 2:15 PM		B20			
mytripandmore	CO-1030-DEN-IAH	2:15pDec 12	2:17pDec 12	 B20	5:38pDec 12	5:26pDec 12	 45
flightarrival	CO-1030-DEN-IAH	2011-12-12 2:15 PM	2011-12-12 2:17 PM		2011-12-12 5:38 PM	2011-12-12 5:26 PM	
ua	UA-1005-BOS-IAH	Mon, Dec 12 4:19 PM	Mon, Dec 12 4:19 PM	A5	Mon, Dec 12 7:49 PM	Mon, Dec 12 7:39 PM	C-33
flightexplorer	UA-1005-BOS-IAH	12/12/2011 4:19PM EST			12/12/2011 7:49PM CST		
airtravelcenter	UA-1005-BOS-IAH		12/12/11 4:36 PM (-05:00)			12/12/11 7:07 PM (-06:00)	
airtravelcenter	UA-1005-BOS-IAH	12/12/11 4:19 PM (-05:00)			12/12/11 7:49 PM (-06:00)		
myrateplan	UA-1005-BOS-IAH		12/12/11 4:36 PM (-05:00)			12/12/11 7:07 PM (-06:00)	
myrateplan	UA-1005-BOS-IAH	12/12/11 4:19 PM (-05:00)			12/12/11 7:49 PM (-06:00)		
helloflight	UA-1005-BOS-IAH		12/12/11 4:36 PM (-05:00)			12/12/11 7:07 PM (-06:00)	
helloflight	UA-1005-BOS-IAH	12/12/11 4:19 PM (-05:00)			12/12/11 7:49 PM (-06:00)		
flytecomm	UA-1005-BOS-IAH		12/12/11 4:36 PM (-05:00)			12/12/11 7:07 PM (-06:00)	
flytecomm	UA-1005-BOS-IAH	12/12/11 4:19 PM (-05:00)			12/12/11 7:49 PM (-06:00)		
flightaware	UA-1005-BOS-IAH	2011-12-12 04:19PM EST	2011-12-12 04:29PM EST	 A5 	2011-12-12 07:29PM CST	2011-12-12 07:39PM CST	 33 
wunderground	UA-1005-BOS-IAH	2011-12-12 04:19PM EST	2011-12-12 04:29PM EST	 A5 	2011-12-12 07:29PM CST	2011-12-12 07:39PM CST	 33 
flights	UA-1005-BOS-IAH	2011-12-12 04:19 PM		A5	2011-12-12 07:49 PM		33
businesstravellogue	UA-1005-BOS-IAH	2011-12-12 04:19 PM		A5	2011-12-12 07:49 PM		33
flylouisville	UA-1005-BOS-IAH	2011-12-12 04:19 PM		A5	2011-12-12 07:49 PM		33
flightview	UA-1005-BOS-IAH	4:19 PMDec 12			7:49 PMDec 12		
panynj	UA-1005-BOS-IAH	4:19 PMDec 12			7:49 PMDec 12		
gofox	UA-1005-BOS-IAH	4:19 PMDec 12			7:49 PMDec 12		
foxbusiness	UA-1005-BOS-IAH	4:19 PMDec 12			7:49 PMDec 12		
allegiantair	UA-1005-BOS-IAH	4:19 PMDec 12			7:49 PMDec 12		
