aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
mytripandmore	UA-1442-BOS-EWR	Dec 15 - 6:30am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 8:00am	Dec 15 - Contact Airline	Not provided by airline
flightarrival	UA-1442-BOS-EWR		6:49 AMDec 15			7:47 AMDec 15	
ua	UA-479-BWI-LAX	Thu, Dec 15 7:00 AM	Thu, Dec 15 6:52 AM	D13	Thu, Dec 15 9:49 AM	Thu, Dec 15 9:36 AM	87
airtravelcenter	UA-479-BWI-LAX		12/15/11 7:04 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
myrateplan	UA-479-BWI-LAX		12/15/11 7:04 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
helloflight	UA-479-BWI-LAX		12/15/11 7:04 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
flytecomm	UA-479-BWI-LAX		12/15/11 7:04 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
flightaware	UA-479-BWI-LAX	2011-12-15 07:00AM EST	2011-12-15 07:03AM EST	 D13 	2011-12-15 09:31AM PST	2011-12-15 09:26AM PST	 87 
wunderground	UA-479-BWI-LAX	2011-12-15 07:00AM EST	2011-12-15 07:03AM EST	 D13 	2011-12-15 09:31AM PST	2011-12-15 09:26AM PST	 87 
flights	UA-479-BWI-LAX	07:00 AM  Thu 15-Dec-2011		D13	09:49 AM  Thu 15-Dec-2011		87
businesstravellogue	UA-479-BWI-LAX	07:00 AM  Thu 15-Dec-2011		D13	09:49 AM  Thu 15-Dec-2011		87
flylouisville	UA-479-BWI-LAX	07:00 AM  Thu 15-Dec-2011		D13	09:49 AM  Thu 15-Dec-2011		87
world-flight-tracker	UA-479-BWI-LAX	2011-12-15 7:00 AM	2011-12-15 6:52 AM		2011-12-15 9:49 AM	2011-12-15 9:36 AM (Estimated)	
flightview	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15		
panynj	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15		
gofox	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15		
foxbusiness	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15		
allegiantair	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15		
boston	UA-479-BWI-LAX	7:00 AM, Dec 15	7:04 AM, Dec 15		9:49 AM, Dec 15	9:27 AM, Dec 15&nbsp(Estimated)	
travelocity	UA-479-BWI-LAX	Dec 15 - Not Available	Dec 15 - 7:03am	D13	Dec 15 - Not Available	Dec 15 - 9:36am*	87
orbitz	UA-479-BWI-LAX	7:00aDec 15	6:52aDec 15	 D13	9:23aDec 15		 87
weather	UA-479-BWI-LAX	2011-12-15 07:00 AM	2011-12-15 07:04 AM		2011-12-15 09:49 AM	2011-12-15 09:17 AM	
flightwise	UA-479-BWI-LAX	2011-12-15 07:00AM EST	2011-12-15 07:03AM EST	 D13 	2011-12-15 09:31AM PST	2011-12-15 09:26AM PST	 87 
flightarrival	UA-479-BWI-LAX	2011-12-15 07:00 AM	2011-12-15 07:04 AM		2011-12-15 09:49 AM	2011-12-15 09:17 AM	
ua	UA-837-NRT-TPE	Fri, Dec 16 7:10 PM	Fri, Dec 16 7:10 PM            On Time	HOLD	Fri, Dec 16 10:20 PM	Fri, Dec 16 10:20 PM	D8
airtravelcenter	UA-837-NRT-TPE	12/15/11 7:10 PM (+09:00)			12/15/11 10:20 PM (+08:00)		
myrateplan	UA-837-NRT-TPE	12/15/11 7:10 PM (+09:00)			12/15/11 10:20 PM (+08:00)		
helloflight	UA-837-NRT-TPE	12/15/11 7:10 PM (+09:00)			12/15/11 10:20 PM (+08:00)		
flytecomm	UA-837-NRT-TPE	12/15/11 7:10 PM (+09:00)			12/15/11 10:20 PM (+08:00)		
flights	UA-837-NRT-TPE		2011-12-15 06:58 PM	33		2011-12-15 10:22 PM	D6
businesstravellogue	UA-837-NRT-TPE		2011-12-15 06:58 PM	33		2011-12-15 10:22 PM	D6
flylouisville	UA-837-NRT-TPE		2011-12-15 06:58 PM	33		2011-12-15 10:22 PM	D6
flightview	UA-837-NRT-TPE		7:40 PMDec 15			10:30 PMDec 15	
panynj	UA-837-NRT-TPE		7:40 PMDec 15			10:30 PMDec 15	
gofox	UA-837-NRT-TPE		7:40 PMDec 15			10:30 PMDec 15	
foxbusiness	UA-837-NRT-TPE		7:40 PMDec 15			10:30 PMDec 15	
allegiantair	UA-837-NRT-TPE		7:40 PMDec 15			10:30 PMDec 15	
boston	UA-837-NRT-TPE	7:10 PMDec 15			10:20 PMDec 15		
orbitz	UA-837-NRT-TPE	7:10pDec 15		 -	10:20pDec 15		 -
flightarrival	UA-837-NRT-TPE	7:10 PMDec 15			10:20 PMDec 15		
aa	AA-393-DFW-DEN	December 15, 2011               06:55 AM    	December 15, 2011               06:57 AM    	 C14	December 15, 2011               07:55 AM    	December 15, 2011               07:53 AM    	 A49    
flightexplorer	AA-393-DFW-DEN		12/15/2011 7:11AM CST			12/15/2011 7:38AM MST	
airtravelcenter	AA-393-DFW-DEN		12/15/11 7:10 AM (-06:00)			12/15/11 7:38 AM (-07:00)	
myrateplan	AA-393-DFW-DEN		12/15/11 7:10 AM (-06:00)			12/15/11 7:38 AM (-07:00)	
helloflight	AA-393-DFW-DEN		12/15/11 7:10 AM (-06:00)			12/15/11 7:38 AM (-07:00)	
flytecomm	AA-393-DFW-DEN		12/15/11 7:10 AM (-06:00)			12/15/11 7:38 AM (-07:00)	
flightaware	AA-393-DFW-DEN	2011-12-15 06:55AM CST	2011-12-15 07:11AM CST	 C14 	2011-12-15 07:44AM MST	2011-12-15 07:44AM MST	 A49 
wunderground	AA-393-DFW-DEN	2011-12-15 06:55AM CST	2011-12-15 07:11AM CST	 C14 	2011-12-15 07:44AM MST	2011-12-15 07:44AM MST	 A49 
flights	AA-393-DFW-DEN	06:55 AM  Thu 15-Dec-2011	06:57 AM  Thu 15-Dec-2011	C14	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	A49
businesstravellogue	AA-393-DFW-DEN	06:55 AM  Thu 15-Dec-2011	06:57 AM  Thu 15-Dec-2011	C14	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	A49
flylouisville	AA-393-DFW-DEN	06:55 AM  Thu 15-Dec-2011	06:57 AM  Thu 15-Dec-2011	C14	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	A49
flightstats	AA-393-DFW-DEN	2011-12-15 6:55 AM	2011-12-15 6:57 AM		2011-12-15 7:55 AM	2011-12-15 7:53 AM	
quicktrip	AA-393-DFW-DEN	2011-12-15 6:55 AM	2011-12-15 6:57 AM		2011-12-15 7:55 AM	2011-12-15 7:53 AM	
world-flight-tracker	AA-393-DFW-DEN	2011-12-15 6:55 AM	2011-12-15 6:57 AM		2011-12-15 7:55 AM	2011-12-15 7:53 AM	
flightview	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15	C14	7:55 AM, Dec 15	7:49 AM, Dec 15	A49
panynj	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15	C14	7:55 AM, Dec 15	7:49 AM, Dec 15	A49
gofox	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15		7:55 AM, Dec 15	7:49 AM, Dec 15	
foxbusiness	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15	C14	7:55 AM, Dec 15	7:49 AM, Dec 15	A49
allegiantair	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15	C14	7:55 AM, Dec 15	7:49 AM, Dec 15	A49
boston	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15		7:55 AM, Dec 15	7:49 AM, Dec 15	
travelocity	AA-393-DFW-DEN	Dec 15 - 6:55am	Dec 15 - 6:57am	C14/C	Dec 15 - 7:55am	Dec 15 - 7:53am	A49
orbitz	AA-393-DFW-DEN	6:55aDec 15	6:57aDec 15	 C14	7:55aDec 15	7:53aDec 15	 A49
weather	AA-393-DFW-DEN	2011-12-15 06:55 AM	2011-12-15 07:11 AM		2011-12-15 07:55 AM	2011-12-15 07:45 AM	
den	AA-393-DFW-DEN				2011-12-15 7:55 AM		A49
usatoday	AA-393-DFW-DEN	6:55 AM, Dec 15	7:11 AM, Dec 15		7:55 AM, Dec 15	7:49 AM, Dec 15	
mytripandmore	AA-393-DFW-DEN	6:55aDec 15	6:57aDec 15	 C14	7:55aDec 15	7:53aDec 15	 A49
flightwise	AA-393-DFW-DEN	2011-12-15 06:55AM CST	2011-12-15 07:11AM CST	 C14 	2011-12-15 07:44AM MST	2011-12-15 07:44AM MST	 A49 
aa	AA-3514-CLE-MIA	December 15, 2011               06:10 AM    	December 15, 2011               06:09 AM    	 A1	December 15, 2011               09:20 AM    	December 15, 2011               09:02 AM    	 D60L    
flightexplorer	AA-3514-CLE-MIA		12/15/2011 6:19AM EST			12/15/2011 8:53AM EST	
airtravelcenter	AA-3514-CLE-MIA		12/15/11 6:19 AM (-05:00)			12/15/11 8:53 AM (-05:00)	
myrateplan	AA-3514-CLE-MIA		12/15/11 6:19 AM (-05:00)			12/15/11 8:53 AM (-05:00)	
helloflight	AA-3514-CLE-MIA		12/15/11 6:19 AM (-05:00)			12/15/11 8:53 AM (-05:00)	
flytecomm	AA-3514-CLE-MIA		12/15/11 6:19 AM (-05:00)			12/15/11 8:53 AM (-05:00)	
flightaware	AA-3514-CLE-MIA	2011-12-15 06:10AM EST	2011-12-15 06:19AM EST	 A1 	2011-12-15 09:07AM EST	2011-12-15 08:51AM EST	 D60L 
wunderground	AA-3514-CLE-MIA	2011-12-15 06:10AM EST	2011-12-15 06:19AM EST	 A1 	2011-12-15 09:07AM EST	2011-12-15 08:51AM EST	 D60L 
flights	AA-3514-CLE-MIA	06:10 AM  Thu 15-Dec-2011	06:09 AM  Thu 15-Dec-2011	A1	09:20 AM  Thu 15-Dec-2011	09:02 AM  Thu 15-Dec-2011	D60
businesstravellogue	AA-3514-CLE-MIA	06:10 AM  Thu 15-Dec-2011	06:09 AM  Thu 15-Dec-2011	A1	09:20 AM  Thu 15-Dec-2011	09:02 AM  Thu 15-Dec-2011	D60
flylouisville	AA-3514-CLE-MIA	06:10 AM  Thu 15-Dec-2011	06:09 AM  Thu 15-Dec-2011	A1	09:20 AM  Thu 15-Dec-2011	09:02 AM  Thu 15-Dec-2011	D60
flightstats	AA-3514-CLE-MIA	2011-12-15 6:10 AM	2011-12-15 6:09 AM		2011-12-15 9:20 AM	2011-12-15 9:02 AM	
quicktrip	AA-3514-CLE-MIA	2011-12-15 6:10 AM	2011-12-15 6:09 AM		2011-12-15 9:20 AM	2011-12-15 9:02 AM	
world-flight-tracker	AA-3514-CLE-MIA	2011-12-15 6:10 AM	2011-12-15 6:09 AM		2011-12-15 9:20 AM	2011-12-15 9:02 AM	
flightview	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	9:02 AM, Dec 15	
panynj	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	9:02 AM, Dec 15	
gofox	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	9:02 AM, Dec 15	
foxbusiness	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	9:02 AM, Dec 15	
allegiantair	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	9:02 AM, Dec 15	
boston	AA-3514-CLE-MIA	6:10 AM, Dec 15	6:19 AM, Dec 15		9:20 AM, Dec 15	8:52 AM, Dec 15	
travelocity	AA-3514-CLE-MIA	Dec 15 - 6:10am	Dec 15 - 6:09am	A1	Dec 15 - 9:20am	Dec 15 - 9:02am	D60
orbitz	AA-3514-CLE-MIA	6:10aDec 15	6:09aDec 15	 A1	9:20aDec 15	9:02aDec 15	 D60L
weather	AA-3514-CLE-MIA	2011-12-15 06:10 AM			2011-12-15 09:20 AM		
usatoday	AA-3514-CLE-MIA	2011-12-15 06:10 AM			2011-12-15 09:20 AM		
mytripandmore	AA-3514-CLE-MIA	Dec 15 - 6:10am	Dec 15 - 6:09am	A1	Dec 15 - 9:20am	Dec 15 - 9:02am	D60
flightwise	AA-3514-CLE-MIA	2011-12-15 06:10AM EST	2011-12-15 06:19AM EST	 A1 	2011-12-15 09:07AM EST	2011-12-15 08:51AM EST	 D60L 
flightarrival	AA-3514-CLE-MIA	2011-12-15 6:10 AM	2011-12-15 6:09 AM		2011-12-15 9:20 AM	2011-12-15 9:02 AM	
ua	UA-893-BOS-SFO	Thu, Dec 15 6:10 AM	Thu, Dec 15 6:14 AM	C18	Thu, Dec 15 10:02 AM	Thu, Dec 15 9:38 AM	86
flightexplorer	UA-893-BOS-SFO		12/15/2011 6:25AM EST			12/15/2011 9:35AM PST	
airtravelcenter	UA-893-BOS-SFO		12/15/11 6:26 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
myrateplan	UA-893-BOS-SFO		12/15/11 6:26 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
helloflight	UA-893-BOS-SFO		12/15/11 6:26 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
flytecomm	UA-893-BOS-SFO		12/15/11 6:26 AM (-05:00)			12/15/11 9:22 AM (-08:00)	
flights	UA-893-BOS-SFO		2011-12-15 06:14 AM	C18		2011-12-15 09:38 AM	86
businesstravellogue	UA-893-BOS-SFO		2011-12-15 06:14 AM	C18		2011-12-15 09:38 AM	86
flylouisville	UA-893-BOS-SFO		2011-12-15 06:14 AM	C18		2011-12-15 09:38 AM	86
flightstats	UA-893-BOS-SFO	2011-12-15 6:10 AM	2011-12-15 6:14 AM		2011-12-15 10:02 AM	2011-12-15 9:38 AM	
quicktrip	UA-893-BOS-SFO	2011-12-15 6:10 AM	2011-12-15 6:14 AM		2011-12-15 10:02 AM	2011-12-15 9:38 AM	
flightview	UA-893-BOS-SFO		6:26 AMDec 15			9:38 AMDec 15	
panynj	UA-893-BOS-SFO		6:26 AMDec 15			9:38 AMDec 15	
gofox	UA-893-BOS-SFO		6:26 AMDec 15			9:38 AMDec 15	
foxbusiness	UA-893-BOS-SFO		6:26 AMDec 15			9:38 AMDec 15	
allegiantair	UA-893-BOS-SFO		6:26 AMDec 15			9:38 AMDec 15	
boston	UA-893-BOS-SFO		6:26 AMDec 15			9:36 AMDec 15	
travelocity	UA-893-BOS-SFO	Dec 15 - Not Available	Dec 15 - 6:26am	C18	Dec 15 - Not Available	Dec 15 - 9:38am	86
orbitz	UA-893-BOS-SFO	6:22aDec 15	6:26aDec 15	 C18	10:02aDec 15	9:38aDec 15	 86
weather	UA-893-BOS-SFO	2011-12-15 06:10 AM	2011-12-15 06:26 AM		2011-12-15 10:02 AM	2011-12-15 09:26 AM	
sfo	UA-893-BOS-SFO				2011-12-15 10:02 AM		86
usatoday	UA-893-BOS-SFO		6:26 AMDec 15			9:36 AMDec 15	
mytripandmore	UA-893-BOS-SFO	Dec 15 - Not Available	Dec 15 - 6:26am	C18	Dec 15 - Not Available	Dec 15 - 9:38am	86
aa	AA-649-ORD-SNA	December 15, 2011               01:30 PM    	December 15, 2011     	 H11B	December 15, 2011               03:50 PM    	December 15, 2011     	 7    
flightexplorer	AA-649-ORD-SNA	12/15/2011 1:30PM CST			12/15/2011 3:50PM PST		
airtravelcenter	AA-649-ORD-SNA		12/15/11 1:34 PM (-06:00)			12/15/11 3:25 PM (-08:00)	
myrateplan	AA-649-ORD-SNA		12/15/11 1:34 PM (-06:00)			12/15/11 3:25 PM (-08:00)	
helloflight	AA-649-ORD-SNA		12/15/11 1:34 PM (-06:00)			12/15/11 3:25 PM (-08:00)	
flytecomm	AA-649-ORD-SNA		12/15/11 1:34 PM (-06:00)			12/15/11 3:25 PM (-08:00)	
flightaware	AA-649-ORD-SNA	2011-12-15 01:30PM CST	2011-12-15 01:40PM CST	 H11B 	2011-12-15 03:30PM PST	2011-12-15 03:40PM PST	 7 
wunderground	AA-649-ORD-SNA	2011-12-15 01:30PM CST	2011-12-15 01:40PM CST	 H11B 	2011-12-15 03:30PM PST	2011-12-15 03:40PM PST	 7 
flights	AA-649-ORD-SNA	01:30 PM  Thu 15-Dec-2011		H11B	03:50 PM  Thu 15-Dec-2011		7
businesstravellogue	AA-649-ORD-SNA	01:30 PM  Thu 15-Dec-2011		H11B	03:50 PM  Thu 15-Dec-2011		7
flylouisville	AA-649-ORD-SNA	01:30 PM  Thu 15-Dec-2011		H11B	03:50 PM  Thu 15-Dec-2011		7
world-flight-tracker	AA-649-ORD-SNA	2011-12-15 1:30 PM	2011-12-15 1:30 PM (Estimated)		2011-12-15 3:50 PM	2011-12-15 3:50 PM (Estimated)	
flightview	AA-649-ORD-SNA	1:30 PM, Dec 15		H11B	3:50 PM, Dec 15		Terminal A - 7
panynj	AA-649-ORD-SNA	1:30 PM, Dec 15		H11B	3:50 PM, Dec 15		Terminal A - 7
gofox	AA-649-ORD-SNA	1:30 PM, Dec 15			3:50 PM, Dec 15		
foxbusiness	AA-649-ORD-SNA	1:30 PM, Dec 15		H11B	3:50 PM, Dec 15		Terminal A - 7
allegiantair	AA-649-ORD-SNA	1:30 PM, Dec 15		H11B	3:50 PM, Dec 15		Terminal A - 7
boston	AA-649-ORD-SNA	1:30 PM, Dec 15	Not Available		3:50 PM, Dec 15	Not Available	
travelocity	AA-649-ORD-SNA	Dec 15 - 1:30pm	Dec 15 - Not Available	H11B/T3	Dec 15 - 3:50pm	Dec 15 - Not Available	7
orbitz	AA-649-ORD-SNA	1:30pDec 15		 H11B	3:50pDec 15		 7
weather	AA-649-ORD-SNA	2011-12-15 01:30 PM	2011-12-15 01:58 PM		2011-12-15 03:50 PM	2011-12-15 03:59 PM	
usatoday	AA-649-ORD-SNA	2011-12-15 01:30 PM	2011-12-15 01:58 PM		2011-12-15 03:50 PM	2011-12-15 03:59 PM	
mytripandmore	AA-649-ORD-SNA	1:30pDec 15		 H11B	3:50pDec 15		 7
flightwise	AA-649-ORD-SNA	2011-12-15 01:30PM CST	2011-12-15 01:40PM CST	 H11B 	2011-12-15 03:30PM PST	2011-12-15 03:40PM PST	 7 
flightarrival	AA-649-ORD-SNA	2011-12-15 01:30 PM	2011-12-15 01:58 PM		2011-12-15 03:50 PM	2011-12-15 03:59 PM	
CO	CO-91-EWR-LAX	Thu., Dec.15, 2011 6:30 a.m.	Thu., Dec.15, 2011 6:31 a.m.		Thu., Dec.15, 2011 9:49 a.m.	Thu., Dec.15, 2011 9:46 a.m.	
airtravelcenter	CO-91-EWR-LAX	12/15/11 6:30 AM (-05:00)			12/15/11 9:49 AM (-08:00)		
myrateplan	CO-91-EWR-LAX	12/15/11 6:30 AM (-05:00)			12/15/11 9:49 AM (-08:00)		
helloflight	CO-91-EWR-LAX	12/15/11 6:30 AM (-05:00)			12/15/11 9:49 AM (-08:00)		
flytecomm	CO-91-EWR-LAX	12/15/11 6:30 AM (-05:00)			12/15/11 9:49 AM (-08:00)		
flightaware	CO-91-EWR-LAX	2011-12-15 06:30AM EST	2011-12-15 06:52AM EST		2011-12-15 09:39AM PST	2011-12-15 09:37AM PST	
wunderground	CO-91-EWR-LAX	2011-12-15 06:30AM EST	2011-12-15 06:52AM EST		2011-12-15 09:39AM PST	2011-12-15 09:37AM PST	
flights	CO-91-EWR-LAX		2011-12-15 06:31 AM	132		2011-12-15 09:46 AM	
businesstravellogue	CO-91-EWR-LAX		2011-12-15 06:31 AM	132		2011-12-15 09:46 AM	
flylouisville	CO-91-EWR-LAX		2011-12-15 06:31 AM	132		2011-12-15 09:46 AM	
flightstats	CO-91-EWR-LAX	2011-12-15 6:30 AM	2011-12-15 6:31 AM		2011-12-15 9:49 AM	2011-12-15 9:46 AM	
quicktrip	CO-91-EWR-LAX	2011-12-15 6:30 AM	2011-12-15 6:31 AM		2011-12-15 9:49 AM	2011-12-15 9:46 AM	
flightview	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
panynj	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
gofox	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
foxbusiness	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
allegiantair	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
boston	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
orbitz	CO-91-EWR-LAX	6:30aDec 16		 -	9:49aDec 16		 -
usatoday	CO-91-EWR-LAX		6:53 AMDec 15			9:38 AMDec 15	
ua	UA-1442-EWR-LIR	Thu, Dec 15 8:50 AM	Thu, Dec 15 8:49 AM            On Time	C90	Thu, Dec 15 1:30 PM	Thu, Dec 15 12:59 PM	--
airtravelcenter	UA-1442-EWR-LIR		12/15/11 9:16 AM (-05:00)			12/15/11 12:49 PM (-06:00)	
myrateplan	UA-1442-EWR-LIR		12/15/11 9:16 AM (-05:00)			12/15/11 12:49 PM (-06:00)	
helloflight	UA-1442-EWR-LIR		12/15/11 9:16 AM (-05:00)			12/15/11 12:49 PM (-06:00)	
flytecomm	UA-1442-EWR-LIR		12/15/11 9:16 AM (-05:00)			12/15/11 12:49 PM (-06:00)	
flights	UA-1442-EWR-LIR		2011-12-15 08:49 AM	90		2011-12-15 01:30 PM	HOLD
businesstravellogue	UA-1442-EWR-LIR		2011-12-15 08:49 AM	90		2011-12-15 01:30 PM	HOLD
flylouisville	UA-1442-EWR-LIR		2011-12-15 08:49 AM	90		2011-12-15 01:30 PM	HOLD
flightview	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
panynj	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
gofox	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
foxbusiness	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
allegiantair	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
boston	UA-1442-EWR-LIR		9:16 AMDec 15			12:59 PMDec 15	
orbitz	UA-1442-EWR-LIR	8:50aDec 15	8:49aDec 15	 C90	12:28pDec 15		 -
aa	AA-645-DFW-MIA	December 15, 2011               05:45 AM    	December 15, 2011               05:57 AM    	 A19	December 15, 2011               09:20 AM    	December 15, 2011               09:43 AM    	 D2    
airtravelcenter	AA-645-DFW-MIA		12/15/11 6:11 AM (-06:00)			12/15/11 9:31 AM (-05:00)	
myrateplan	AA-645-DFW-MIA		12/15/11 6:11 AM (-06:00)			12/15/11 9:31 AM (-05:00)	
helloflight	AA-645-DFW-MIA		12/15/11 6:11 AM (-06:00)			12/15/11 9:31 AM (-05:00)	
flytecomm	AA-645-DFW-MIA		12/15/11 6:11 AM (-06:00)			12/15/11 9:31 AM (-05:00)	
flights	AA-645-DFW-MIA		2011-12-15 05:57 AM	A19		2011-12-15 09:43 AM	D2
businesstravellogue	AA-645-DFW-MIA		2011-12-15 05:57 AM	A19		2011-12-15 09:43 AM	D2
flylouisville	AA-645-DFW-MIA		2011-12-15 05:57 AM	A19		2011-12-15 09:43 AM	D2
flightview	AA-645-DFW-MIA		6:13 AMDec 15			9:43 AMDec 15	
