aa	AA-1007-TPA-MIA	12/05/2011 01:55 PM	12/05/2011 02:11 PM	F78	12/05/2011 03:00 PM	12/05/2011 03:01 PM	D5
airtravelcenter	CO-4461-EWR-CVG	12/5/11 1:55 PM (-05:00)			12/5/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/5/11 1:55 PM (-05:00)			12/5/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/5/11 1:55 PM (-05:00)			12/5/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/5/11 1:55 PM (-05:00)			12/5/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-05 01:53 PM	23A		2011-12-05 04:25 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-05 01:53 PM	23A		2011-12-05 04:25 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-05 01:53 PM	23A		2011-12-05 04:25 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-05 1:55 PM	2011-12-05 1:53 PM		2011-12-05 4:00 PM	2011-12-05 4:25 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-05 1:55 PM	2011-12-05 1:53 PM		2011-12-05 4:00 PM	2011-12-05 4:25 PM	
flightview	CO-4461-EWR-CVG		2:23 PMDec 05			4:25 PMDec 05	
panynj	CO-4461-EWR-CVG		2:23 PMDec 05			4:25 PMDec 05	
gofox	CO-4461-EWR-CVG		2:23 PMDec 05			4:25 PMDec 05	
foxbusiness	CO-4461-EWR-CVG		2:23 PMDec 05			4:25 PMDec 05	
allegiantair	CO-4461-EWR-CVG		2:23 PMDec 05			4:25 PMDec 05	
boston	CO-4461-EWR-CVG		2:23 PMDec 05			4:23 PMDec 05	
orbitz	CO-4461-EWR-CVG	1:55pDec 5	1:53pDec 5	 -	4:00pDec 5	4:25pDec 5	 -
orbitz	CO-4461-EWR-CVG	1:55pDec 5	1:53pDec 5	 A23A	4:00pDec 5	4:25pDec 5	 2
weather	CO-4461-EWR-CVG	2011-12-05 01:55 PM			2011-12-05 04:00 PM		
usatoday	CO-4461-EWR-CVG	2011-12-05 01:55 PM			2011-12-05 04:00 PM		
mytripandmore	CO-4461-EWR-CVG	1:55pDec 5	1:53pDec 5	 A23A	4:00pDec 5	4:25pDec 5	 2
flightarrival	CO-4461-EWR-CVG		2:23 PMDec 05			4:23 PMDec 05	
ua	UA-581-DEN-IAD	Mon, Dec 5 8:36 AM	Mon, Dec 5 8:34 AM	B41	Mon, Dec 5 1:52 PM	Mon, Dec 5 1:43 PM	C11
flightexplorer	UA-581-DEN-IAD		12/5/2011 8:45AM MST			12/5/2011 1:31PM EST	
airtravelcenter	UA-581-DEN-IAD		12/5/11 8:47 AM (-07:00)			12/5/11 1:31 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/5/11 8:47 AM (-07:00)			12/5/11 1:31 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/5/11 8:47 AM (-07:00)			12/5/11 1:31 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/5/11 8:47 AM (-07:00)			12/5/11 1:31 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-05 08:36AM MST	2011-12-05 08:47AM MST	 B41 	2011-12-05 01:33PM EST	2011-12-05 01:39PM EST	 C11 
wunderground	UA-581-DEN-IAD	2011-12-05 08:36AM MST	2011-12-05 08:47AM MST	 B41 	2011-12-05 01:33PM EST	2011-12-05 01:39PM EST	 C11 
flights	UA-581-DEN-IAD	08:36 AM  Mon 05-Dec-2011	08:34 AM  Mon 05-Dec-2011	B41	01:52 PM  Mon 05-Dec-2011	01:43 PM  Mon 05-Dec-2011	C11
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Mon 05-Dec-2011	08:34 AM  Mon 05-Dec-2011	B41	01:52 PM  Mon 05-Dec-2011	01:43 PM  Mon 05-Dec-2011	C11
flylouisville	UA-581-DEN-IAD	08:36 AM  Mon 05-Dec-2011	08:34 AM  Mon 05-Dec-2011	B41	01:52 PM  Mon 05-Dec-2011	01:43 PM  Mon 05-Dec-2011	C11
flightstats	UA-581-DEN-IAD	2011-12-05 8:36 AM	2011-12-05 8:34 AM		2011-12-05 1:52 PM	2011-12-05 1:43 PM	
quicktrip	UA-581-DEN-IAD	2011-12-05 8:36 AM	2011-12-05 8:34 AM		2011-12-05 1:52 PM	2011-12-05 1:43 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-05 8:36 AM	2011-12-05 8:34 AM		2011-12-05 1:52 PM	2011-12-05 1:43 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05	B41	1:52 PM, Dec 05	1:43 PM, Dec 05	C11
panynj	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05	B41	1:52 PM, Dec 05	1:43 PM, Dec 05	C11
gofox	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05		1:52 PM, Dec 05	1:43 PM, Dec 05	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05	B41	1:52 PM, Dec 05	1:43 PM, Dec 05	C11
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05	B41	1:52 PM, Dec 05	1:43 PM, Dec 05	C11
boston	UA-581-DEN-IAD	8:36 AM, Dec 05	8:47 AM, Dec 05		1:52 PM, Dec 05	1:43 PM, Dec 05	
travelocity	UA-581-DEN-IAD	Dec 05 - Not Available	Dec 05 - 8:46am	B41	Dec 05 - Not Available	Dec 05 - 1:43pm	C11
orbitz	UA-581-DEN-IAD	8:48aDec 5	8:46aDec 5	 B41	1:52pDec 5	1:43pDec 5	 -
weather	UA-581-DEN-IAD	2011-12-05 08:36 AM	2011-12-05 08:47 AM		2011-12-05 01:52 PM	2011-12-05 01:44 PM	
den	UA-581-DEN-IAD	2011-12-05 8:36 AM		B41			
iad	UA-581-DEN-IAD				2011-12-05 13:52 	2011-12-05 13:44 	
ifly	UA-581-DEN-IAD	2011-12-05 8:36 AM	2011-12-05 8:34 AM		2011-12-05 1:52 PM	2011-12-05 1:43 PM	
ua	UA-779-BOS-DEN	Mon, Dec 5 2:40 PM	Mon, Dec 5 2:36 PM            On Time	C17	Mon, Dec 5 5:22 PM	Mon, Dec 5 4:58 PM	B36
airtravelcenter	UA-779-BOS-DEN		12/5/11 2:46 PM (-05:00)			12/5/11 4:57 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/5/11 2:46 PM (-05:00)			12/5/11 4:57 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/5/11 2:46 PM (-05:00)			12/5/11 4:57 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/5/11 2:46 PM (-05:00)			12/5/11 4:57 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-05 02:36 PM	C17		2011-12-05 04:58 PM	B36
businesstravellogue	UA-779-BOS-DEN		2011-12-05 02:36 PM	C17		2011-12-05 04:58 PM	B36
flylouisville	UA-779-BOS-DEN		2011-12-05 02:36 PM	C17		2011-12-05 04:58 PM	B36
flightstats	UA-779-BOS-DEN	2011-12-05 2:40 PM	2011-12-05 2:36 PM		2011-12-05 5:22 PM	2011-12-05 4:58 PM	
quicktrip	UA-779-BOS-DEN	2011-12-05 2:40 PM	2011-12-05 2:36 PM		2011-12-05 5:22 PM	2011-12-05 4:58 PM	
flightview	UA-779-BOS-DEN		2:46 PMDec 05			4:58 PMDec 05	
panynj	UA-779-BOS-DEN		2:46 PMDec 05			4:58 PMDec 05	
gofox	UA-779-BOS-DEN		2:46 PMDec 05			4:58 PMDec 05	
foxbusiness	UA-779-BOS-DEN		2:46 PMDec 05			4:58 PMDec 05	
allegiantair	UA-779-BOS-DEN		2:46 PMDec 05			4:58 PMDec 05	
boston	UA-779-BOS-DEN		2:46 PMDec 05			4:57 PMDec 05	
orbitz	UA-779-BOS-DEN	2:40pDec 5	2:36pDec 5	 C17	5:22pDec 5	4:58pDec 5	 B36
usatoday	UA-779-BOS-DEN		2:46 PMDec 05			4:57 PMDec 05	
ua	UA-1411-EWR-BQN	Mon, Dec 5 8:25 PM	Mon, Dec 5 8:41 PM	C92	Tue, Dec 6 1:10 AM	Tue, Dec 6 1:10 AM	--
flights	UA-1411-EWR-BQN	08:25 PM  Mon 05-Dec-2011			01:10 AM  Tue 06-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Mon 05-Dec-2011			01:10 AM  Tue 06-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Mon 05-Dec-2011			01:10 AM  Tue 06-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06	1:02 AM, Dec 06&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 05 - 8:25pm	Dec 05 - Contact Airline	Not provided by airline	Dec 06 - 1:10am	Dec 06 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 5	8:41pDec 5	 C92	1:02aDec 6		 -
flightarrival	UA-1411-EWR-BQN	8:25 PM, Dec 05	8:53 PM, Dec 05		1:10 AM, Dec 06	1:02 AM, Dec 06&nbsp(Estimated)	
ua	UA-2708-EWR-CLT	Mon, Dec 5 2:55 PM	Mon, Dec 5 2:55 PM	A37	Mon, Dec 5 4:53 PM	Mon, Dec 5 4:36 PM	B12
airtravelcenter	UA-2708-EWR-CLT		12/5/11 3:03 PM (-05:00)			12/5/11 4:31 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/5/11 3:03 PM (-05:00)			12/5/11 4:31 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/5/11 3:03 PM (-05:00)			12/5/11 4:31 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/5/11 3:03 PM (-05:00)			12/5/11 4:31 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-05 02:52 PM	37		2011-12-05 04:36 PM	B12
businesstravellogue	UA-2708-EWR-CLT		2011-12-05 02:52 PM	37		2011-12-05 04:36 PM	B12
flylouisville	UA-2708-EWR-CLT		2011-12-05 02:52 PM	37		2011-12-05 04:36 PM	B12
flightstats	UA-2708-EWR-CLT	2011-12-05 2:55 PM	2011-12-05 2:52 PM		2011-12-05 4:53 PM	2011-12-05 4:36 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-05 2:55 PM	2011-12-05 2:52 PM		2011-12-05 4:53 PM	2011-12-05 4:36 PM	
flightview	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
panynj	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
gofox	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
foxbusiness	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
allegiantair	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
boston	UA-2708-EWR-CLT		3:04 PMDec 05			4:29 PMDec 05	
travelocity	UA-2708-EWR-CLT	Dec 05 - 2:55pm	Dec 05 - Contact Airline	Not provided by airline	Dec 05 - 4:53pm	Dec 05 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 5	2:52pDec 5	 -	4:53pDec 5	4:36pDec 5	 -
weather	UA-2708-EWR-CLT	2011-12-05 02:55 PM			2011-12-05 04:53 PM		
usatoday	UA-2708-EWR-CLT	2011-12-05 2:55 PM	2011-12-05 2:52 PM		2011-12-05 4:53 PM	2011-12-05 4:36 PM	
CO	CO-53-LAX-IAH	Mon., Dec.05, 2011 2:40 p.m.	Mon., Dec.05, 2011 2:48 p.m.		Mon., Dec.05, 2011 7:48 p.m.	Mon., Dec.05, 2011 7:53 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/5/11 2:40 PM (-08:00)			12/5/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/5/11 2:40 PM (-08:00)			12/5/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/5/11 2:40 PM (-08:00)			12/5/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/5/11 2:40 PM (-08:00)			12/5/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-05 02:48 PM	62		2011-12-05 07:53 PM	8
businesstravellogue	CO-53-LAX-IAH		2011-12-05 02:48 PM	62		2011-12-05 07:53 PM	8
flylouisville	CO-53-LAX-IAH		2011-12-05 02:48 PM	62		2011-12-05 07:53 PM	8
flightstats	CO-53-LAX-IAH	2011-12-05 2:40 PM	2011-12-05 2:48 PM		2011-12-05 7:48 PM	2011-12-05 7:53 PM	
quicktrip	CO-53-LAX-IAH	2011-12-05 2:40 PM	2011-12-05 2:48 PM		2011-12-05 7:48 PM	2011-12-05 7:53 PM	
flightview	CO-53-LAX-IAH		3:00 PMDec 05			7:53 PMDec 05	
panynj	CO-53-LAX-IAH		3:00 PMDec 05			7:53 PMDec 05	
gofox	CO-53-LAX-IAH		3:00 PMDec 05			7:53 PMDec 05	
foxbusiness	CO-53-LAX-IAH		3:00 PMDec 05			7:53 PMDec 05	
allegiantair	CO-53-LAX-IAH		3:00 PMDec 05			7:53 PMDec 05	
boston	CO-53-LAX-IAH		3:00 PMDec 05			7:44 PMDec 05	
orbitz	CO-53-LAX-IAH	2:40pDec 5	2:48pDec 5	 62	7:48pDec 5	7:53pDec 5	 E8
weather	CO-53-LAX-IAH	2011-12-05 02:40 PM			2011-12-05 07:48 PM		
CO	CO-1030-DEN-IAH	Mon., Dec.05, 2011 2:15 p.m.	Mon., Dec.05, 2011 2:22 p.m.		Mon., Dec.05, 2011 5:38 p.m.	Mon., Dec.05, 2011 5:37 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/5/11 2:15 PM (-07:00)			12/5/11 5:38 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/5/11 2:15 PM (-07:00)			12/5/11 5:38 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/5/11 2:15 PM (-07:00)			12/5/11 5:38 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/5/11 2:15 PM (-07:00)			12/5/11 5:38 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-05 02:22 PM	B18		2011-12-05 05:37 PM	19
businesstravellogue	CO-1030-DEN-IAH		2011-12-05 02:22 PM	B18		2011-12-05 05:37 PM	19
flylouisville	CO-1030-DEN-IAH		2011-12-05 02:22 PM	B18		2011-12-05 05:37 PM	19
flightstats	CO-1030-DEN-IAH	2011-12-05 2:15 PM	2011-12-05 2:22 PM		2011-12-05 5:38 PM	2011-12-05 5:37 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-05 2:15 PM	2011-12-05 2:22 PM		2011-12-05 5:38 PM	2011-12-05 5:37 PM	
flightview	CO-1030-DEN-IAH		2:33 PMDec 05			5:37 PMDec 05	
panynj	CO-1030-DEN-IAH		2:33 PMDec 05			5:37 PMDec 05	
gofox	CO-1030-DEN-IAH		2:33 PMDec 05			5:37 PMDec 05	
foxbusiness	CO-1030-DEN-IAH		2:33 PMDec 05			5:37 PMDec 05	
allegiantair	CO-1030-DEN-IAH		2:33 PMDec 05			5:37 PMDec 05	
boston	CO-1030-DEN-IAH		2:33 PMDec 05			5:33 PMDec 05	
orbitz	CO-1030-DEN-IAH	2:15pDec 5	2:22pDec 5	 B18	5:38pDec 5	5:37pDec 5	 19
weather	CO-1030-DEN-IAH	2011-12-05 02:15 PM			2011-12-05 05:38 PM		
den	CO-1030-DEN-IAH	2011-12-05 2:15 PM		B18			
usatoday	CO-1030-DEN-IAH		2:33 PMDec 05			5:33 PMDec 05	
mytripandmore	CO-1030-DEN-IAH	2:15pDec 5	2:22pDec 5	 B18	5:38pDec 5	5:37pDec 5	 19
ua	UA-1005-BOS-IAH	Mon, Dec 5 4:19 PM	Mon, Dec 5 4:19 PM	A7	Mon, Dec 5 7:49 PM	Mon, Dec 5 7:41 PM	E23
flightexplorer	UA-1005-BOS-IAH	12/5/2011 4:19PM EST			12/5/2011 7:49PM CST		
airtravelcenter	UA-1005-BOS-IAH		12/5/11 4:29 PM (-05:00)			12/5/11 7:14 PM (-06:00)	
airtravelcenter	UA-1005-BOS-IAH	12/5/11 4:19 PM (-05:00)			12/5/11 7:49 PM (-06:00)		
myrateplan	UA-1005-BOS-IAH		12/5/11 4:29 PM (-05:00)			12/5/11 7:14 PM (-06:00)	
myrateplan	UA-1005-BOS-IAH	12/5/11 4:19 PM (-05:00)			12/5/11 7:49 PM (-06:00)		
helloflight	UA-1005-BOS-IAH		12/5/11 4:29 PM (-05:00)			12/5/11 7:14 PM (-06:00)	
helloflight	UA-1005-BOS-IAH	12/5/11 4:19 PM (-05:00)			12/5/11 7:49 PM (-06:00)		
flytecomm	UA-1005-BOS-IAH		12/5/11 4:29 PM (-05:00)			12/5/11 7:14 PM (-06:00)	
flytecomm	UA-1005-BOS-IAH	12/5/11 4:19 PM (-05:00)			12/5/11 7:49 PM (-06:00)		
flights	UA-1005-BOS-IAH	2011-12-05 04:19 PM		A7	2011-12-05 07:49 PM		23
businesstravellogue	UA-1005-BOS-IAH	2011-12-05 04:19 PM		A7	2011-12-05 07:49 PM		23
flylouisville	UA-1005-BOS-IAH	2011-12-05 04:19 PM		A7	2011-12-05 07:49 PM		23
flightview	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
panynj	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
gofox	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
foxbusiness	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
allegiantair	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
boston	UA-1005-BOS-IAH	4:19 PMDec 05			7:49 PMDec 05		
travelocity	UA-1005-BOS-IAH	Dec 05 - 4:19pm	Dec 05 - Contact Airline	Not provided by airline	Dec 05 - 7:49pm	Dec 05 - Contact Airline	Not provided by airline
orbitz	UA-1005-BOS-IAH	4:19pDec 5		 A7	7:49pDec 5		 E23
weather	UA-1005-BOS-IAH	2011-12-05 04:19 PM			2011-12-05 07:49 PM		
usatoday	UA-1005-BOS-IAH	2011-12-05 04:19 PM			2011-12-05 07:49 PM		
aa	AA-185-JFK-LAX	12/05/2011 09:00 PM		42	12/06/2011 12:23 AM		47B
flightexplorer	AA-185-JFK-LAX	12/5/2011 9:00PM EST			12/6/2011 12:23AM PST		
airtravelcenter	AA-185-JFK-LAX		12/5/11 9:10 PM (-05:00)			12/5/11 11:59 PM (-08:00)	
myrateplan	AA-185-JFK-LAX		12/5/11 9:10 PM (-05:00)			12/5/11 11:59 PM (-08:00)	
helloflight	AA-185-JFK-LAX		12/5/11 9:10 PM (-05:00)			12/5/11 11:59 PM (-08:00)	
flytecomm	AA-185-JFK-LAX		12/5/11 9:10 PM (-05:00)			12/5/11 11:59 PM (-08:00)	
flightaware	AA-185-JFK-LAX	2011-12-05 09:00PM EST	2011-12-05 09:04PM EST	 38 	2011-12-05 11:48PM PST	2011-12-05 11:43PM PST	 47B 
wunderground	AA-185-JFK-LAX	2011-12-05 09:00PM EST	2011-12-05 09:04PM EST	 38 	2011-12-05 11:48PM PST	2011-12-05 11:43PM PST	 47B 
flights	AA-185-JFK-LAX	09:00 PM  Mon 05-Dec-2011		C42	12:23 AM  Tue 06-Dec-2011		47B
businesstravellogue	AA-185-JFK-LAX	09:00 PM  Mon 05-Dec-2011		C42	12:23 AM  Tue 06-Dec-2011		47B
flylouisville	AA-185-JFK-LAX	09:00 PM  Mon 05-Dec-2011		C42	12:23 AM  Tue 06-Dec-2011		47B
flightstats	AA-185-JFK-LAX	2011-12-05 9:00 PM	2011-12-05 9:10 PM (Estimated runway)		2011-12-05 12:23 AM	2011-12-05 11:59 PM (Estimated runway)	
quicktrip	AA-185-JFK-LAX	2011-12-05 9:00 PM	2011-12-05 9:10 PM (Estimated runway)		2011-12-05 12:23 AM	2011-12-05 11:59 PM (Estimated runway)	
