CO	CO-4237-EWR-DTW	Sat., Dec.24, 2011 12:33 p.m.	Sat., Dec.24, 2011 12:40 p.m.		Sat., Dec.24, 2011 2:38 p.m.	Sat., Dec.24, 2011 2:33 p.m.	
orbitz	UA-2706-EWR-CLT	6:29pDec 24	6:21pDec 24	 -	8:33pDec 24	8:08pDec 24	 -
weather	UA-2706-EWR-CLT	2011-12-24 06:29 PM			2011-12-24 08:33 PM		
usatoday	UA-2706-EWR-CLT	2011-12-24 6:29 PM	2011-12-24 6:21 PM		2011-12-24 8:33 PM	2011-12-24 8:08 PM	
mytripandmore	UA-2706-EWR-CLT	6:29pDec 24	6:21pDec 24	 -	8:33pDec 24	8:08pDec 24	 -
flightwise	UA-2706-EWR-CLT	2011-12-24 06:29PM EST	2011-12-24 06:34PM EST		2011-12-24 08:23PM EST	2011-12-24 07:53PM EST	
flightarrival	UA-2706-EWR-CLT	2011-12-24 06:29 PM			2011-12-24 08:33 PM		
CO	CO-1240-IAH-SFO	Sat., Dec.24, 2011 4:10 p.m.	Sat., Dec.24, 2011 4:10 p.m.		Sat., Dec.24, 2011 6:44 p.m.	Sat., Dec.24, 2011 5:57 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/24/2011 4:10PM CST			12/24/2011 6:44PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/24/11 4:10 PM (-06:00)			12/24/11 6:44 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/24/11 4:10 PM (-06:00)			12/24/11 6:44 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/24/11 4:10 PM (-06:00)			12/24/11 6:44 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/24/11 4:10 PM (-06:00)			12/24/11 6:44 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-24 04:10 PM		35	2011-12-24 06:44 PM		90
businesstravellogue	CO-1240-IAH-SFO	2011-12-24 04:10 PM		35	2011-12-24 06:44 PM		90
flylouisville	CO-1240-IAH-SFO	2011-12-24 04:10 PM		35	2011-12-24 06:44 PM		90
flightstats	CO-1240-IAH-SFO	2011-12-24 4:10 PM	2011-12-24 4:10 PM (Estimated)		2011-12-24 6:44 PM	2011-12-24 5:57 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-24 4:10 PM	2011-12-24 4:10 PM (Estimated)		2011-12-24 6:44 PM	2011-12-24 5:57 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 24			5:57 PMDec 24		
panynj	CO-1240-IAH-SFO	4:10 PMDec 24			5:57 PMDec 24		
gofox	CO-1240-IAH-SFO	4:10 PMDec 24			5:57 PMDec 24		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 24			5:57 PMDec 24		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 24			5:57 PMDec 24		
boston	CO-1240-IAH-SFO	4:10 PMDec 24			6:44 PMDec 24		
orbitz	CO-1240-IAH-SFO	4:10pDec 24		 35	5:10pDec 24		 90
usatoday	CO-1240-IAH-SFO	4:10 PMDec 24			6:44 PMDec 24		
ua	UA-2708-EWR-CLT	Sat, Dec 24 2:55 PM	Sat, Dec 24 2:55 PM	A37	Sat, Dec 24 4:53 PM	Sat, Dec 24 4:44 PM	B4
airtravelcenter	UA-2708-EWR-CLT	12/24/11 2:55 PM (-05:00)			12/24/11 4:53 PM (-05:00)		
myrateplan	UA-2708-EWR-CLT	12/24/11 2:55 PM (-05:00)			12/24/11 4:53 PM (-05:00)		
helloflight	UA-2708-EWR-CLT	12/24/11 2:55 PM (-05:00)			12/24/11 4:53 PM (-05:00)		
flytecomm	UA-2708-EWR-CLT	12/24/11 2:55 PM (-05:00)			12/24/11 4:53 PM (-05:00)		
flights	UA-2708-EWR-CLT		2011-12-24 02:51 PM	37		2011-12-24 04:44 PM	B4
businesstravellogue	UA-2708-EWR-CLT		2011-12-24 02:51 PM	37		2011-12-24 04:44 PM	B4
flylouisville	UA-2708-EWR-CLT		2011-12-24 02:51 PM	37		2011-12-24 04:44 PM	B4
flightstats	UA-2708-EWR-CLT	2011-12-24 2:55 PM	2011-12-24 2:51 PM		2011-12-24 4:53 PM	2011-12-24 4:44 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-24 2:55 PM	2011-12-24 2:51 PM		2011-12-24 4:53 PM	2011-12-24 4:44 PM	
flightview	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
panynj	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
gofox	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
foxbusiness	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
allegiantair	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
boston	UA-2708-EWR-CLT		3:04 PMDec 24			4:36 PMDec 24	
travelocity	UA-2708-EWR-CLT	Dec 24 - 2:55pm	Dec 24 - Contact Airline	Not provided by airline	Dec 24 - 4:53pm	Dec 24 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 24	2:51pDec 24	 -	4:53pDec 24	4:44pDec 24	 -
weather	UA-2708-EWR-CLT	2011-12-24 02:55 PM			2011-12-24 04:53 PM		
ua	UA-5860-ORD-OMA	Sat, Dec 24 7:22 AM	Sat, Dec 24 8:58 AM	F9	Sat, Dec 24 8:54 AM	Sat, Dec 24 10:20 AM	B13
airtravelcenter	UA-5860-ORD-OMA	12/24/11 7:22 AM (-06:00)			12/24/11 8:54 AM (-06:00)		
myrateplan	UA-5860-ORD-OMA	12/24/11 7:22 AM (-06:00)			12/24/11 8:54 AM (-06:00)		
helloflight	UA-5860-ORD-OMA	12/24/11 7:22 AM (-06:00)			12/24/11 8:54 AM (-06:00)		
flytecomm	UA-5860-ORD-OMA	12/24/11 7:22 AM (-06:00)			12/24/11 8:54 AM (-06:00)		
flights	UA-5860-ORD-OMA	07:22 AM  Sat 24-Dec-2011	08:58 AM  Sat 24-Dec-2011	F9	08:54 AM  Sat 24-Dec-2011	10:20 AM  Sat 24-Dec-2011	B13
businesstravellogue	UA-5860-ORD-OMA	07:22 AM  Sat 24-Dec-2011	08:58 AM  Sat 24-Dec-2011	F9	08:54 AM  Sat 24-Dec-2011	10:20 AM  Sat 24-Dec-2011	B13
flylouisville	UA-5860-ORD-OMA	07:22 AM  Sat 24-Dec-2011	08:58 AM  Sat 24-Dec-2011	F9	08:54 AM  Sat 24-Dec-2011	10:20 AM  Sat 24-Dec-2011	B13
world-flight-tracker	UA-5860-ORD-OMA	2011-12-24 7:22 AM	2011-12-24 8:58 AM		2011-12-24 8:54 AM	2011-12-24 10:20 AM	
flightview	UA-5860-ORD-OMA	7:22 AM, Dec 24	9:13 AM, Dec 24	F9	8:54 AM, Dec 24	10:20 AM, Dec 24	B13
panynj	UA-5860-ORD-OMA	7:22 AM, Dec 24	9:13 AM, Dec 24	F9	8:54 AM, Dec 24	10:20 AM, Dec 24	B13
gofox	UA-5860-ORD-OMA	7:22 AM, Dec 24	9:13 AM, Dec 24		8:54 AM, Dec 24	10:20 AM, Dec 24	
foxbusiness	UA-5860-ORD-OMA	7:22 AM, Dec 24	9:13 AM, Dec 24	F9	8:54 AM, Dec 24	10:20 AM, Dec 24	B13
allegiantair	UA-5860-ORD-OMA	7:22 AM, Dec 24	9:13 AM, Dec 24	F9	8:54 AM, Dec 24	10:20 AM, Dec 24	B13
travelocity	UA-5860-ORD-OMA	Dec 24 - Not Available	Dec 24 - 9:13am	F9	Dec 24 - Not Available	Dec 24 - 10:20am	B13
orbitz	UA-5860-ORD-OMA	7:22aDec 24	8:58aDec 24	 F9	8:54aDec 24	10:20aDec 24	 B13
weather	UA-5860-ORD-OMA	2011-12-24 07:22 AM			2011-12-24 08:54 AM		
mytripandmore	UA-5860-ORD-OMA	7:22aDec 24	8:58aDec 24	 F9	8:54aDec 24	10:20aDec 24	 B13
CO	CO-53-LAX-IAH	Sat., Dec.24, 2011 2:50 p.m.	Sat., Dec.24, 2011 3:22 p.m.		Sat., Dec.24, 2011 8:01 p.m.	Sat., Dec.24, 2011 8:31 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/24/11 2:50 PM (-08:00)			12/24/11 8:01 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/24/11 2:50 PM (-08:00)			12/24/11 8:01 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/24/11 2:50 PM (-08:00)			12/24/11 8:01 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/24/11 2:50 PM (-08:00)			12/24/11 8:01 PM (-06:00)		
flightaware	CO-53-LAX-IAH	2011-12-24 02:50PM PST	2011-12-24 03:35PM PST	 69A 	2011-12-24 07:57PM CST	2011-12-24 08:23PM CST	 37 
wunderground	CO-53-LAX-IAH	2011-12-24 02:50PM PST	2011-12-24 03:35PM PST	 69A 	2011-12-24 07:57PM CST	2011-12-24 08:23PM CST	 37 
flights	CO-53-LAX-IAH	02:50 PM  Sat 24-Dec-2011	03:22 PM  Sat 24-Dec-2011	69A	08:01 PM  Sat 24-Dec-2011	08:31 PM  Sat 24-Dec-2011	37
businesstravellogue	CO-53-LAX-IAH	02:50 PM  Sat 24-Dec-2011	03:22 PM  Sat 24-Dec-2011	69A	08:01 PM  Sat 24-Dec-2011	08:31 PM  Sat 24-Dec-2011	37
flylouisville	CO-53-LAX-IAH	02:50 PM  Sat 24-Dec-2011	03:22 PM  Sat 24-Dec-2011	69A	08:01 PM  Sat 24-Dec-2011	08:31 PM  Sat 24-Dec-2011	37
flightstats	CO-53-LAX-IAH	2011-12-24 2:50 PM	2011-12-24 3:22 PM		2011-12-24 8:01 PM	2011-12-24 8:31 PM	
quicktrip	CO-53-LAX-IAH	2011-12-24 2:50 PM	2011-12-24 3:22 PM		2011-12-24 8:01 PM	2011-12-24 8:31 PM	
world-flight-tracker	CO-53-LAX-IAH	2011-12-24 2:50 PM	2011-12-24 3:22 PM		2011-12-24 8:01 PM	2011-12-24 8:31 PM	
flightview	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24	Term 6 - 69A	8:01 PM, Dec 24	8:31 PM, Dec 24	Term C - C37
panynj	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24	Term 6 - 69A	8:01 PM, Dec 24	8:31 PM, Dec 24	Term C - C37
gofox	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24		8:01 PM, Dec 24	8:31 PM, Dec 24	
foxbusiness	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24	Term 6 - 69A	8:01 PM, Dec 24	8:31 PM, Dec 24	Term C - C37
allegiantair	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24	Term 6 - 69A	8:01 PM, Dec 24	8:31 PM, Dec 24	Term C - C37
boston	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24		8:01 PM, Dec 24	8:27 PM, Dec 24	
travelocity	CO-53-LAX-IAH	Dec 24 - 2:50pm	Dec 24 - 3:22pm	69A	Dec 24 - 8:01pm	Dec 24 - 8:31pm	C-37
orbitz	CO-53-LAX-IAH	2:50pDec 24	3:22pDec 24	 69A	8:01pDec 24	8:31pDec 24	 37
weather	CO-53-LAX-IAH	2011-12-24 02:50 PM			2011-12-24 08:01 PM		
ifly	CO-53-LAX-IAH	2011-12-24 2:50 PM	2011-12-24 3:22 PM		2011-12-24 8:01 PM	2011-12-24 8:31 PM	
usatoday	CO-53-LAX-IAH	2011-12-24 2:50 PM	2011-12-24 3:22 PM		2011-12-24 8:01 PM	2011-12-24 8:31 PM	
mytripandmore	CO-53-LAX-IAH	2:50pDec 24	3:22pDec 24	 69A	8:01pDec 24	8:31pDec 24	 37
flightarrival	CO-53-LAX-IAH	2:50 PM, Dec 24	3:35 PM, Dec 24		8:01 PM, Dec 24	8:27 PM, Dec 24	
CO	CO-1030-DEN-IAH	Sat., Dec.24, 2011 2:19 p.m.	Sat., Dec.24, 2011 2:17 p.m.		Sat., Dec.24, 2011 5:45 p.m.	Sat., Dec.24, 2011 5:35 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/24/11 2:19 PM (-07:00)			12/24/11 5:45 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/24/11 2:19 PM (-07:00)			12/24/11 5:45 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/24/11 2:19 PM (-07:00)			12/24/11 5:45 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/24/11 2:19 PM (-07:00)			12/24/11 5:45 PM (-06:00)		
flightaware	CO-1030-DEN-IAH	2011-12-24 02:19PM MST	2011-12-24 02:28PM MST	 B18 	2011-12-24 05:25PM CST	2011-12-24 05:29PM CST	 16 
wunderground	CO-1030-DEN-IAH	2011-12-24 02:19PM MST	2011-12-24 02:28PM MST	 B18 	2011-12-24 05:25PM CST	2011-12-24 05:29PM CST	 16 
flights	CO-1030-DEN-IAH	02:19 PM  Sat 24-Dec-2011	02:17 PM  Sat 24-Dec-2011	B18	05:45 PM  Sat 24-Dec-2011	05:35 PM  Sat 24-Dec-2011	16
businesstravellogue	CO-1030-DEN-IAH	02:19 PM  Sat 24-Dec-2011	02:17 PM  Sat 24-Dec-2011	B18	05:45 PM  Sat 24-Dec-2011	05:35 PM  Sat 24-Dec-2011	16
flylouisville	CO-1030-DEN-IAH	02:19 PM  Sat 24-Dec-2011	02:17 PM  Sat 24-Dec-2011	B18	05:45 PM  Sat 24-Dec-2011	05:35 PM  Sat 24-Dec-2011	16
flightstats	CO-1030-DEN-IAH	2011-12-24 2:19 PM	2011-12-24 2:17 PM		2011-12-24 5:45 PM	2011-12-24 5:35 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-24 2:19 PM	2011-12-24 2:17 PM		2011-12-24 5:45 PM	2011-12-24 5:35 PM	
world-flight-tracker	CO-1030-DEN-IAH	2011-12-24 2:19 PM	2011-12-24 2:17 PM		2011-12-24 5:45 PM	2011-12-24 5:35 PM	
flightview	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24	Terminal Conc B - B18	5:45 PM, Dec 24	5:35 PM, Dec 24	Term C - C16
panynj	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24	Terminal Conc B - B18	5:45 PM, Dec 24	5:35 PM, Dec 24	Term C - C16
gofox	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24		5:45 PM, Dec 24	5:35 PM, Dec 24	
foxbusiness	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24	Terminal Conc B - B18	5:45 PM, Dec 24	5:35 PM, Dec 24	Term C - C16
allegiantair	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24	Terminal Conc B - B18	5:45 PM, Dec 24	5:35 PM, Dec 24	Term C - C16
boston	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24		5:45 PM, Dec 24	5:29 PM, Dec 24	
travelocity	CO-1030-DEN-IAH	Dec 24 - 2:19pm	Dec 24 - 2:17pm	B18	Dec 24 - 5:45pm	Dec 24 - 5:35pm	C-16
orbitz	CO-1030-DEN-IAH	2:19pDec 24	2:17pDec 24	 B18	5:45pDec 24	5:35pDec 24	 16
weather	CO-1030-DEN-IAH	2011-12-24 02:19 PM			2011-12-24 05:45 PM		
den	CO-1030-DEN-IAH	2011-12-24 2:19 PM		B18			
usatoday	CO-1030-DEN-IAH	2:19 PM, Dec 24	2:28 PM, Dec 24		5:45 PM, Dec 24	5:29 PM, Dec 24	
