ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
aa	AA-1518-DFW-SDF	December 14, 2011               12:10 PM    	December 14, 2011               12:04 PM    	 C21	December 14, 2011               03:10 PM    	December 14, 2011               02:52 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/14/2011 12:18PM CST			12/14/2011 2:49PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/14/11 12:18 PM (-06:00)			12/14/11 2:49 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/14/11 12:18 PM (-06:00)			12/14/11 2:49 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/14/11 12:18 PM (-06:00)			12/14/11 2:49 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/14/11 12:18 PM (-06:00)			12/14/11 2:49 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-14 12:10PM CST	2011-12-14 12:18PM CST	 C21 	2011-12-14 02:52PM EST	2011-12-14 02:46PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-14 12:10PM CST	2011-12-14 12:18PM CST	 C21 	2011-12-14 02:52PM EST	2011-12-14 02:46PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Wed 14-Dec-2011	12:04 PM  Wed 14-Dec-2011	C21	03:10 PM  Wed 14-Dec-2011	02:52 PM  Wed 14-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Wed 14-Dec-2011	12:04 PM  Wed 14-Dec-2011	C21	03:10 PM  Wed 14-Dec-2011	02:52 PM  Wed 14-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Wed 14-Dec-2011	12:04 PM  Wed 14-Dec-2011	C21	03:10 PM  Wed 14-Dec-2011	02:52 PM  Wed 14-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-14 12:10 PM	2011-12-14 12:04 PM		2011-12-14 3:10 PM	2011-12-14 2:52 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-14 12:10 PM	2011-12-14 12:04 PM		2011-12-14 3:10 PM	2011-12-14 2:52 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-14 12:10 PM	2011-12-14 12:04 PM		2011-12-14 3:10 PM	2011-12-14 2:52 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 14	12:18 PM, Dec 14		3:10 PM, Dec 14	2:47 PM, Dec 14	
travelocity	AA-1518-DFW-SDF	Dec 14 - 12:10pm	Dec 14 - 12:04pm	C21/C	Dec 14 - 3:10pm	Dec 14 - 2:52pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 14	12:04pDec 14	 C21	3:10pDec 14	2:52pDec 14	 A15
weather	AA-1518-DFW-SDF	2011-12-14 12:10 PM			2011-12-14 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-14 12:10 pm		C21			
usatoday	AA-1518-DFW-SDF	2011-12-14 12:10 PM			2011-12-14 03:10 PM		
mytripandmore	AA-1518-DFW-SDF	Dec 14 - 12:10pm	Dec 14 - 12:04pm	C21/C	Dec 14 - 3:10pm	Dec 14 - 2:52pm	A15
flightarrival	AA-1518-DFW-SDF	2011-12-14 12:10 PM	2011-12-14 12:04 PM		2011-12-14 3:10 PM	2011-12-14 2:52 PM	
ua	UA-4642-IAH-AMA	Wed, Dec 14 6:20 PM	Wed, Dec 14 6:20 PM	B71	Wed, Dec 14 8:03 PM	Wed, Dec 14 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/14/11 6:20 PM (-06:00)			12/14/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/14/11 6:20 PM (-06:00)			12/14/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/14/11 6:20 PM (-06:00)			12/14/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/14/11 6:20 PM (-06:00)			12/14/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Wed 14-Dec-2011			08:03 PM  Wed 14-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Wed 14-Dec-2011			08:03 PM  Wed 14-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Wed 14-Dec-2011			08:03 PM  Wed 14-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-14 6:20 PM	2011-12-14 6:20 PM (Estimated)		2011-12-14 8:03 PM	2011-12-14 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-14 6:20 PM	2011-12-14 6:20 PM (Estimated)		2011-12-14 8:03 PM	2011-12-14 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-14 6:20 PM	2011-12-14 6:20 PM (Estimated)		2011-12-14 8:03 PM	2011-12-14 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 14		Term B - B71	8:03 PM, Dec 14		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 14		Term B - B71	8:03 PM, Dec 14		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 14			8:03 PM, Dec 14		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 14		Term B - B71	8:03 PM, Dec 14		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 14		Term B - B71	8:03 PM, Dec 14		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 14	Not Available		8:03 PM, Dec 14	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 14 - 6:20pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 8:03pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 14		 B71	8:03pDec 14		 4
ifly	UA-4642-IAH-AMA	2011-12-14 6:20 PM	2011-12-14 6:20 PM (Estimated)		2011-12-14 8:03 PM	2011-12-14 8:03 PM (Estimated)	
mytripandmore	UA-4642-IAH-AMA	6:20pDec 14		 B71	8:03pDec 14		 4
ua	UA-432-SFO-ORD	Wed, Dec 14 6:00 AM	Wed, Dec 14 6:31 AM	85	Wed, Dec 14 12:18 PM	Wed, Dec 14 12:26 PM	C21
flightexplorer	UA-432-SFO-ORD		12/14/2011 6:53AM PST			12/14/2011 12:25PM CST	
airtravelcenter	UA-432-SFO-ORD		12/14/11 6:55 AM (-08:00)			12/14/11 12:25 PM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/14/11 6:55 AM (-08:00)			12/14/11 12:25 PM (-06:00)	
helloflight	UA-432-SFO-ORD		12/14/11 6:55 AM (-08:00)			12/14/11 12:25 PM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/14/11 6:55 AM (-08:00)			12/14/11 12:25 PM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-14 06:31 AM	85		2011-12-14 12:26 PM	C21
businesstravellogue	UA-432-SFO-ORD		2011-12-14 06:31 AM	85		2011-12-14 12:26 PM	C21
flylouisville	UA-432-SFO-ORD		2011-12-14 06:31 AM	85		2011-12-14 12:26 PM	C21
flightview	UA-432-SFO-ORD		6:55 AMDec 14			12:26 PMDec 14	
panynj	UA-432-SFO-ORD		6:55 AMDec 14			12:26 PMDec 14	
gofox	UA-432-SFO-ORD		6:55 AMDec 14			12:26 PMDec 14	
foxbusiness	UA-432-SFO-ORD		6:55 AMDec 14			12:26 PMDec 14	
allegiantair	UA-432-SFO-ORD		6:55 AMDec 14			12:26 PMDec 14	
boston	UA-432-SFO-ORD		6:55 AMDec 14			12:27 PMDec 14	
orbitz	UA-432-SFO-ORD	6:23aDec 14	6:54aDec 14	 85	12:18pDec 14	12:26pDec 14	 C21
weather	UA-432-SFO-ORD	2011-12-14 06:00 AM			2011-12-14 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-14 6:00 AM		85	2011-12-14 12:18 PM		C21
flightarrival	UA-432-SFO-ORD		6:55 AMDec 14			12:27 PMDec 14	
CO	CO-4461-EWR-CVG	Wed., Dec.14, 2011 1:55 p.m.	Wed., Dec.14, 2011 1:42 p.m.		Wed., Dec.14, 2011 4:00 p.m.	Wed., Dec.14, 2011 3:42 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/14/11 1:55 PM (-05:00)			12/14/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/14/11 1:55 PM (-05:00)			12/14/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/14/11 1:55 PM (-05:00)			12/14/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/14/11 1:55 PM (-05:00)			12/14/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-14 01:42 PM	27A		2011-12-14 03:42 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-14 01:42 PM	27A		2011-12-14 03:42 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-14 01:42 PM	27A		2011-12-14 03:42 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-14 1:55 PM	2011-12-14 1:42 PM		2011-12-14 4:00 PM	2011-12-14 3:42 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-14 1:55 PM	2011-12-14 1:42 PM		2011-12-14 4:00 PM	2011-12-14 3:42 PM	
flightview	CO-4461-EWR-CVG		1:57 PMDec 14			3:42 PMDec 14	
panynj	CO-4461-EWR-CVG		1:57 PMDec 14			3:42 PMDec 14	
gofox	CO-4461-EWR-CVG		1:57 PMDec 14			3:42 PMDec 14	
foxbusiness	CO-4461-EWR-CVG		1:57 PMDec 14			3:42 PMDec 14	
allegiantair	CO-4461-EWR-CVG		1:57 PMDec 14			3:42 PMDec 14	
boston	CO-4461-EWR-CVG		1:57 PMDec 14			3:41 PMDec 14	
orbitz	CO-4461-EWR-CVG	1:55pDec 14	1:42pDec 14	 A27A	4:00pDec 14	3:42pDec 14	 2
weather	CO-4461-EWR-CVG	2011-12-14 01:55 PM			2011-12-14 04:00 PM		
ifly	CO-4461-EWR-CVG	2011-12-14 1:55 PM	2011-12-14 1:42 PM		2011-12-14 4:00 PM	2011-12-14 3:42 PM	
mytripandmore	CO-4461-EWR-CVG	1:55pDec 14	1:42pDec 14	 A27A	4:00pDec 14	3:42pDec 14	 2
flightarrival	CO-4461-EWR-CVG		1:57 PMDec 14			3:41 PMDec 14	
ua	UA-581-DEN-IAD	Wed, Dec 14 8:36 AM	Wed, Dec 14 8:31 AM	B39	Wed, Dec 14 1:52 PM	Wed, Dec 14 1:23 PM	D3
airtravelcenter	UA-581-DEN-IAD		12/14/11 8:41 AM (-07:00)			12/14/11 1:13 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/14/11 8:41 AM (-07:00)			12/14/11 1:13 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/14/11 8:41 AM (-07:00)			12/14/11 1:13 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/14/11 8:41 AM (-07:00)			12/14/11 1:13 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-14 08:36AM MST	2011-12-14 08:41AM MST	 B39 	2011-12-14 01:34PM EST	2011-12-14 01:18PM EST	 D3 
wunderground	UA-581-DEN-IAD	2011-12-14 08:36AM MST	2011-12-14 08:41AM MST	 B39 	2011-12-14 01:34PM EST	2011-12-14 01:18PM EST	 D3 
flights	UA-581-DEN-IAD	08:36 AM  Wed 14-Dec-2011	08:31 AM  Wed 14-Dec-2011	B39	01:52 PM  Wed 14-Dec-2011	01:23 PM  Wed 14-Dec-2011	D3
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Wed 14-Dec-2011	08:31 AM  Wed 14-Dec-2011	B39	01:52 PM  Wed 14-Dec-2011	01:23 PM  Wed 14-Dec-2011	D3
flylouisville	UA-581-DEN-IAD	08:36 AM  Wed 14-Dec-2011	08:31 AM  Wed 14-Dec-2011	B39	01:52 PM  Wed 14-Dec-2011	01:23 PM  Wed 14-Dec-2011	D3
flightstats	UA-581-DEN-IAD	2011-12-14 8:36 AM	2011-12-14 8:31 AM		2011-12-14 1:52 PM	2011-12-14 1:23 PM	
quicktrip	UA-581-DEN-IAD	2011-12-14 8:36 AM	2011-12-14 8:31 AM		2011-12-14 1:52 PM	2011-12-14 1:23 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-14 8:36 AM	2011-12-14 8:31 AM		2011-12-14 1:52 PM	2011-12-14 1:23 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14	B39	1:52 PM, Dec 14	1:23 PM, Dec 14	D3
panynj	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14	B39	1:52 PM, Dec 14	1:23 PM, Dec 14	D3
gofox	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14		1:52 PM, Dec 14	1:23 PM, Dec 14	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14	B39	1:52 PM, Dec 14	1:23 PM, Dec 14	D3
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14	B39	1:52 PM, Dec 14	1:23 PM, Dec 14	D3
boston	UA-581-DEN-IAD	8:36 AM, Dec 14	8:41 AM, Dec 14		1:52 PM, Dec 14	1:19 PM, Dec 14	
travelocity	UA-581-DEN-IAD	Dec 14 - Not Available	Dec 14 - 8:40am	B39	Dec 14 - Not Available	Dec 14 - 1:23pm	D3
orbitz	UA-581-DEN-IAD	8:36aDec 14	8:31aDec 14	 B39	1:52pDec 14	1:23pDec 14	 D3
weather	UA-581-DEN-IAD	2011-12-14 08:36 AM	2011-12-14 08:41 AM		2011-12-14 01:52 PM	2011-12-14 01:34 PM	
iad	UA-581-DEN-IAD				2011-12-14 13:52 	2011-12-14 13:23 	
mytripandmore	UA-581-DEN-IAD	8:36aDec 14	8:31aDec 14	 B39	1:52pDec 14	1:23pDec 14	 D3
ua	UA-6156-ORD-ICT	Wed, Dec 14 12:20 PM	Wed, Dec 14 12:27 PM            Delayed	E2A	Wed, Dec 14 2:11 PM	Wed, Dec 14 2:28 PM	--
airtravelcenter	UA-6156-ORD-ICT	12/14/11 12:20 PM (-06:00)			12/14/11 2:11 PM (-06:00)		
myrateplan	UA-6156-ORD-ICT	12/14/11 12:20 PM (-06:00)			12/14/11 2:11 PM (-06:00)		
helloflight	UA-6156-ORD-ICT	12/14/11 12:20 PM (-06:00)			12/14/11 2:11 PM (-06:00)		
flytecomm	UA-6156-ORD-ICT	12/14/11 12:20 PM (-06:00)			12/14/11 2:11 PM (-06:00)		
flightaware	UA-6156-ORD-ICT	2011-12-14 12:20PM CST	2011-12-14 12:44PM CST	 E2A 	2011-12-14 01:59PM CST	2011-12-14 02:25PM CST	
wunderground	UA-6156-ORD-ICT	2011-12-14 12:20PM CST	2011-12-14 12:44PM CST	 E2A 	2011-12-14 01:59PM CST	2011-12-14 02:25PM CST	
flights	UA-6156-ORD-ICT		2011-12-14 12:27 PM	E2A		2011-12-14 02:28 PM	
businesstravellogue	UA-6156-ORD-ICT		2011-12-14 12:27 PM	E2A		2011-12-14 02:28 PM	
flylouisville	UA-6156-ORD-ICT		2011-12-14 12:27 PM	E2A		2011-12-14 02:28 PM	
flightview	UA-6156-ORD-ICT		12:44 PMDec 14			2:28 PMDec 14	
panynj	UA-6156-ORD-ICT		12:44 PMDec 14			2:28 PMDec 14	
gofox	UA-6156-ORD-ICT		12:44 PMDec 14			2:28 PMDec 14	
foxbusiness	UA-6156-ORD-ICT		12:44 PMDec 14			2:28 PMDec 14	
allegiantair	UA-6156-ORD-ICT		12:44 PMDec 14			2:28 PMDec 14	
boston	UA-6156-ORD-ICT		12:44 PMDec 14			2:32 PMDec 14	
orbitz	UA-6156-ORD-ICT	12:20pDec 14	12:27pDec 14	 E2A	2:11pDec 14	2:28pDec 14	 -
ord	UA-6156-ORD-ICT	2011-12-14 12:20 PM		E2A	2011-12-14 2:11 PM		 
usatoday	UA-6156-ORD-ICT		12:44 PMDec 14			2:32 PMDec 14	
mytripandmore	UA-6156-ORD-ICT	12:20pDec 14	12:27pDec 14	 E2A	2:11pDec 14	2:28pDec 14	 -
flightwise	UA-6156-ORD-ICT	2011-12-14 12:20PM CST	2011-12-14 12:44PM CST	 E2A 	2011-12-14 01:59PM CST	2011-12-14 02:25PM CST	
ua	UA-1411-EWR-BQN	Wed, Dec 14 8:25 PM	Wed, Dec 14 9:10 PM	C75	Thu, Dec 15 1:10 AM	Thu, Dec 15 1:43 AM	--
flightexplorer	UA-1411-EWR-BQN	12/14/2011 8:45PM EST			12/15/2011 12:48AM AST		
flights	UA-1411-EWR-BQN	08:25 PM  Wed 14-Dec-2011		75	01:10 AM  Thu 15-Dec-2011		HOLD
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Wed 14-Dec-2011		75	01:10 AM  Thu 15-Dec-2011		HOLD
flylouisville	UA-1411-EWR-BQN	08:25 PM  Wed 14-Dec-2011		75	01:10 AM  Thu 15-Dec-2011		HOLD
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 14			1:10 AM, Dec 15		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 14			1:10 AM, Dec 15		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 14			1:10 AM, Dec 15		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 14			1:10 AM, Dec 15		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 14			1:10 AM, Dec 15		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 14	8:25 PM, Dec 14&nbsp(Estimated)		1:10 AM, Dec 15	12:28 AM, Dec 15&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 14 - 8:25pm	Dec 14 - Contact Airline	Not provided by airline	Dec 15 - 1:10am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 14		 C75	2:16aDec 15		 -
ua	UA-2708-EWR-CLT	Wed, Dec 14 2:55 PM	Wed, Dec 14 2:55 PM	A37	Wed, Dec 14 4:53 PM	Wed, Dec 14 4:46 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/14/11 3:16 PM (-05:00)			12/14/11 4:32 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/14/11 3:16 PM (-05:00)			12/14/11 4:32 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/14/11 3:16 PM (-05:00)			12/14/11 4:32 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/14/11 3:16 PM (-05:00)			12/14/11 4:32 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-14 02:53 PM	37		2011-12-14 04:46 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-14 02:53 PM	37		2011-12-14 04:46 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-14 02:53 PM	37		2011-12-14 04:46 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-14 2:55 PM	2011-12-14 2:53 PM		2011-12-14 4:53 PM	2011-12-14 4:46 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-14 2:55 PM	2011-12-14 2:53 PM		2011-12-14 4:53 PM	2011-12-14 4:46 PM	
flightview	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
panynj	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
gofox	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
foxbusiness	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
allegiantair	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
boston	UA-2708-EWR-CLT		3:16 PMDec 14			4:33 PMDec 14	
travelocity	UA-2708-EWR-CLT	Dec 14 - 2:55pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 4:53pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 14	2:53pDec 14	 -	4:53pDec 14	4:46pDec 14	 -
weather	UA-2708-EWR-CLT	2011-12-14 02:55 PM			2011-12-14 04:53 PM		
usatoday	UA-2708-EWR-CLT	2011-12-14 02:55 PM			2011-12-14 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	Dec 14 - 2:55pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 4:53pm	Dec 14 - Contact Airline	Not provided by airline
CO	CO-53-LAX-IAH	Wed., Dec.14, 2011 2:40 p.m.	Wed., Dec.14, 2011 2:43 p.m.		Wed., Dec.14, 2011 7:48 p.m.	Wed., Dec.14, 2011 7:46 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/14/11 2:40 PM (-08:00)			12/14/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/14/11 2:40 PM (-08:00)			12/14/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/14/11 2:40 PM (-08:00)			12/14/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/14/11 2:40 PM (-08:00)			12/14/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-14 02:43 PM	62		2011-12-14 07:46 PM	37
businesstravellogue	CO-53-LAX-IAH		2011-12-14 02:43 PM	62		2011-12-14 07:46 PM	37
flylouisville	CO-53-LAX-IAH		2011-12-14 02:43 PM	62		2011-12-14 07:46 PM	37
flightstats	CO-53-LAX-IAH	2011-12-14 2:40 PM	2011-12-14 2:43 PM		2011-12-14 7:48 PM	2011-12-14 7:46 PM	
