ua	UA-1534-RTB-IAH	Sun, Dec 11 2:05 PM	Sun, Dec 11 2:21 PM	--	Sun, Dec 11 5:01 PM	Sun, Dec 11 5:02 PM	E22
usatoday	AA-1007-TPA-MIA	2011-12-11 01:55 PM			2011-12-11 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pDec 11	1:55pDec 11	 F78	3:00pDec 11	2:56pDec 11	 D5
aa	AA-1518-DFW-SDF	December 11, 2011               12:10 PM    	December 11, 2011               12:05 PM    	 C7	December 11, 2011               03:10 PM    	December 11, 2011               02:58 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/11/2011 12:18PM CST			12/11/2011 2:55PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/11/11 12:17 PM (-06:00)			12/11/11 2:55 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/11/11 12:17 PM (-06:00)			12/11/11 2:55 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/11/11 12:17 PM (-06:00)			12/11/11 2:55 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/11/11 12:17 PM (-06:00)			12/11/11 2:55 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-11 12:10PM CST	2011-12-11 12:18PM CST	 C7 	2011-12-11 03:00PM EST	2011-12-11 02:53PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-11 12:10PM CST	2011-12-11 12:18PM CST	 C7 	2011-12-11 03:00PM EST	2011-12-11 02:53PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sun 11-Dec-2011	12:05 PM  Sun 11-Dec-2011	C7	03:10 PM  Sun 11-Dec-2011	02:58 PM  Sun 11-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sun 11-Dec-2011	12:05 PM  Sun 11-Dec-2011	C7	03:10 PM  Sun 11-Dec-2011	02:58 PM  Sun 11-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sun 11-Dec-2011	12:05 PM  Sun 11-Dec-2011	C7	03:10 PM  Sun 11-Dec-2011	02:58 PM  Sun 11-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-11 12:10 PM	2011-12-11 12:05 PM		2011-12-11 3:10 PM	2011-12-11 2:58 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-11 12:10 PM	2011-12-11 12:05 PM		2011-12-11 3:10 PM	2011-12-11 2:58 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-11 12:10 PM	2011-12-11 12:05 PM		2011-12-11 3:10 PM	2011-12-11 2:58 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
travelocity	AA-1518-DFW-SDF	Dec 11 - 12:10pm	Dec 11 - 12:05pm	C7/C	Dec 11 - 3:10pm	Dec 11 - 2:58pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 11	12:05pDec 11	 C7	3:10pDec 11	2:58pDec 11	 A15
weather	AA-1518-DFW-SDF	2011-12-11 12:10 PM			2011-12-11 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-11 12:10 pm		C7			
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 11	12:18 PM, Dec 11		3:10 PM, Dec 11	2:54 PM, Dec 11	
ua	UA-4642-IAH-AMA	Sun, Dec 11 6:20 PM	Sun, Dec 11 6:20 PM	B70	Sun, Dec 11 8:03 PM	Sun, Dec 11 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/11/11 6:20 PM (-06:00)			12/11/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/11/11 6:20 PM (-06:00)			12/11/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/11/11 6:20 PM (-06:00)			12/11/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/11/11 6:20 PM (-06:00)			12/11/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Sun 11-Dec-2011			08:03 PM  Sun 11-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Sun 11-Dec-2011			08:03 PM  Sun 11-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Sun 11-Dec-2011			08:03 PM  Sun 11-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-11 6:20 PM	2011-12-11 6:20 PM (Estimated)		2011-12-11 8:03 PM	2011-12-11 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-11 6:20 PM	2011-12-11 6:20 PM (Estimated)		2011-12-11 8:03 PM	2011-12-11 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-11 6:20 PM	2011-12-11 6:20 PM (Estimated)		2011-12-11 8:03 PM	2011-12-11 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 11		Term B - B70	8:03 PM, Dec 11		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 11		Term B - B70	8:03 PM, Dec 11		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 11			8:03 PM, Dec 11		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 11		Term B - B70	8:03 PM, Dec 11		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 11		Term B - B70	8:03 PM, Dec 11		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 11	Not Available		8:03 PM, Dec 11	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 11 - 6:20pm	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 8:03pm	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 11		 B70	8:03pDec 11		 4
ifly	UA-4642-IAH-AMA	2011-12-11 6:20 PM	2011-12-11 6:20 PM (Estimated)		2011-12-11 8:03 PM	2011-12-11 8:03 PM (Estimated)	
mytripandmore	UA-4642-IAH-AMA	Dec 11 - 6:20pm	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 8:03pm	Dec 11 - Contact Airline	Not provided by airline
flightarrival	UA-4642-IAH-AMA	2011-12-11 6:20 PM	2011-12-11 6:20 PM (Estimated)		2011-12-11 8:03 PM	2011-12-11 8:03 PM (Estimated)	
CO	CO-4461-EWR-CVG	Sun., Dec.11, 2011 1:55 p.m.	Sun., Dec.11, 2011 1:45 p.m.		Sun., Dec.11, 2011 4:00 p.m.	Sun., Dec.11, 2011 3:39 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/11/11 1:55 PM (-05:00)			12/11/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/11/11 1:55 PM (-05:00)			12/11/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/11/11 1:55 PM (-05:00)			12/11/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/11/11 1:55 PM (-05:00)			12/11/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-11 01:45 PM	26		2011-12-11 03:39 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-11 01:45 PM	26		2011-12-11 03:39 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-11 01:45 PM	26		2011-12-11 03:39 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-11 1:55 PM	2011-12-11 1:45 PM		2011-12-11 4:00 PM	2011-12-11 3:39 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-11 1:55 PM	2011-12-11 1:45 PM		2011-12-11 4:00 PM	2011-12-11 3:39 PM	
flightview	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
panynj	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
gofox	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
foxbusiness	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
allegiantair	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
boston	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
orbitz	CO-4461-EWR-CVG	1:55pDec 11	1:45pDec 11	 -	4:00pDec 11	3:39pDec 11	 -
weather	CO-4461-EWR-CVG	2011-12-11 01:55 PM			2011-12-11 04:00 PM		
usatoday	CO-4461-EWR-CVG	2011-12-11 01:55 PM			2011-12-11 04:00 PM		
flightarrival	CO-4461-EWR-CVG		2:03 PMDec 11			3:39 PMDec 11	
ua	UA-2706-EWR-CLT	Sun, Dec 11 6:29 PM	Sun, Dec 11 6:29 PM	A38	Sun, Dec 11 8:33 PM	Sun, Dec 11 8:48 PM	C10
airtravelcenter	UA-2706-EWR-CLT		12/11/11 7:10 PM (-05:00)			12/11/11 8:41 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/11/11 7:10 PM (-05:00)			12/11/11 8:41 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/11/11 7:10 PM (-05:00)			12/11/11 8:41 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/11/11 7:10 PM (-05:00)			12/11/11 8:41 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-11 06:29PM EST	2011-12-11 07:10PM EST		2011-12-11 07:24PM EST	2011-12-11 08:39PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-11 06:29PM EST	2011-12-11 07:10PM EST		2011-12-11 07:24PM EST	2011-12-11 08:39PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sun 11-Dec-2011	06:32 PM  Sun 11-Dec-2011	38	08:33 PM  Sun 11-Dec-2011	08:48 PM  Sun 11-Dec-2011	C10
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sun 11-Dec-2011	06:32 PM  Sun 11-Dec-2011	38	08:33 PM  Sun 11-Dec-2011	08:48 PM  Sun 11-Dec-2011	C10
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sun 11-Dec-2011	06:32 PM  Sun 11-Dec-2011	38	08:33 PM  Sun 11-Dec-2011	08:48 PM  Sun 11-Dec-2011	C10
flightstats	UA-2706-EWR-CLT	2011-12-11 6:29 PM	2011-12-11 6:32 PM		2011-12-11 8:33 PM	2011-12-11 8:48 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-11 6:29 PM	2011-12-11 6:32 PM		2011-12-11 8:33 PM	2011-12-11 8:48 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-11 6:29 PM	2011-12-11 6:32 PM		2011-12-11 8:33 PM	2011-12-11 8:48 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
travelocity	UA-2706-EWR-CLT	Dec 11 - 6:29pm	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 8:33pm	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 11	6:32pDec 11	 -	8:33pDec 11	8:48pDec 11	 -
weather	UA-2706-EWR-CLT	2011-12-11 06:29 PM			2011-12-11 08:33 PM		
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 11	7:10 PM, Dec 11		8:33 PM, Dec 11	8:40 PM, Dec 11	
mytripandmore	UA-2706-EWR-CLT	6:29pDec 11	6:32pDec 11	 -	8:33pDec 11	8:48pDec 11	 -
flightarrival	UA-2706-EWR-CLT	2011-12-11 06:29 PM			2011-12-11 08:33 PM		
ua	UA-581-DEN-IAD	Sun, Dec 11 8:36 AM	Sun, Dec 11 8:32 AM	B47	Sun, Dec 11 1:50 PM	Sun, Dec 11 1:40 PM	C23
flightexplorer	UA-581-DEN-IAD		12/11/2011 8:42AM MST			12/11/2011 1:34PM EST	
airtravelcenter	UA-581-DEN-IAD		12/11/11 8:44 AM (-07:00)			12/11/11 1:31 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/11/11 8:44 AM (-07:00)			12/11/11 1:31 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/11/11 8:44 AM (-07:00)			12/11/11 1:31 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/11/11 8:44 AM (-07:00)			12/11/11 1:31 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-11 08:36AM MST	2011-12-11 08:44AM MST	 B47 	2011-12-11 01:46PM EST	2011-12-11 01:35PM EST	 C23 
wunderground	UA-581-DEN-IAD	2011-12-11 08:36AM MST	2011-12-11 08:44AM MST	 B47 	2011-12-11 01:46PM EST	2011-12-11 01:35PM EST	 C23 
flights	UA-581-DEN-IAD	08:36 AM  Sun 11-Dec-2011	08:32 AM  Sun 11-Dec-2011	B47	01:50 PM  Sun 11-Dec-2011	01:40 PM  Sun 11-Dec-2011	C23
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Sun 11-Dec-2011	08:32 AM  Sun 11-Dec-2011	B47	01:50 PM  Sun 11-Dec-2011	01:40 PM  Sun 11-Dec-2011	C23
flylouisville	UA-581-DEN-IAD	08:36 AM  Sun 11-Dec-2011	08:32 AM  Sun 11-Dec-2011	B47	01:50 PM  Sun 11-Dec-2011	01:40 PM  Sun 11-Dec-2011	C23
flightstats	UA-581-DEN-IAD	2011-12-11 8:36 AM	2011-12-11 8:32 AM		2011-12-11 1:50 PM	2011-12-11 1:40 PM	
quicktrip	UA-581-DEN-IAD	2011-12-11 8:36 AM	2011-12-11 8:32 AM		2011-12-11 1:50 PM	2011-12-11 1:40 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-11 8:36 AM	2011-12-11 8:32 AM		2011-12-11 1:50 PM	2011-12-11 1:40 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11	B47	1:50 PM, Dec 11	1:40 PM, Dec 11	C23
panynj	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11	B47	1:50 PM, Dec 11	1:40 PM, Dec 11	C23
gofox	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11		1:50 PM, Dec 11	1:40 PM, Dec 11	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11	B47	1:50 PM, Dec 11	1:40 PM, Dec 11	C23
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11	B47	1:50 PM, Dec 11	1:40 PM, Dec 11	C23
boston	UA-581-DEN-IAD	8:36 AM, Dec 11	8:44 AM, Dec 11		1:50 PM, Dec 11	1:36 PM, Dec 11	
travelocity	UA-581-DEN-IAD	Dec 11 - Not Available	Dec 11 - 8:43am	B47	Dec 11 - Not Available	Dec 11 - 1:40pm	C23
orbitz	UA-581-DEN-IAD	8:36aDec 11	8:32aDec 11	 B47	1:50pDec 11	1:40pDec 11	 C23
weather	UA-581-DEN-IAD	2011-12-11 08:36 AM	2011-12-11 08:44 AM		2011-12-11 01:50 PM	2011-12-11 01:36 PM	
iad	UA-581-DEN-IAD				2011-12-11 13:50 	2011-12-11 13:40 	
ifly	UA-581-DEN-IAD	2011-12-11 8:36 AM	2011-12-11 8:32 AM		2011-12-11 1:50 PM	2011-12-11 1:40 PM	
ua	UA-779-BOS-DEN	Sun, Dec 11 2:46 PM	Sun, Dec 11 2:44 PM	C18	Sun, Dec 11 5:28 PM	Sun, Dec 11 5:04 PM	B44
airtravelcenter	UA-779-BOS-DEN		12/11/11 2:59 PM (-05:00)			12/11/11 5:04 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/11/11 2:59 PM (-05:00)			12/11/11 5:04 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/11/11 2:59 PM (-05:00)			12/11/11 5:04 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/11/11 2:59 PM (-05:00)			12/11/11 5:04 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-11 02:44 PM	C18		2011-12-11 05:04 PM	B44
businesstravellogue	UA-779-BOS-DEN		2011-12-11 02:44 PM	C18		2011-12-11 05:04 PM	B44
flylouisville	UA-779-BOS-DEN		2011-12-11 02:44 PM	C18		2011-12-11 05:04 PM	B44
flightstats	UA-779-BOS-DEN	2011-12-11 2:46 PM	2011-12-11 2:44 PM		2011-12-11 5:28 PM	2011-12-11 5:04 PM	
quicktrip	UA-779-BOS-DEN	2011-12-11 2:46 PM	2011-12-11 2:44 PM		2011-12-11 5:28 PM	2011-12-11 5:04 PM	
flightview	UA-779-BOS-DEN		3:00 PMDec 11			5:04 PMDec 11	
panynj	UA-779-BOS-DEN		3:00 PMDec 11			5:04 PMDec 11	
gofox	UA-779-BOS-DEN		3:00 PMDec 11			5:04 PMDec 11	
foxbusiness	UA-779-BOS-DEN		3:00 PMDec 11			5:04 PMDec 11	
allegiantair	UA-779-BOS-DEN		3:00 PMDec 11			5:04 PMDec 11	
boston	UA-779-BOS-DEN		3:00 PMDec 11			5:03 PMDec 11	
travelocity	UA-779-BOS-DEN	Dec 11 - Not Available	Dec 11 - 3:00pm	C18	Dec 11 - Not Available	Dec 11 - 5:04pm	B44
orbitz	UA-779-BOS-DEN	2:46pDec 11	2:44pDec 11	 C18	5:28pDec 11	5:04pDec 11	 B44
weather	UA-779-BOS-DEN	2011-12-11 02:46 PM			2011-12-11 05:28 PM		
usatoday	UA-779-BOS-DEN		3:00 PMDec 11			5:03 PMDec 11	
mytripandmore	UA-779-BOS-DEN	2:46pDec 11	2:44pDec 11	 C18	5:28pDec 11	5:04pDec 11	 B44
flightarrival	UA-779-BOS-DEN	2011-12-11 02:46 PM			2011-12-11 05:28 PM		
ua	UA-947-SAN-DEN	Sun, Dec 11 3:05 PM	Sun, Dec 11 3:04 PM            On Time	15	Sun, Dec 11 6:16 PM	Sun, Dec 11 6:03 PM	B28
flightexplorer	UA-947-SAN-DEN		12/11/2011 3:16PM PST			12/11/2011 5:54PM MST	
airtravelcenter	UA-947-SAN-DEN		12/11/11 3:18 PM (-08:00)			12/11/11 6:01 PM (-07:00)	
myrateplan	UA-947-SAN-DEN		12/11/11 3:18 PM (-08:00)			12/11/11 6:01 PM (-07:00)	
helloflight	UA-947-SAN-DEN		12/11/11 3:18 PM (-08:00)			12/11/11 6:01 PM (-07:00)	
flytecomm	UA-947-SAN-DEN		12/11/11 3:18 PM (-08:00)			12/11/11 6:01 PM (-07:00)	
flights	UA-947-SAN-DEN		2011-12-11 03:04 PM	15		2011-12-11 06:03 PM	B28
businesstravellogue	UA-947-SAN-DEN		2011-12-11 03:04 PM	15		2011-12-11 06:03 PM	B28
flylouisville	UA-947-SAN-DEN		2011-12-11 03:04 PM	15		2011-12-11 06:03 PM	B28
flightview	UA-947-SAN-DEN		3:18 PMDec 11			6:03 PMDec 11	
panynj	UA-947-SAN-DEN		3:18 PMDec 11			6:03 PMDec 11	
gofox	UA-947-SAN-DEN		3:18 PMDec 11			6:03 PMDec 11	
foxbusiness	UA-947-SAN-DEN		3:18 PMDec 11			6:03 PMDec 11	
allegiantair	UA-947-SAN-DEN		3:18 PMDec 11			6:03 PMDec 11	
boston	UA-947-SAN-DEN		3:18 PMDec 11			6:00 PMDec 11	
orbitz	UA-947-SAN-DEN	3:18pDec 11	3:17pDec 11	 15	6:16pDec 11	6:03pDec 11	 -
usatoday	UA-947-SAN-DEN		3:18 PMDec 11			6:00 PMDec 11	
flightarrival	UA-947-SAN-DEN		3:18 PMDec 11			6:00 PMDec 11	
ua	UA-1411-EWR-BQN	Sun, Dec 11 8:25 PM	Sun, Dec 11 8:46 PM	C82	Mon, Dec 12 1:10 AM	Mon, Dec 12 1:25 AM	--
flightexplorer	UA-1411-EWR-BQN		12/11/2011 8:59PM EST			12/12/2011 1:21AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Sun 11-Dec-2011			01:10 AM  Mon 12-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Sun 11-Dec-2011			01:10 AM  Mon 12-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Sun 11-Dec-2011			01:10 AM  Mon 12-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 11			1:10 AM, Dec 12		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 11			1:10 AM, Dec 12		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 11			1:10 AM, Dec 12		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 11			1:10 AM, Dec 12		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 11			1:10 AM, Dec 12		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 11	8:25 PM, Dec 11&nbsp(Estimated)		1:10 AM, Dec 12	12:45 AM, Dec 12&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 11 - 8:25pm	Dec 11 - Contact Airline	Not provided by airline	Dec 12 - 1:10am	Dec 12 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 11	8:46pDec 11	 C82	1:40aDec 12		 -
ua	UA-2708-EWR-CLT	Sun, Dec 11 2:55 PM	Sun, Dec 11 2:55 PM	A37	Sun, Dec 11 4:53 PM	Sun, Dec 11 4:42 PM	C19
