CO	CO-4237-EWR-DTW	Tue., Dec.27, 2011 12:17 p.m.	Tue., Dec.27, 2011 12:20 p.m.		Tue., Dec.27, 2011 2:24 p.m.	Tue., Dec.27, 2011 2:07 p.m.	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 27			2:59 PMDec 27	
boston	AA-1007-TPA-MIA		2:07 PMDec 27			2:54 PMDec 27	
travelocity	AA-1007-TPA-MIA	Dec 27 - 1:55pm	Dec 27 - 1:55pm	F78	Dec 27 - 3:00pm	Dec 27 - 2:59pm	D39
orbitz	AA-1007-TPA-MIA	1:55pDec 27	1:55pDec 27	 F78	3:00pDec 27	2:59pDec 27	 D39
weather	AA-1007-TPA-MIA	2011-12-27 01:55 PM			2011-12-27 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-27-11	2011-12-27  2:59P	
usatoday	AA-1007-TPA-MIA	2011-12-27 01:55 PM			2011-12-27 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pDec 27	1:55pDec 27	 F78	3:00pDec 27	2:59pDec 27	 D39
aa	AA-1518-DFW-SDF	December 27, 2011               12:10 PM    	December 27, 2011               12:08 PM    	 C7	December 27, 2011               03:10 PM    	December 27, 2011               03:08 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/27/2011 12:21PM CST			12/27/2011 3:04PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/27/11 12:20 PM (-06:00)			12/27/11 3:04 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/27/11 12:20 PM (-06:00)			12/27/11 3:04 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/27/11 12:20 PM (-06:00)			12/27/11 3:04 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/27/11 12:20 PM (-06:00)			12/27/11 3:04 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-27 12:10PM CST	2011-12-27 12:21PM CST	 C7 	2011-12-27 03:00PM EST	2011-12-27 03:02PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-27 12:10PM CST	2011-12-27 12:21PM CST	 C7 	2011-12-27 03:00PM EST	2011-12-27 03:02PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Tue 27-Dec-2011	12:08 PM  Tue 27-Dec-2011	C7	03:10 PM  Tue 27-Dec-2011	03:08 PM  Tue 27-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Tue 27-Dec-2011	12:08 PM  Tue 27-Dec-2011	C7	03:10 PM  Tue 27-Dec-2011	03:08 PM  Tue 27-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Tue 27-Dec-2011	12:08 PM  Tue 27-Dec-2011	C7	03:10 PM  Tue 27-Dec-2011	03:08 PM  Tue 27-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-27 12:10 PM	2011-12-27 12:08 PM		2011-12-27 3:10 PM	2011-12-27 3:08 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-27 12:10 PM	2011-12-27 12:08 PM		2011-12-27 3:10 PM	2011-12-27 3:08 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-27 12:10 PM	2011-12-27 12:08 PM		2011-12-27 3:10 PM	2011-12-27 3:08 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
travelocity	AA-1518-DFW-SDF	Dec 27 - 12:10pm	Dec 27 - 12:08pm	C7/C	Dec 27 - 3:10pm	Dec 27 - 3:08pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 27	12:08pDec 27	 C7	3:10pDec 27	3:08pDec 27	 A15
weather	AA-1518-DFW-SDF	2011-12-27 12:10 PM			2011-12-27 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-27 12:10 pm		C7			
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 27	12:21 PM, Dec 27		3:10 PM, Dec 27	3:03 PM, Dec 27	
CO	CO-4284-EWR-SDF	Tue., Dec.27, 2011 4:00 p.m.	Tue., Dec.27, 2011 4:37 p.m.		Tue., Dec.27, 2011 6:23 p.m.	Tue., Dec.27, 2011 6:50 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/27/11 4:00 PM (-05:00)			12/27/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/27/11 4:00 PM (-05:00)			12/27/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/27/11 4:00 PM (-05:00)			12/27/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/27/11 4:00 PM (-05:00)			12/27/11 6:23 PM (-05:00)		
flightaware	CO-4284-EWR-SDF	2011-12-27 03:50PM EST	2011-12-27 03:59PM EST		2011-12-27 06:10PM EST	2011-12-27 05:52PM EST	
wunderground	CO-4284-EWR-SDF	2011-12-27 03:50PM EST	2011-12-27 03:59PM EST		2011-12-27 06:10PM EST	2011-12-27 05:52PM EST	
flights	CO-4284-EWR-SDF		2011-12-27 04:37 PM	27		2011-12-27 06:50 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-27 04:37 PM	27		2011-12-27 06:50 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-27 04:37 PM	27		2011-12-27 06:50 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-27 4:00 PM	2011-12-27 4:37 PM		2011-12-27 6:23 PM	2011-12-27 6:50 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-27 4:00 PM	2011-12-27 4:37 PM		2011-12-27 6:23 PM	2011-12-27 6:50 PM	
flightview	CO-4284-EWR-SDF		4:55 PMDec 27			6:50 PMDec 27	
panynj	CO-4284-EWR-SDF		4:55 PMDec 27			6:50 PMDec 27	
gofox	CO-4284-EWR-SDF		4:55 PMDec 27			6:50 PMDec 27	
foxbusiness	CO-4284-EWR-SDF		4:55 PMDec 27			6:50 PMDec 27	
allegiantair	CO-4284-EWR-SDF		4:55 PMDec 27			6:50 PMDec 27	
boston	CO-4284-EWR-SDF		4:55 PMDec 27			6:45 PMDec 27	
orbitz	CO-4284-EWR-SDF	4:00pDec 27	4:37pDec 27	 -	6:23pDec 27	6:50pDec 27	 -
weather	CO-4284-EWR-SDF	2011-12-27 04:00 PM			2011-12-27 06:23 PM		
usatoday	CO-4284-EWR-SDF		4:55 PMDec 27			6:45 PMDec 27	
ua	UA-2706-EWR-CLT	Tue, Dec 27 6:29 PM	Tue, Dec 27 12:30 AM	A38	Tue, Dec 27 8:33 PM	Tue, Dec 27 9:51 PM	D5
airtravelcenter	UA-2706-EWR-CLT		12/27/11 8:17 PM (-05:00)			12/27/11 9:47 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/27/11 8:17 PM (-05:00)			12/27/11 9:47 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/27/11 8:17 PM (-05:00)			12/27/11 9:47 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/27/11 8:17 PM (-05:00)			12/27/11 9:47 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-27 06:29PM EST	2011-12-27 08:17PM EST		2011-12-27 08:25PM EST	2011-12-27 09:44PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-27 06:29PM EST	2011-12-27 08:17PM EST		2011-12-27 08:25PM EST	2011-12-27 09:44PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Tue 27-Dec-2011	07:59 PM  Tue 27-Dec-2011	38	08:33 PM  Tue 27-Dec-2011	09:51 PM  Tue 27-Dec-2011	D5
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Tue 27-Dec-2011	07:59 PM  Tue 27-Dec-2011	38	08:33 PM  Tue 27-Dec-2011	09:51 PM  Tue 27-Dec-2011	D5
flylouisville	UA-2706-EWR-CLT	06:29 PM  Tue 27-Dec-2011	07:59 PM  Tue 27-Dec-2011	38	08:33 PM  Tue 27-Dec-2011	09:51 PM  Tue 27-Dec-2011	D5
flightstats	UA-2706-EWR-CLT	2011-12-27 6:29 PM	2011-12-27 7:59 PM		2011-12-27 8:33 PM	2011-12-27 9:51 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-27 6:29 PM	2011-12-27 7:59 PM		2011-12-27 8:33 PM	2011-12-27 9:51 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-27 6:29 PM	2011-12-27 7:59 PM		2011-12-27 8:33 PM	2011-12-27 9:51 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
travelocity	UA-2706-EWR-CLT	Dec 27 - 6:29pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 8:33pm	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 27	7:59pDec 27	 -	8:33pDec 27	9:51pDec 27	 -
weather	UA-2706-EWR-CLT	2011-12-27 06:29 PM			2011-12-27 08:33 PM		
ifly	UA-2706-EWR-CLT	2011-12-27 6:29 PM	2011-12-27 7:59 PM		2011-12-27 8:33 PM	2011-12-27 9:51 PM	
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 27	8:17 PM, Dec 27		8:33 PM, Dec 27	9:48 PM, Dec 27	
flightarrival	UA-2706-EWR-CLT	2011-12-27 6:29 PM	2011-12-27 7:59 PM		2011-12-27 8:33 PM	2011-12-27 9:51 PM	
CO	CO-1240-IAH-SFO	Tue., Dec.27, 2011 4:10 p.m.	Tue., Dec.27, 2011 4:10 p.m.		Tue., Dec.27, 2011 6:38 p.m.	Tue., Dec.27, 2011 6:22 p.m.	
airtravelcenter	CO-1240-IAH-SFO	12/27/11 4:10 PM (-06:00)			12/27/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/27/11 4:10 PM (-06:00)			12/27/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/27/11 4:10 PM (-06:00)			12/27/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/27/11 4:10 PM (-06:00)			12/27/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-27 04:10 PM		11	2011-12-27 06:38 PM		90
businesstravellogue	CO-1240-IAH-SFO	2011-12-27 04:10 PM		11	2011-12-27 06:38 PM		90
flylouisville	CO-1240-IAH-SFO	2011-12-27 04:10 PM		11	2011-12-27 06:38 PM		90
flightstats	CO-1240-IAH-SFO	2011-12-27 4:10 PM	2011-12-27 4:10 PM (Estimated)		2011-12-27 6:38 PM	2011-12-27 6:22 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-27 4:10 PM	2011-12-27 4:10 PM (Estimated)		2011-12-27 6:38 PM	2011-12-27 6:22 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 27			6:22 PMDec 27		
panynj	CO-1240-IAH-SFO	4:10 PMDec 27			6:22 PMDec 27		
gofox	CO-1240-IAH-SFO	4:10 PMDec 27			6:22 PMDec 27		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 27			6:22 PMDec 27		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 27			6:22 PMDec 27		
boston	CO-1240-IAH-SFO	4:10 PMDec 27			6:38 PMDec 27		
orbitz	CO-1240-IAH-SFO	4:10pDec 27		 E11	6:06pDec 27		 90
ifly	CO-1240-IAH-SFO	2011-12-27 4:10 PM	2011-12-27 4:10 PM (Estimated)		2011-12-27 6:38 PM	2011-12-27 6:22 PM (Estimated)	
flightarrival	CO-1240-IAH-SFO	2011-12-27 4:10 PM	2011-12-27 4:10 PM (Estimated)		2011-12-27 6:38 PM	2011-12-27 6:22 PM (Estimated)	
ua	UA-1974-CVG-CLT	Tue, Dec 27 7:59 PM	Tue, Dec 27 8:58 PM	7	Tue, Dec 27 9:25 PM	Tue, Dec 27 10:32 PM	E13
airtravelcenter	UA-1974-CVG-CLT		12/27/11 9:23 PM (-05:00)			12/27/11 10:21 PM (-05:00)	
myrateplan	UA-1974-CVG-CLT		12/27/11 9:23 PM (-05:00)			12/27/11 10:21 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		12/27/11 9:23 PM (-05:00)			12/27/11 10:21 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		12/27/11 9:23 PM (-05:00)			12/27/11 10:21 PM (-05:00)	
flights	UA-1974-CVG-CLT		2011-12-27 08:58 PM	7		2011-12-27 10:32 PM	E13
businesstravellogue	UA-1974-CVG-CLT		2011-12-27 08:58 PM	7		2011-12-27 10:32 PM	E13
flylouisville	UA-1974-CVG-CLT		2011-12-27 08:58 PM	7		2011-12-27 10:32 PM	E13
flightstats	UA-1974-CVG-CLT	2011-12-27 7:59 PM	2011-12-27 8:58 PM		2011-12-27 9:25 PM	2011-12-27 10:32 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-27 7:59 PM	2011-12-27 8:58 PM		2011-12-27 9:25 PM	2011-12-27 10:32 PM	
flightview	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
panynj	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
gofox	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
foxbusiness	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
allegiantair	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
boston	UA-1974-CVG-CLT		9:23 PMDec 27			10:19 PMDec 27	
travelocity	UA-1974-CVG-CLT	Dec 27 - 7:59pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 9:25pm	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 27	8:58pDec 27	 -	9:25pDec 27	10:32pDec 27	 -
weather	UA-1974-CVG-CLT	2011-12-27 07:59 PM			2011-12-27 09:25 PM		
ifly	UA-1974-CVG-CLT	2011-12-27 7:59 PM	2011-12-27 8:58 PM		2011-12-27 9:25 PM	2011-12-27 10:32 PM	
mytripandmore	UA-1974-CVG-CLT	Dec 27 - 7:59pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 9:25pm	Dec 27 - Contact Airline	Not provided by airline
ua	UA-2708-EWR-CLT	Tue, Dec 27 2:55 PM	Tue, Dec 27 2:55 PM	A37	Tue, Dec 27 4:53 PM	Tue, Dec 27 4:52 PM	C7
airtravelcenter	UA-2708-EWR-CLT		12/27/11 3:14 PM (-05:00)			12/27/11 4:45 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/27/11 3:14 PM (-05:00)			12/27/11 4:45 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/27/11 3:14 PM (-05:00)			12/27/11 4:45 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/27/11 3:14 PM (-05:00)			12/27/11 4:45 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-27 02:49 PM	37		2011-12-27 04:52 PM	C7
businesstravellogue	UA-2708-EWR-CLT		2011-12-27 02:49 PM	37		2011-12-27 04:52 PM	C7
flylouisville	UA-2708-EWR-CLT		2011-12-27 02:49 PM	37		2011-12-27 04:52 PM	C7
flightstats	UA-2708-EWR-CLT	2011-12-27 2:55 PM	2011-12-27 2:49 PM		2011-12-27 4:53 PM	2011-12-27 4:52 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-27 2:55 PM	2011-12-27 2:49 PM		2011-12-27 4:53 PM	2011-12-27 4:52 PM	
flightview	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
panynj	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
gofox	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
foxbusiness	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
allegiantair	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
boston	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
travelocity	UA-2708-EWR-CLT	Dec 27 - 2:55pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 4:53pm	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 27	2:49pDec 27	 -	4:53pDec 27	4:52pDec 27	 -
weather	UA-2708-EWR-CLT	2011-12-27 02:55 PM			2011-12-27 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-27 2:55 PM	2011-12-27 2:49 PM		2011-12-27 4:53 PM	2011-12-27 4:52 PM	
usatoday	UA-2708-EWR-CLT		3:14 PMDec 27			4:42 PMDec 27	
mytripandmore	UA-2708-EWR-CLT	2:55pDec 27	2:49pDec 27	 -	4:53pDec 27	4:52pDec 27	 -
flightarrival	UA-2708-EWR-CLT	2011-12-27 2:55 PM	2011-12-27 2:49 PM		2011-12-27 4:53 PM	2011-12-27 4:52 PM	
CO	CO-53-LAX-IAH	Tue., Dec.27, 2011 2:45 p.m.	Tue., Dec.27, 2011 2:47 p.m.		Tue., Dec.27, 2011 7:56 p.m.	Tue., Dec.27, 2011 7:52 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/27/11 2:45 PM (-08:00)			12/27/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/27/11 2:45 PM (-08:00)			12/27/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/27/11 2:45 PM (-08:00)			12/27/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/27/11 2:45 PM (-08:00)			12/27/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-27 02:47 PM	62		2011-12-27 07:52 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-27 02:47 PM	62		2011-12-27 07:52 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-27 02:47 PM	62		2011-12-27 07:52 PM	43
flightstats	CO-53-LAX-IAH	2011-12-27 2:45 PM	2011-12-27 2:47 PM		2011-12-27 7:56 PM	2011-12-27 7:52 PM	
quicktrip	CO-53-LAX-IAH	2011-12-27 2:45 PM	2011-12-27 2:47 PM		2011-12-27 7:56 PM	2011-12-27 7:52 PM	
flightview	CO-53-LAX-IAH		3:00 PMDec 27			7:52 PMDec 27	
panynj	CO-53-LAX-IAH		3:00 PMDec 27			7:52 PMDec 27	
gofox	CO-53-LAX-IAH		3:00 PMDec 27			7:52 PMDec 27	
foxbusiness	CO-53-LAX-IAH		3:00 PMDec 27			7:52 PMDec 27	
allegiantair	CO-53-LAX-IAH		3:00 PMDec 27			7:52 PMDec 27	
boston	CO-53-LAX-IAH		3:00 PMDec 27			7:46 PMDec 27	
travelocity	CO-53-LAX-IAH	Dec 27 - 2:45pm	Dec 27 - 2:47pm	62	Dec 27 - 7:56pm	Dec 27 - 7:52pm	C-43
orbitz	CO-53-LAX-IAH	2:45pDec 27	2:47pDec 27	 62	7:56pDec 27	7:52pDec 27	 43
weather	CO-53-LAX-IAH	2011-12-27 02:45 PM			2011-12-27 07:56 PM		
ifly	CO-53-LAX-IAH	2011-12-27 2:45 PM	2011-12-27 2:47 PM		2011-12-27 7:56 PM	2011-12-27 7:52 PM	
usatoday	CO-53-LAX-IAH	2011-12-27 02:45 PM			2011-12-27 07:56 PM		
CO	CO-1030-DEN-IAH	Tue., Dec.27, 2011 2:25 p.m.	Tue., Dec.27, 2011 2:32 p.m.		Tue., Dec.27, 2011 5:51 p.m.	Tue., Dec.27, 2011 5:42 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/27/11 2:25 PM (-07:00)			12/27/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/27/11 2:25 PM (-07:00)			12/27/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/27/11 2:25 PM (-07:00)			12/27/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/27/11 2:25 PM (-07:00)			12/27/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-27 02:32 PM	B18		2011-12-27 05:42 PM	40
businesstravellogue	CO-1030-DEN-IAH		2011-12-27 02:32 PM	B18		2011-12-27 05:42 PM	40
flylouisville	CO-1030-DEN-IAH		2011-12-27 02:32 PM	B18		2011-12-27 05:42 PM	40
flightstats	CO-1030-DEN-IAH	2011-12-27 2:25 PM	2011-12-27 2:32 PM		2011-12-27 5:51 PM	2011-12-27 5:42 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-27 2:25 PM	2011-12-27 2:32 PM		2011-12-27 5:51 PM	2011-12-27 5:42 PM	
flightview	CO-1030-DEN-IAH		2:44 PMDec 27			5:42 PMDec 27	
panynj	CO-1030-DEN-IAH		2:44 PMDec 27			5:42 PMDec 27	
gofox	CO-1030-DEN-IAH		2:44 PMDec 27			5:42 PMDec 27	
foxbusiness	CO-1030-DEN-IAH		2:44 PMDec 27			5:42 PMDec 27	
allegiantair	CO-1030-DEN-IAH		2:44 PMDec 27			5:42 PMDec 27	
boston	CO-1030-DEN-IAH		2:44 PMDec 27			5:32 PMDec 27	
travelocity	CO-1030-DEN-IAH	Dec 27 - 2:25pm	Dec 27 - 2:32pm	B18	Dec 27 - 5:51pm	Dec 27 - 5:42pm	C-40
orbitz	CO-1030-DEN-IAH	2:25pDec 27	2:32pDec 27	 B18	5:51pDec 27	5:42pDec 27	 40
weather	CO-1030-DEN-IAH	2011-12-27 02:25 PM			2011-12-27 05:51 PM		
den	CO-1030-DEN-IAH	2011-12-27 2:25 PM		B18			
ifly	CO-1030-DEN-IAH	2011-12-27 2:25 PM	2011-12-27 2:32 PM		2011-12-27 5:51 PM	2011-12-27 5:42 PM	
mytripandmore	CO-1030-DEN-IAH	Dec 27 - 2:25pm	Dec 27 - 2:32pm	B18	Dec 27 - 5:51pm	Dec 27 - 5:42pm	C-40
flightarrival	CO-1030-DEN-IAH		2:44 PMDec 27			5:32 PMDec 27	
ua	UA-4288-EWR-STL	Tue, Dec 27 5:29 PM	Tue, Dec 27 5:29 PM	A26X	Tue, Dec 27 7:21 PM	Tue, Dec 27 7:21 PM	A9
airtravelcenter	UA-4288-EWR-STL	12/27/11 5:29 PM (-05:00)			12/27/11 7:21 PM (-06:00)		
myrateplan	UA-4288-EWR-STL	12/27/11 5:29 PM (-05:00)			12/27/11 7:21 PM (-06:00)		
helloflight	UA-4288-EWR-STL	12/27/11 5:29 PM (-05:00)			12/27/11 7:21 PM (-06:00)		
flytecomm	UA-4288-EWR-STL	12/27/11 5:29 PM (-05:00)			12/27/11 7:21 PM (-06:00)		
flights	UA-4288-EWR-STL	2011-12-27 05:29 PM		28	2011-12-27 07:21 PM		A9
