aa	AA-1007-TPA-MIA	December 8, 2011               01:55 PM    	December 8, 2011               01:55 PM    	 F80	December 8, 2011               03:00 PM    	December 8, 2011               02:55 PM    	 D12    
quicktrip	AA-1518-DFW-SDF	2011-12-08 12:10 PM	2011-12-08 12:28 PM		2011-12-08 3:10 PM	2011-12-08 3:14 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-08 12:10 PM	2011-12-08 12:28 PM		2011-12-08 3:10 PM	2011-12-08 3:14 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
travelocity	AA-1518-DFW-SDF	Dec 08 - 12:10pm	Dec 08 - 12:28pm	A23/A	Dec 08 - 3:10pm	Dec 08 - 3:14pm	A15
orbitz	AA-1518-DFW-SDF	12:25pDec 8	12:28pDec 8	 A23	3:10pDec 8	3:14pDec 8	 A15
weather	AA-1518-DFW-SDF	2011-12-08 12:10 PM			2011-12-08 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-08 12:10 pm		A23			
ifly	AA-1518-DFW-SDF	2011-12-08 12:10 PM	2011-12-08 12:28 PM		2011-12-08 3:10 PM	2011-12-08 3:14 PM	
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 08	12:38 PM, Dec 08		3:10 PM, Dec 08	3:07 PM, Dec 08	
mytripandmore	AA-1518-DFW-SDF	12:25pDec 8	12:28pDec 8	 A23	3:10pDec 8	3:14pDec 8	 A15
ua	UA-4642-IAH-AMA	Thu, Dec 8 6:20 PM	Thu, Dec 8 6:20 PM	B74	Thu, Dec 8 8:03 PM	Thu, Dec 8 8:03 PM	--
airtravelcenter	UA-4642-IAH-AMA	12/8/11 6:20 PM (-06:00)			12/8/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/8/11 6:20 PM (-06:00)			12/8/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/8/11 6:20 PM (-06:00)			12/8/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/8/11 6:20 PM (-06:00)			12/8/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Thu 08-Dec-2011			08:03 PM  Thu 08-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Thu 08-Dec-2011			08:03 PM  Thu 08-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Thu 08-Dec-2011			08:03 PM  Thu 08-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-08 6:20 PM	2011-12-08 6:20 PM (Estimated)		2011-12-08 8:03 PM	2011-12-08 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-08 6:20 PM	2011-12-08 6:20 PM (Estimated)		2011-12-08 8:03 PM	2011-12-08 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-08 6:20 PM	2011-12-08 6:20 PM (Estimated)		2011-12-08 8:03 PM	2011-12-08 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 08			8:03 PM, Dec 08		
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 08			8:03 PM, Dec 08		
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 08			8:03 PM, Dec 08		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 08			8:03 PM, Dec 08		
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 08			8:03 PM, Dec 08		
boston	UA-4642-IAH-AMA	6:20 PM, Dec 08	Not Available		8:03 PM, Dec 08	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 08 - 6:20pm	Dec 08 - Contact Airline	Not provided by airline	Dec 08 - 8:03pm	Dec 08 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 8		 B74	8:03pDec 8		 -
usatoday	UA-4642-IAH-AMA	6:20 PM, Dec 08	Not Available		8:03 PM, Dec 08	Not Available	
flightarrival	UA-4642-IAH-AMA	6:20 PM, Dec 08	Not Available		8:03 PM, Dec 08	Not Available	
ua	UA-432-SFO-ORD	Thu, Dec 8 6:00 AM	Thu, Dec 8 5:59 AM	82	Thu, Dec 8 12:18 PM	Thu, Dec 8 11:51 AM	C17
flightexplorer	UA-432-SFO-ORD		12/8/2011 6:20AM PST			12/8/2011 11:50AM CST	
airtravelcenter	UA-432-SFO-ORD		12/8/11 6:22 AM (-08:00)			12/8/11 11:50 AM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/8/11 6:22 AM (-08:00)			12/8/11 11:50 AM (-06:00)	
helloflight	UA-432-SFO-ORD		12/8/11 6:22 AM (-08:00)			12/8/11 11:50 AM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/8/11 6:22 AM (-08:00)			12/8/11 11:50 AM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-08 05:59 AM	82		2011-12-08 11:51 AM	C17
businesstravellogue	UA-432-SFO-ORD		2011-12-08 05:59 AM	82		2011-12-08 11:51 AM	C17
flylouisville	UA-432-SFO-ORD		2011-12-08 05:59 AM	82		2011-12-08 11:51 AM	C17
flightview	UA-432-SFO-ORD		6:22 AMDec 08			11:51 AMDec 08	
panynj	UA-432-SFO-ORD		6:22 AMDec 08			11:51 AMDec 08	
gofox	UA-432-SFO-ORD		6:22 AMDec 08			11:51 AMDec 08	
foxbusiness	UA-432-SFO-ORD		6:22 AMDec 08			11:51 AMDec 08	
allegiantair	UA-432-SFO-ORD		6:22 AMDec 08			11:51 AMDec 08	
boston	UA-432-SFO-ORD		6:22 AMDec 08			11:49 AMDec 08	
travelocity	UA-432-SFO-ORD	Dec 08 - Not Available	Dec 08 - 6:21am	82	Dec 08 - Not Available	Dec 08 - 11:51am	C17
orbitz	UA-432-SFO-ORD	6:22aDec 8	6:21aDec 8	 82	12:18pDec 8	11:51aDec 8	 C17
weather	UA-432-SFO-ORD	2011-12-08 06:00 AM			2011-12-08 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-08 6:00 AM		82	2011-12-08 12:18 PM		C17
usatoday	UA-432-SFO-ORD	2011-12-08 06:00 AM			2011-12-08 12:18 PM		
mytripandmore	UA-432-SFO-ORD	6:22aDec 8	6:21aDec 8	 82	12:18pDec 8	11:51aDec 8	 C17
flightarrival	UA-432-SFO-ORD	2011-12-08 06:00 AM			2011-12-08 12:18 PM		
CO	CO-4461-EWR-CVG	Thu., Dec.08, 2011 1:55 p.m.	Thu., Dec.08, 2011 1:46 p.m.		Thu., Dec.08, 2011 4:00 p.m.	Thu., Dec.08, 2011 3:57 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/8/11 1:55 PM (-05:00)			12/8/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/8/11 1:55 PM (-05:00)			12/8/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/8/11 1:55 PM (-05:00)			12/8/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/8/11 1:55 PM (-05:00)			12/8/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-08 01:46 PM	20A		2011-12-08 03:57 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-08 01:46 PM	20A		2011-12-08 03:57 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-08 01:46 PM	20A		2011-12-08 03:57 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-08 1:55 PM	2011-12-08 1:46 PM		2011-12-08 4:00 PM	2011-12-08 3:57 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-08 1:55 PM	2011-12-08 1:46 PM		2011-12-08 4:00 PM	2011-12-08 3:57 PM	
flightview	CO-4461-EWR-CVG		2:05 PMDec 08			3:57 PMDec 08	
panynj	CO-4461-EWR-CVG		2:05 PMDec 08			3:57 PMDec 08	
gofox	CO-4461-EWR-CVG		2:05 PMDec 08			3:57 PMDec 08	
foxbusiness	CO-4461-EWR-CVG		2:05 PMDec 08			3:57 PMDec 08	
allegiantair	CO-4461-EWR-CVG		2:05 PMDec 08			3:57 PMDec 08	
boston	CO-4461-EWR-CVG		2:05 PMDec 08			3:55 PMDec 08	
orbitz	CO-4461-EWR-CVG	1:55pDec 8	1:46pDec 8	 A20A	4:00pDec 8	3:57pDec 8	 2
orbitz	CO-4461-EWR-CVG	1:55pDec 8	1:46pDec 8	 -	4:00pDec 8	3:57pDec 8	 -
weather	CO-4461-EWR-CVG	2011-12-08 01:55 PM			2011-12-08 04:00 PM		
usatoday	CO-4461-EWR-CVG	2011-12-08 01:55 PM			2011-12-08 04:00 PM		
mytripandmore	CO-4461-EWR-CVG	1:55pDec 8	1:46pDec 8	 -	4:00pDec 8	3:57pDec 8	 -
flightarrival	CO-4461-EWR-CVG	2011-12-08 01:55 PM			2011-12-08 04:00 PM		
ua	UA-2706-EWR-CLT	Thu, Dec 8 6:29 PM	Thu, Dec 8 7:02 PM	A38	Thu, Dec 8 8:33 PM	Thu, Dec 8 8:54 PM	B8
airtravelcenter	UA-2706-EWR-CLT		12/8/11 7:24 PM (-05:00)			12/8/11 8:51 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/8/11 7:24 PM (-05:00)			12/8/11 8:51 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/8/11 7:24 PM (-05:00)			12/8/11 8:51 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/8/11 7:24 PM (-05:00)			12/8/11 8:51 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-08 06:29PM EST	2011-12-08 07:23PM EST		2011-12-08 08:30PM EST	2011-12-08 08:48PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-08 06:29PM EST	2011-12-08 07:23PM EST		2011-12-08 08:30PM EST	2011-12-08 08:48PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Thu 08-Dec-2011	07:02 PM  Thu 08-Dec-2011	38	08:33 PM  Thu 08-Dec-2011	08:54 PM  Thu 08-Dec-2011	B8
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Thu 08-Dec-2011	07:02 PM  Thu 08-Dec-2011	38	08:33 PM  Thu 08-Dec-2011	08:54 PM  Thu 08-Dec-2011	B8
flylouisville	UA-2706-EWR-CLT	06:29 PM  Thu 08-Dec-2011	07:02 PM  Thu 08-Dec-2011	38	08:33 PM  Thu 08-Dec-2011	08:54 PM  Thu 08-Dec-2011	B8
flightstats	UA-2706-EWR-CLT	2011-12-08 6:29 PM	2011-12-08 7:02 PM		2011-12-08 8:33 PM	2011-12-08 8:54 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-08 6:29 PM	2011-12-08 7:02 PM		2011-12-08 8:33 PM	2011-12-08 8:54 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-08 6:29 PM	2011-12-08 7:02 PM		2011-12-08 8:33 PM	2011-12-08 8:54 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 08	7:24 PM, Dec 08		8:33 PM, Dec 08	8:54 PM, Dec 08	
travelocity	UA-2706-EWR-CLT	Dec 08 - 6:29pm	Dec 08 - Contact Airline	Not provided by airline	Dec 08 - 8:33pm	Dec 08 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 8	7:02pDec 8	 -	8:33pDec 8	8:54pDec 8	 -
weather	UA-2706-EWR-CLT	2011-12-08 06:29 PM			2011-12-08 08:33 PM		
ifly	UA-2706-EWR-CLT	2011-12-08 6:29 PM	2011-12-08 7:02 PM		2011-12-08 8:33 PM	2011-12-08 8:54 PM	
usatoday	UA-2706-EWR-CLT	2011-12-08 06:29 PM			2011-12-08 08:33 PM		
mytripandmore	UA-2706-EWR-CLT	Dec 08 - 6:29pm	Dec 08 - Contact Airline	Not provided by airline	Dec 08 - 8:33pm	Dec 08 - Contact Airline	Not provided by airline
flightwise	UA-2706-EWR-CLT	2011-12-08 06:29PM EST	2011-12-08 07:23PM EST		2011-12-08 08:30PM EST	2011-12-08 08:48PM EST	
ua	UA-581-DEN-IAD	Thu, Dec 8 8:36 AM	Thu, Dec 8 8:31 AM	B41	Thu, Dec 8 1:52 PM	Thu, Dec 8 1:56 PM	C11
flightexplorer	UA-581-DEN-IAD		12/8/2011 8:50AM MST			12/8/2011 1:45PM EST	
airtravelcenter	UA-581-DEN-IAD		12/8/11 8:51 AM (-07:00)			12/8/11 1:40 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/8/11 8:51 AM (-07:00)			12/8/11 1:40 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/8/11 8:51 AM (-07:00)			12/8/11 1:40 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/8/11 8:51 AM (-07:00)			12/8/11 1:40 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-08 08:36AM MST	2011-12-08 08:51AM MST	 B41 	2011-12-08 01:35PM EST	2011-12-08 01:45PM EST	 C11 
wunderground	UA-581-DEN-IAD	2011-12-08 08:36AM MST	2011-12-08 08:51AM MST	 B41 	2011-12-08 01:35PM EST	2011-12-08 01:45PM EST	 C11 
flights	UA-581-DEN-IAD	08:36 AM  Thu 08-Dec-2011	08:31 AM  Thu 08-Dec-2011	B41	01:52 PM  Thu 08-Dec-2011	01:56 PM  Thu 08-Dec-2011	C11
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Thu 08-Dec-2011	08:31 AM  Thu 08-Dec-2011	B41	01:52 PM  Thu 08-Dec-2011	01:56 PM  Thu 08-Dec-2011	C11
flylouisville	UA-581-DEN-IAD	08:36 AM  Thu 08-Dec-2011	08:31 AM  Thu 08-Dec-2011	B41	01:52 PM  Thu 08-Dec-2011	01:56 PM  Thu 08-Dec-2011	C11
flightstats	UA-581-DEN-IAD	2011-12-08 8:36 AM	2011-12-08 8:31 AM		2011-12-08 1:52 PM	2011-12-08 1:56 PM	
quicktrip	UA-581-DEN-IAD	2011-12-08 8:36 AM	2011-12-08 8:31 AM		2011-12-08 1:52 PM	2011-12-08 1:56 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-08 8:36 AM	2011-12-08 8:31 AM		2011-12-08 1:52 PM	2011-12-08 1:56 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08	B41	1:52 PM, Dec 08	1:56 PM, Dec 08	C11
panynj	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08	B41	1:52 PM, Dec 08	1:56 PM, Dec 08	C11
gofox	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08		1:52 PM, Dec 08	1:56 PM, Dec 08	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08	B41	1:52 PM, Dec 08	1:56 PM, Dec 08	C11
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08	B41	1:52 PM, Dec 08	1:56 PM, Dec 08	C11
boston	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08		1:52 PM, Dec 08	1:46 PM, Dec 08	
travelocity	UA-581-DEN-IAD	Dec 08 - Not Available	Dec 08 - 8:50am	B41	Dec 08 - Not Available	Dec 08 - 1:56pm	C11
orbitz	UA-581-DEN-IAD	8:36aDec 8	8:31aDec 8	 B41	1:52pDec 8	1:56pDec 8	 C11
weather	UA-581-DEN-IAD	2011-12-08 08:36 AM	2011-12-08 08:51 AM		2011-12-08 01:52 PM	2011-12-08 01:45 PM	
den	UA-581-DEN-IAD	2011-12-08 8:36 AM		B41			
iad	UA-581-DEN-IAD				2011-12-08 13:52 	2011-12-08 13:56 	
flightwise	UA-581-DEN-IAD	2011-12-08 08:36AM MST	2011-12-08 08:51AM MST	 B41 	2011-12-08 01:35PM EST	2011-12-08 01:45PM EST	 C11 
flightarrival	UA-581-DEN-IAD	8:36 AM, Dec 08	8:51 AM, Dec 08		1:52 PM, Dec 08	1:46 PM, Dec 08	
ua	UA-779-BOS-DEN	Thu, Dec 8 2:40 PM	Thu, Dec 8 2:36 PM            On Time	C20	Thu, Dec 8 5:22 PM	Thu, Dec 8 5:22 PM	B23
airtravelcenter	UA-779-BOS-DEN		12/8/11 2:48 PM (-05:00)			12/8/11 5:22 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/8/11 2:48 PM (-05:00)			12/8/11 5:22 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/8/11 2:48 PM (-05:00)			12/8/11 5:22 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/8/11 2:48 PM (-05:00)			12/8/11 5:22 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-08 02:36 PM	C20		2011-12-08 05:22 PM	B23
businesstravellogue	UA-779-BOS-DEN		2011-12-08 02:36 PM	C20		2011-12-08 05:22 PM	B23
flylouisville	UA-779-BOS-DEN		2011-12-08 02:36 PM	C20		2011-12-08 05:22 PM	B23
flightstats	UA-779-BOS-DEN	2011-12-08 2:40 PM	2011-12-08 2:36 PM		2011-12-08 5:22 PM	2011-12-08 5:22 PM	
quicktrip	UA-779-BOS-DEN	2011-12-08 2:40 PM	2011-12-08 2:36 PM		2011-12-08 5:22 PM	2011-12-08 5:22 PM	
flightview	UA-779-BOS-DEN		2:49 PMDec 08			5:22 PMDec 08	
panynj	UA-779-BOS-DEN		2:49 PMDec 08			5:22 PMDec 08	
gofox	UA-779-BOS-DEN		2:49 PMDec 08			5:22 PMDec 08	
foxbusiness	UA-779-BOS-DEN		2:49 PMDec 08			5:22 PMDec 08	
allegiantair	UA-779-BOS-DEN		2:49 PMDec 08			5:22 PMDec 08	
boston	UA-779-BOS-DEN		2:49 PMDec 08			5:21 PMDec 08	
orbitz	UA-779-BOS-DEN	2:40pDec 8	2:36pDec 8	 C20	5:22pDec 8	5:22pDec 8	 B23
flightarrival	UA-779-BOS-DEN		2:49 PMDec 08			5:21 PMDec 08	
ua	UA-2708-EWR-CLT	Thu, Dec 8 2:55 PM	Thu, Dec 8 2:55 PM	A37	Thu, Dec 8 4:53 PM	Thu, Dec 8 4:50 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/8/11 3:20 PM (-05:00)			12/8/11 4:47 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/8/11 3:20 PM (-05:00)			12/8/11 4:47 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/8/11 3:20 PM (-05:00)			12/8/11 4:47 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/8/11 3:20 PM (-05:00)			12/8/11 4:47 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-08 02:49 PM	37		2011-12-08 04:50 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-08 02:49 PM	37		2011-12-08 04:50 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-08 02:49 PM	37		2011-12-08 04:50 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-08 2:55 PM	2011-12-08 2:49 PM		2011-12-08 4:53 PM	2011-12-08 4:50 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-08 2:55 PM	2011-12-08 2:49 PM		2011-12-08 4:53 PM	2011-12-08 4:50 PM	
flightview	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
panynj	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
gofox	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
foxbusiness	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
allegiantair	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
boston	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
travelocity	UA-2708-EWR-CLT	Dec 08 - 2:55pm	Dec 08 - Contact Airline	Not provided by airline	Dec 08 - 4:53pm	Dec 08 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 8	2:49pDec 8	 -	4:53pDec 8	4:50pDec 8	 -
weather	UA-2708-EWR-CLT	2011-12-08 02:55 PM			2011-12-08 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-08 2:55 PM	2011-12-08 2:49 PM		2011-12-08 4:53 PM	2011-12-08 4:50 PM	
usatoday	UA-2708-EWR-CLT	2011-12-08 2:55 PM	2011-12-08 2:49 PM		2011-12-08 4:53 PM	2011-12-08 4:50 PM	
mytripandmore	UA-2708-EWR-CLT	2:55pDec 8	2:49pDec 8	 -	4:53pDec 8	4:50pDec 8	 -
flightarrival	UA-2708-EWR-CLT		3:20 PMDec 08			4:49 PMDec 08	
CO	CO-53-LAX-IAH	Thu., Dec.08, 2011 2:40 p.m.	Thu., Dec.08, 2011 2:39 p.m.		Thu., Dec.08, 2011 7:48 p.m.	Thu., Dec.08, 2011 7:35 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/8/11 2:40 PM (-08:00)			12/8/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/8/11 2:40 PM (-08:00)			12/8/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/8/11 2:40 PM (-08:00)			12/8/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/8/11 2:40 PM (-08:00)			12/8/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-08 02:39 PM	60		2011-12-08 07:35 PM	8
businesstravellogue	CO-53-LAX-IAH		2011-12-08 02:39 PM	60		2011-12-08 07:35 PM	8
flylouisville	CO-53-LAX-IAH		2011-12-08 02:39 PM	60		2011-12-08 07:35 PM	8
flightstats	CO-53-LAX-IAH	2011-12-08 2:40 PM	2011-12-08 2:39 PM		2011-12-08 7:48 PM	2011-12-08 7:35 PM	
quicktrip	CO-53-LAX-IAH	2011-12-08 2:40 PM	2011-12-08 2:39 PM		2011-12-08 7:48 PM	2011-12-08 7:35 PM	
flightview	CO-53-LAX-IAH		2:53 PMDec 08			7:35 PMDec 08	
panynj	CO-53-LAX-IAH		2:53 PMDec 08			7:35 PMDec 08	
gofox	CO-53-LAX-IAH		2:53 PMDec 08			7:35 PMDec 08	
foxbusiness	CO-53-LAX-IAH		2:53 PMDec 08			7:35 PMDec 08	
allegiantair	CO-53-LAX-IAH		2:53 PMDec 08			7:35 PMDec 08	
