CO	CO-4237-EWR-DTW	Sat., Dec.17, 2011 12:33 p.m.	Sat., Dec.17, 2011 12:34 p.m.		Sat., Dec.17, 2011 2:38 p.m.	Sat., Dec.17, 2011 2:23 p.m.	
aa	AA-1007-TPA-MIA	December 17, 2011               01:55 PM    	December 17, 2011               02:28 PM    	 F78	December 17, 2011               03:00 PM    	December 17, 2011               03:24 PM    	 D38    
airtravelcenter	AA-1007-TPA-MIA		12/17/11 2:38 PM (-05:00)			12/17/11 3:19 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/17/11 2:38 PM (-05:00)			12/17/11 3:19 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/17/11 2:38 PM (-05:00)			12/17/11 3:19 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/17/11 2:38 PM (-05:00)			12/17/11 3:19 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-17 02:28 PM	F78		2011-12-17 03:24 PM	D38
businesstravellogue	AA-1007-TPA-MIA		2011-12-17 02:28 PM	F78		2011-12-17 03:24 PM	D38
flylouisville	AA-1007-TPA-MIA		2011-12-17 02:28 PM	F78		2011-12-17 03:24 PM	D38
flightview	AA-1007-TPA-MIA		2:39 PMDec 17			3:24 PMDec 17	
panynj	AA-1007-TPA-MIA		2:39 PMDec 17			3:24 PMDec 17	
gofox	AA-1007-TPA-MIA		2:39 PMDec 17			3:24 PMDec 17	
foxbusiness	AA-1007-TPA-MIA		2:39 PMDec 17			3:24 PMDec 17	
allegiantair	AA-1007-TPA-MIA		2:39 PMDec 17			3:24 PMDec 17	
boston	AA-1007-TPA-MIA		2:39 PMDec 17			3:17 PMDec 17	
orbitz	AA-1007-TPA-MIA	1:55pDec 17	2:28pDec 17	 F78	3:00pDec 17	3:24pDec 17	 D38
weather	AA-1007-TPA-MIA	2011-12-17 01:55 PM			2011-12-17 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-17-11	2011-12-17  3:38P	
mytripandmore	AA-1007-TPA-MIA	1:55pDec 17	2:28pDec 17	 F78	3:00pDec 17	3:24pDec 17	 D38
aa	AA-1518-DFW-SDF	December 17, 2011               12:10 PM    	December 17, 2011               02:14 PM    	 C2	December 17, 2011               03:10 PM    	December 17, 2011               05:04 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/17/2011 2:29PM CST			12/17/2011 5:02PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/17/11 2:27 PM (-06:00)			12/17/11 5:02 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/17/11 2:27 PM (-06:00)			12/17/11 5:02 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/17/11 2:27 PM (-06:00)			12/17/11 5:02 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/17/11 2:27 PM (-06:00)			12/17/11 5:02 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-17 12:10PM CST	2011-12-17 02:29PM CST	 C2 	2011-12-17 02:57PM EST	2011-12-17 04:59PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-17 12:10PM CST	2011-12-17 02:29PM CST	 C2 	2011-12-17 02:57PM EST	2011-12-17 04:59PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sat 17-Dec-2011	02:14 PM  Sat 17-Dec-2011	C2	03:10 PM  Sat 17-Dec-2011	05:04 PM  Sat 17-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sat 17-Dec-2011	02:14 PM  Sat 17-Dec-2011	C2	03:10 PM  Sat 17-Dec-2011	05:04 PM  Sat 17-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sat 17-Dec-2011	02:14 PM  Sat 17-Dec-2011	C2	03:10 PM  Sat 17-Dec-2011	05:04 PM  Sat 17-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-17 12:10 PM	2011-12-17 2:14 PM		2011-12-17 3:10 PM	2011-12-17 5:04 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-17 12:10 PM	2011-12-17 2:14 PM		2011-12-17 3:10 PM	2011-12-17 5:04 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-17 12:10 PM	2011-12-17 2:14 PM		2011-12-17 3:10 PM	2011-12-17 5:04 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
orbitz	AA-1518-DFW-SDF	2:10pDec 17	2:14pDec 17	 C2	3:10pDec 17	5:04pDec 17	 A15
weather	AA-1518-DFW-SDF	2011-12-17 12:10 PM			2011-12-17 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-17 12:10 pm		C2			
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 17	2:29 PM, Dec 17		3:10 PM, Dec 17	4:59 PM, Dec 17	
ua	UA-3750-ORD-DFW	Sat, Dec 17 2:55 PM	Sat, Dec 17 3:13 PM	C1	Sat, Dec 17 5:26 PM	Sat, Dec 17 5:20 PM	E4
airtravelcenter	UA-3750-ORD-DFW		12/17/11 3:25 PM (-06:00)			12/17/11 5:13 PM (-06:00)	
myrateplan	UA-3750-ORD-DFW		12/17/11 3:25 PM (-06:00)			12/17/11 5:13 PM (-06:00)	
helloflight	UA-3750-ORD-DFW		12/17/11 3:25 PM (-06:00)			12/17/11 5:13 PM (-06:00)	
flytecomm	UA-3750-ORD-DFW		12/17/11 3:25 PM (-06:00)			12/17/11 5:13 PM (-06:00)	
flights	UA-3750-ORD-DFW		2011-12-17 03:13 PM	C1		2011-12-17 05:20 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-17 03:13 PM	C1		2011-12-17 05:20 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-17 03:13 PM	C1		2011-12-17 05:20 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-17 2:55 PM	2011-12-17 3:13 PM		2011-12-17 5:26 PM	2011-12-17 5:20 PM	
quicktrip	UA-3750-ORD-DFW	2011-12-17 2:55 PM	2011-12-17 3:13 PM		2011-12-17 5:26 PM	2011-12-17 5:20 PM	
flightview	UA-3750-ORD-DFW		3:25 PMDec 17			5:20 PMDec 17	
panynj	UA-3750-ORD-DFW		3:25 PMDec 17			5:20 PMDec 17	
gofox	UA-3750-ORD-DFW		3:25 PMDec 17			5:20 PMDec 17	
foxbusiness	UA-3750-ORD-DFW		3:25 PMDec 17			5:20 PMDec 17	
allegiantair	UA-3750-ORD-DFW		3:25 PMDec 17			5:20 PMDec 17	
boston	UA-3750-ORD-DFW		3:25 PMDec 17			5:13 PMDec 17	
orbitz	UA-3750-ORD-DFW	2:55pDec 17	3:13pDec 17	 C1	5:26pDec 17	5:20pDec 17	 E4
weather	UA-3750-ORD-DFW	2011-12-17 02:55 PM			2011-12-17 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-17 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-17 2:55 PM		C1	2011-12-17 5:26 PM		E4
mytripandmore	UA-3750-ORD-DFW	2:55pDec 17	3:13pDec 17	 C1	5:26pDec 17	5:20pDec 17	 E4
flightarrival	UA-3750-ORD-DFW	2011-12-17 2:55 PM	2011-12-17 3:13 PM		2011-12-17 5:26 PM	2011-12-17 5:20 PM	
ua	UA-2706-EWR-CLT	Sat, Dec 17 6:29 PM	Sat, Dec 17 6:29 PM	A38	Sat, Dec 17 8:33 PM	Sat, Dec 17 8:21 PM	C4
airtravelcenter	UA-2706-EWR-CLT		12/17/11 6:50 PM (-05:00)			12/17/11 8:15 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/17/11 6:50 PM (-05:00)			12/17/11 8:15 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/17/11 6:50 PM (-05:00)			12/17/11 8:15 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/17/11 6:50 PM (-05:00)			12/17/11 8:15 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-17 06:29PM EST	2011-12-17 06:49PM EST		2011-12-17 08:29PM EST	2011-12-17 08:12PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-17 06:29PM EST	2011-12-17 06:49PM EST		2011-12-17 08:29PM EST	2011-12-17 08:12PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sat 17-Dec-2011	06:21 PM  Sat 17-Dec-2011	38	08:33 PM  Sat 17-Dec-2011	08:21 PM  Sat 17-Dec-2011	C4
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sat 17-Dec-2011	06:21 PM  Sat 17-Dec-2011	38	08:33 PM  Sat 17-Dec-2011	08:21 PM  Sat 17-Dec-2011	C4
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sat 17-Dec-2011	06:21 PM  Sat 17-Dec-2011	38	08:33 PM  Sat 17-Dec-2011	08:21 PM  Sat 17-Dec-2011	C4
flightstats	UA-2706-EWR-CLT	2011-12-17 6:29 PM	2011-12-17 6:21 PM		2011-12-17 8:33 PM	2011-12-17 8:21 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-17 6:29 PM	2011-12-17 6:21 PM		2011-12-17 8:33 PM	2011-12-17 8:21 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-17 6:29 PM	2011-12-17 6:21 PM		2011-12-17 8:33 PM	2011-12-17 8:21 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 17	6:50 PM, Dec 17		8:33 PM, Dec 17	8:13 PM, Dec 17	
orbitz	UA-2706-EWR-CLT	6:29pDec 17	6:21pDec 17	 -	8:33pDec 17	8:21pDec 17	 -
weather	UA-2706-EWR-CLT	2011-12-17 06:29 PM			2011-12-17 08:33 PM		
usatoday	UA-2706-EWR-CLT	2011-12-17 06:29 PM			2011-12-17 08:33 PM		
flightwise	UA-2706-EWR-CLT	2011-12-17 06:29PM EST	2011-12-17 06:49PM EST		2011-12-17 08:29PM EST	2011-12-17 08:12PM EST	
CO	CO-1240-IAH-SFO	Sat., Dec.17, 2011 4:10 p.m.	Sat., Dec.17, 2011 4:10 p.m.		Sat., Dec.17, 2011 6:44 p.m.	Sat., Dec.17, 2011 6:01 p.m.	
airtravelcenter	CO-1240-IAH-SFO	12/17/11 4:10 PM (-06:00)			12/17/11 6:44 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/17/11 4:10 PM (-06:00)			12/17/11 6:44 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/17/11 4:10 PM (-06:00)			12/17/11 6:44 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/17/11 4:10 PM (-06:00)			12/17/11 6:44 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-17 04:10 PM		17	2011-12-17 06:44 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-17 04:10 PM		17	2011-12-17 06:44 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-17 04:10 PM		17	2011-12-17 06:44 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-17 4:10 PM	2011-12-17 4:10 PM (Estimated)		2011-12-17 6:44 PM	2011-12-17 6:01 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-17 4:10 PM	2011-12-17 4:10 PM (Estimated)		2011-12-17 6:44 PM	2011-12-17 6:01 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 17			6:01 PMDec 17		
panynj	CO-1240-IAH-SFO	4:10 PMDec 17			6:01 PMDec 17		
gofox	CO-1240-IAH-SFO	4:10 PMDec 17			6:01 PMDec 17		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 17			6:01 PMDec 17		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 17			6:01 PMDec 17		
boston	CO-1240-IAH-SFO	4:10 PMDec 17			6:44 PMDec 17		
orbitz	CO-1240-IAH-SFO	4:10pDec 17		 E17	5:18pDec 17		 89
usatoday	CO-1240-IAH-SFO	4:10 PMDec 17			6:44 PMDec 17		
mytripandmore	CO-1240-IAH-SFO	4:10pDec 17		 E17	5:18pDec 17		 89
flightarrival	CO-1240-IAH-SFO	4:10 PMDec 17			6:44 PMDec 17		
ua	UA-2708-EWR-CLT	Sat, Dec 17 2:55 PM	Sat, Dec 17 2:55 PM	A37	Sat, Dec 17 4:53 PM	Sat, Dec 17 4:37 PM	C17
airtravelcenter	UA-2708-EWR-CLT	12/17/11 2:55 PM (-05:00)			12/17/11 4:53 PM (-05:00)		
myrateplan	UA-2708-EWR-CLT	12/17/11 2:55 PM (-05:00)			12/17/11 4:53 PM (-05:00)		
helloflight	UA-2708-EWR-CLT	12/17/11 2:55 PM (-05:00)			12/17/11 4:53 PM (-05:00)		
flytecomm	UA-2708-EWR-CLT	12/17/11 2:55 PM (-05:00)			12/17/11 4:53 PM (-05:00)		
flights	UA-2708-EWR-CLT		2011-12-17 02:51 PM	37		2011-12-17 04:37 PM	C17
businesstravellogue	UA-2708-EWR-CLT		2011-12-17 02:51 PM	37		2011-12-17 04:37 PM	C17
flylouisville	UA-2708-EWR-CLT		2011-12-17 02:51 PM	37		2011-12-17 04:37 PM	C17
flightstats	UA-2708-EWR-CLT	2011-12-17 2:55 PM	2011-12-17 2:51 PM		2011-12-17 4:53 PM	2011-12-17 4:37 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-17 2:55 PM	2011-12-17 2:51 PM		2011-12-17 4:53 PM	2011-12-17 4:37 PM	
flightview	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
panynj	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
gofox	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
foxbusiness	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
allegiantair	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
boston	UA-2708-EWR-CLT		3:07 PMDec 17			4:37 PMDec 17	
orbitz	UA-2708-EWR-CLT	2:55pDec 17	2:51pDec 17	 A37	4:53pDec 17	4:37pDec 17	 C17
weather	UA-2708-EWR-CLT	2011-12-17 02:55 PM			2011-12-17 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-17 2:55 PM	2011-12-17 2:51 PM		2011-12-17 4:53 PM	2011-12-17 4:37 PM	
flightarrival	UA-2708-EWR-CLT	2011-12-17 02:55 PM			2011-12-17 04:53 PM		
ua	UA-5860-ORD-OMA	Sat, Dec 17 7:20 AM	Sat, Dec 17 8:17 AM	E3	Sat, Dec 17 8:52 AM	Sat, Dec 17 10:25 AM	B14
airtravelcenter	UA-5860-ORD-OMA	12/17/11 7:20 AM (-06:00)			12/17/11 8:52 AM (-06:00)		
myrateplan	UA-5860-ORD-OMA	12/17/11 7:20 AM (-06:00)			12/17/11 8:52 AM (-06:00)		
helloflight	UA-5860-ORD-OMA	12/17/11 7:20 AM (-06:00)			12/17/11 8:52 AM (-06:00)		
flytecomm	UA-5860-ORD-OMA	12/17/11 7:20 AM (-06:00)			12/17/11 8:52 AM (-06:00)		
flights	UA-5860-ORD-OMA	07:20 AM  Sat 17-Dec-2011	08:17 AM  Sat 17-Dec-2011	E3	08:52 AM  Sat 17-Dec-2011	10:25 AM  Sat 17-Dec-2011	B14
businesstravellogue	UA-5860-ORD-OMA	07:20 AM  Sat 17-Dec-2011	08:17 AM  Sat 17-Dec-2011	E3	08:52 AM  Sat 17-Dec-2011	10:25 AM  Sat 17-Dec-2011	B14
flylouisville	UA-5860-ORD-OMA	07:20 AM  Sat 17-Dec-2011	08:17 AM  Sat 17-Dec-2011	E3	08:52 AM  Sat 17-Dec-2011	10:25 AM  Sat 17-Dec-2011	B14
world-flight-tracker	UA-5860-ORD-OMA	2011-12-17 7:20 AM	2011-12-17 8:17 AM		2011-12-17 8:52 AM	2011-12-17 10:25 AM	
flightview	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17	E3	8:52 AM, Dec 17	10:25 AM, Dec 17	B14
panynj	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17	E3	8:52 AM, Dec 17	10:25 AM, Dec 17	B14
gofox	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17		8:52 AM, Dec 17	10:25 AM, Dec 17	
foxbusiness	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17	E3	8:52 AM, Dec 17	10:25 AM, Dec 17	B14
allegiantair	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17	E3	8:52 AM, Dec 17	10:25 AM, Dec 17	B14
boston	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17		8:52 AM, Dec 17	10:23 AM, Dec 17	
orbitz	UA-5860-ORD-OMA	7:20aDec 17	8:17aDec 17	 E3	8:52aDec 17	10:25aDec 17	 B14
weather	UA-5860-ORD-OMA	2011-12-17 07:20 AM			2011-12-17 08:52 AM		
usatoday	UA-5860-ORD-OMA	7:20 AM, Dec 17	9:14 AM, Dec 17		8:52 AM, Dec 17	10:23 AM, Dec 17	
mytripandmore	UA-5860-ORD-OMA	7:20aDec 17	8:17aDec 17	 E3	8:52aDec 17	10:25aDec 17	 B14
flightarrival	UA-5860-ORD-OMA	2011-12-17 07:20 AM			2011-12-17 08:52 AM		
CO	CO-53-LAX-IAH	Sat., Dec.17, 2011 2:50 p.m.	Sat., Dec.17, 2011 2:57 p.m.		Sat., Dec.17, 2011 8:01 p.m.	Sat., Dec.17, 2011 8:07 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/17/11 2:50 PM (-08:00)			12/17/11 8:01 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/17/11 2:50 PM (-08:00)			12/17/11 8:01 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/17/11 2:50 PM (-08:00)			12/17/11 8:01 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/17/11 2:50 PM (-08:00)			12/17/11 8:01 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-17 02:57 PM	62		2011-12-17 08:07 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-17 02:57 PM	62		2011-12-17 08:07 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-17 02:57 PM	62		2011-12-17 08:07 PM	43
flightstats	CO-53-LAX-IAH	2011-12-17 2:50 PM	2011-12-17 2:57 PM		2011-12-17 8:01 PM	2011-12-17 8:07 PM	
quicktrip	CO-53-LAX-IAH	2011-12-17 2:50 PM	2011-12-17 2:57 PM		2011-12-17 8:01 PM	2011-12-17 8:07 PM	
flightview	CO-53-LAX-IAH		3:07 PMDec 17			8:07 PMDec 17	
panynj	CO-53-LAX-IAH		3:07 PMDec 17			8:07 PMDec 17	
gofox	CO-53-LAX-IAH		3:07 PMDec 17			8:07 PMDec 17	
foxbusiness	CO-53-LAX-IAH		3:07 PMDec 17			8:07 PMDec 17	
allegiantair	CO-53-LAX-IAH		3:07 PMDec 17			8:07 PMDec 17	
boston	CO-53-LAX-IAH		3:07 PMDec 17			8:03 PMDec 17	
orbitz	CO-53-LAX-IAH	2:50pDec 17	2:57pDec 17	 62	8:01pDec 17	8:07pDec 17	 43
weather	CO-53-LAX-IAH	2011-12-17 02:50 PM			2011-12-17 08:01 PM		
mytripandmore	CO-53-LAX-IAH	2:50pDec 17	2:57pDec 17	 62	8:01pDec 17	8:07pDec 17	 43
flightarrival	CO-53-LAX-IAH		3:07 PMDec 17			8:03 PMDec 17	
CO	CO-1030-DEN-IAH	Sat., Dec.17, 2011 2:19 p.m.	Sat., Dec.17, 2011 3:13 p.m.		Sat., Dec.17, 2011 5:45 p.m.	Sat., Dec.17, 2011 6:16 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/17/2011 3:22PM MST			12/17/2011 6:09PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/17/11 2:19 PM (-07:00)			12/17/11 5:45 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/17/11 2:19 PM (-07:00)			12/17/11 5:45 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/17/11 2:19 PM (-07:00)			12/17/11 5:45 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/17/11 2:19 PM (-07:00)			12/17/11 5:45 PM (-06:00)		
flightaware	CO-1030-DEN-IAH	2011-12-17 02:19PM MST	2011-12-17 03:23PM MST	 B18 	2011-12-17 05:17PM CST	2011-12-17 06:09PM CST	 37 
wunderground	CO-1030-DEN-IAH	2011-12-17 02:19PM MST	2011-12-17 03:23PM MST	 B18 	2011-12-17 05:17PM CST	2011-12-17 06:09PM CST	 37 
flights	CO-1030-DEN-IAH	02:19 PM  Sat 17-Dec-2011	03:13 PM  Sat 17-Dec-2011	B18	05:45 PM  Sat 17-Dec-2011	06:16 PM  Sat 17-Dec-2011	37
businesstravellogue	CO-1030-DEN-IAH	02:19 PM  Sat 17-Dec-2011	03:13 PM  Sat 17-Dec-2011	B18	05:45 PM  Sat 17-Dec-2011	06:16 PM  Sat 17-Dec-2011	37
flylouisville	CO-1030-DEN-IAH	02:19 PM  Sat 17-Dec-2011	03:13 PM  Sat 17-Dec-2011	B18	05:45 PM  Sat 17-Dec-2011	06:16 PM  Sat 17-Dec-2011	37
flightstats	CO-1030-DEN-IAH	2011-12-17 2:19 PM	2011-12-17 3:13 PM		2011-12-17 5:45 PM	2011-12-17 6:16 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-17 2:19 PM	2011-12-17 3:13 PM		2011-12-17 5:45 PM	2011-12-17 6:16 PM	
world-flight-tracker	CO-1030-DEN-IAH	2011-12-17 2:19 PM	2011-12-17 3:13 PM		2011-12-17 5:45 PM	2011-12-17 6:16 PM	
flightview	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17	Terminal Conc B - B18	5:45 PM, Dec 17	6:16 PM, Dec 17	Term C - C37
panynj	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17	Terminal Conc B - B18	5:45 PM, Dec 17	6:16 PM, Dec 17	Term C - C37
gofox	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17		5:45 PM, Dec 17	6:16 PM, Dec 17	
foxbusiness	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17	Terminal Conc B - B18	5:45 PM, Dec 17	6:16 PM, Dec 17	Term C - C37
allegiantair	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17	Terminal Conc B - B18	5:45 PM, Dec 17	6:16 PM, Dec 17	Term C - C37
boston	CO-1030-DEN-IAH	2:19 PM, Dec 17	3:23 PM, Dec 17		5:45 PM, Dec 17	6:10 PM, Dec 17	
orbitz	CO-1030-DEN-IAH	2:19pDec 17	3:13pDec 17	 B18	5:45pDec 17	6:16pDec 17	 37
weather	CO-1030-DEN-IAH	2011-12-17 02:19 PM			2011-12-17 05:45 PM		
den	CO-1030-DEN-IAH	2011-12-17 2:19 PM		B18			
ifly	CO-1030-DEN-IAH	2011-12-17 2:19 PM	2011-12-17 3:13 PM		2011-12-17 5:45 PM	2011-12-17 6:16 PM	
flightarrival	CO-1030-DEN-IAH	2011-12-17 2:19 PM	2011-12-17 3:13 PM		2011-12-17 5:45 PM	2011-12-17 6:16 PM	
ua	UA-4288-EWR-STL	Sat, Dec 17 5:20 PM	Sat, Dec 17 5:20 PM	C136	Sat, Dec 17 7:10 PM	Sat, Dec 17 7:10 PM	--
airtravelcenter	UA-4288-EWR-STL	12/17/11 5:20 PM (-05:00)			12/17/11 7:10 PM (-06:00)		
myrateplan	UA-4288-EWR-STL	12/17/11 5:20 PM (-05:00)			12/17/11 7:10 PM (-06:00)		
helloflight	UA-4288-EWR-STL	12/17/11 5:20 PM (-05:00)			12/17/11 7:10 PM (-06:00)		
flytecomm	UA-4288-EWR-STL	12/17/11 5:20 PM (-05:00)			12/17/11 7:10 PM (-06:00)		
