CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
flightview	AA-1007-TPA-MIA		2:04 PMDec 18			2:59 PMDec 18	
panynj	AA-1007-TPA-MIA		2:04 PMDec 18			2:59 PMDec 18	
gofox	AA-1007-TPA-MIA		2:04 PMDec 18			2:59 PMDec 18	
foxbusiness	AA-1007-TPA-MIA		2:04 PMDec 18			2:59 PMDec 18	
allegiantair	AA-1007-TPA-MIA		2:04 PMDec 18			2:59 PMDec 18	
boston	AA-1007-TPA-MIA		2:04 PMDec 18			2:49 PMDec 18	
travelocity	AA-1007-TPA-MIA	Dec 18 - 1:55pm	Dec 18 - 1:55pm	F78	Dec 18 - 3:00pm	Dec 18 - 2:59pm	D37
orbitz	AA-1007-TPA-MIA	1:55pDec 18	1:55pDec 18	 F78	3:00pDec 18	2:59pDec 18	 D37
weather	AA-1007-TPA-MIA	2011-12-18 01:55 PM			2011-12-18 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-18-11	2011-12-18  2:59P	
usatoday	AA-1007-TPA-MIA	2011-12-18 01:55 PM			2011-12-18 03:00 PM		
flightarrival	AA-1007-TPA-MIA	2011-12-18 01:55 PM			2011-12-18 03:00 PM		
aa	AA-1518-DFW-SDF	December 18, 2011               12:10 PM    	December 18, 2011               12:22 PM    	 C17	December 18, 2011               03:10 PM    	December 18, 2011               03:08 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/18/2011 12:31PM CST			12/18/2011 3:06PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/18/11 12:31 PM (-06:00)			12/18/11 3:06 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/18/11 12:31 PM (-06:00)			12/18/11 3:06 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/18/11 12:31 PM (-06:00)			12/18/11 3:06 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/18/11 12:31 PM (-06:00)			12/18/11 3:06 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-18 12:10PM CST	2011-12-18 12:31PM CST	 C17 	2011-12-18 02:57PM EST	2011-12-18 03:03PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-18 12:10PM CST	2011-12-18 12:31PM CST	 C17 	2011-12-18 02:57PM EST	2011-12-18 03:03PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sun 18-Dec-2011	12:22 PM  Sun 18-Dec-2011	C17	03:10 PM  Sun 18-Dec-2011	03:08 PM  Sun 18-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sun 18-Dec-2011	12:22 PM  Sun 18-Dec-2011	C17	03:10 PM  Sun 18-Dec-2011	03:08 PM  Sun 18-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sun 18-Dec-2011	12:22 PM  Sun 18-Dec-2011	C17	03:10 PM  Sun 18-Dec-2011	03:08 PM  Sun 18-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-18 12:10 PM	2011-12-18 12:22 PM		2011-12-18 3:10 PM	2011-12-18 3:08 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-18 12:10 PM	2011-12-18 12:22 PM		2011-12-18 3:10 PM	2011-12-18 3:08 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-18 12:10 PM	2011-12-18 12:22 PM		2011-12-18 3:10 PM	2011-12-18 3:08 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 18	12:31 PM, Dec 18		3:10 PM, Dec 18	3:03 PM, Dec 18	
travelocity	AA-1518-DFW-SDF	Dec 18 - 12:10pm	Dec 18 - 12:22pm	C17/C	Dec 18 - 3:10pm	Dec 18 - 3:08pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 18	12:22pDec 18	 C17	3:10pDec 18	3:08pDec 18	 A15
weather	AA-1518-DFW-SDF	2011-12-18 12:10 PM			2011-12-18 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-18 12:10 pm		C17			
usatoday	AA-1518-DFW-SDF	2011-12-18 12:10 PM			2011-12-18 03:10 PM		
CO	CO-4284-EWR-SDF	Sun., Dec.18, 2011 4:00 p.m.	Sun., Dec.18, 2011 5:21 p.m.		Sun., Dec.18, 2011 6:23 p.m.	Sun., Dec.18, 2011 7:29 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/18/11 4:00 PM (-05:00)			12/18/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/18/11 4:00 PM (-05:00)			12/18/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/18/11 4:00 PM (-05:00)			12/18/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/18/11 4:00 PM (-05:00)			12/18/11 6:23 PM (-05:00)		
flights	CO-4284-EWR-SDF		2011-12-18 05:21 PM	28		2011-12-18 07:29 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-18 05:21 PM	28		2011-12-18 07:29 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-18 05:21 PM	28		2011-12-18 07:29 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-18 4:00 PM	2011-12-18 5:21 PM		2011-12-18 6:23 PM	2011-12-18 7:29 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-18 4:00 PM	2011-12-18 5:21 PM		2011-12-18 6:23 PM	2011-12-18 7:29 PM	
flightview	CO-4284-EWR-SDF		5:33 PMDec 18			7:29 PMDec 18	
panynj	CO-4284-EWR-SDF		5:33 PMDec 18			7:29 PMDec 18	
gofox	CO-4284-EWR-SDF		5:33 PMDec 18			7:29 PMDec 18	
foxbusiness	CO-4284-EWR-SDF		5:33 PMDec 18			7:29 PMDec 18	
allegiantair	CO-4284-EWR-SDF		5:33 PMDec 18			7:29 PMDec 18	
boston	CO-4284-EWR-SDF		5:33 PMDec 18			7:20 PMDec 18	
orbitz	CO-4284-EWR-SDF	4:00pDec 18	5:21pDec 18	 -	6:23pDec 18	7:29pDec 18	 -
weather	CO-4284-EWR-SDF	2011-12-18 04:00 PM			2011-12-18 06:23 PM		
ifly	CO-4284-EWR-SDF	2011-12-18 4:00 PM	2011-12-18 5:21 PM		2011-12-18 6:23 PM	2011-12-18 7:29 PM	
usatoday	CO-4284-EWR-SDF	2011-12-18 04:00 PM			2011-12-18 06:23 PM		
flightarrival	CO-4284-EWR-SDF	2011-12-18 04:00 PM			2011-12-18 06:23 PM		
ua	UA-3750-ORD-DFW	Sun, Dec 18 2:55 PM	Sun, Dec 18 3:26 PM	C5	Sun, Dec 18 5:26 PM	Sun, Dec 18 5:45 PM	E4
airtravelcenter	UA-3750-ORD-DFW		12/18/11 3:44 PM (-06:00)			12/18/11 5:40 PM (-06:00)	
myrateplan	UA-3750-ORD-DFW		12/18/11 3:44 PM (-06:00)			12/18/11 5:40 PM (-06:00)	
helloflight	UA-3750-ORD-DFW		12/18/11 3:44 PM (-06:00)			12/18/11 5:40 PM (-06:00)	
flytecomm	UA-3750-ORD-DFW		12/18/11 3:44 PM (-06:00)			12/18/11 5:40 PM (-06:00)	
flights	UA-3750-ORD-DFW		2011-12-18 03:26 PM	C5		2011-12-18 05:45 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-18 03:26 PM	C5		2011-12-18 05:45 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-18 03:26 PM	C5		2011-12-18 05:45 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-18 2:55 PM	2011-12-18 3:26 PM		2011-12-18 5:26 PM	2011-12-18 5:45 PM	
quicktrip	UA-3750-ORD-DFW	2011-12-18 2:55 PM	2011-12-18 3:26 PM		2011-12-18 5:26 PM	2011-12-18 5:45 PM	
flightview	UA-3750-ORD-DFW		3:44 PMDec 18			5:45 PMDec 18	
panynj	UA-3750-ORD-DFW		3:44 PMDec 18			5:45 PMDec 18	
gofox	UA-3750-ORD-DFW		3:44 PMDec 18			5:45 PMDec 18	
foxbusiness	UA-3750-ORD-DFW		3:44 PMDec 18			5:45 PMDec 18	
allegiantair	UA-3750-ORD-DFW		3:44 PMDec 18			5:45 PMDec 18	
boston	UA-3750-ORD-DFW		3:44 PMDec 18			5:37 PMDec 18	
travelocity	UA-3750-ORD-DFW	Dec 18 - Not Available	Dec 18 - 3:43pm	C5	Dec 18 - Not Available	Dec 18 - 5:45pm	E4
orbitz	UA-3750-ORD-DFW	2:55pDec 18		 -	5:26pDec 18		 -
weather	UA-3750-ORD-DFW	2011-12-18 02:55 PM			2011-12-18 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-18 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-18 2:55 PM		C5	2011-12-18 5:26 PM		E4
mytripandmore	UA-3750-ORD-DFW	2:55pDec 18		 -	5:26pDec 18		 -
flightarrival	UA-3750-ORD-DFW		3:44 PMDec 18			5:37 PMDec 18	
ua	UA-2706-EWR-CLT	Sun, Dec 18 6:29 PM	Sun, Dec 18 6:29 PM	A37	Sun, Dec 18 8:33 PM	Sun, Dec 18 8:11 PM	C17
airtravelcenter	UA-2706-EWR-CLT		12/18/11 6:52 PM (-05:00)			12/18/11 8:09 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/18/11 6:52 PM (-05:00)			12/18/11 8:09 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/18/11 6:52 PM (-05:00)			12/18/11 8:09 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/18/11 6:52 PM (-05:00)			12/18/11 8:09 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-18 06:29PM EST	2011-12-18 06:51PM EST		2011-12-18 07:48PM EST	2011-12-18 08:06PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-18 06:29PM EST	2011-12-18 06:51PM EST		2011-12-18 07:48PM EST	2011-12-18 08:06PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sun 18-Dec-2011	06:19 PM  Sun 18-Dec-2011	37	08:33 PM  Sun 18-Dec-2011	08:11 PM  Sun 18-Dec-2011	C17
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sun 18-Dec-2011	06:19 PM  Sun 18-Dec-2011	37	08:33 PM  Sun 18-Dec-2011	08:11 PM  Sun 18-Dec-2011	C17
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sun 18-Dec-2011	06:19 PM  Sun 18-Dec-2011	37	08:33 PM  Sun 18-Dec-2011	08:11 PM  Sun 18-Dec-2011	C17
flightstats	UA-2706-EWR-CLT	2011-12-18 6:29 PM	2011-12-18 6:19 PM		2011-12-18 8:33 PM	2011-12-18 8:11 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-18 6:29 PM	2011-12-18 6:19 PM		2011-12-18 8:33 PM	2011-12-18 8:11 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-18 6:29 PM	2011-12-18 6:19 PM		2011-12-18 8:33 PM	2011-12-18 8:11 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 18	6:52 PM, Dec 18		8:33 PM, Dec 18	8:12 PM, Dec 18	
travelocity	UA-2706-EWR-CLT	Dec 18 - 6:29pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 8:33pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 18	6:19pDec 18	 -	8:33pDec 18	8:11pDec 18	 -
weather	UA-2706-EWR-CLT	2011-12-18 06:29 PM			2011-12-18 08:33 PM		
flightarrival	UA-2706-EWR-CLT	2011-12-18 06:29 PM			2011-12-18 08:33 PM		
ua	UA-581-DEN-IAD	Sun, Dec 18 8:28 AM	Sun, Dec 18 8:29 AM	B45	Sun, Dec 18 1:41 PM	Sun, Dec 18 1:36 PM	C11
airtravelcenter	UA-581-DEN-IAD		12/18/11 8:43 AM (-07:00)			12/18/11 1:30 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/18/11 8:43 AM (-07:00)			12/18/11 1:30 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/18/11 8:43 AM (-07:00)			12/18/11 1:30 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/18/11 8:43 AM (-07:00)			12/18/11 1:30 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-18 08:28AM MST	2011-12-18 08:42AM MST	 B45 	2011-12-18 01:29PM EST	2011-12-18 01:30PM EST	 C11 
wunderground	UA-581-DEN-IAD	2011-12-18 08:28AM MST	2011-12-18 08:42AM MST	 B45 	2011-12-18 01:29PM EST	2011-12-18 01:30PM EST	 C11 
flights	UA-581-DEN-IAD	08:28 AM  Sun 18-Dec-2011	08:29 AM  Sun 18-Dec-2011	B45	01:41 PM  Sun 18-Dec-2011	01:36 PM  Sun 18-Dec-2011	C11
businesstravellogue	UA-581-DEN-IAD	08:28 AM  Sun 18-Dec-2011	08:29 AM  Sun 18-Dec-2011	B45	01:41 PM  Sun 18-Dec-2011	01:36 PM  Sun 18-Dec-2011	C11
flylouisville	UA-581-DEN-IAD	08:28 AM  Sun 18-Dec-2011	08:29 AM  Sun 18-Dec-2011	B45	01:41 PM  Sun 18-Dec-2011	01:36 PM  Sun 18-Dec-2011	C11
flightstats	UA-581-DEN-IAD	2011-12-18 8:28 AM	2011-12-18 8:29 AM		2011-12-18 1:41 PM	2011-12-18 1:36 PM	
quicktrip	UA-581-DEN-IAD	2011-12-18 8:28 AM	2011-12-18 8:29 AM		2011-12-18 1:41 PM	2011-12-18 1:36 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-18 8:28 AM	2011-12-18 8:29 AM		2011-12-18 1:41 PM	2011-12-18 1:36 PM	
flightview	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18	B45	1:41 PM, Dec 18	1:36 PM, Dec 18	C11
panynj	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18	B45	1:41 PM, Dec 18	1:36 PM, Dec 18	C11
gofox	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18		1:41 PM, Dec 18	1:36 PM, Dec 18	
foxbusiness	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18	B45	1:41 PM, Dec 18	1:36 PM, Dec 18	C11
allegiantair	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18	B45	1:41 PM, Dec 18	1:36 PM, Dec 18	C11
boston	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18		1:41 PM, Dec 18	1:30 PM, Dec 18	
travelocity	UA-581-DEN-IAD	Dec 18 - Not Available	Dec 18 - 8:42am	B45	Dec 18 - Not Available	Dec 18 - 1:36pm	C11
orbitz	UA-581-DEN-IAD	8:28aDec 18	8:29aDec 18	 B45	1:41pDec 18	1:36pDec 18	 C11
weather	UA-581-DEN-IAD	2011-12-18 08:28 AM	2011-12-18 08:43 AM		2011-12-18 01:41 PM	2011-12-18 01:26 PM	
iad	UA-581-DEN-IAD				2011-12-18 13:41 	2011-12-18 13:36 	
flightarrival	UA-581-DEN-IAD	8:28 AM, Dec 18	8:43 AM, Dec 18		1:41 PM, Dec 18	1:30 PM, Dec 18	
ua	UA-2451-TPA-CLT	Sun, Dec 18 11:55 AM	Sun, Dec 18 11:55 AM	F87	Sun, Dec 18 1:35 PM	Sun, Dec 18 1:30 PM	B6
airtravelcenter	UA-2451-TPA-CLT		12/18/11 12:01 PM (-05:00)			12/18/11 1:25 PM (-05:00)	
myrateplan	UA-2451-TPA-CLT		12/18/11 12:01 PM (-05:00)			12/18/11 1:25 PM (-05:00)	
helloflight	UA-2451-TPA-CLT		12/18/11 12:01 PM (-05:00)			12/18/11 1:25 PM (-05:00)	
flytecomm	UA-2451-TPA-CLT		12/18/11 12:01 PM (-05:00)			12/18/11 1:25 PM (-05:00)	
flights	UA-2451-TPA-CLT		2011-12-18 11:50 AM	F87		2011-12-18 01:30 PM	B6
businesstravellogue	UA-2451-TPA-CLT		2011-12-18 11:50 AM	F87		2011-12-18 01:30 PM	B6
flylouisville	UA-2451-TPA-CLT		2011-12-18 11:50 AM	F87		2011-12-18 01:30 PM	B6
flightview	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
panynj	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
gofox	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
foxbusiness	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
allegiantair	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
boston	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
travelocity	UA-2451-TPA-CLT	Dec 18 - 11:55am	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 1:35pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-2451-TPA-CLT	11:55aDec 18	11:50aDec 18	 -	1:35pDec 18	1:30pDec 18	 -
weather	UA-2451-TPA-CLT	2011-12-18 11:55 AM			2011-12-18 01:35 PM		
usatoday	UA-2451-TPA-CLT	11:55 AM, Dec 18	12:01 PM, Dec 18		1:35 PM, Dec 18	1:27 PM, Dec 18	
mytripandmore	UA-2451-TPA-CLT	11:55aDec 18	11:50aDec 18	 -	1:35pDec 18	1:30pDec 18	 -
flightarrival	UA-2451-TPA-CLT	2011-12-18 11:55 AM			2011-12-18 01:35 PM		
CO	CO-1240-IAH-SFO	Sun., Dec.18, 2011 4:10 p.m.	Sun., Dec.18, 2011 4:10 p.m.		Sun., Dec.18, 2011 6:38 p.m.	Sun., Dec.18, 2011 6:06 p.m.	
airtravelcenter	CO-1240-IAH-SFO	12/18/11 4:10 PM (-06:00)			12/18/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/18/11 4:10 PM (-06:00)			12/18/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/18/11 4:10 PM (-06:00)			12/18/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/18/11 4:10 PM (-06:00)			12/18/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-18 04:10 PM		32	2011-12-18 06:38 PM		88
businesstravellogue	CO-1240-IAH-SFO	2011-12-18 04:10 PM		32	2011-12-18 06:38 PM		88
flylouisville	CO-1240-IAH-SFO	2011-12-18 04:10 PM		32	2011-12-18 06:38 PM		88
flightstats	CO-1240-IAH-SFO	2011-12-18 4:10 PM	2011-12-18 4:10 PM (Estimated)		2011-12-18 6:38 PM	2011-12-18 6:06 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-18 4:10 PM	2011-12-18 4:10 PM (Estimated)		2011-12-18 6:38 PM	2011-12-18 6:06 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 18			6:06 PMDec 18		
panynj	CO-1240-IAH-SFO	4:10 PMDec 18			6:06 PMDec 18		
gofox	CO-1240-IAH-SFO	4:10 PMDec 18			6:06 PMDec 18		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 18			6:06 PMDec 18		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 18			6:06 PMDec 18		
boston	CO-1240-IAH-SFO	4:10 PMDec 18			6:38 PMDec 18		
orbitz	CO-1240-IAH-SFO	4:10pDec 18		 32	5:34pDec 18		 88
ua	UA-6154-ORF-ORD	Sun, Dec 18 5:45 AM	Sun, Dec 18 5:38 AM	30	Sun, Dec 18 7:13 AM	Sun, Dec 18 7:00 AM	C28
airtravelcenter	UA-6154-ORF-ORD	12/18/11 5:45 AM (-05:00)			12/18/11 7:13 AM (-06:00)		
myrateplan	UA-6154-ORF-ORD	12/18/11 5:45 AM (-05:00)			12/18/11 7:13 AM (-06:00)		
helloflight	UA-6154-ORF-ORD	12/18/11 5:45 AM (-05:00)			12/18/11 7:13 AM (-06:00)		
flytecomm	UA-6154-ORF-ORD	12/18/11 5:45 AM (-05:00)			12/18/11 7:13 AM (-06:00)		
flights	UA-6154-ORF-ORD	05:45 AM  Sun 18-Dec-2011	05:38 AM  Sun 18-Dec-2011	B30	07:13 AM  Sun 18-Dec-2011	07:00 AM  Sun 18-Dec-2011	C28
businesstravellogue	UA-6154-ORF-ORD	05:45 AM  Sun 18-Dec-2011	05:38 AM  Sun 18-Dec-2011	B30	07:13 AM  Sun 18-Dec-2011	07:00 AM  Sun 18-Dec-2011	C28
flylouisville	UA-6154-ORF-ORD	05:45 AM  Sun 18-Dec-2011	05:38 AM  Sun 18-Dec-2011	B30	07:13 AM  Sun 18-Dec-2011	07:00 AM  Sun 18-Dec-2011	C28
world-flight-tracker	UA-6154-ORF-ORD	2011-12-18 5:45 AM	2011-12-18 5:38 AM		2011-12-18 7:13 AM	2011-12-18 7:00 AM	
flightview	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18	30	7:13 AM, Dec 18	7:00 AM, Dec 18	C28
panynj	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18	30	7:13 AM, Dec 18	7:00 AM, Dec 18	C28
gofox	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18		7:13 AM, Dec 18	7:00 AM, Dec 18	
foxbusiness	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18	30	7:13 AM, Dec 18	7:00 AM, Dec 18	C28
allegiantair	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18	30	7:13 AM, Dec 18	7:00 AM, Dec 18	C28
boston	UA-6154-ORF-ORD	5:45 AM, Dec 18	5:49 AM, Dec 18		7:13 AM, Dec 18	6:58 AM, Dec 18	
travelocity	UA-6154-ORF-ORD	Dec 18 - Not Available	Dec 18 - 5:49am	30	Dec 18 - Not Available	Dec 18 - 7:00am	C28
orbitz	UA-6154-ORF-ORD	5:45aDec 18	5:38aDec 18	 30	7:13aDec 18	7:00aDec 18	 C28
weather	UA-6154-ORF-ORD	2011-12-18 05:45 AM			2011-12-18 07:13 AM		
flightarrival	UA-6154-ORF-ORD	2011-12-18 05:45 AM			2011-12-18 07:13 AM		
ua	UA-1974-CVG-CLT	Sun, Dec 18 7:59 PM	Sun, Dec 18 7:59 PM	7	Sun, Dec 18 9:25 PM	Sun, Dec 18 9:17 PM	E17
