ua	UA-1534-RTB-IAH	Sat, Dec 10 2:05 PM	Sat, Dec 10 5:00 PM	--	Sat, Dec 10 5:01 PM	Sat, Dec 10 7:44 PM	E24
businesstravellogue	AA-1007-TPA-MIA		2011-12-10 01:49 PM	F79		2011-12-10 02:46 PM	D20
flylouisville	AA-1007-TPA-MIA		2011-12-10 01:49 PM	F79		2011-12-10 02:46 PM	D20
flightview	AA-1007-TPA-MIA		1:59 PMDec 10			2:46 PMDec 10	
panynj	AA-1007-TPA-MIA		1:59 PMDec 10			2:46 PMDec 10	
gofox	AA-1007-TPA-MIA		1:59 PMDec 10			2:46 PMDec 10	
foxbusiness	AA-1007-TPA-MIA		1:59 PMDec 10			2:46 PMDec 10	
allegiantair	AA-1007-TPA-MIA		1:59 PMDec 10			2:46 PMDec 10	
boston	AA-1007-TPA-MIA		1:59 PMDec 10			2:40 PMDec 10	
travelocity	AA-1007-TPA-MIA	Dec 10 - 1:55pm	Dec 10 - 1:49pm	F79	Dec 10 - 3:00pm	Dec 10 - 2:46pm	D20
orbitz	AA-1007-TPA-MIA	1:55pDec 10	1:49pDec 10	 F79	3:00pDec 10	2:46pDec 10	 D20
weather	AA-1007-TPA-MIA	2011-12-10 01:55 PM			2011-12-10 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-10-11	2011-12-10  2:46P	
usatoday	AA-1007-TPA-MIA	2011-12-10 01:55 PM			2011-12-10 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pDec 10	1:49pDec 10	 F79	3:00pDec 10	2:46pDec 10	 D20
flightarrival	AA-1007-TPA-MIA	2011-12-10 01:55 PM			2011-12-10 03:00 PM		
aa	AA-1518-DFW-SDF	December 10, 2011               12:10 PM    	December 10, 2011               12:09 PM    	 C17	December 10, 2011               03:10 PM    	December 10, 2011               03:06 PM    	 A15    
airtravelcenter	AA-1518-DFW-SDF		12/10/11 12:22 PM (-06:00)			12/10/11 3:01 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/10/11 12:22 PM (-06:00)			12/10/11 3:01 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/10/11 12:22 PM (-06:00)			12/10/11 3:01 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/10/11 12:22 PM (-06:00)			12/10/11 3:01 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-10 12:10PM CST	2011-12-10 12:22PM CST	 C17 	2011-12-10 03:00PM EST	2011-12-10 02:59PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-10 12:10PM CST	2011-12-10 12:22PM CST	 C17 	2011-12-10 03:00PM EST	2011-12-10 02:59PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sat 10-Dec-2011	12:09 PM  Sat 10-Dec-2011	C17	03:10 PM  Sat 10-Dec-2011	03:06 PM  Sat 10-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sat 10-Dec-2011	12:09 PM  Sat 10-Dec-2011	C17	03:10 PM  Sat 10-Dec-2011	03:06 PM  Sat 10-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sat 10-Dec-2011	12:09 PM  Sat 10-Dec-2011	C17	03:10 PM  Sat 10-Dec-2011	03:06 PM  Sat 10-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-10 12:10 PM	2011-12-10 12:09 PM		2011-12-10 3:10 PM	2011-12-10 3:06 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-10 12:10 PM	2011-12-10 12:09 PM		2011-12-10 3:10 PM	2011-12-10 3:06 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-10 12:10 PM	2011-12-10 12:09 PM		2011-12-10 3:10 PM	2011-12-10 3:06 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 10	12:22 PM, Dec 10		3:10 PM, Dec 10	2:59 PM, Dec 10	
travelocity	AA-1518-DFW-SDF	Dec 10 - 12:10pm	Dec 10 - 12:09pm	C17/C	Dec 10 - 3:10pm	Dec 10 - 3:06pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 10	12:09pDec 10	 C17	3:10pDec 10	3:06pDec 10	 A15
weather	AA-1518-DFW-SDF	2011-12-10 12:10 PM			2011-12-10 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-10 12:10 pm		C17			
mytripandmore	AA-1518-DFW-SDF	12:10pDec 10	12:09pDec 10	 C17	3:10pDec 10	3:06pDec 10	 A15
flightarrival	AA-1518-DFW-SDF	2011-12-10 12:10 PM	2011-12-10 12:09 PM		2011-12-10 3:10 PM	2011-12-10 3:06 PM	
ua	UA-4642-IAH-AMA	Sat, Dec 10 6:20 PM	Sat, Dec 10 6:20 PM	B74	Sat, Dec 10 8:01 PM	Sat, Dec 10 8:01 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/10/11 6:20 PM (-06:00)			12/10/11 8:01 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/10/11 6:20 PM (-06:00)			12/10/11 8:01 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/10/11 6:20 PM (-06:00)			12/10/11 8:01 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/10/11 6:20 PM (-06:00)			12/10/11 8:01 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Sat 10-Dec-2011			08:01 PM  Sat 10-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Sat 10-Dec-2011			08:01 PM  Sat 10-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Sat 10-Dec-2011			08:01 PM  Sat 10-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-10 6:20 PM	2011-12-10 6:20 PM (Estimated)		2011-12-10 8:01 PM	2011-12-10 8:01 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-10 6:20 PM	2011-12-10 6:20 PM (Estimated)		2011-12-10 8:01 PM	2011-12-10 8:01 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-10 6:20 PM	2011-12-10 6:20 PM (Estimated)		2011-12-10 8:01 PM	2011-12-10 8:01 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 10		Term B - B74	8:01 PM, Dec 10		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 10		Term B - B74	8:01 PM, Dec 10		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 10			8:01 PM, Dec 10		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 10		Term B - B74	8:01 PM, Dec 10		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 10		Term B - B74	8:01 PM, Dec 10		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 10	Not Available		8:01 PM, Dec 10	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 10 - 6:20pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 8:01pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 10		 B74	8:01pDec 10		 4
ifly	UA-4642-IAH-AMA	2011-12-10 6:20 PM	2011-12-10 6:20 PM (Estimated)		2011-12-10 8:01 PM	2011-12-10 8:01 PM (Estimated)	
ua	UA-1411-EWR-BQN	Sat, Dec 10 8:25 PM	Sat, Dec 10 8:41 PM	C132	Sun, Dec 11 1:07 AM	Sun, Dec 11 1:33 AM	--
flightexplorer	UA-1411-EWR-BQN		12/10/2011 9:01PM EST			12/11/2011 1:29AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Sat 10-Dec-2011			01:07 AM  Sun 11-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Sat 10-Dec-2011			01:07 AM  Sun 11-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Sat 10-Dec-2011			01:07 AM  Sun 11-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 10			1:07 AM, Dec 11		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 10			1:07 AM, Dec 11		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 10			1:07 AM, Dec 11		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 10			1:07 AM, Dec 11		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 10			1:07 AM, Dec 11		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 10	9:03 PM, Dec 10&nbsp(Estimated)		1:07 AM, Dec 11	1:29 AM, Dec 11&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 10 - 8:25pm	Dec 10 - Contact Airline	Not provided by airline	Dec 11 - 1:07am	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 10	8:41pDec 10	 132	1:39aDec 11		 -
usatoday	UA-1411-EWR-BQN	8:25 PM, Dec 10	9:03 PM, Dec 10&nbsp(Estimated)		1:07 AM, Dec 11	1:29 AM, Dec 11&nbsp(Estimated)	
flightarrival	UA-1411-EWR-BQN	8:25 PM, Dec 10	9:03 PM, Dec 10&nbsp(Estimated)		1:07 AM, Dec 11	1:29 AM, Dec 11&nbsp(Estimated)	
ua	UA-2708-EWR-CLT	Sat, Dec 10 2:55 PM	Sat, Dec 10 2:55 PM	A37	Sat, Dec 10 4:53 PM	Sat, Dec 10 5:02 PM	C19
airtravelcenter	UA-2708-EWR-CLT	12/10/11 2:55 PM (-05:00)			12/10/11 4:53 PM (-05:00)		
myrateplan	UA-2708-EWR-CLT	12/10/11 2:55 PM (-05:00)			12/10/11 4:53 PM (-05:00)		
helloflight	UA-2708-EWR-CLT	12/10/11 2:55 PM (-05:00)			12/10/11 4:53 PM (-05:00)		
flytecomm	UA-2708-EWR-CLT	12/10/11 2:55 PM (-05:00)			12/10/11 4:53 PM (-05:00)		
flightaware	UA-2708-EWR-CLT	2011-12-10 02:55PM EST	2011-12-10 03:06PM EST		2011-12-10 04:26PM EST	2011-12-10 04:37PM EST	
wunderground	UA-2708-EWR-CLT	2011-12-10 02:55PM EST	2011-12-10 03:06PM EST		2011-12-10 04:26PM EST	2011-12-10 04:37PM EST	
flights	UA-2708-EWR-CLT	02:55 PM  Sat 10-Dec-2011	02:55 PM  Sat 10-Dec-2011	37	04:53 PM  Sat 10-Dec-2011	05:02 PM  Sat 10-Dec-2011	C19
businesstravellogue	UA-2708-EWR-CLT	02:55 PM  Sat 10-Dec-2011	02:55 PM  Sat 10-Dec-2011	37	04:53 PM  Sat 10-Dec-2011	05:02 PM  Sat 10-Dec-2011	C19
flylouisville	UA-2708-EWR-CLT	02:55 PM  Sat 10-Dec-2011	02:55 PM  Sat 10-Dec-2011	37	04:53 PM  Sat 10-Dec-2011	05:02 PM  Sat 10-Dec-2011	C19
flightstats	UA-2708-EWR-CLT	2011-12-10 2:55 PM	2011-12-10 2:55 PM		2011-12-10 4:53 PM	2011-12-10 5:02 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-10 2:55 PM	2011-12-10 2:55 PM		2011-12-10 4:53 PM	2011-12-10 5:02 PM	
world-flight-tracker	UA-2708-EWR-CLT	2011-12-10 2:55 PM	2011-12-10 2:55 PM		2011-12-10 4:53 PM	2011-12-10 5:02 PM	
flightview	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
panynj	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
gofox	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
foxbusiness	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
allegiantair	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
boston	UA-2708-EWR-CLT	2:55 PM, Dec 10	3:18 PM, Dec 10		4:53 PM, Dec 10	4:59 PM, Dec 10	
travelocity	UA-2708-EWR-CLT	Dec 10 - 2:55pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 4:53pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 10	2:55pDec 10	 -	4:53pDec 10	5:02pDec 10	 -
weather	UA-2708-EWR-CLT	2011-12-10 02:55 PM			2011-12-10 04:53 PM		
usatoday	UA-2708-EWR-CLT	2011-12-10 02:55 PM			2011-12-10 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 10	2:55pDec 10	 -	4:53pDec 10	5:02pDec 10	 -
ua	UA-235-MCO-IAD	Sat, Dec 10 1:24 PM	Sat, Dec 10 1:25 PM	42	Sat, Dec 10 3:33 PM	Sat, Dec 10 3:19 PM	D10
flightexplorer	UA-235-MCO-IAD		12/10/2011 1:38PM EST			12/10/2011 3:14PM EST	
airtravelcenter	UA-235-MCO-IAD		12/10/11 1:38 PM (-05:00)			12/10/11 3:20 PM (-05:00)	
myrateplan	UA-235-MCO-IAD		12/10/11 1:38 PM (-05:00)			12/10/11 3:20 PM (-05:00)	
helloflight	UA-235-MCO-IAD		12/10/11 1:38 PM (-05:00)			12/10/11 3:20 PM (-05:00)	
flytecomm	UA-235-MCO-IAD		12/10/11 1:38 PM (-05:00)			12/10/11 3:20 PM (-05:00)	
flights	UA-235-MCO-IAD		2011-12-10 01:25 PM	42		2011-12-10 03:19 PM	D10
businesstravellogue	UA-235-MCO-IAD		2011-12-10 01:25 PM	42		2011-12-10 03:19 PM	D10
flylouisville	UA-235-MCO-IAD		2011-12-10 01:25 PM	42		2011-12-10 03:19 PM	D10
flightview	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
panynj	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
gofox	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
foxbusiness	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
allegiantair	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
boston	UA-235-MCO-IAD		1:39 PMDec 10			3:19 PMDec 10	
travelocity	UA-235-MCO-IAD	Dec 10 - Not Available	Dec 10 - 1:39pm	42	Dec 10 - Not Available	Dec 10 - 3:19pm	D10
orbitz	UA-235-MCO-IAD	1:24pDec 10	1:25pDec 10	 42	3:33pDec 10	3:19pDec 10	 D10
weather	UA-235-MCO-IAD	2011-12-10 01:24 PM			2011-12-10 03:33 PM		
iad	UA-235-MCO-IAD				2011-12-10 15:33 	2011-12-10 15:20 	
mco	UA-235-MCO-IAD	2011-12-10 Sat  13:24		42?			
mytripandmore	UA-235-MCO-IAD	Dec 10 - Not Available	Dec 10 - 1:39pm	42	Dec 10 - Not Available	Dec 10 - 3:19pm	D10
flightarrival	UA-235-MCO-IAD	2011-12-10 01:24 PM			2011-12-10 03:33 PM		
CO	CO-53-LAX-IAH	Sat., Dec.10, 2011 2:40 p.m.	Sat., Dec.10, 2011 2:51 p.m.		Sat., Dec.10, 2011 7:48 p.m.	Sat., Dec.10, 2011 7:51 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/10/11 2:40 PM (-08:00)			12/10/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/10/11 2:40 PM (-08:00)			12/10/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/10/11 2:40 PM (-08:00)			12/10/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/10/11 2:40 PM (-08:00)			12/10/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-10 02:51 PM	62		2011-12-10 07:51 PM	37
businesstravellogue	CO-53-LAX-IAH		2011-12-10 02:51 PM	62		2011-12-10 07:51 PM	37
flylouisville	CO-53-LAX-IAH		2011-12-10 02:51 PM	62		2011-12-10 07:51 PM	37
flightstats	CO-53-LAX-IAH	2011-12-10 2:40 PM	2011-12-10 2:51 PM		2011-12-10 7:48 PM	2011-12-10 7:51 PM	
quicktrip	CO-53-LAX-IAH	2011-12-10 2:40 PM	2011-12-10 2:51 PM		2011-12-10 7:48 PM	2011-12-10 7:51 PM	
flightview	CO-53-LAX-IAH		3:11 PMDec 10			7:51 PMDec 10	
panynj	CO-53-LAX-IAH		3:11 PMDec 10			7:51 PMDec 10	
gofox	CO-53-LAX-IAH		3:11 PMDec 10			7:51 PMDec 10	
foxbusiness	CO-53-LAX-IAH		3:11 PMDec 10			7:51 PMDec 10	
allegiantair	CO-53-LAX-IAH		3:11 PMDec 10			7:51 PMDec 10	
boston	CO-53-LAX-IAH		3:11 PMDec 10			7:46 PMDec 10	
travelocity	CO-53-LAX-IAH	Dec 10 - 2:40pm	Dec 10 - 2:51pm	62	Dec 10 - 7:48pm	Dec 10 - 7:51pm	C-37
orbitz	CO-53-LAX-IAH	2:40pDec 10	2:51pDec 10	 62	7:48pDec 10	7:51pDec 10	 37
weather	CO-53-LAX-IAH	2011-12-10 02:40 PM			2011-12-10 07:48 PM		
usatoday	CO-53-LAX-IAH		3:11 PMDec 10			7:46 PMDec 10	
flightarrival	CO-53-LAX-IAH		3:11 PMDec 10			7:46 PMDec 10	
CO	CO-1030-DEN-IAH	Sat., Dec.10, 2011 2:15 p.m.	Sat., Dec.10, 2011 4:15 p.m.		Sat., Dec.10, 2011 5:32 p.m.	Sat., Dec.10, 2011 7:26 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/10/2011 4:26PM MST			12/10/2011 7:15PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/10/11 2:15 PM (-07:00)			12/10/11 5:32 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/10/11 2:15 PM (-07:00)			12/10/11 5:32 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/10/11 2:15 PM (-07:00)			12/10/11 5:32 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/10/11 2:15 PM (-07:00)			12/10/11 5:32 PM (-06:00)		
flightaware	CO-1030-DEN-IAH	2011-12-10 02:15PM MST	2011-12-10 04:28PM MST	 B16 	2011-12-10 05:20PM CST	2011-12-10 07:21PM CST	 22 
wunderground	CO-1030-DEN-IAH	2011-12-10 02:15PM MST	2011-12-10 04:28PM MST	 B16 	2011-12-10 05:20PM CST	2011-12-10 07:21PM CST	 22 
flights	CO-1030-DEN-IAH	02:15 PM  Sat 10-Dec-2011	04:15 PM  Sat 10-Dec-2011	B16	05:32 PM  Sat 10-Dec-2011	07:26 PM  Sat 10-Dec-2011	22
businesstravellogue	CO-1030-DEN-IAH	02:15 PM  Sat 10-Dec-2011	04:15 PM  Sat 10-Dec-2011	B16	05:32 PM  Sat 10-Dec-2011	07:26 PM  Sat 10-Dec-2011	22
flylouisville	CO-1030-DEN-IAH	02:15 PM  Sat 10-Dec-2011	04:15 PM  Sat 10-Dec-2011	B16	05:32 PM  Sat 10-Dec-2011	07:26 PM  Sat 10-Dec-2011	22
flightstats	CO-1030-DEN-IAH	2011-12-10 2:15 PM	2011-12-10 4:15 PM		2011-12-10 5:32 PM	2011-12-10 7:26 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-10 2:15 PM	2011-12-10 4:15 PM		2011-12-10 5:32 PM	2011-12-10 7:26 PM	
world-flight-tracker	CO-1030-DEN-IAH	2011-12-10 2:15 PM	2011-12-10 4:15 PM		2011-12-10 5:32 PM	2011-12-10 7:26 PM	
flightview	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10	Terminal Conc B - B16	5:32 PM, Dec 10	7:26 PM, Dec 10	Term C - C22
panynj	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10	Terminal Conc B - B16	5:32 PM, Dec 10	7:26 PM, Dec 10	Term C - C22
gofox	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10		5:32 PM, Dec 10	7:26 PM, Dec 10	
foxbusiness	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10	Terminal Conc B - B16	5:32 PM, Dec 10	7:26 PM, Dec 10	Term C - C22
allegiantair	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10	Terminal Conc B - B16	5:32 PM, Dec 10	7:26 PM, Dec 10	Term C - C22
boston	CO-1030-DEN-IAH	2:15 PM, Dec 10	4:28 PM, Dec 10		5:32 PM, Dec 10	7:22 PM, Dec 10	
travelocity	CO-1030-DEN-IAH	Dec 10 - 2:15pm	Dec 10 - 4:15pm	B16	Dec 10 - 5:32pm	Dec 10 - 7:26pm	C-22
orbitz	CO-1030-DEN-IAH	2:15pDec 10	4:15pDec 10	 B16	5:32pDec 10	7:26pDec 10	 22
weather	CO-1030-DEN-IAH	2011-12-10 02:15 PM			2011-12-10 05:32 PM		
den	CO-1030-DEN-IAH	2011-12-10 2:15 PM		B16			
mytripandmore	CO-1030-DEN-IAH	2:15pDec 10	4:15pDec 10	 B16	5:32pDec 10	7:26pDec 10	 22
flightwise	CO-1030-DEN-IAH	2011-12-10 02:15PM MST	2011-12-10 04:28PM MST	 B16 	2011-12-10 05:20PM CST	2011-12-10 07:21PM CST	 22 
flightarrival	CO-1030-DEN-IAH	2011-12-10 2:15 PM	2011-12-10 4:15 PM		2011-12-10 5:32 PM	2011-12-10 7:26 PM	
ua	UA-6449-BFL-LAX	Sat, Dec 10 9:12 AM	Sat, Dec 10 9:21 AM	--	Sat, Dec 10 10:05 AM	Sat, Dec 10 10:14 AM	71A2
airtravelcenter	UA-6449-BFL-LAX		12/10/11 9:35 AM (-08:00)			12/10/11 10:03 AM (-08:00)	
myrateplan	UA-6449-BFL-LAX		12/10/11 9:35 AM (-08:00)			12/10/11 10:03 AM (-08:00)	
helloflight	UA-6449-BFL-LAX		12/10/11 9:35 AM (-08:00)			12/10/11 10:03 AM (-08:00)	
flytecomm	UA-6449-BFL-LAX		12/10/11 9:35 AM (-08:00)			12/10/11 10:03 AM (-08:00)	
flights	UA-6449-BFL-LAX		2011-12-10 09:21 AM			2011-12-10 10:14 AM	71A
businesstravellogue	UA-6449-BFL-LAX		2011-12-10 09:21 AM			2011-12-10 10:14 AM	71A
flylouisville	UA-6449-BFL-LAX		2011-12-10 09:21 AM			2011-12-10 10:14 AM	71A
flightview	UA-6449-BFL-LAX		9:35 AMDec 10			10:14 AMDec 10	
panynj	UA-6449-BFL-LAX		9:35 AMDec 10			10:14 AMDec 10	
gofox	UA-6449-BFL-LAX		9:35 AMDec 10			10:14 AMDec 10	
foxbusiness	UA-6449-BFL-LAX		9:35 AMDec 10			10:14 AMDec 10	
allegiantair	UA-6449-BFL-LAX		9:35 AMDec 10			10:14 AMDec 10	
boston	UA-6449-BFL-LAX		9:35 AMDec 10			10:13 AMDec 10	
orbitz	UA-6449-BFL-LAX	9:25aDec 10	9:34aDec 10	 -	10:05aDec 10	10:14aDec 10	 -
aa	AA-185-JFK-LAX	December 10, 2011               09:00 PM    	December 10, 2011     	 46	December 11, 2011               12:23 AM    	December 11, 2011     	 47B    
flightexplorer	AA-185-JFK-LAX	12/10/2011 9:00PM EST			12/11/2011 12:23AM PST		
airtravelcenter	AA-185-JFK-LAX		12/10/11 9:10 PM (-05:00)			12/10/11 11:55 PM (-08:00)	
myrateplan	AA-185-JFK-LAX		12/10/11 9:10 PM (-05:00)			12/10/11 11:55 PM (-08:00)	
helloflight	AA-185-JFK-LAX		12/10/11 9:10 PM (-05:00)			12/10/11 11:55 PM (-08:00)	
flytecomm	AA-185-JFK-LAX		12/10/11 9:10 PM (-05:00)			12/10/11 11:55 PM (-08:00)	
flightaware	AA-185-JFK-LAX	2011-12-10 09:00PM EST	2011-12-10 09:10PM EST	 46 	2011-12-10 11:45PM PST	2011-12-10 11:55PM PST	 47B 
