CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
weather	CO-4284-EWR-SDF	2012-01-02 04:29 PM			2012-01-02 06:52 PM		
flightarrival	CO-4284-EWR-SDF	2012-01-02 04:29 PM			2012-01-02 06:52 PM		
ua	UA-2706-EWR-CLT	Mon, Jan 2 6:29 PM	Mon, Jan 2 6:45 PM	A38	Mon, Jan 2 8:33 PM	Mon, Jan 2 8:59 PM	D1
airtravelcenter	UA-2706-EWR-CLT		1/2/12 7:08 PM (-05:00)			1/2/12 8:34 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		1/2/12 7:08 PM (-05:00)			1/2/12 8:34 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		1/2/12 7:08 PM (-05:00)			1/2/12 8:34 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		1/2/12 7:08 PM (-05:00)			1/2/12 8:34 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2012-01-02 06:29PM EST	2012-01-02 07:07PM EST		2012-01-02 07:57PM EST	2012-01-02 08:48PM EST	
wunderground	UA-2706-EWR-CLT	2012-01-02 06:29PM EST	2012-01-02 07:07PM EST		2012-01-02 07:57PM EST	2012-01-02 08:48PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Mon 02-Jan-2012	06:45 PM  Mon 02-Jan-2012	38	08:33 PM  Mon 02-Jan-2012	08:59 PM  Mon 02-Jan-2012	D1
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Mon 02-Jan-2012	06:45 PM  Mon 02-Jan-2012	38	08:33 PM  Mon 02-Jan-2012	08:59 PM  Mon 02-Jan-2012	D1
flylouisville	UA-2706-EWR-CLT	06:29 PM  Mon 02-Jan-2012	06:45 PM  Mon 02-Jan-2012	38	08:33 PM  Mon 02-Jan-2012	08:59 PM  Mon 02-Jan-2012	D1
flightstats	UA-2706-EWR-CLT	2012-01-02 6:29 PM	2012-01-02 6:45 PM		2012-01-02 8:33 PM	2012-01-02 8:59 PM	
quicktrip	UA-2706-EWR-CLT	2012-01-02 6:29 PM	2012-01-02 6:45 PM		2012-01-02 8:33 PM	2012-01-02 8:59 PM	
world-flight-tracker	UA-2706-EWR-CLT	2012-01-02 6:29 PM	2012-01-02 6:45 PM		2012-01-02 8:33 PM	2012-01-02 8:59 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
panynj	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
gofox	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
boston	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
orbitz	UA-2706-EWR-CLT	6:29pJan 2	6:45pJan 2	 -	8:33pJan 2	8:59pJan 2	 -
weather	UA-2706-EWR-CLT	2012-01-02 06:29 PM			2012-01-02 08:33 PM		
flightwise	UA-2706-EWR-CLT	2012-01-02 06:29PM EST	2012-01-02 07:07PM EST		2012-01-02 07:57PM EST	2012-01-02 08:48PM EST	
flightarrival	UA-2706-EWR-CLT	6:29 PM, Jan 02	7:08 PM, Jan 02		8:33 PM, Jan 02	8:51 PM, Jan 02	
ua	UA-983-SFO-KOA	Mon, Jan 2 5:22 PM	Mon, Jan 2 5:22 PM	82	Mon, Jan 2 8:58 PM	Mon, Jan 2 8:58 PM	HOLD
flightexplorer	UA-983-SFO-KOA	1/2/2012 5:22PM PST			1/2/2012 8:58PM HST		
airtravelcenter	UA-983-SFO-KOA		1/2/12 5:32 PM (-08:00)			1/2/12 8:43 PM (-10:00)	
myrateplan	UA-983-SFO-KOA		1/2/12 5:32 PM (-08:00)			1/2/12 8:43 PM (-10:00)	
helloflight	UA-983-SFO-KOA		1/2/12 5:32 PM (-08:00)			1/2/12 8:43 PM (-10:00)	
flytecomm	UA-983-SFO-KOA		1/2/12 5:32 PM (-08:00)			1/2/12 8:43 PM (-10:00)	
flights	UA-983-SFO-KOA	05:22 PM  Mon 02-Jan-2012			08:58 PM  Mon 02-Jan-2012		
businesstravellogue	UA-983-SFO-KOA	05:22 PM  Mon 02-Jan-2012			08:58 PM  Mon 02-Jan-2012		
flylouisville	UA-983-SFO-KOA	05:22 PM  Mon 02-Jan-2012			08:58 PM  Mon 02-Jan-2012		
world-flight-tracker	UA-983-SFO-KOA	2012-01-02 5:22 PM	2012-01-02 5:22 PM (Estimated)		2012-01-02 8:58 PM	2012-01-02 8:58 PM (Estimated)	
flightview	UA-983-SFO-KOA	5:22 PM, Jan 02			8:58 PM, Jan 02		
panynj	UA-983-SFO-KOA	5:22 PM, Jan 02			8:58 PM, Jan 02		
gofox	UA-983-SFO-KOA	5:22 PM, Jan 02			8:58 PM, Jan 02		
foxbusiness	UA-983-SFO-KOA	5:22 PM, Jan 02			8:58 PM, Jan 02		
allegiantair	UA-983-SFO-KOA	5:22 PM, Jan 02			8:58 PM, Jan 02		
boston	UA-983-SFO-KOA	5:22 PM, Jan 02	Not Available		8:58 PM, Jan 02	Not Available	
orbitz	UA-983-SFO-KOA	5:22pJan 2		 82	8:58pJan 2		 -
flightarrival	UA-983-SFO-KOA	5:22 PM, Jan 02	Not Available		8:58 PM, Jan 02	Not Available	
CO	CO-1240-IAH-SFO	Mon., Jan.02, 2012 4:10 p.m.	Mon., Jan.02, 2012 4:10 p.m.		Mon., Jan.02, 2012 6:38 p.m.	Mon., Jan.02, 2012 6:12 p.m.	
flightexplorer	CO-1240-IAH-SFO	1/2/2012 4:10PM CST			1/2/2012 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	1/2/12 4:10 PM (-06:00)			1/2/12 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	1/2/12 4:10 PM (-06:00)			1/2/12 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	1/2/12 4:10 PM (-06:00)			1/2/12 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	1/2/12 4:10 PM (-06:00)			1/2/12 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2012-01-02 04:10 PM		45	2012-01-02 06:38 PM		89
businesstravellogue	CO-1240-IAH-SFO	2012-01-02 04:10 PM		45	2012-01-02 06:38 PM		89
flylouisville	CO-1240-IAH-SFO	2012-01-02 04:10 PM		45	2012-01-02 06:38 PM		89
flightstats	CO-1240-IAH-SFO	2012-01-02 4:10 PM	2012-01-02 4:10 PM (Estimated)		2012-01-02 6:38 PM	2012-01-02 6:12 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2012-01-02 4:10 PM	2012-01-02 4:10 PM (Estimated)		2012-01-02 6:38 PM	2012-01-02 6:12 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMJan 02			6:12 PMJan 02		
panynj	CO-1240-IAH-SFO	4:10 PMJan 02			6:12 PMJan 02		
gofox	CO-1240-IAH-SFO	4:10 PMJan 02			6:12 PMJan 02		
foxbusiness	CO-1240-IAH-SFO	4:10 PMJan 02			6:12 PMJan 02		
allegiantair	CO-1240-IAH-SFO	4:10 PMJan 02			6:12 PMJan 02		
boston	CO-1240-IAH-SFO	4:10 PMJan 02			6:38 PMJan 02		
orbitz	CO-1240-IAH-SFO	4:10pJan 2		 C-45	6:38pJan 2		 89
ifly	CO-1240-IAH-SFO	2012-01-02 4:10 PM	2012-01-02 4:10 PM (Estimated)		2012-01-02 6:38 PM	2012-01-02 6:12 PM (Estimated)	
flightarrival	CO-1240-IAH-SFO	4:10 PMJan 02			6:38 PMJan 02		
ua	UA-6344-ABQ-LAX	Mon, Jan 2 8:46 PM	Mon, Jan 2 8:38 PM	--	Mon, Jan 2 9:53 PM	Mon, Jan 2 9:24 PM	80
airtravelcenter	UA-6344-ABQ-LAX	1/2/12 8:46 PM (-07:00)			1/2/12 9:53 PM (-08:00)		
myrateplan	UA-6344-ABQ-LAX	1/2/12 8:46 PM (-07:00)			1/2/12 9:53 PM (-08:00)		
helloflight	UA-6344-ABQ-LAX	1/2/12 8:46 PM (-07:00)			1/2/12 9:53 PM (-08:00)		
flytecomm	UA-6344-ABQ-LAX	1/2/12 8:46 PM (-07:00)			1/2/12 9:53 PM (-08:00)		
flightaware	UA-6344-ABQ-LAX	2012-01-02 08:46PM MST	2012-01-02 08:50PM MST		2012-01-02 09:21PM PST	2012-01-02 09:21PM PST	 80 
wunderground	UA-6344-ABQ-LAX	2012-01-02 08:46PM MST	2012-01-02 08:50PM MST		2012-01-02 09:21PM PST	2012-01-02 09:21PM PST	 80 
flights	UA-6344-ABQ-LAX		2012-01-02 08:38 PM			2012-01-02 09:53 PM	80
businesstravellogue	UA-6344-ABQ-LAX		2012-01-02 08:38 PM			2012-01-02 09:53 PM	80
flylouisville	UA-6344-ABQ-LAX		2012-01-02 08:38 PM			2012-01-02 09:53 PM	80
flightview	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
panynj	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
gofox	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
foxbusiness	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
allegiantair	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
boston	UA-6344-ABQ-LAX		8:50 PMJan 02			9:29 PMJan 02	
orbitz	UA-6344-ABQ-LAX	8:46pJan 2		 -	9:53pJan 2		 -
weather	UA-6344-ABQ-LAX	2012-01-02 08:46 PM			2012-01-02 09:53 PM		
flightarrival	UA-6344-ABQ-LAX	2012-01-02 08:46 PM			2012-01-02 09:53 PM		
ua	UA-1974-CVG-CLT	Mon, Jan 2 7:59 PM	Mon, Jan 2 8:11 PM	7	Mon, Jan 2 9:25 PM	Mon, Jan 2 9:32 PM	E17
myrateplan	UA-1974-CVG-CLT		1/2/12 8:24 PM (-05:00)			1/2/12 9:26 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		1/2/12 8:24 PM (-05:00)			1/2/12 9:26 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		1/2/12 8:24 PM (-05:00)			1/2/12 9:26 PM (-05:00)	
flightaware	UA-1974-CVG-CLT	2012-01-02 07:05AM EST	2012-01-02 07:42AM EST		2012-01-02 08:19AM EST	2012-01-02 08:43AM EST	
wunderground	UA-1974-CVG-CLT	2012-01-02 07:05AM EST	2012-01-02 07:42AM EST		2012-01-02 08:19AM EST	2012-01-02 08:43AM EST	
flights	UA-1974-CVG-CLT		2012-01-02 08:11 PM	7		2012-01-02 09:32 PM	E17
businesstravellogue	UA-1974-CVG-CLT		2012-01-02 08:11 PM	7		2012-01-02 09:32 PM	E17
flylouisville	UA-1974-CVG-CLT		2012-01-02 08:11 PM	7		2012-01-02 09:32 PM	E17
flightstats	UA-1974-CVG-CLT	2012-01-02 7:59 PM	2012-01-02 8:11 PM		2012-01-02 9:25 PM	2012-01-02 9:32 PM	
quicktrip	UA-1974-CVG-CLT	2012-01-02 7:59 PM	2012-01-02 8:11 PM		2012-01-02 9:25 PM	2012-01-02 9:32 PM	
flightview	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
panynj	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
gofox	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
foxbusiness	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
allegiantair	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
boston	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
orbitz	UA-1974-CVG-CLT	7:59pJan 2	8:11pJan 2	 -	9:25pJan 2	9:32pJan 2	 -
weather	UA-1974-CVG-CLT	2012-01-02 07:59 PM			2012-01-02 09:25 PM		
usatoday	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
flightarrival	UA-1974-CVG-CLT		8:24 PMJan 02			9:27 PMJan 02	
ua	UA-2708-EWR-CLT	Mon, Jan 2 2:55 PM	Mon, Jan 2 2:55 PM	A37	Mon, Jan 2 4:53 PM	Mon, Jan 2 5:04 PM	C13
airtravelcenter	UA-2708-EWR-CLT		1/2/12 3:07 PM (-05:00)			1/2/12 4:49 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		1/2/12 3:07 PM (-05:00)			1/2/12 4:49 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		1/2/12 3:07 PM (-05:00)			1/2/12 4:49 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		1/2/12 3:07 PM (-05:00)			1/2/12 4:49 PM (-05:00)	
flights	UA-2708-EWR-CLT		2012-01-02 02:52 PM	37		2012-01-02 05:04 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2012-01-02 02:52 PM	37		2012-01-02 05:04 PM	C13
flylouisville	UA-2708-EWR-CLT		2012-01-02 02:52 PM	37		2012-01-02 05:04 PM	C13
flightstats	UA-2708-EWR-CLT	2012-01-02 2:55 PM	2012-01-02 2:52 PM		2012-01-02 4:53 PM	2012-01-02 5:04 PM	
quicktrip	UA-2708-EWR-CLT	2012-01-02 2:55 PM	2012-01-02 2:52 PM		2012-01-02 4:53 PM	2012-01-02 5:04 PM	
flightview	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
panynj	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
gofox	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
foxbusiness	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
allegiantair	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
boston	UA-2708-EWR-CLT		3:07 PMJan 02			4:52 PMJan 02	
orbitz	UA-2708-EWR-CLT	2:55pJan 2	2:52pJan 2	 -	4:53pJan 2	5:04pJan 2	 -
weather	UA-2708-EWR-CLT	2012-01-02 02:55 PM			2012-01-02 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pJan 2	2:52pJan 2	 -	4:53pJan 2	5:04pJan 2	 -
CO	CO-53-LAX-IAH	Mon., Jan.02, 2012 2:52 p.m.	Mon., Jan.02, 2012 2:58 p.m.		Mon., Jan.02, 2012 8:03 p.m.	Mon., Jan.02, 2012 8:12 p.m.	
airtravelcenter	CO-53-LAX-IAH	1/2/12 2:52 PM (-08:00)			1/2/12 8:03 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	1/2/12 2:52 PM (-08:00)			1/2/12 8:03 PM (-06:00)		
helloflight	CO-53-LAX-IAH	1/2/12 2:52 PM (-08:00)			1/2/12 8:03 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	1/2/12 2:52 PM (-08:00)			1/2/12 8:03 PM (-06:00)		
flights	CO-53-LAX-IAH		2012-01-02 02:58 PM	62		2012-01-02 08:12 PM	37
businesstravellogue	CO-53-LAX-IAH		2012-01-02 02:58 PM	62		2012-01-02 08:12 PM	37
flylouisville	CO-53-LAX-IAH		2012-01-02 02:58 PM	62		2012-01-02 08:12 PM	37
flightstats	CO-53-LAX-IAH	2012-01-02 2:52 PM	2012-01-02 2:58 PM		2012-01-02 8:03 PM	2012-01-02 8:12 PM	
quicktrip	CO-53-LAX-IAH	2012-01-02 2:52 PM	2012-01-02 2:58 PM		2012-01-02 8:03 PM	2012-01-02 8:12 PM	
flightview	CO-53-LAX-IAH		3:12 PMJan 02			8:12 PMJan 02	
panynj	CO-53-LAX-IAH		3:12 PMJan 02			8:12 PMJan 02	
gofox	CO-53-LAX-IAH		3:12 PMJan 02			8:12 PMJan 02	
foxbusiness	CO-53-LAX-IAH		3:12 PMJan 02			8:12 PMJan 02	
allegiantair	CO-53-LAX-IAH		3:12 PMJan 02			8:12 PMJan 02	
boston	CO-53-LAX-IAH		3:12 PMJan 02			8:06 PMJan 02	
orbitz	CO-53-LAX-IAH	2:52pJan 2	2:58pJan 2	 62	8:03pJan 2	8:12pJan 2	 37
weather	CO-53-LAX-IAH	2012-01-02 02:52 PM			2012-01-02 08:03 PM		
usatoday	CO-53-LAX-IAH		3:12 PMJan 02			8:06 PMJan 02	
flightarrival	CO-53-LAX-IAH		3:12 PMJan 02			8:06 PMJan 02	
CO	CO-1030-DEN-IAH	Mon., Jan.02, 2012 2:25 p.m.	Mon., Jan.02, 2012 2:36 p.m.		Mon., Jan.02, 2012 5:51 p.m.	Mon., Jan.02, 2012 5:51 p.m.	
airtravelcenter	CO-1030-DEN-IAH	1/2/12 2:25 PM (-07:00)			1/2/12 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	1/2/12 2:25 PM (-07:00)			1/2/12 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	1/2/12 2:25 PM (-07:00)			1/2/12 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	1/2/12 2:25 PM (-07:00)			1/2/12 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2012-01-02 02:36 PM	B18		2012-01-02 05:51 PM	41
businesstravellogue	CO-1030-DEN-IAH		2012-01-02 02:36 PM	B18		2012-01-02 05:51 PM	41
flylouisville	CO-1030-DEN-IAH		2012-01-02 02:36 PM	B18		2012-01-02 05:51 PM	41
