CO	CO-4237-EWR-DTW	Sat., Dec.31, 2011 12:33 p.m.	Sat., Dec.31, 2011 12:29 p.m.		Sat., Dec.31, 2011 2:38 p.m.	Sat., Dec.31, 2011 2:15 p.m.	
flytecomm	UA-2706-EWR-CLT		12/31/11 6:34 PM (-05:00)			12/31/11 7:52 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-31 06:29PM EST	2011-12-31 06:34PM EST		2011-12-31 08:22PM EST	2011-12-31 07:49PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-31 06:29PM EST	2011-12-31 06:34PM EST		2011-12-31 08:22PM EST	2011-12-31 07:49PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sat 31-Dec-2011	06:22 PM  Sat 31-Dec-2011	37	08:33 PM  Sat 31-Dec-2011	07:53 PM  Sat 31-Dec-2011	C4
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sat 31-Dec-2011	06:22 PM  Sat 31-Dec-2011	37	08:33 PM  Sat 31-Dec-2011	07:53 PM  Sat 31-Dec-2011	C4
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sat 31-Dec-2011	06:22 PM  Sat 31-Dec-2011	37	08:33 PM  Sat 31-Dec-2011	07:53 PM  Sat 31-Dec-2011	C4
flightstats	UA-2706-EWR-CLT	2011-12-31 6:29 PM	2011-12-31 6:22 PM		2011-12-31 8:33 PM	2011-12-31 7:53 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-31 6:29 PM	2011-12-31 6:22 PM		2011-12-31 8:33 PM	2011-12-31 7:53 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-31 6:29 PM	2011-12-31 6:22 PM		2011-12-31 8:33 PM	2011-12-31 7:53 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
travelocity	UA-2706-EWR-CLT	Dec 31 - 6:29pm	Dec 31 - Contact Airline	Not provided by airline	Dec 31 - 8:33pm	Dec 31 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 31	6:22pDec 31	 -	8:33pDec 31	7:53pDec 31	 -
weather	UA-2706-EWR-CLT	2011-12-31 06:29 PM			2011-12-31 08:33 PM		
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
mytripandmore	UA-2706-EWR-CLT	6:29pDec 31	6:22pDec 31	 -	8:33pDec 31	7:53pDec 31	 -
flightarrival	UA-2706-EWR-CLT	6:29 PM, Dec 31	6:34 PM, Dec 31		8:33 PM, Dec 31	7:54 PM, Dec 31	
CO	CO-1240-IAH-SFO	Sat., Dec.31, 2011 4:10 p.m.	Sat., Dec.31, 2011 4:10 p.m.		Sat., Dec.31, 2011 6:44 p.m.	Sat., Dec.31, 2011 6:13 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/31/2011 4:10PM CST			12/31/2011 6:44PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/31/11 4:10 PM (-06:00)			12/31/11 6:44 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/31/11 4:10 PM (-06:00)			12/31/11 6:44 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/31/11 4:10 PM (-06:00)			12/31/11 6:44 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/31/11 4:10 PM (-06:00)			12/31/11 6:44 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-31 04:10 PM		45	2011-12-31 06:44 PM		87
businesstravellogue	CO-1240-IAH-SFO	2011-12-31 04:10 PM		45	2011-12-31 06:44 PM		87
flylouisville	CO-1240-IAH-SFO	2011-12-31 04:10 PM		45	2011-12-31 06:44 PM		87
flightstats	CO-1240-IAH-SFO	2011-12-31 4:10 PM	2011-12-31 4:10 PM (Estimated)		2011-12-31 6:44 PM	2011-12-31 6:13 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-31 4:10 PM	2011-12-31 4:10 PM (Estimated)		2011-12-31 6:44 PM	2011-12-31 6:13 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 31			6:13 PMDec 31		
panynj	CO-1240-IAH-SFO	4:10 PMDec 31			6:13 PMDec 31		
gofox	CO-1240-IAH-SFO	4:10 PMDec 31			6:13 PMDec 31		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 31			6:13 PMDec 31		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 31			6:13 PMDec 31		
boston	CO-1240-IAH-SFO	4:10 PMDec 31			6:44 PMDec 31		
orbitz	CO-1240-IAH-SFO	4:10pDec 31		 45	5:42pDec 31		 87
usatoday	CO-1240-IAH-SFO	2011-12-31 4:10 PM	2011-12-31 4:10 PM (Estimated)		2011-12-31 6:44 PM	2011-12-31 6:13 PM (Estimated)	
ua	UA-6344-ABQ-LAX	Sat, Dec 31 8:46 PM	Sat, Dec 31 8:41 PM	--	Sat, Dec 31 9:53 PM	Sat, Dec 31 9:42 PM	80
flightexplorer	UA-6344-ABQ-LAX		12/31/2011 9:08PM MST			12/31/2011 9:40PM PST	
airtravelcenter	UA-6344-ABQ-LAX		12/31/11 9:08 PM (-07:00)			12/31/11 9:37 PM (-08:00)	
myrateplan	UA-6344-ABQ-LAX		12/31/11 9:08 PM (-07:00)			12/31/11 9:37 PM (-08:00)	
helloflight	UA-6344-ABQ-LAX		12/31/11 9:08 PM (-07:00)			12/31/11 9:37 PM (-08:00)	
flytecomm	UA-6344-ABQ-LAX		12/31/11 9:08 PM (-07:00)			12/31/11 9:37 PM (-08:00)	
flightaware	UA-6344-ABQ-LAX	2011-12-31 08:46PM MST	2011-12-31 09:08PM MST		2011-12-31 09:21PM PST	2011-12-31 09:40PM PST	 80 
wunderground	UA-6344-ABQ-LAX	2011-12-31 08:46PM MST	2011-12-31 09:08PM MST		2011-12-31 09:21PM PST	2011-12-31 09:40PM PST	 80 
flights	UA-6344-ABQ-LAX		2011-12-31 08:41 PM			2011-12-31 09:53 PM	80
businesstravellogue	UA-6344-ABQ-LAX		2011-12-31 08:41 PM			2011-12-31 09:53 PM	80
flylouisville	UA-6344-ABQ-LAX		2011-12-31 08:41 PM			2011-12-31 09:53 PM	80
flightview	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
panynj	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
gofox	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
foxbusiness	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
allegiantair	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
boston	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
travelocity	UA-6344-ABQ-LAX	Dec 31 - Not Available	Dec 31 - 9:07pm	CHK	Dec 31 - Not Available	Dec 31 - 9:42pm*	Not provided by airline
orbitz	UA-6344-ABQ-LAX	8:46pDec 31	8:41pDec 31	 -	9:31pDec 31		 80
weather	UA-6344-ABQ-LAX	2011-12-31 08:46 PM			2011-12-31 09:53 PM		
usatoday	UA-6344-ABQ-LAX		9:08 PMDec 31			9:40 PMDec 31	
mytripandmore	UA-6344-ABQ-LAX	8:46pDec 31	8:41pDec 31	 -	9:31pDec 31		 80
flightwise	UA-6344-ABQ-LAX	2011-12-31 08:46PM MST	2011-12-31 09:08PM MST		2011-12-31 09:21PM PST	2011-12-31 09:40PM PST	 80 
flightarrival	UA-6344-ABQ-LAX	2011-12-31 08:46 PM			2011-12-31 09:53 PM		
ua	UA-2708-EWR-CLT	Sat, Dec 31 2:55 PM	Sat, Dec 31 2:55 PM	A37	Sat, Dec 31 4:53 PM	Sat, Dec 31 4:18 PM	C17
airtravelcenter	UA-2708-EWR-CLT	12/31/11 2:55 PM (-05:00)			12/31/11 4:53 PM (-05:00)		
myrateplan	UA-2708-EWR-CLT	12/31/11 2:55 PM (-05:00)			12/31/11 4:53 PM (-05:00)		
helloflight	UA-2708-EWR-CLT	12/31/11 2:55 PM (-05:00)			12/31/11 4:53 PM (-05:00)		
flytecomm	UA-2708-EWR-CLT	12/31/11 2:55 PM (-05:00)			12/31/11 4:53 PM (-05:00)		
flights	UA-2708-EWR-CLT		2011-12-31 02:52 PM	37		2011-12-31 04:18 PM	C17
businesstravellogue	UA-2708-EWR-CLT		2011-12-31 02:52 PM	37		2011-12-31 04:18 PM	C17
flylouisville	UA-2708-EWR-CLT		2011-12-31 02:52 PM	37		2011-12-31 04:18 PM	C17
flightstats	UA-2708-EWR-CLT	2011-12-31 2:55 PM	2011-12-31 2:52 PM		2011-12-31 4:53 PM	2011-12-31 4:18 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-31 2:55 PM	2011-12-31 2:52 PM		2011-12-31 4:53 PM	2011-12-31 4:18 PM	
flightview	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
panynj	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
gofox	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
foxbusiness	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
allegiantair	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
boston	UA-2708-EWR-CLT		3:02 PMDec 31			4:14 PMDec 31	
travelocity	UA-2708-EWR-CLT	Dec 31 - 2:55pm	Dec 31 - Contact Airline	Not provided by airline	Dec 31 - 4:53pm	Dec 31 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 31	2:52pDec 31	 -	4:53pDec 31	4:18pDec 31	 -
weather	UA-2708-EWR-CLT	2011-12-31 02:55 PM			2011-12-31 04:53 PM		
ua	UA-5860-ORD-OMA	Sat, Dec 31 7:20 AM	Sat, Dec 31 7:35 AM	F11A	Sat, Dec 31 8:52 AM	Sat, Dec 31 8:57 AM	--
airtravelcenter	UA-5860-ORD-OMA	12/31/11 7:20 AM (-06:00)			12/31/11 8:52 AM (-06:00)		
myrateplan	UA-5860-ORD-OMA	12/31/11 7:20 AM (-06:00)			12/31/11 8:52 AM (-06:00)		
helloflight	UA-5860-ORD-OMA	12/31/11 7:20 AM (-06:00)			12/31/11 8:52 AM (-06:00)		
flytecomm	UA-5860-ORD-OMA	12/31/11 7:20 AM (-06:00)			12/31/11 8:52 AM (-06:00)		
flightaware	UA-5860-ORD-OMA	2011-12-31 07:20AM CST	2011-12-31 07:47AM CST	 F11A 	2011-12-31 08:46AM CST	2011-12-31 08:53AM CST	
wunderground	UA-5860-ORD-OMA	2011-12-31 07:20AM CST	2011-12-31 07:47AM CST	 F11A 	2011-12-31 08:46AM CST	2011-12-31 08:53AM CST	
flights	UA-5860-ORD-OMA	07:20 AM  Sat 31-Dec-2011	07:35 AM  Sat 31-Dec-2011		08:52 AM  Sat 31-Dec-2011	08:57 AM  Sat 31-Dec-2011	
businesstravellogue	UA-5860-ORD-OMA	07:20 AM  Sat 31-Dec-2011	07:35 AM  Sat 31-Dec-2011		08:52 AM  Sat 31-Dec-2011	08:57 AM  Sat 31-Dec-2011	
flylouisville	UA-5860-ORD-OMA	07:20 AM  Sat 31-Dec-2011	07:35 AM  Sat 31-Dec-2011		08:52 AM  Sat 31-Dec-2011	08:57 AM  Sat 31-Dec-2011	
world-flight-tracker	UA-5860-ORD-OMA	2011-12-31 7:20 AM	2011-12-31 7:35 AM		2011-12-31 8:52 AM	2011-12-31 8:57 AM	
flightview	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:57 AM, Dec 31	
panynj	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:57 AM, Dec 31	
gofox	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:57 AM, Dec 31	
foxbusiness	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:57 AM, Dec 31	
allegiantair	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:57 AM, Dec 31	
boston	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:54 AM, Dec 31	
travelocity	UA-5860-ORD-OMA	Dec 31 - Not Available	Dec 31 - 7:47am	F11A	Dec 31 - Not Available	Dec 31 - 8:57am	CHK
orbitz	UA-5860-ORD-OMA	7:20aDec 31	7:35aDec 31	 F11A	8:52aDec 31	8:57aDec 31	 -
weather	UA-5860-ORD-OMA	2011-12-31 07:20 AM			2011-12-31 08:52 AM		
usatoday	UA-5860-ORD-OMA	7:20 AM, Dec 31	7:47 AM, Dec 31		8:52 AM, Dec 31	8:54 AM, Dec 31	
mytripandmore	UA-5860-ORD-OMA	7:20aDec 31	7:35aDec 31	 F11A	8:52aDec 31	8:57aDec 31	 -
flightarrival	UA-5860-ORD-OMA	2011-12-31 07:20 AM			2011-12-31 08:52 AM		
CO	CO-53-LAX-IAH	Sat., Dec.31, 2011 2:50 p.m.	Sat., Dec.31, 2011 2:45 p.m.		Sat., Dec.31, 2011 8:01 p.m.	Sat., Dec.31, 2011 7:57 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/31/11 2:50 PM (-08:00)			12/31/11 8:01 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/31/11 2:50 PM (-08:00)			12/31/11 8:01 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/31/11 2:50 PM (-08:00)			12/31/11 8:01 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/31/11 2:50 PM (-08:00)			12/31/11 8:01 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-31 02:45 PM	62		2011-12-31 07:57 PM	41
businesstravellogue	CO-53-LAX-IAH		2011-12-31 02:45 PM	62		2011-12-31 07:57 PM	41
flylouisville	CO-53-LAX-IAH		2011-12-31 02:45 PM	62		2011-12-31 07:57 PM	41
flightstats	CO-53-LAX-IAH	2011-12-31 2:50 PM	2011-12-31 2:45 PM		2011-12-31 8:01 PM	2011-12-31 7:57 PM	
quicktrip	CO-53-LAX-IAH	2011-12-31 2:50 PM	2011-12-31 2:45 PM		2011-12-31 8:01 PM	2011-12-31 7:57 PM	
flightview	CO-53-LAX-IAH		2:58 PMDec 31			7:57 PMDec 31	
panynj	CO-53-LAX-IAH		2:58 PMDec 31			7:57 PMDec 31	
gofox	CO-53-LAX-IAH		2:58 PMDec 31			7:57 PMDec 31	
foxbusiness	CO-53-LAX-IAH		2:58 PMDec 31			7:57 PMDec 31	
allegiantair	CO-53-LAX-IAH		2:58 PMDec 31			7:57 PMDec 31	
boston	CO-53-LAX-IAH		2:58 PMDec 31			7:51 PMDec 31	
orbitz	CO-53-LAX-IAH	2:50pDec 31	2:45pDec 31	 62	8:01pDec 31	7:57pDec 31	 41
weather	CO-53-LAX-IAH	2011-12-31 02:50 PM			2011-12-31 08:01 PM		
ifly	CO-53-LAX-IAH	2011-12-31 2:50 PM	2011-12-31 2:45 PM		2011-12-31 8:01 PM	2011-12-31 7:57 PM	
usatoday	CO-53-LAX-IAH	2011-12-31 2:50 PM	2011-12-31 2:45 PM		2011-12-31 8:01 PM	2011-12-31 7:57 PM	
CO	CO-1030-DEN-IAH	Sat., Dec.31, 2011 2:19 p.m.	Sat., Dec.31, 2011 2:17 p.m.		Sat., Dec.31, 2011 5:45 p.m.	Sat., Dec.31, 2011 5:41 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/31/2011 2:26PM MST			12/31/2011 5:26PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/31/11 2:19 PM (-07:00)			12/31/11 5:45 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/31/11 2:19 PM (-07:00)			12/31/11 5:45 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/31/11 2:19 PM (-07:00)			12/31/11 5:45 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/31/11 2:19 PM (-07:00)			12/31/11 5:45 PM (-06:00)		
flightaware	CO-1030-DEN-IAH	2011-12-31 02:19PM MST	2011-12-31 02:27PM MST	 B18 	2011-12-31 05:35PM CST	2011-12-31 05:15PM CST	 44 
wunderground	CO-1030-DEN-IAH	2011-12-31 02:19PM MST	2011-12-31 02:27PM MST	 B18 	2011-12-31 05:35PM CST	2011-12-31 05:15PM CST	 44 
flights	CO-1030-DEN-IAH	02:19 PM  Sat 31-Dec-2011	02:17 PM  Sat 31-Dec-2011	B18	05:45 PM  Sat 31-Dec-2011	05:41 PM  Sat 31-Dec-2011	44
businesstravellogue	CO-1030-DEN-IAH	02:19 PM  Sat 31-Dec-2011	02:17 PM  Sat 31-Dec-2011	B18	05:45 PM  Sat 31-Dec-2011	05:41 PM  Sat 31-Dec-2011	44
flylouisville	CO-1030-DEN-IAH	02:19 PM  Sat 31-Dec-2011	02:17 PM  Sat 31-Dec-2011	B18	05:45 PM  Sat 31-Dec-2011	05:41 PM  Sat 31-Dec-2011	44
flightstats	CO-1030-DEN-IAH	2011-12-31 2:19 PM	2011-12-31 2:17 PM		2011-12-31 5:45 PM	2011-12-31 5:41 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-31 2:19 PM	2011-12-31 2:17 PM		2011-12-31 5:45 PM	2011-12-31 5:41 PM	
world-flight-tracker	CO-1030-DEN-IAH	2011-12-31 2:19 PM	2011-12-31 2:17 PM		2011-12-31 5:45 PM	2011-12-31 5:41 PM	
flightview	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31	Terminal Conc B - B18	5:45 PM, Dec 31	5:41 PM, Dec 31	Term C - C44
panynj	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31	Terminal Conc B - B18	5:45 PM, Dec 31	5:41 PM, Dec 31	Term C - C44
gofox	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31		5:45 PM, Dec 31	5:41 PM, Dec 31	
foxbusiness	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31	Terminal Conc B - B18	5:45 PM, Dec 31	5:41 PM, Dec 31	Term C - C44
allegiantair	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31	Terminal Conc B - B18	5:45 PM, Dec 31	5:41 PM, Dec 31	Term C - C44
boston	CO-1030-DEN-IAH	2:19 PM, Dec 31	2:27 PM, Dec 31		5:45 PM, Dec 31	5:27 PM, Dec 31	
travelocity	CO-1030-DEN-IAH	Dec 31 - 2:19pm	Dec 31 - 2:17pm	B18	Dec 31 - 5:45pm	Dec 31 - 5:41pm	C-44
