CO	CO-4237-EWR-DTW	Fri., Dec.16, 2011 12:17 p.m.	Fri., Dec.16, 2011 12:11 p.m.		Fri., Dec.16, 2011 2:24 p.m.	Fri., Dec.16, 2011 2:17 p.m.	
airtravelcenter	AA-1518-DFW-SDF		12/16/11 12:36 PM (-06:00)			12/16/11 3:04 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/16/11 12:36 PM (-06:00)			12/16/11 3:04 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/16/11 12:36 PM (-06:00)			12/16/11 3:04 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/16/11 12:36 PM (-06:00)			12/16/11 3:04 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-16 12:10PM CST	2011-12-16 12:36PM CST	 A19 	2011-12-16 02:51PM EST	2011-12-16 03:00PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-16 12:10PM CST	2011-12-16 12:36PM CST	 A19 	2011-12-16 02:51PM EST	2011-12-16 03:00PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Fri 16-Dec-2011	12:26 PM  Fri 16-Dec-2011	A19	03:10 PM  Fri 16-Dec-2011	03:06 PM  Fri 16-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Fri 16-Dec-2011	12:26 PM  Fri 16-Dec-2011	A19	03:10 PM  Fri 16-Dec-2011	03:06 PM  Fri 16-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Fri 16-Dec-2011	12:26 PM  Fri 16-Dec-2011	A19	03:10 PM  Fri 16-Dec-2011	03:06 PM  Fri 16-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-16 12:10 PM	2011-12-16 12:26 PM		2011-12-16 3:10 PM	2011-12-16 3:06 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-16 12:10 PM	2011-12-16 12:26 PM		2011-12-16 3:10 PM	2011-12-16 3:06 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-16 12:10 PM	2011-12-16 12:26 PM		2011-12-16 3:10 PM	2011-12-16 3:06 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 16	12:36 PM, Dec 16		3:10 PM, Dec 16	3:01 PM, Dec 16	
travelocity	AA-1518-DFW-SDF	Dec 16 - 12:10pm	Dec 16 - 12:26pm	A19/A	Dec 16 - 3:10pm	Dec 16 - 3:06pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 16	12:26pDec 16	 A19	3:10pDec 16	3:06pDec 16	 A15
weather	AA-1518-DFW-SDF	2011-12-16 12:10 PM			2011-12-16 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-16 12:10 pm		A19			
flightwise	AA-1518-DFW-SDF	2011-12-16 12:10PM CST	2011-12-16 12:36PM CST	 A19 	2011-12-16 02:51PM EST	2011-12-16 03:00PM EST	 A15 
CO	CO-4284-EWR-SDF	Fri., Dec.16, 2011 4:00 p.m.	Fri., Dec.16, 2011 4:31 p.m.		Fri., Dec.16, 2011 6:23 p.m.	Fri., Dec.16, 2011 6:50 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/16/11 4:00 PM (-05:00)			12/16/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/16/11 4:00 PM (-05:00)			12/16/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/16/11 4:00 PM (-05:00)			12/16/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/16/11 4:00 PM (-05:00)			12/16/11 6:23 PM (-05:00)		
flights	CO-4284-EWR-SDF		2011-12-16 04:31 PM	27		2011-12-16 06:50 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-16 04:31 PM	27		2011-12-16 06:50 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-16 04:31 PM	27		2011-12-16 06:50 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-16 4:00 PM	2011-12-16 4:31 PM		2011-12-16 6:23 PM	2011-12-16 6:50 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-16 4:00 PM	2011-12-16 4:31 PM		2011-12-16 6:23 PM	2011-12-16 6:50 PM	
flightview	CO-4284-EWR-SDF		4:44 PMDec 16			6:50 PMDec 16	
panynj	CO-4284-EWR-SDF		4:44 PMDec 16			6:50 PMDec 16	
gofox	CO-4284-EWR-SDF		4:44 PMDec 16			6:50 PMDec 16	
foxbusiness	CO-4284-EWR-SDF		4:44 PMDec 16			6:50 PMDec 16	
allegiantair	CO-4284-EWR-SDF		4:44 PMDec 16			6:50 PMDec 16	
boston	CO-4284-EWR-SDF		4:44 PMDec 16			6:44 PMDec 16	
orbitz	CO-4284-EWR-SDF	4:00pDec 16	4:31pDec 16	 -	6:23pDec 16	6:50pDec 16	 -
weather	CO-4284-EWR-SDF	2011-12-16 04:00 PM			2011-12-16 06:23 PM		
ifly	CO-4284-EWR-SDF	2011-12-16 4:00 PM	2011-12-16 4:31 PM		2011-12-16 6:23 PM	2011-12-16 6:50 PM	
usatoday	CO-4284-EWR-SDF		4:44 PMDec 16			6:44 PMDec 16	
mytripandmore	CO-4284-EWR-SDF	4:00pDec 16	4:31pDec 16	 -	6:23pDec 16	6:50pDec 16	 -
ua	UA-3750-ORD-DFW	Fri, Dec 16 2:55 PM	Fri, Dec 16 4:07 PM	C7	Fri, Dec 16 5:26 PM	Fri, Dec 16 6:28 PM	E4
flightexplorer	UA-3750-ORD-DFW		12/16/2011 4:25PM CST			12/16/2011 6:15PM CST	
airtravelcenter	UA-3750-ORD-DFW	12/16/11 2:55 PM (-06:00)			12/16/11 5:26 PM (-06:00)		
myrateplan	UA-3750-ORD-DFW	12/16/11 2:55 PM (-06:00)			12/16/11 5:26 PM (-06:00)		
helloflight	UA-3750-ORD-DFW	12/16/11 2:55 PM (-06:00)			12/16/11 5:26 PM (-06:00)		
flytecomm	UA-3750-ORD-DFW	12/16/11 2:55 PM (-06:00)			12/16/11 5:26 PM (-06:00)		
flightaware	UA-3750-ORD-DFW	2011-12-16 02:55PM CST	2011-12-16 04:25PM CST	 C7 	2011-12-16 05:05PM CST	2011-12-16 06:15PM CST	 E4 
wunderground	UA-3750-ORD-DFW	2011-12-16 02:55PM CST	2011-12-16 04:25PM CST	 C7 	2011-12-16 05:05PM CST	2011-12-16 06:15PM CST	 E4 
flights	UA-3750-ORD-DFW		2011-12-16 04:07 PM	C7		2011-12-16 05:26 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-16 04:07 PM	C7		2011-12-16 05:26 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-16 04:07 PM	C7		2011-12-16 05:26 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-16 2:55 PM	2011-12-16 4:07 PM		2011-12-16 5:26 PM	2011-12-16 6:28 PM (Estimated)	
quicktrip	UA-3750-ORD-DFW	2011-12-16 2:55 PM	2011-12-16 4:07 PM		2011-12-16 5:26 PM	2011-12-16 6:28 PM (Estimated)	
flightview	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
panynj	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
gofox	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
foxbusiness	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
allegiantair	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
boston	UA-3750-ORD-DFW		4:25 PMDec 16			6:20 PMDec 16	
travelocity	UA-3750-ORD-DFW	Dec 16 - Not Available	Dec 16 - 4:24pm	C7	Dec 16 - Not Available	Dec 16 - 6:28pm*	E4
orbitz	UA-3750-ORD-DFW	2:55pDec 16	4:07pDec 16	 C7	7:30pDec 16		 E4
weather	UA-3750-ORD-DFW	2011-12-16 02:55 PM			2011-12-16 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-16 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-16 2:55 PM		C7	2011-12-16 5:26 PM		E4
usatoday	UA-3750-ORD-DFW	2011-12-16 2:55 PM	2011-12-16 4:07 PM		2011-12-16 5:26 PM	2011-12-16 6:28 PM (Estimated)	
mytripandmore	UA-3750-ORD-DFW	2:55pDec 16	4:07pDec 16	 C7	7:30pDec 16		 E4
flightarrival	UA-3750-ORD-DFW	2011-12-16 2:55 PM	2011-12-16 4:07 PM		2011-12-16 5:26 PM	2011-12-16 6:28 PM (Estimated)	
ua	UA-2706-EWR-CLT	Fri, Dec 16 6:29 PM	Fri, Dec 16 6:29 PM	A38	Fri, Dec 16 8:33 PM	Fri, Dec 16 8:45 PM	B8
airtravelcenter	UA-2706-EWR-CLT		12/16/11 6:55 PM (-05:00)			12/16/11 8:37 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/16/11 6:55 PM (-05:00)			12/16/11 8:37 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/16/11 6:55 PM (-05:00)			12/16/11 8:37 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/16/11 6:55 PM (-05:00)			12/16/11 8:37 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-16 06:29PM EST	2011-12-16 06:55PM EST		2011-12-16 08:23PM EST	2011-12-16 08:34PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-16 06:29PM EST	2011-12-16 06:55PM EST		2011-12-16 08:23PM EST	2011-12-16 08:34PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Fri 16-Dec-2011	06:23 PM  Fri 16-Dec-2011	38	08:33 PM  Fri 16-Dec-2011	08:45 PM  Fri 16-Dec-2011	B8
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Fri 16-Dec-2011	06:23 PM  Fri 16-Dec-2011	38	08:33 PM  Fri 16-Dec-2011	08:45 PM  Fri 16-Dec-2011	B8
flylouisville	UA-2706-EWR-CLT	06:29 PM  Fri 16-Dec-2011	06:23 PM  Fri 16-Dec-2011	38	08:33 PM  Fri 16-Dec-2011	08:45 PM  Fri 16-Dec-2011	B8
flightstats	UA-2706-EWR-CLT	2011-12-16 6:29 PM	2011-12-16 6:23 PM		2011-12-16 8:33 PM	2011-12-16 8:45 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-16 6:29 PM	2011-12-16 6:23 PM		2011-12-16 8:33 PM	2011-12-16 8:45 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-16 6:29 PM	2011-12-16 6:23 PM		2011-12-16 8:33 PM	2011-12-16 8:45 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 16	6:55 PM, Dec 16		8:33 PM, Dec 16	8:37 PM, Dec 16	
travelocity	UA-2706-EWR-CLT	Dec 16 - 6:29pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 8:33pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 16	6:23pDec 16	 -	8:33pDec 16	8:45pDec 16	 -
weather	UA-2706-EWR-CLT	2011-12-16 06:29 PM			2011-12-16 08:33 PM		
usatoday	UA-2706-EWR-CLT	2011-12-16 6:29 PM	2011-12-16 6:23 PM		2011-12-16 8:33 PM	2011-12-16 8:45 PM	
mytripandmore	UA-2706-EWR-CLT	6:29pDec 16	6:23pDec 16	 -	8:33pDec 16	8:45pDec 16	 -
flightwise	UA-2706-EWR-CLT	2011-12-16 06:29PM EST	2011-12-16 06:55PM EST		2011-12-16 08:23PM EST	2011-12-16 08:34PM EST	
CO	CO-1240-IAH-SFO	Fri., Dec.16, 2011 4:10 p.m.	Fri., Dec.16, 2011 4:10 p.m.		Fri., Dec.16, 2011 6:38 p.m.	Fri., Dec.16, 2011 6:05 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/16/2011 4:10PM CST			12/16/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/16/11 4:10 PM (-06:00)			12/16/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/16/11 4:10 PM (-06:00)			12/16/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/16/11 4:10 PM (-06:00)			12/16/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/16/11 4:10 PM (-06:00)			12/16/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-16 04:10 PM		17	2011-12-16 06:38 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-16 04:10 PM		17	2011-12-16 06:38 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-16 04:10 PM		17	2011-12-16 06:38 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-16 4:10 PM	2011-12-16 4:10 PM (Estimated)		2011-12-16 6:38 PM	2011-12-16 6:05 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-16 4:10 PM	2011-12-16 4:10 PM (Estimated)		2011-12-16 6:38 PM	2011-12-16 6:05 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 16			6:05 PMDec 16		
panynj	CO-1240-IAH-SFO	4:10 PMDec 16			6:05 PMDec 16		
gofox	CO-1240-IAH-SFO	4:10 PMDec 16			6:05 PMDec 16		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 16			6:05 PMDec 16		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 16			6:05 PMDec 16		
boston	CO-1240-IAH-SFO	4:10 PMDec 16			6:38 PMDec 16		
orbitz	CO-1240-IAH-SFO	4:10pDec 16		 17	5:32pDec 16		 89
mytripandmore	CO-1240-IAH-SFO	4:10pDec 16		 17	5:32pDec 16		 89
ua	UA-1974-CVG-CLT	Fri, Dec 16 7:59 PM		7	Fri, Dec 16 9:25 PM		E31
airtravelcenter	UA-1974-CVG-CLT	12/16/11 7:59 PM (-05:00)			12/16/11 9:25 PM (-05:00)		
myrateplan	UA-1974-CVG-CLT	12/16/11 7:59 PM (-05:00)			12/16/11 9:25 PM (-05:00)		
helloflight	UA-1974-CVG-CLT	12/16/11 7:59 PM (-05:00)			12/16/11 9:25 PM (-05:00)		
flytecomm	UA-1974-CVG-CLT	12/16/11 7:59 PM (-05:00)			12/16/11 9:25 PM (-05:00)		
flights	UA-1974-CVG-CLT		2011-12-16 07:59 PM	7		2011-12-16 09:25 PM	E31
businesstravellogue	UA-1974-CVG-CLT		2011-12-16 07:59 PM	7		2011-12-16 09:25 PM	E31
flylouisville	UA-1974-CVG-CLT		2011-12-16 07:59 PM	7		2011-12-16 09:25 PM	E31
flightstats	UA-1974-CVG-CLT	2011-12-16 7:59 PM	2011-12-16 11:14 PM (Estimated)		2011-12-16 9:25 PM	2011-12-16 12:40 AM (Estimated)	
quicktrip	UA-1974-CVG-CLT	2011-12-16 7:59 PM	2011-12-16 11:14 PM (Estimated)		2011-12-16 9:25 PM	2011-12-16 12:40 AM (Estimated)	
flightview	UA-1974-CVG-CLT	7:59 PMDec 16			11:39 PMDec 16		
panynj	UA-1974-CVG-CLT	7:59 PMDec 16			11:39 PMDec 16		
gofox	UA-1974-CVG-CLT	7:59 PMDec 16			11:39 PMDec 16		
foxbusiness	UA-1974-CVG-CLT	7:59 PMDec 16			11:39 PMDec 16		
allegiantair	UA-1974-CVG-CLT	7:59 PMDec 16			11:39 PMDec 16		
boston	UA-1974-CVG-CLT	10:29 PMDec 16			11:39 PMDec 16		
travelocity	UA-1974-CVG-CLT	Dec 16 - 7:59pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 9:25pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 16		 -	4:55aDec 17		 -
weather	UA-1974-CVG-CLT	2011-12-16 07:59 PM			2011-12-16 09:25 PM		
mytripandmore	UA-1974-CVG-CLT	7:59pDec 16		 -	4:55aDec 17		 -
flightarrival	UA-1974-CVG-CLT	10:29 PMDec 16			11:39 PMDec 16		
ua	UA-2708-EWR-CLT	Fri, Dec 16 2:55 PM	Fri, Dec 16 3:35 PM	A38	Fri, Dec 16 4:53 PM	Fri, Dec 16 5:42 PM	D6
airtravelcenter	UA-2708-EWR-CLT		12/16/11 3:56 PM (-05:00)			12/16/11 5:40 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/16/11 3:56 PM (-05:00)			12/16/11 5:40 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/16/11 3:56 PM (-05:00)			12/16/11 5:40 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/16/11 3:56 PM (-05:00)			12/16/11 5:40 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-16 03:35 PM	38		2011-12-16 05:42 PM	D6
businesstravellogue	UA-2708-EWR-CLT		2011-12-16 03:35 PM	38		2011-12-16 05:42 PM	D6
flylouisville	UA-2708-EWR-CLT		2011-12-16 03:35 PM	38		2011-12-16 05:42 PM	D6
flightstats	UA-2708-EWR-CLT	2011-12-16 2:55 PM	2011-12-16 3:35 PM		2011-12-16 4:53 PM	2011-12-16 5:42 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-16 2:55 PM	2011-12-16 3:35 PM		2011-12-16 4:53 PM	2011-12-16 5:42 PM	
flightview	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
panynj	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
gofox	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
foxbusiness	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
allegiantair	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
boston	UA-2708-EWR-CLT		3:56 PMDec 16			5:43 PMDec 16	
travelocity	UA-2708-EWR-CLT	Dec 16 - 2:55pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 4:53pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 16	3:35pDec 16	 -	4:53pDec 16	5:42pDec 16	 -
weather	UA-2708-EWR-CLT	2011-12-16 02:55 PM			2011-12-16 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-16 2:55 PM	2011-12-16 3:35 PM		2011-12-16 4:53 PM	2011-12-16 5:42 PM	
CO	CO-53-LAX-IAH	Fri., Dec.16, 2011 2:45 p.m.	Fri., Dec.16, 2011 2:51 p.m.		Fri., Dec.16, 2011 7:56 p.m.	Fri., Dec.16, 2011 8:24 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/16/11 2:45 PM (-08:00)			12/16/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/16/11 2:45 PM (-08:00)			12/16/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/16/11 2:45 PM (-08:00)			12/16/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/16/11 2:45 PM (-08:00)			12/16/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-16 02:51 PM	62		2011-12-16 08:24 PM	37
businesstravellogue	CO-53-LAX-IAH		2011-12-16 02:51 PM	62		2011-12-16 08:24 PM	37
flylouisville	CO-53-LAX-IAH		2011-12-16 02:51 PM	62		2011-12-16 08:24 PM	37
flightstats	CO-53-LAX-IAH	2011-12-16 2:45 PM	2011-12-16 2:51 PM		2011-12-16 7:56 PM	2011-12-16 8:24 PM	
quicktrip	CO-53-LAX-IAH	2011-12-16 2:45 PM	2011-12-16 2:51 PM		2011-12-16 7:56 PM	2011-12-16 8:24 PM	
flightview	CO-53-LAX-IAH		3:17 PMDec 16			8:24 PMDec 16	
panynj	CO-53-LAX-IAH		3:17 PMDec 16			8:24 PMDec 16	
gofox	CO-53-LAX-IAH		3:17 PMDec 16			8:24 PMDec 16	
foxbusiness	CO-53-LAX-IAH		3:17 PMDec 16			8:24 PMDec 16	
allegiantair	CO-53-LAX-IAH		3:17 PMDec 16			8:24 PMDec 16	
boston	CO-53-LAX-IAH		3:17 PMDec 16			8:14 PMDec 16	
orbitz	CO-53-LAX-IAH	2:45pDec 16	2:51pDec 16	 62	7:56pDec 16	8:24pDec 16	 C-37
weather	CO-53-LAX-IAH	2011-12-16 02:45 PM			2011-12-16 07:56 PM		
ifly	CO-53-LAX-IAH	2011-12-16 2:45 PM	2011-12-16 2:51 PM		2011-12-16 7:56 PM	2011-12-16 8:24 PM	
mytripandmore	CO-53-LAX-IAH	2:45pDec 16	2:51pDec 16	 62	7:56pDec 16	8:24pDec 16	 C-37
CO	CO-1030-DEN-IAH	Fri., Dec.16, 2011 2:25 p.m.	Fri., Dec.16, 2011 2:26 p.m.		Fri., Dec.16, 2011 5:51 p.m.	Fri., Dec.16, 2011 5:42 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/16/2011 2:37PM MST			12/16/2011 5:30PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/16/11 2:25 PM (-07:00)			12/16/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/16/11 2:25 PM (-07:00)			12/16/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/16/11 2:25 PM (-07:00)			12/16/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/16/11 2:25 PM (-07:00)			12/16/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-16 02:26 PM	B18		2011-12-16 05:42 PM	40
businesstravellogue	CO-1030-DEN-IAH		2011-12-16 02:26 PM	B18		2011-12-16 05:42 PM	40
flylouisville	CO-1030-DEN-IAH		2011-12-16 02:26 PM	B18		2011-12-16 05:42 PM	40
