CO	CO-4237-EWR-DTW	Mon., Dec.19, 2011 12:17 p.m.	Mon., Dec.19, 2011 12:16 p.m.		Mon., Dec.19, 2011 2:24 p.m.	Mon., Dec.19, 2011 2:17 p.m.	
wunderground	AA-1518-DFW-SDF	2011-12-19 12:10PM CST	2011-12-19 12:20PM CST	 C36 	2011-12-19 02:54PM EST	2011-12-19 02:47PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Mon 19-Dec-2011	12:09 PM  Mon 19-Dec-2011	C36	03:10 PM  Mon 19-Dec-2011	02:52 PM  Mon 19-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Mon 19-Dec-2011	12:09 PM  Mon 19-Dec-2011	C36	03:10 PM  Mon 19-Dec-2011	02:52 PM  Mon 19-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Mon 19-Dec-2011	12:09 PM  Mon 19-Dec-2011	C36	03:10 PM  Mon 19-Dec-2011	02:52 PM  Mon 19-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-19 12:10 PM	2011-12-19 12:09 PM		2011-12-19 3:10 PM	2011-12-19 2:52 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-19 12:10 PM	2011-12-19 12:09 PM		2011-12-19 3:10 PM	2011-12-19 2:52 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-19 12:10 PM	2011-12-19 12:09 PM		2011-12-19 3:10 PM	2011-12-19 2:52 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
travelocity	AA-1518-DFW-SDF	Dec 19 - 12:10pm	Dec 19 - 12:09pm	C36/C	Dec 19 - 3:10pm	Dec 19 - 2:52pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 19	12:09pDec 19	 C36	3:10pDec 19	2:52pDec 19	 A15
weather	AA-1518-DFW-SDF	2011-12-19 12:10 PM			2011-12-19 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-19 12:10 pm		C36			
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 19	12:20 PM, Dec 19		3:10 PM, Dec 19	2:47 PM, Dec 19	
flightwise	AA-1518-DFW-SDF	2011-12-19 12:10PM CST	2011-12-19 12:20PM CST	 C36 	2011-12-19 02:54PM EST	2011-12-19 02:47PM EST	 A15 
flightarrival	AA-1518-DFW-SDF	2011-12-19 12:10 PM	2011-12-19 12:09 PM		2011-12-19 3:10 PM	2011-12-19 2:52 PM	
CO	CO-4284-EWR-SDF	Mon., Dec.19, 2011 4:00 p.m.	Mon., Dec.19, 2011 3:58 p.m.		Mon., Dec.19, 2011 6:23 p.m.	Mon., Dec.19, 2011 6:15 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/19/11 4:00 PM (-05:00)			12/19/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/19/11 4:00 PM (-05:00)			12/19/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/19/11 4:00 PM (-05:00)			12/19/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/19/11 4:00 PM (-05:00)			12/19/11 6:23 PM (-05:00)		
flights	CO-4284-EWR-SDF		2011-12-19 03:58 PM	28		2011-12-19 06:15 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-19 03:58 PM	28		2011-12-19 06:15 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-19 03:58 PM	28		2011-12-19 06:15 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-19 4:00 PM	2011-12-19 3:58 PM		2011-12-19 6:23 PM	2011-12-19 6:15 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-19 4:00 PM	2011-12-19 3:58 PM		2011-12-19 6:23 PM	2011-12-19 6:15 PM	
flightview	CO-4284-EWR-SDF		4:18 PMDec 19			6:15 PMDec 19	
panynj	CO-4284-EWR-SDF		4:18 PMDec 19			6:15 PMDec 19	
gofox	CO-4284-EWR-SDF		4:18 PMDec 19			6:15 PMDec 19	
foxbusiness	CO-4284-EWR-SDF		4:18 PMDec 19			6:15 PMDec 19	
allegiantair	CO-4284-EWR-SDF		4:18 PMDec 19			6:15 PMDec 19	
boston	CO-4284-EWR-SDF		4:18 PMDec 19			6:09 PMDec 19	
orbitz	CO-4284-EWR-SDF	4:00pDec 19	3:58pDec 19	 -	6:23pDec 19	6:15pDec 19	 -
weather	CO-4284-EWR-SDF	2011-12-19 04:00 PM			2011-12-19 06:23 PM		
ua	UA-3750-ORD-DFW	Mon, Dec 19 2:55 PM	Mon, Dec 19 2:54 PM	C7	Mon, Dec 19 5:26 PM	Mon, Dec 19 5:42 PM	E4
flightexplorer	UA-3750-ORD-DFW		12/19/2011 3:07PM CST			12/19/2011 5:28PM CST	
airtravelcenter	UA-3750-ORD-DFW		12/19/11 3:07 PM (-06:00)			12/19/11 5:28 PM (-06:00)	
myrateplan	UA-3750-ORD-DFW		12/19/11 3:07 PM (-06:00)			12/19/11 5:28 PM (-06:00)	
helloflight	UA-3750-ORD-DFW		12/19/11 3:07 PM (-06:00)			12/19/11 5:28 PM (-06:00)	
flytecomm	UA-3750-ORD-DFW		12/19/11 3:07 PM (-06:00)			12/19/11 5:28 PM (-06:00)	
flights	UA-3750-ORD-DFW		2011-12-19 02:54 PM	C7		2011-12-19 05:42 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-19 02:54 PM	C7		2011-12-19 05:42 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-19 02:54 PM	C7		2011-12-19 05:42 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-19 2:55 PM	2011-12-19 2:54 PM		2011-12-19 5:26 PM	2011-12-19 5:42 PM	
quicktrip	UA-3750-ORD-DFW	2011-12-19 2:55 PM	2011-12-19 2:54 PM		2011-12-19 5:26 PM	2011-12-19 5:42 PM	
flightview	UA-3750-ORD-DFW		3:07 PMDec 19			5:42 PMDec 19	
panynj	UA-3750-ORD-DFW		3:07 PMDec 19			5:42 PMDec 19	
gofox	UA-3750-ORD-DFW		3:07 PMDec 19			5:42 PMDec 19	
foxbusiness	UA-3750-ORD-DFW		3:07 PMDec 19			5:42 PMDec 19	
allegiantair	UA-3750-ORD-DFW		3:07 PMDec 19			5:42 PMDec 19	
boston	UA-3750-ORD-DFW		3:07 PMDec 19			5:26 PMDec 19	
orbitz	UA-3750-ORD-DFW	2:55pDec 19	2:54pDec 19	 C7	5:26pDec 19	5:42pDec 19	 E4
weather	UA-3750-ORD-DFW	2011-12-19 02:55 PM			2011-12-19 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-19 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-19 2:55 PM		C7	2011-12-19 5:26 PM		E4
ua	UA-2706-EWR-CLT	Mon, Dec 19 6:29 PM	Mon, Dec 19 6:29 PM	A38	Mon, Dec 19 8:33 PM	Mon, Dec 19 8:12 PM	C16
airtravelcenter	UA-2706-EWR-CLT		12/19/11 6:42 PM (-05:00)			12/19/11 8:07 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/19/11 6:42 PM (-05:00)			12/19/11 8:07 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/19/11 6:42 PM (-05:00)			12/19/11 8:07 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/19/11 6:42 PM (-05:00)			12/19/11 8:07 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-19 06:29PM EST	2011-12-19 06:41PM EST		2011-12-19 08:23PM EST	2011-12-19 08:04PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-19 06:29PM EST	2011-12-19 06:41PM EST		2011-12-19 08:23PM EST	2011-12-19 08:04PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Mon 19-Dec-2011	06:21 PM  Mon 19-Dec-2011	38	08:33 PM  Mon 19-Dec-2011	08:12 PM  Mon 19-Dec-2011	C16
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Mon 19-Dec-2011	06:21 PM  Mon 19-Dec-2011	38	08:33 PM  Mon 19-Dec-2011	08:12 PM  Mon 19-Dec-2011	C16
flylouisville	UA-2706-EWR-CLT	06:29 PM  Mon 19-Dec-2011	06:21 PM  Mon 19-Dec-2011	38	08:33 PM  Mon 19-Dec-2011	08:12 PM  Mon 19-Dec-2011	C16
flightstats	UA-2706-EWR-CLT	2011-12-19 6:29 PM	2011-12-19 6:21 PM		2011-12-19 8:33 PM	2011-12-19 8:12 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-19 6:29 PM	2011-12-19 6:21 PM		2011-12-19 8:33 PM	2011-12-19 8:12 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-19 6:29 PM	2011-12-19 6:21 PM		2011-12-19 8:33 PM	2011-12-19 8:12 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 19	6:42 PM, Dec 19		8:33 PM, Dec 19	8:09 PM, Dec 19	
travelocity	UA-2706-EWR-CLT	Dec 19 - 6:29pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 8:33pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 19	6:21pDec 19	 -	8:33pDec 19	8:12pDec 19	 -
weather	UA-2706-EWR-CLT	2011-12-19 06:29 PM			2011-12-19 08:33 PM		
ifly	UA-2706-EWR-CLT	2011-12-19 6:29 PM	2011-12-19 6:21 PM		2011-12-19 8:33 PM	2011-12-19 8:12 PM	
usatoday	UA-2706-EWR-CLT	2011-12-19 06:29 PM			2011-12-19 08:33 PM		
mytripandmore	UA-2706-EWR-CLT	6:29pDec 19	6:21pDec 19	 -	8:33pDec 19	8:12pDec 19	 -
CO	CO-1240-IAH-SFO	Mon., Dec.19, 2011 4:10 p.m.	Mon., Dec.19, 2011 4:10 p.m.		Mon., Dec.19, 2011 6:38 p.m.	Mon., Dec.19, 2011 5:55 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/19/2011 4:10PM CST			12/19/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/19/11 4:10 PM (-06:00)			12/19/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/19/11 4:10 PM (-06:00)			12/19/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/19/11 4:10 PM (-06:00)			12/19/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/19/11 4:10 PM (-06:00)			12/19/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-19 04:10 PM		42	2011-12-19 06:38 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-19 04:10 PM		42	2011-12-19 06:38 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-19 04:10 PM		42	2011-12-19 06:38 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-19 4:10 PM	2011-12-19 4:10 PM (Estimated)		2011-12-19 6:38 PM	2011-12-19 5:55 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-19 4:10 PM	2011-12-19 4:10 PM (Estimated)		2011-12-19 6:38 PM	2011-12-19 5:55 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 19			5:55 PMDec 19		
panynj	CO-1240-IAH-SFO	4:10 PMDec 19			5:55 PMDec 19		
gofox	CO-1240-IAH-SFO	4:10 PMDec 19			5:55 PMDec 19		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 19			5:55 PMDec 19		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 19			5:55 PMDec 19		
boston	CO-1240-IAH-SFO	4:10 PMDec 19			6:38 PMDec 19		
orbitz	CO-1240-IAH-SFO	4:10pDec 19		 42	5:12pDec 19		 89
usatoday	CO-1240-IAH-SFO	4:10 PMDec 19			6:38 PMDec 19		
flightarrival	CO-1240-IAH-SFO	4:10 PMDec 19			6:38 PMDec 19		
ua	UA-1974-CVG-CLT	Mon, Dec 19 7:59 PM	Mon, Dec 19 6:00 AM	7	Mon, Dec 19 9:25 PM	Mon, Dec 19 11:10 PM	E32
airtravelcenter	UA-1974-CVG-CLT	12/19/11 7:59 PM (-05:00)			12/19/11 9:25 PM (-05:00)		
myrateplan	UA-1974-CVG-CLT	12/19/11 7:59 PM (-05:00)			12/19/11 9:25 PM (-05:00)		
helloflight	UA-1974-CVG-CLT	12/19/11 7:59 PM (-05:00)			12/19/11 9:25 PM (-05:00)		
flytecomm	UA-1974-CVG-CLT	12/19/11 7:59 PM (-05:00)			12/19/11 9:25 PM (-05:00)		
flights	UA-1974-CVG-CLT		2011-12-19 09:57 PM	7		2011-12-19 11:10 PM	E32
businesstravellogue	UA-1974-CVG-CLT		2011-12-19 09:57 PM	7		2011-12-19 11:10 PM	E32
flylouisville	UA-1974-CVG-CLT		2011-12-19 09:57 PM	7		2011-12-19 11:10 PM	E32
flightstats	UA-1974-CVG-CLT	2011-12-19 7:59 PM	2011-12-19 9:57 PM		2011-12-19 9:25 PM	2011-12-19 11:10 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-19 7:59 PM	2011-12-19 9:57 PM		2011-12-19 9:25 PM	2011-12-19 11:10 PM	
flightview	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
panynj	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
gofox	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
foxbusiness	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
allegiantair	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
boston	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
travelocity	UA-1974-CVG-CLT	Dec 19 - 7:59pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 9:25pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 19	9:57pDec 19	 -	9:25pDec 19	11:10pDec 19	 -
weather	UA-1974-CVG-CLT	2011-12-19 07:59 PM			2011-12-19 09:25 PM		
ifly	UA-1974-CVG-CLT	2011-12-19 7:59 PM	2011-12-19 9:57 PM		2011-12-19 9:25 PM	2011-12-19 11:10 PM	
usatoday	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
flightarrival	UA-1974-CVG-CLT	7:59 PMDec 19			9:25 PMDec 19		
ua	UA-2708-EWR-CLT	Mon, Dec 19 2:55 PM	Mon, Dec 19 2:55 PM	A37	Mon, Dec 19 4:53 PM	Mon, Dec 19 4:31 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/19/11 3:03 PM (-05:00)			12/19/11 4:25 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/19/11 3:03 PM (-05:00)			12/19/11 4:25 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/19/11 3:03 PM (-05:00)			12/19/11 4:25 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/19/11 3:03 PM (-05:00)			12/19/11 4:25 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-19 02:53 PM	37		2011-12-19 04:31 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-19 02:53 PM	37		2011-12-19 04:31 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-19 02:53 PM	37		2011-12-19 04:31 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-19 2:55 PM	2011-12-19 2:53 PM		2011-12-19 4:53 PM	2011-12-19 4:31 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-19 2:55 PM	2011-12-19 2:53 PM		2011-12-19 4:53 PM	2011-12-19 4:31 PM	
flightview	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
panynj	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
gofox	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
foxbusiness	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
allegiantair	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
boston	UA-2708-EWR-CLT		3:04 PMDec 19			4:27 PMDec 19	
travelocity	UA-2708-EWR-CLT	Dec 19 - 2:55pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 4:53pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 19	2:53pDec 19	 -	4:53pDec 19	4:31pDec 19	 -
weather	UA-2708-EWR-CLT	2011-12-19 02:55 PM			2011-12-19 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-19 2:55 PM	2011-12-19 2:53 PM		2011-12-19 4:53 PM	2011-12-19 4:31 PM	
mytripandmore	UA-2708-EWR-CLT	2:55pDec 19	2:53pDec 19	 -	4:53pDec 19	4:31pDec 19	 -
flightarrival	UA-2708-EWR-CLT	2011-12-19 2:55 PM	2011-12-19 2:53 PM		2011-12-19 4:53 PM	2011-12-19 4:31 PM	
CO	CO-53-LAX-IAH	Mon., Dec.19, 2011 2:45 p.m.	Mon., Dec.19, 2011 2:41 p.m.		Mon., Dec.19, 2011 7:56 p.m.	Mon., Dec.19, 2011 8:18 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/19/11 2:45 PM (-08:00)			12/19/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/19/11 2:45 PM (-08:00)			12/19/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/19/11 2:45 PM (-08:00)			12/19/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/19/11 2:45 PM (-08:00)			12/19/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-19 02:41 PM	62		2011-12-19 08:18 PM	44
businesstravellogue	CO-53-LAX-IAH		2011-12-19 02:41 PM	62		2011-12-19 08:18 PM	44
flylouisville	CO-53-LAX-IAH		2011-12-19 02:41 PM	62		2011-12-19 08:18 PM	44
flightstats	CO-53-LAX-IAH	2011-12-19 2:45 PM	2011-12-19 2:41 PM		2011-12-19 7:56 PM	2011-12-19 8:18 PM	
quicktrip	CO-53-LAX-IAH	2011-12-19 2:45 PM	2011-12-19 2:41 PM		2011-12-19 7:56 PM	2011-12-19 8:18 PM	
flightview	CO-53-LAX-IAH		3:21 PMDec 19			8:18 PMDec 19	
panynj	CO-53-LAX-IAH		3:21 PMDec 19			8:18 PMDec 19	
gofox	CO-53-LAX-IAH		3:21 PMDec 19			8:18 PMDec 19	
foxbusiness	CO-53-LAX-IAH		3:21 PMDec 19			8:18 PMDec 19	
allegiantair	CO-53-LAX-IAH		3:21 PMDec 19			8:18 PMDec 19	
boston	CO-53-LAX-IAH		3:21 PMDec 19			8:10 PMDec 19	
orbitz	CO-53-LAX-IAH	2:45pDec 19	2:41pDec 19	 62	7:56pDec 19	8:18pDec 19	 44
weather	CO-53-LAX-IAH	2011-12-19 02:45 PM			2011-12-19 07:56 PM		
ifly	CO-53-LAX-IAH	2011-12-19 2:45 PM	2011-12-19 2:41 PM		2011-12-19 7:56 PM	2011-12-19 8:18 PM	
flightarrival	CO-53-LAX-IAH	2011-12-19 02:45 PM			2011-12-19 07:56 PM		
CO	CO-1030-DEN-IAH	Mon., Dec.19, 2011 2:25 p.m.	Mon., Dec.19, 2011 2:27 p.m.		Mon., Dec.19, 2011 5:51 p.m.	Mon., Dec.19, 2011 6:32 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/19/11 2:25 PM (-07:00)			12/19/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/19/11 2:25 PM (-07:00)			12/19/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/19/11 2:25 PM (-07:00)			12/19/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/19/11 2:25 PM (-07:00)			12/19/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-19 02:27 PM	B18		2011-12-19 06:32 PM	43
businesstravellogue	CO-1030-DEN-IAH		2011-12-19 02:27 PM	B18		2011-12-19 06:32 PM	43
flylouisville	CO-1030-DEN-IAH		2011-12-19 02:27 PM	B18		2011-12-19 06:32 PM	43
flightstats	CO-1030-DEN-IAH	2011-12-19 2:25 PM	2011-12-19 2:27 PM		2011-12-19 5:51 PM	2011-12-19 6:32 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-19 2:25 PM	2011-12-19 2:27 PM		2011-12-19 5:51 PM	2011-12-19 6:32 PM	
flightview	CO-1030-DEN-IAH		3:03 PMDec 19			6:32 PMDec 19	
panynj	CO-1030-DEN-IAH		3:03 PMDec 19			6:32 PMDec 19	
gofox	CO-1030-DEN-IAH		3:03 PMDec 19			6:32 PMDec 19	
foxbusiness	CO-1030-DEN-IAH		3:03 PMDec 19			6:32 PMDec 19	
allegiantair	CO-1030-DEN-IAH		3:03 PMDec 19			6:32 PMDec 19	
