aa	AA-1007-TPA-MIA	12/02/2011 01:55 PM	12/02/2011 02:13 PM	F78	12/02/2011 03:00 PM	12/02/2011 03:05 PM	D5
flightaware	AA-1518-DFW-SDF	2011-12-02 12:10PM CST	2011-12-02 12:27PM CST	 C35 	2011-12-02 02:43PM EST	2011-12-02 03:00PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-02 12:10PM CST	2011-12-02 12:27PM CST	 C35 	2011-12-02 02:43PM EST	2011-12-02 03:00PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Fri 02-Dec-2011	12:26 PM  Fri 02-Dec-2011	C35	03:10 PM  Fri 02-Dec-2011	03:08 PM  Fri 02-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Fri 02-Dec-2011	12:26 PM  Fri 02-Dec-2011	C35	03:10 PM  Fri 02-Dec-2011	03:08 PM  Fri 02-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Fri 02-Dec-2011	12:26 PM  Fri 02-Dec-2011	C35	03:10 PM  Fri 02-Dec-2011	03:08 PM  Fri 02-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-02 12:10 PM	2011-12-02 12:26 PM		2011-12-02 3:10 PM	2011-12-02 3:08 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-02 12:10 PM	2011-12-02 12:26 PM		2011-12-02 3:10 PM	2011-12-02 3:08 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-02 12:10 PM	2011-12-02 12:26 PM		2011-12-02 3:10 PM	2011-12-02 3:08 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
travelocity	AA-1518-DFW-SDF	Dec 02 - 12:10pm	Dec 02 - 12:08pm	C35/C	Dec 02 - 3:10pm	Dec 02 - 3:08pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 2	12:08pDec 2	 C35	3:10pDec 2	3:08pDec 2	 A15
weather	AA-1518-DFW-SDF	2011-12-02 12:10 PM			2011-12-02 03:10 PM		
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 02	12:27 PM, Dec 02		3:10 PM, Dec 02	2:58 PM, Dec 02	
ua	UA-4642-IAH-AMA	Fri, Dec 2 6:20 PM	Fri, Dec 2 6:20 PM	B69	Fri, Dec 2 8:03 PM	Fri, Dec 2 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/2/11 6:20 PM (-06:00)			12/2/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/2/11 6:20 PM (-06:00)			12/2/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/2/11 6:20 PM (-06:00)			12/2/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/2/11 6:20 PM (-06:00)			12/2/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Fri 02-Dec-2011			08:03 PM  Fri 02-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Fri 02-Dec-2011			08:03 PM  Fri 02-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Fri 02-Dec-2011			08:03 PM  Fri 02-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-02 6:20 PM	2011-12-02 6:20 PM (Estimated)		2011-12-02 8:03 PM	2011-12-02 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-02 6:20 PM	2011-12-02 6:20 PM (Estimated)		2011-12-02 8:03 PM	2011-12-02 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-02 6:20 PM	2011-12-02 6:20 PM (Estimated)		2011-12-02 8:03 PM	2011-12-02 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 02		Term B - B69	8:03 PM, Dec 02		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 02		Term B - B69	8:03 PM, Dec 02		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 02			8:03 PM, Dec 02		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 02		Term B - B69	8:03 PM, Dec 02		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 02		Term B - B69	8:03 PM, Dec 02		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 02	Not Available		8:03 PM, Dec 02	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 02 - 6:20pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 8:03pm	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 2		 B69	8:03pDec 2		 4
ua	UA-432-SFO-ORD	Fri, Dec 2 6:00 AM	Fri, Dec 2 5:59 AM	83	Fri, Dec 2 12:18 PM	Fri, Dec 2 12:08 PM	B14
flightexplorer	UA-432-SFO-ORD		12/2/2011 6:15AM PST			12/2/2011 12:04PM CST	
airtravelcenter	UA-432-SFO-ORD		12/2/11 6:17 AM (-08:00)			12/2/11 12:04 PM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/2/11 6:17 AM (-08:00)			12/2/11 12:04 PM (-06:00)	
helloflight	UA-432-SFO-ORD		12/2/11 6:17 AM (-08:00)			12/2/11 12:04 PM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/2/11 6:17 AM (-08:00)			12/2/11 12:04 PM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-02 05:59 AM	83		2011-12-02 12:08 PM	B14
businesstravellogue	UA-432-SFO-ORD		2011-12-02 05:59 AM	83		2011-12-02 12:08 PM	B14
flylouisville	UA-432-SFO-ORD		2011-12-02 05:59 AM	83		2011-12-02 12:08 PM	B14
flightview	UA-432-SFO-ORD		6:17 AMDec 02			12:08 PMDec 02	
panynj	UA-432-SFO-ORD		6:17 AMDec 02			12:08 PMDec 02	
gofox	UA-432-SFO-ORD		6:17 AMDec 02			12:08 PMDec 02	
foxbusiness	UA-432-SFO-ORD		6:17 AMDec 02			12:08 PMDec 02	
allegiantair	UA-432-SFO-ORD		6:17 AMDec 02			12:08 PMDec 02	
boston	UA-432-SFO-ORD		6:17 AMDec 02			12:07 PMDec 02	
travelocity	UA-432-SFO-ORD	Dec 02 - Not Available	Dec 02 - 6:16am	83	Dec 02 - Not Available	Dec 02 - 12:08pm	B14
orbitz	UA-432-SFO-ORD	6:00aDec 2	5:59aDec 2	 83	12:18pDec 2	12:08pDec 2	 B14
weather	UA-432-SFO-ORD	2011-12-02 06:00 AM			2011-12-02 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-02 12/1 6:00 AM		82	2011-12-02 12/1 12:18 PM		C25
usatoday	UA-432-SFO-ORD	2011-12-02 06:00 AM			2011-12-02 12:18 PM		
flightarrival	UA-432-SFO-ORD	2011-12-02 06:00 AM			2011-12-02 12:18 PM		
CO	CO-4461-EWR-CVG	Fri., Dec.02, 2011 1:55 p.m.	Fri., Dec.02, 2011 1:48 p.m.		Fri., Dec.02, 2011 4:00 p.m.	Fri., Dec.02, 2011 3:58 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/2/11 1:55 PM (-05:00)			12/2/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/2/11 1:55 PM (-05:00)			12/2/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/2/11 1:55 PM (-05:00)			12/2/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/2/11 1:55 PM (-05:00)			12/2/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-02 01:48 PM	27A		2011-12-02 03:58 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-02 01:48 PM	27A		2011-12-02 03:58 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-02 01:48 PM	27A		2011-12-02 03:58 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-02 1:55 PM	2011-12-02 1:48 PM		2011-12-02 4:00 PM	2011-12-02 3:58 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-02 1:55 PM	2011-12-02 1:48 PM		2011-12-02 4:00 PM	2011-12-02 3:58 PM	
flightview	CO-4461-EWR-CVG		2:02 PMDec 02			3:58 PMDec 02	
panynj	CO-4461-EWR-CVG		2:02 PMDec 02			3:58 PMDec 02	
gofox	CO-4461-EWR-CVG		2:02 PMDec 02			3:58 PMDec 02	
foxbusiness	CO-4461-EWR-CVG		2:02 PMDec 02			3:58 PMDec 02	
allegiantair	CO-4461-EWR-CVG		2:02 PMDec 02			3:58 PMDec 02	
boston	CO-4461-EWR-CVG		2:02 PMDec 02			3:52 PMDec 02	
orbitz	CO-4461-EWR-CVG	1:55pDec 2	1:48pDec 2	 A27A	4:00pDec 2	3:58pDec 2	 2
orbitz	CO-4461-EWR-CVG	1:55pDec 2	1:48pDec 2	 -	4:00pDec 2	3:58pDec 2	 -
weather	CO-4461-EWR-CVG	2011-12-02 01:55 PM			2011-12-02 04:00 PM		
flightarrival	CO-4461-EWR-CVG		2:02 PMDec 02			3:52 PMDec 02	
ua	UA-2706-EWR-CLT	Fri, Dec 2 6:29 PM	Fri, Dec 2 6:36 PM	A38	Fri, Dec 2 8:33 PM	Fri, Dec 2 8:33 PM	B1
airtravelcenter	UA-2706-EWR-CLT		12/2/11 6:58 PM (-05:00)			12/2/11 8:21 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/2/11 6:58 PM (-05:00)			12/2/11 8:21 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/2/11 6:58 PM (-05:00)			12/2/11 8:21 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/2/11 6:58 PM (-05:00)			12/2/11 8:21 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-02 06:29PM EST	2011-12-02 06:57PM EST		2011-12-02 07:59PM EST	2011-12-02 08:18PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-02 06:29PM EST	2011-12-02 06:57PM EST		2011-12-02 07:59PM EST	2011-12-02 08:18PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Fri 02-Dec-2011	06:36 PM  Fri 02-Dec-2011	38	08:33 PM  Fri 02-Dec-2011	08:33 PM  Fri 02-Dec-2011	B1
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Fri 02-Dec-2011	06:36 PM  Fri 02-Dec-2011	38	08:33 PM  Fri 02-Dec-2011	08:33 PM  Fri 02-Dec-2011	B1
flylouisville	UA-2706-EWR-CLT	06:29 PM  Fri 02-Dec-2011	06:36 PM  Fri 02-Dec-2011	38	08:33 PM  Fri 02-Dec-2011	08:33 PM  Fri 02-Dec-2011	B1
flightstats	UA-2706-EWR-CLT	2011-12-02 6:29 PM	2011-12-02 6:36 PM		2011-12-02 8:33 PM	2011-12-02 8:33 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-02 6:29 PM	2011-12-02 6:36 PM		2011-12-02 8:33 PM	2011-12-02 8:33 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-02 6:29 PM	2011-12-02 6:36 PM		2011-12-02 8:33 PM	2011-12-02 8:33 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
travelocity	UA-2706-EWR-CLT	Dec 02 - 6:29pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 8:33pm	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 2	6:36pDec 2	 -	8:33pDec 2	8:33pDec 2	 -
weather	UA-2706-EWR-CLT	2011-12-02 06:29 PM			2011-12-02 08:33 PM		
ifly	UA-2706-EWR-CLT	2011-12-02 6:29 PM	2011-12-02 6:36 PM		2011-12-02 8:33 PM	2011-12-02 8:33 PM	
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 02	6:58 PM, Dec 02		8:33 PM, Dec 02	8:19 PM, Dec 02	
mytripandmore	UA-2706-EWR-CLT	Dec 02 - 6:29pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 8:33pm	Dec 02 - Contact Airline	Not provided by airline
flightwise	UA-2706-EWR-CLT	2011-12-02 06:29PM EST	2011-12-02 06:57PM EST		2011-12-02 07:59PM EST	2011-12-02 08:18PM EST	
ua	UA-581-DEN-IAD	Fri, Dec 2 8:36 AM	Fri, Dec 2 8:32 AM	B42	Fri, Dec 2 1:52 PM	Fri, Dec 2 1:54 PM	C19
airtravelcenter	UA-581-DEN-IAD		12/2/11 9:03 AM (-07:00)			12/2/11 1:35 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/2/11 9:03 AM (-07:00)			12/2/11 1:35 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/2/11 9:03 AM (-07:00)			12/2/11 1:35 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/2/11 9:03 AM (-07:00)			12/2/11 1:35 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-02 08:36AM MST	2011-12-02 09:03AM MST	 B42 	2011-12-02 01:27PM EST	2011-12-02 01:43PM EST	 C19 
wunderground	UA-581-DEN-IAD	2011-12-02 08:36AM MST	2011-12-02 09:03AM MST	 B42 	2011-12-02 01:27PM EST	2011-12-02 01:43PM EST	 C19 
flights	UA-581-DEN-IAD	08:36 AM  Fri 02-Dec-2011	08:32 AM  Fri 02-Dec-2011	B42	01:52 PM  Fri 02-Dec-2011	01:54 PM  Fri 02-Dec-2011	C19
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Fri 02-Dec-2011	08:32 AM  Fri 02-Dec-2011	B42	01:52 PM  Fri 02-Dec-2011	01:54 PM  Fri 02-Dec-2011	C19
flylouisville	UA-581-DEN-IAD	08:36 AM  Fri 02-Dec-2011	08:32 AM  Fri 02-Dec-2011	B42	01:52 PM  Fri 02-Dec-2011	01:54 PM  Fri 02-Dec-2011	C19
flightstats	UA-581-DEN-IAD	2011-12-02 8:36 AM	2011-12-02 8:32 AM		2011-12-02 1:52 PM	2011-12-02 1:54 PM	
quicktrip	UA-581-DEN-IAD	2011-12-02 8:36 AM	2011-12-02 8:32 AM		2011-12-02 1:52 PM	2011-12-02 1:54 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-02 8:36 AM	2011-12-02 8:32 AM		2011-12-02 1:52 PM	2011-12-02 1:54 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02	B42	1:52 PM, Dec 02	1:54 PM, Dec 02	C19
panynj	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02	B42	1:52 PM, Dec 02	1:54 PM, Dec 02	C19
gofox	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02		1:52 PM, Dec 02	1:54 PM, Dec 02	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02	B42	1:52 PM, Dec 02	1:54 PM, Dec 02	C19
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02	B42	1:52 PM, Dec 02	1:54 PM, Dec 02	C19
boston	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02		1:52 PM, Dec 02	1:44 PM, Dec 02	
travelocity	UA-581-DEN-IAD	Dec 02 - Not Available	Dec 02 - 9:02am	B42	Dec 02 - Not Available	Dec 02 - 1:54pm	C19
orbitz	UA-581-DEN-IAD	8:36aDec 2	8:32aDec 2	 B42	1:52pDec 2	1:54pDec 2	 C19
weather	UA-581-DEN-IAD	2011-12-02 08:36 AM	2011-12-02 09:03 AM		2011-12-02 01:52 PM	2011-12-02 01:35 PM	
iad	UA-581-DEN-IAD				2011-12-02 13:52 	2011-12-02 13:54 	
usatoday	UA-581-DEN-IAD	8:36 AM, Dec 02	9:03 AM, Dec 02		1:52 PM, Dec 02	1:44 PM, Dec 02	
flightwise	UA-581-DEN-IAD	2011-12-02 08:36AM MST	2011-12-02 09:03AM MST	 B42 	2011-12-02 01:27PM EST	2011-12-02 01:43PM EST	 C19 
ua	UA-779-BOS-DEN	Fri, Dec 2 2:40 PM	Fri, Dec 2 2:37 PM            On Time	C17	Fri, Dec 2 5:22 PM	Fri, Dec 2 5:10 PM	B41
airtravelcenter	UA-779-BOS-DEN		12/2/11 2:50 PM (-05:00)			12/2/11 5:06 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/2/11 2:50 PM (-05:00)			12/2/11 5:06 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/2/11 2:50 PM (-05:00)			12/2/11 5:06 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/2/11 2:50 PM (-05:00)			12/2/11 5:06 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-02 02:37 PM	C17		2011-12-02 05:10 PM	B41
businesstravellogue	UA-779-BOS-DEN		2011-12-02 02:37 PM	C17		2011-12-02 05:10 PM	B41
flylouisville	UA-779-BOS-DEN		2011-12-02 02:37 PM	C17		2011-12-02 05:10 PM	B41
flightstats	UA-779-BOS-DEN	2011-12-02 2:40 PM	2011-12-02 2:37 PM		2011-12-02 5:22 PM	2011-12-02 5:10 PM	
quicktrip	UA-779-BOS-DEN	2011-12-02 2:40 PM	2011-12-02 2:37 PM		2011-12-02 5:22 PM	2011-12-02 5:10 PM	
flightview	UA-779-BOS-DEN		2:50 PMDec 02			5:10 PMDec 02	
panynj	UA-779-BOS-DEN		2:50 PMDec 02			5:10 PMDec 02	
gofox	UA-779-BOS-DEN		2:50 PMDec 02			5:10 PMDec 02	
foxbusiness	UA-779-BOS-DEN		2:50 PMDec 02			5:10 PMDec 02	
allegiantair	UA-779-BOS-DEN		2:50 PMDec 02			5:10 PMDec 02	
boston	UA-779-BOS-DEN		2:50 PMDec 02			5:06 PMDec 02	
orbitz	UA-779-BOS-DEN	2:40pDec 2	2:37pDec 2	 C17	5:22pDec 2	5:10pDec 2	 B41
mytripandmore	UA-779-BOS-DEN	2:40pDec 2	2:37pDec 2	 C17	5:22pDec 2	5:10pDec 2	 B41
flightarrival	UA-779-BOS-DEN	2011-12-02 2:40 PM	2011-12-02 2:37 PM		2011-12-02 5:22 PM	2011-12-02 5:10 PM	
ua	UA-1411-EWR-BQN	Fri, Dec 2 8:25 PM	Fri, Dec 2 8:28 PM	C133	Sat, Dec 3 1:10 AM	Sat, Dec 3 1:10 AM	--
flightexplorer	UA-1411-EWR-BQN		12/2/2011 8:51PM EST			12/3/2011 1:09AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Fri 02-Dec-2011			01:10 AM  Sat 03-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Fri 02-Dec-2011			01:10 AM  Sat 03-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Fri 02-Dec-2011			01:10 AM  Sat 03-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 02	8:53 PM, Dec 02		1:10 AM, Dec 03	1:09 AM, Dec 03&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 02 - 8:25pm	Dec 02 - Contact Airline	Not provided by airline	Dec 03 - 1:10am	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 2	8:28pDec 2	 133	1:16aDec 3		 -
mytripandmore	UA-1411-EWR-BQN	8:25pDec 2	8:28pDec 2	 133	1:16aDec 3		 -
ua	UA-2708-EWR-CLT	Fri, Dec 2 2:55 PM	Fri, Dec 2 2:55 PM	A37	Fri, Dec 2 4:53 PM	Fri, Dec 2 4:32 PM	C15
airtravelcenter	UA-2708-EWR-CLT		12/2/11 3:03 PM (-05:00)			12/2/11 4:27 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/2/11 3:03 PM (-05:00)			12/2/11 4:27 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/2/11 3:03 PM (-05:00)			12/2/11 4:27 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/2/11 3:03 PM (-05:00)			12/2/11 4:27 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-02 02:51 PM	37		2011-12-02 04:32 PM	C15
businesstravellogue	UA-2708-EWR-CLT		2011-12-02 02:51 PM	37		2011-12-02 04:32 PM	C15
flylouisville	UA-2708-EWR-CLT		2011-12-02 02:51 PM	37		2011-12-02 04:32 PM	C15
flightstats	UA-2708-EWR-CLT	2011-12-02 2:55 PM	2011-12-02 2:51 PM		2011-12-02 4:53 PM	2011-12-02 4:32 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-02 2:55 PM	2011-12-02 2:51 PM		2011-12-02 4:53 PM	2011-12-02 4:32 PM	
flightview	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
panynj	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
gofox	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
foxbusiness	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
allegiantair	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
boston	UA-2708-EWR-CLT		3:03 PMDec 02			4:28 PMDec 02	
travelocity	UA-2708-EWR-CLT	Dec 02 - 2:55pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 4:53pm	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 2	2:51pDec 2	 -	4:53pDec 2	4:32pDec 2	 -
weather	UA-2708-EWR-CLT	2011-12-02 02:55 PM			2011-12-02 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 2	2:51pDec 2	 -	4:53pDec 2	4:32pDec 2	 -
flightarrival	UA-2708-EWR-CLT	2011-12-02 2:55 PM	2011-12-02 2:51 PM		2011-12-02 4:53 PM	2011-12-02 4:32 PM	
CO	CO-53-LAX-IAH	Fri., Dec.02, 2011 2:40 p.m.	Fri., Dec.02, 2011 2:33 p.m.		Fri., Dec.02, 2011 7:48 p.m.	Fri., Dec.02, 2011 7:47 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/2/11 2:40 PM (-08:00)			12/2/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/2/11 2:40 PM (-08:00)			12/2/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/2/11 2:40 PM (-08:00)			12/2/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/2/11 2:40 PM (-08:00)			12/2/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-02 02:33 PM	60		2011-12-02 07:47 PM	41
