CO	CO-4237-EWR-DTW	Thu., Dec.22, 2011 12:17 p.m.	Thu., Dec.22, 2011 12:16 p.m.		Thu., Dec.22, 2011 2:24 p.m.	Thu., Dec.22, 2011 2:20 p.m.	
myrateplan	AA-1518-DFW-SDF		12/22/11 1:16 PM (-06:00)			12/22/11 3:50 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/22/11 1:16 PM (-06:00)			12/22/11 3:50 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/22/11 1:16 PM (-06:00)			12/22/11 3:50 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-22 12:10PM CST	2011-12-22 01:17PM CST	 C2 	2011-12-22 02:50PM EST	2011-12-22 03:47PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-22 12:10PM CST	2011-12-22 01:17PM CST	 C2 	2011-12-22 02:50PM EST	2011-12-22 03:47PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Thu 22-Dec-2011	12:54 PM  Thu 22-Dec-2011	C2	03:10 PM  Thu 22-Dec-2011	03:50 PM  Thu 22-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Thu 22-Dec-2011	12:54 PM  Thu 22-Dec-2011	C2	03:10 PM  Thu 22-Dec-2011	03:50 PM  Thu 22-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Thu 22-Dec-2011	12:54 PM  Thu 22-Dec-2011	C2	03:10 PM  Thu 22-Dec-2011	03:50 PM  Thu 22-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-22 12:10 PM	2011-12-22 12:54 PM		2011-12-22 3:10 PM	2011-12-22 3:50 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-22 12:10 PM	2011-12-22 12:54 PM		2011-12-22 3:10 PM	2011-12-22 3:50 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-22 12:10 PM	2011-12-22 12:54 PM		2011-12-22 3:10 PM	2011-12-22 3:50 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 22	1:17 PM, Dec 22		3:10 PM, Dec 22	3:47 PM, Dec 22	
travelocity	AA-1518-DFW-SDF	Dec 22 - 12:10pm	Dec 22 - 12:54pm	C2/C	Dec 22 - 3:10pm	Dec 22 - 3:50pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 22	12:54pDec 22	 C2	3:10pDec 22	3:50pDec 22	 A15
weather	AA-1518-DFW-SDF	2011-12-22 12:10 PM			2011-12-22 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-22 12:10 pm		C2			
flightwise	AA-1518-DFW-SDF	2011-12-22 12:10PM CST	2011-12-22 01:17PM CST	 C2 	2011-12-22 02:50PM EST	2011-12-22 03:47PM EST	 A15 
CO	CO-4284-EWR-SDF	Thu., Dec.22, 2011 4:00 p.m.	Thu., Dec.22, 2011 3:59 p.m.		Thu., Dec.22, 2011 6:23 p.m.	Thu., Dec.22, 2011 6:09 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/22/11 4:00 PM (-05:00)			12/22/11 6:23 PM (-05:00)		
flightaware	CO-4284-EWR-SDF	2011-12-22 04:00PM EST	2011-12-22 04:00PM EST		2011-12-22 06:23PM EST	2011-12-22 06:23PM EST	
wunderground	CO-4284-EWR-SDF	2011-12-22 04:00PM EST	2011-12-22 04:00PM EST		2011-12-22 06:23PM EST	2011-12-22 06:23PM EST	
flights	CO-4284-EWR-SDF		2011-12-22 03:59 PM	26		2011-12-22 06:09 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-22 03:59 PM	26		2011-12-22 06:09 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-22 03:59 PM	26		2011-12-22 06:09 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-22 4:00 PM	2011-12-22 3:59 PM		2011-12-22 6:23 PM	2011-12-22 6:09 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-22 4:00 PM	2011-12-22 3:59 PM		2011-12-22 6:23 PM	2011-12-22 6:09 PM	
flightview	CO-4284-EWR-SDF		4:15 PMDec 22			6:09 PMDec 22	
panynj	CO-4284-EWR-SDF		4:15 PMDec 22			6:09 PMDec 22	
gofox	CO-4284-EWR-SDF		4:15 PMDec 22			6:09 PMDec 22	
foxbusiness	CO-4284-EWR-SDF		4:15 PMDec 22			6:09 PMDec 22	
allegiantair	CO-4284-EWR-SDF		4:15 PMDec 22			6:09 PMDec 22	
boston	CO-4284-EWR-SDF		4:15 PMDec 22			6:04 PMDec 22	
orbitz	CO-4284-EWR-SDF	4:00pDec 22	3:59pDec 22	 -	6:23pDec 22	6:09pDec 22	 -
weather	CO-4284-EWR-SDF	2011-12-22 04:00 PM			2011-12-22 06:23 PM		
usatoday	CO-4284-EWR-SDF	2011-12-22 4:00 PM	2011-12-22 3:59 PM		2011-12-22 6:23 PM	2011-12-22 6:09 PM	
mytripandmore	CO-4284-EWR-SDF	4:00pDec 22	3:59pDec 22	 -	6:23pDec 22	6:09pDec 22	 -
flightwise	CO-4284-EWR-SDF	2011-12-22 04:00PM EST	2011-12-22 04:00PM EST		2011-12-22 06:23PM EST	2011-12-22 06:23PM EST	
ua	UA-3750-ORD-DFW	Thu, Dec 22 2:55 PM	Thu, Dec 22 2:54 PM	C4	Thu, Dec 22 5:26 PM	Thu, Dec 22 5:15 PM	E4
airtravelcenter	UA-3750-ORD-DFW		12/22/11 3:09 PM (-06:00)			12/22/11 5:14 PM (-06:00)	
myrateplan	UA-3750-ORD-DFW		12/22/11 3:09 PM (-06:00)			12/22/11 5:14 PM (-06:00)	
helloflight	UA-3750-ORD-DFW		12/22/11 3:09 PM (-06:00)			12/22/11 5:14 PM (-06:00)	
flytecomm	UA-3750-ORD-DFW		12/22/11 3:09 PM (-06:00)			12/22/11 5:14 PM (-06:00)	
flights	UA-3750-ORD-DFW		2011-12-22 02:54 PM	C4		2011-12-22 05:15 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-22 02:54 PM	C4		2011-12-22 05:15 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-22 02:54 PM	C4		2011-12-22 05:15 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-22 2:55 PM	2011-12-22 2:54 PM		2011-12-22 5:26 PM	2011-12-22 5:15 PM	
quicktrip	UA-3750-ORD-DFW	2011-12-22 2:55 PM	2011-12-22 2:54 PM		2011-12-22 5:26 PM	2011-12-22 5:15 PM	
flightview	UA-3750-ORD-DFW		3:09 PMDec 22			5:15 PMDec 22	
panynj	UA-3750-ORD-DFW		3:09 PMDec 22			5:15 PMDec 22	
gofox	UA-3750-ORD-DFW		3:09 PMDec 22			5:15 PMDec 22	
foxbusiness	UA-3750-ORD-DFW		3:09 PMDec 22			5:15 PMDec 22	
allegiantair	UA-3750-ORD-DFW		3:09 PMDec 22			5:15 PMDec 22	
boston	UA-3750-ORD-DFW		3:09 PMDec 22			5:11 PMDec 22	
orbitz	UA-3750-ORD-DFW	2:55pDec 22	2:54pDec 22	 C4	5:26pDec 22	5:15pDec 22	 E4
weather	UA-3750-ORD-DFW	2011-12-22 02:55 PM			2011-12-22 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-22 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-22 2:55 PM		C4	2011-12-22 5:26 PM		E4
ifly	UA-3750-ORD-DFW	2011-12-22 2:55 PM	2011-12-22 2:54 PM		2011-12-22 5:26 PM	2011-12-22 5:15 PM	
mytripandmore	UA-3750-ORD-DFW	2:55pDec 22	2:54pDec 22	 C4	5:26pDec 22	5:15pDec 22	 E4
flightarrival	UA-3750-ORD-DFW	2011-12-22 2:55 PM	2011-12-22 2:54 PM		2011-12-22 5:26 PM	2011-12-22 5:15 PM	
ua	UA-2706-EWR-CLT	Thu, Dec 22 6:29 PM	Thu, Dec 22 6:29 PM	A38	Thu, Dec 22 8:33 PM	Thu, Dec 22 8:31 PM	C5
airtravelcenter	UA-2706-EWR-CLT		12/22/11 6:58 PM (-05:00)			12/22/11 8:28 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/22/11 6:58 PM (-05:00)			12/22/11 8:28 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/22/11 6:58 PM (-05:00)			12/22/11 8:28 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/22/11 6:58 PM (-05:00)			12/22/11 8:28 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-22 06:29PM EST	2011-12-22 06:58PM EST		2011-12-22 07:54PM EST	2011-12-22 08:25PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-22 06:29PM EST	2011-12-22 06:58PM EST		2011-12-22 07:54PM EST	2011-12-22 08:25PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Thu 22-Dec-2011	06:26 PM  Thu 22-Dec-2011	38	08:33 PM  Thu 22-Dec-2011	08:31 PM  Thu 22-Dec-2011	C5
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Thu 22-Dec-2011	06:26 PM  Thu 22-Dec-2011	38	08:33 PM  Thu 22-Dec-2011	08:31 PM  Thu 22-Dec-2011	C5
flylouisville	UA-2706-EWR-CLT	06:29 PM  Thu 22-Dec-2011	06:26 PM  Thu 22-Dec-2011	38	08:33 PM  Thu 22-Dec-2011	08:31 PM  Thu 22-Dec-2011	C5
flightstats	UA-2706-EWR-CLT	2011-12-22 6:29 PM	2011-12-22 6:26 PM		2011-12-22 8:33 PM	2011-12-22 8:31 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-22 6:29 PM	2011-12-22 6:26 PM		2011-12-22 8:33 PM	2011-12-22 8:31 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-22 6:29 PM	2011-12-22 6:26 PM		2011-12-22 8:33 PM	2011-12-22 8:31 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
travelocity	UA-2706-EWR-CLT	Dec 22 - 6:29pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 8:33pm	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 22	6:26pDec 22	 -	8:33pDec 22	8:31pDec 22	 -
weather	UA-2706-EWR-CLT	2011-12-22 06:29 PM			2011-12-22 08:33 PM		
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
mytripandmore	UA-2706-EWR-CLT	6:29pDec 22	6:26pDec 22	 -	8:33pDec 22	8:31pDec 22	 -
flightarrival	UA-2706-EWR-CLT	6:29 PM, Dec 22	6:58 PM, Dec 22		8:33 PM, Dec 22	8:30 PM, Dec 22	
CO	CO-1240-IAH-SFO	Thu., Dec.22, 2011 4:10 p.m.	Thu., Dec.22, 2011 4:10 p.m.		Thu., Dec.22, 2011 6:38 p.m.	Thu., Dec.22, 2011 6:11 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/22/2011 4:10PM CST			12/22/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/22/11 4:10 PM (-06:00)			12/22/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/22/11 4:10 PM (-06:00)			12/22/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/22/11 4:10 PM (-06:00)			12/22/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/22/11 4:10 PM (-06:00)			12/22/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-22 04:10 PM		32	2011-12-22 06:38 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-22 04:10 PM		32	2011-12-22 06:38 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-22 04:10 PM		32	2011-12-22 06:38 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-22 4:10 PM	2011-12-22 4:10 PM (Estimated)		2011-12-22 6:38 PM	2011-12-22 6:11 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-22 4:10 PM	2011-12-22 4:10 PM (Estimated)		2011-12-22 6:38 PM	2011-12-22 6:11 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
panynj	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
gofox	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
boston	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
orbitz	CO-1240-IAH-SFO	4:10pDec 22		 32	5:44pDec 22		 89
usatoday	CO-1240-IAH-SFO	2011-12-22 4:10 PM	2011-12-22 4:10 PM (Estimated)		2011-12-22 6:38 PM	2011-12-22 6:11 PM (Estimated)	
mytripandmore	CO-1240-IAH-SFO	4:10pDec 22		 32	5:44pDec 22		 89
flightarrival	CO-1240-IAH-SFO	4:10 PMDec 22			6:38 PMDec 22		
ua	UA-1974-CVG-CLT	Thu, Dec 22 7:59 PM	Thu, Dec 22 8:07 PM	7	Thu, Dec 22 9:25 PM	Thu, Dec 22 10:00 PM	E32
airtravelcenter	UA-1974-CVG-CLT	12/22/11 7:59 PM (-05:00)			12/22/11 9:25 PM (-05:00)		
myrateplan	UA-1974-CVG-CLT	12/22/11 7:59 PM (-05:00)			12/22/11 9:25 PM (-05:00)		
helloflight	UA-1974-CVG-CLT	12/22/11 7:59 PM (-05:00)			12/22/11 9:25 PM (-05:00)		
flytecomm	UA-1974-CVG-CLT	12/22/11 7:59 PM (-05:00)			12/22/11 9:25 PM (-05:00)		
flights	UA-1974-CVG-CLT		2011-12-22 08:07 PM	7		2011-12-22 10:00 PM	E32
businesstravellogue	UA-1974-CVG-CLT		2011-12-22 08:07 PM	7		2011-12-22 10:00 PM	E32
flylouisville	UA-1974-CVG-CLT		2011-12-22 08:07 PM	7		2011-12-22 10:00 PM	E32
flightstats	UA-1974-CVG-CLT	2011-12-22 7:59 PM	2011-12-22 8:07 PM		2011-12-22 9:25 PM	2011-12-22 10:00 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-22 7:59 PM	2011-12-22 8:07 PM		2011-12-22 9:25 PM	2011-12-22 10:00 PM	
flightview	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
panynj	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
gofox	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
foxbusiness	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
allegiantair	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
boston	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
travelocity	UA-1974-CVG-CLT	Dec 22 - 7:59pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 9:25pm	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 22	8:07pDec 22	 -	9:25pDec 22	10:00pDec 22	 -
weather	UA-1974-CVG-CLT	2011-12-22 07:59 PM			2011-12-22 09:25 PM		
mytripandmore	UA-1974-CVG-CLT	7:59pDec 22	8:07pDec 22	 -	9:25pDec 22	10:00pDec 22	 -
flightarrival	UA-1974-CVG-CLT		8:44 PMDec 22			9:53 PMDec 22	
ua	UA-2708-EWR-CLT	Thu, Dec 22 2:55 PM	Thu, Dec 22 2:55 PM	A37	Thu, Dec 22 4:53 PM	Thu, Dec 22 4:48 PM	C6
airtravelcenter	UA-2708-EWR-CLT		12/22/11 3:15 PM (-05:00)			12/22/11 4:45 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/22/11 3:15 PM (-05:00)			12/22/11 4:45 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/22/11 3:15 PM (-05:00)			12/22/11 4:45 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/22/11 3:15 PM (-05:00)			12/22/11 4:45 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-22 02:52 PM	37		2011-12-22 04:48 PM	C6
businesstravellogue	UA-2708-EWR-CLT		2011-12-22 02:52 PM	37		2011-12-22 04:48 PM	C6
flylouisville	UA-2708-EWR-CLT		2011-12-22 02:52 PM	37		2011-12-22 04:48 PM	C6
flightstats	UA-2708-EWR-CLT	2011-12-22 2:55 PM	2011-12-22 2:52 PM		2011-12-22 4:53 PM	2011-12-22 4:48 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-22 2:55 PM	2011-12-22 2:52 PM		2011-12-22 4:53 PM	2011-12-22 4:48 PM	
flightview	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
panynj	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
gofox	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
foxbusiness	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
allegiantair	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
boston	UA-2708-EWR-CLT		3:15 PMDec 22			4:43 PMDec 22	
travelocity	UA-2708-EWR-CLT	Dec 22 - 2:55pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 4:53pm	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 22	2:52pDec 22	 -	4:53pDec 22	4:48pDec 22	 -
weather	UA-2708-EWR-CLT	2011-12-22 02:55 PM			2011-12-22 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 22	2:52pDec 22	 -	4:53pDec 22	4:48pDec 22	 -
CO	CO-53-LAX-IAH	Thu., Dec.22, 2011 2:45 p.m.	Thu., Dec.22, 2011 4:09 p.m.		Thu., Dec.22, 2011 7:56 p.m.	Thu., Dec.22, 2011 8:57 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/22/11 2:45 PM (-08:00)			12/22/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/22/11 2:45 PM (-08:00)			12/22/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/22/11 2:45 PM (-08:00)			12/22/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/22/11 2:45 PM (-08:00)			12/22/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-22 04:09 PM	60		2011-12-22 08:57 PM	44
businesstravellogue	CO-53-LAX-IAH		2011-12-22 04:09 PM	60		2011-12-22 08:57 PM	44
flylouisville	CO-53-LAX-IAH		2011-12-22 04:09 PM	60		2011-12-22 08:57 PM	44
flightstats	CO-53-LAX-IAH	2011-12-22 2:45 PM	2011-12-22 4:09 PM		2011-12-22 7:56 PM	2011-12-22 8:57 PM	
quicktrip	CO-53-LAX-IAH	2011-12-22 2:45 PM	2011-12-22 4:09 PM		2011-12-22 7:56 PM	2011-12-22 8:57 PM	
flightview	CO-53-LAX-IAH		4:25 PMDec 22			8:57 PMDec 22	
panynj	CO-53-LAX-IAH		4:25 PMDec 22			8:57 PMDec 22	
gofox	CO-53-LAX-IAH		4:25 PMDec 22			8:57 PMDec 22	
foxbusiness	CO-53-LAX-IAH		4:25 PMDec 22			8:57 PMDec 22	
allegiantair	CO-53-LAX-IAH		4:25 PMDec 22			8:57 PMDec 22	
boston	CO-53-LAX-IAH		4:25 PMDec 22			8:53 PMDec 22	
orbitz	CO-53-LAX-IAH	2:45pDec 22	4:09pDec 22	 60	7:56pDec 22	8:57pDec 22	 44
weather	CO-53-LAX-IAH	2011-12-22 02:45 PM			2011-12-22 07:56 PM		
usatoday	CO-53-LAX-IAH	2011-12-22 02:45 PM			2011-12-22 07:56 PM		
mytripandmore	CO-53-LAX-IAH	2:45pDec 22	4:09pDec 22	 60	7:56pDec 22	8:57pDec 22	 44
flightarrival	CO-53-LAX-IAH	2011-12-22 02:45 PM			2011-12-22 07:56 PM		
CO	CO-1030-DEN-IAH	Thu., Dec.22, 2011 2:25 p.m.	Thu., Dec.22, 2011 3:08 p.m.		Thu., Dec.22, 2011 5:51 p.m.	Thu., Dec.22, 2011 6:25 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/22/11 2:25 PM (-07:00)			12/22/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/22/11 2:25 PM (-07:00)			12/22/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/22/11 2:25 PM (-07:00)			12/22/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/22/11 2:25 PM (-07:00)			12/22/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-22 03:08 PM	B18		2011-12-22 06:25 PM	40
businesstravellogue	CO-1030-DEN-IAH		2011-12-22 03:08 PM	B18		2011-12-22 06:25 PM	40
flylouisville	CO-1030-DEN-IAH		2011-12-22 03:08 PM	B18		2011-12-22 06:25 PM	40
