aa	AA-1007-TPA-MIA	January 3, 2012               01:55 PM    	January 3, 2012               01:51 PM    	 F78	January 3, 2012               03:00 PM    	January 3, 2012               02:48 PM    	 D12    
orbitz	AA-1518-DFW-SDF	12:10pJan 3	12:10pJan 3	 C39	3:10pJan 3	3:07pJan 3	 A15
weather	AA-1518-DFW-SDF	2012-01-03 12:10 PM			2012-01-03 03:10 PM		
dfw	AA-1518-DFW-SDF	2012-01-03 12:10 pm		C39			
ifly	AA-1518-DFW-SDF	2012-01-03 12:10 PM	2012-01-03 12:10 PM		2012-01-03 3:10 PM	2012-01-03 3:07 PM	
usatoday	AA-1518-DFW-SDF	2012-01-03 12:10 PM			2012-01-03 03:10 PM		
flightarrival	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
CO	CO-1220-EWR-PBI	Tue., Jan.03, 2012 6:45 a.m.	Tue., Jan.03, 2012 6:38 a.m.		Tue., Jan.03, 2012 9:46 a.m.	Tue., Jan.03, 2012 9:35 a.m.	
flightexplorer	CO-1220-EWR-PBI		1/3/2012 7:01AM EST			1/3/2012 9:33AM EST	
airtravelcenter	CO-1220-EWR-PBI	1/3/12 6:45 AM (-05:00)			1/3/12 9:46 AM (-05:00)		
myrateplan	CO-1220-EWR-PBI	1/3/12 6:45 AM (-05:00)			1/3/12 9:46 AM (-05:00)		
helloflight	CO-1220-EWR-PBI	1/3/12 6:45 AM (-05:00)			1/3/12 9:46 AM (-05:00)		
flytecomm	CO-1220-EWR-PBI	1/3/12 6:45 AM (-05:00)			1/3/12 9:46 AM (-05:00)		
flightaware	CO-1220-EWR-PBI	2012-01-03 06:45AM EST	2012-01-03 07:02AM EST		2012-01-03 09:15AM EST	2012-01-03 09:32AM EST	
wunderground	CO-1220-EWR-PBI	2012-01-03 06:45AM EST	2012-01-03 07:02AM EST		2012-01-03 09:15AM EST	2012-01-03 09:32AM EST	
flights	CO-1220-EWR-PBI	06:45 AM  Tue 03-Jan-2012	06:38 AM  Tue 03-Jan-2012	82	09:46 AM  Tue 03-Jan-2012	09:35 AM  Tue 03-Jan-2012	B4
businesstravellogue	CO-1220-EWR-PBI	06:45 AM  Tue 03-Jan-2012	06:38 AM  Tue 03-Jan-2012	82	09:46 AM  Tue 03-Jan-2012	09:35 AM  Tue 03-Jan-2012	B4
flylouisville	CO-1220-EWR-PBI	06:45 AM  Tue 03-Jan-2012	06:38 AM  Tue 03-Jan-2012	82	09:46 AM  Tue 03-Jan-2012	09:35 AM  Tue 03-Jan-2012	B4
flightstats	CO-1220-EWR-PBI	2012-01-03 6:45 AM	2012-01-03 6:38 AM		2012-01-03 9:46 AM	2012-01-03 9:35 AM	
quicktrip	CO-1220-EWR-PBI	2012-01-03 6:45 AM	2012-01-03 6:38 AM		2012-01-03 9:46 AM	2012-01-03 9:35 AM	
world-flight-tracker	CO-1220-EWR-PBI	2012-01-03 6:45 AM	2012-01-03 6:38 AM		2012-01-03 9:46 AM	2012-01-03 9:35 AM	
flightview	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03	Term C - C82	9:46 AM, Jan 03	9:35 AM, Jan 03	Main Term - B4
panynj	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03	Term C - C82	9:46 AM, Jan 03	9:35 AM, Jan 03	Main Term - B4
gofox	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03		9:46 AM, Jan 03	9:35 AM, Jan 03	
foxbusiness	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03	Term C - C82	9:46 AM, Jan 03	9:35 AM, Jan 03	Main Term - B4
allegiantair	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03	Term C - C82	9:46 AM, Jan 03	9:35 AM, Jan 03	Main Term - B4
boston	CO-1220-EWR-PBI	6:45 AM, Jan 03	7:02 AM, Jan 03		9:46 AM, Jan 03	9:32 AM, Jan 03	
orbitz	CO-1220-EWR-PBI	6:45aJan 3	6:38aJan 3	 C82	9:46aJan 3	9:35aJan 3	 B4
weather	CO-1220-EWR-PBI	2012-01-03 06:45 AM			2012-01-03 09:46 AM		
mytripandmore	CO-1220-EWR-PBI	6:45aJan 3	6:38aJan 3	 C82	9:46aJan 3	9:35aJan 3	 B4
ua	UA-3523-ORD-ATL	Tue, Jan 3 9:05 PM	Tue, Jan 3 9:05 PM            On Time	B20	Tue, Jan 3 11:56 PM	Tue, Jan 3 11:56 PM	T15
airtravelcenter	UA-3523-ORD-ATL	1/3/12 9:05 PM (-06:00)			1/3/12 11:56 PM (-05:00)		
myrateplan	UA-3523-ORD-ATL	1/3/12 9:05 PM (-06:00)			1/3/12 11:56 PM (-05:00)		
helloflight	UA-3523-ORD-ATL	1/3/12 9:05 PM (-06:00)			1/3/12 11:56 PM (-05:00)		
flytecomm	UA-3523-ORD-ATL	1/3/12 9:05 PM (-06:00)			1/3/12 11:56 PM (-05:00)		
flightaware	UA-3523-ORD-ATL	2012-01-03 09:05PM CST	2012-01-03 09:15PM CST	 B20 	2012-01-03 11:36PM EST	2012-01-03 11:46PM EST	 T15 
wunderground	UA-3523-ORD-ATL	2012-01-03 09:05PM CST	2012-01-03 09:15PM CST	 B20 	2012-01-03 11:36PM EST	2012-01-03 11:46PM EST	 T15 
flights	UA-3523-ORD-ATL	2012-01-03 09:05 PM		C2	2012-01-03 11:56 PM		T15
businesstravellogue	UA-3523-ORD-ATL	2012-01-03 09:05 PM		C2	2012-01-03 11:56 PM		T15
flylouisville	UA-3523-ORD-ATL	2012-01-03 09:05 PM		C2	2012-01-03 11:56 PM		T15
flightstats	UA-3523-ORD-ATL	2012-01-03 9:05 PM	2012-01-03 9:15 PM (Estimated)		2012-01-03 11:56 PM	2012-01-03 12:06 AM (Estimated)	
quicktrip	UA-3523-ORD-ATL	2012-01-03 9:05 PM	2012-01-03 9:15 PM (Estimated)		2012-01-03 11:56 PM	2012-01-03 12:06 AM (Estimated)	
flightview	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
panynj	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
gofox	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
foxbusiness	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
allegiantair	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
boston	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
orbitz	UA-3523-ORD-ATL	9:05pJan 3		 B20	11:56pJan 3		 -
ord	UA-3523-ORD-ATL	2012-01-03 9:05 PM		C2	2012-01-03 11:56 PM		T15
usatoday	UA-3523-ORD-ATL	9:05 PMJan 03			11:56 PMJan 03		
flightwise	UA-3523-ORD-ATL	2012-01-03 09:05PM CST	2012-01-03 09:15PM CST	 B20 	2012-01-03 11:36PM EST	2012-01-03 11:46PM EST	 T15 
flightarrival	UA-3523-ORD-ATL	2012-01-03 9:05 PM	2012-01-03 9:15 PM (Estimated)		2012-01-03 11:56 PM	2012-01-03 12:06 AM (Estimated)	
ua	UA-2706-EWR-CLT	Tue, Jan 3 6:29 PM	Tue, Jan 3 6:29 PM	A38	Tue, Jan 3 8:33 PM	Tue, Jan 3 8:08 PM	B15
airtravelcenter	UA-2706-EWR-CLT		1/3/12 6:43 PM (-05:00)			1/3/12 7:59 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		1/3/12 6:43 PM (-05:00)			1/3/12 7:59 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		1/3/12 6:43 PM (-05:00)			1/3/12 7:59 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		1/3/12 6:43 PM (-05:00)			1/3/12 7:59 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2012-01-03 06:29PM EST	2012-01-03 06:42PM EST		2012-01-03 07:43PM EST	2012-01-03 07:57PM EST	
wunderground	UA-2706-EWR-CLT	2012-01-03 06:29PM EST	2012-01-03 06:42PM EST		2012-01-03 07:43PM EST	2012-01-03 07:57PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Tue 03-Jan-2012	06:24 PM  Tue 03-Jan-2012	38	08:33 PM  Tue 03-Jan-2012	08:08 PM  Tue 03-Jan-2012	B15
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Tue 03-Jan-2012	06:24 PM  Tue 03-Jan-2012	38	08:33 PM  Tue 03-Jan-2012	08:08 PM  Tue 03-Jan-2012	B15
flylouisville	UA-2706-EWR-CLT	06:29 PM  Tue 03-Jan-2012	06:24 PM  Tue 03-Jan-2012	38	08:33 PM  Tue 03-Jan-2012	08:08 PM  Tue 03-Jan-2012	B15
flightstats	UA-2706-EWR-CLT	2012-01-03 6:29 PM	2012-01-03 6:24 PM		2012-01-03 8:33 PM	2012-01-03 8:08 PM	
quicktrip	UA-2706-EWR-CLT	2012-01-03 6:29 PM	2012-01-03 6:24 PM		2012-01-03 8:33 PM	2012-01-03 8:08 PM	
world-flight-tracker	UA-2706-EWR-CLT	2012-01-03 6:29 PM	2012-01-03 6:24 PM		2012-01-03 8:33 PM	2012-01-03 8:08 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
panynj	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
gofox	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
boston	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
orbitz	UA-2706-EWR-CLT	6:29pJan 3	6:24pJan 3	 -	8:33pJan 3	8:08pJan 3	 -
weather	UA-2706-EWR-CLT	2012-01-03 06:29 PM			2012-01-03 08:33 PM		
usatoday	UA-2706-EWR-CLT	6:29 PM, Jan 03	6:43 PM, Jan 03		8:33 PM, Jan 03	8:01 PM, Jan 03	
flightarrival	UA-2706-EWR-CLT	2012-01-03 06:29 PM			2012-01-03 08:33 PM		
ua	UA-581-DEN-IAD	Tue, Jan 3 8:15 AM	Tue, Jan 3 8:11 AM	B41	Tue, Jan 3 1:25 PM	Tue, Jan 3 1:23 PM	C11
flightexplorer	UA-581-DEN-IAD		1/3/2012 8:21AM MST			1/3/2012 1:11PM EST	
airtravelcenter	UA-581-DEN-IAD		1/3/12 8:23 AM (-07:00)			1/3/12 1:11 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		1/3/12 8:23 AM (-07:00)			1/3/12 1:11 PM (-05:00)	
helloflight	UA-581-DEN-IAD		1/3/12 8:23 AM (-07:00)			1/3/12 1:11 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		1/3/12 8:23 AM (-07:00)			1/3/12 1:11 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2012-01-03 08:15AM MST	2012-01-03 08:22AM MST	 B41 	2012-01-03 01:21PM EST	2012-01-03 01:17PM EST	 C11 
wunderground	UA-581-DEN-IAD	2012-01-03 08:15AM MST	2012-01-03 08:22AM MST	 B41 	2012-01-03 01:21PM EST	2012-01-03 01:17PM EST	 C11 
flights	UA-581-DEN-IAD	08:15 AM  Tue 03-Jan-2012	08:11 AM  Tue 03-Jan-2012	B41	01:25 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C11
businesstravellogue	UA-581-DEN-IAD	08:15 AM  Tue 03-Jan-2012	08:11 AM  Tue 03-Jan-2012	B41	01:25 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C11
flylouisville	UA-581-DEN-IAD	08:15 AM  Tue 03-Jan-2012	08:11 AM  Tue 03-Jan-2012	B41	01:25 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C11
flightstats	UA-581-DEN-IAD	2012-01-03 8:15 AM	2012-01-03 8:11 AM		2012-01-03 1:25 PM	2012-01-03 1:23 PM	
quicktrip	UA-581-DEN-IAD	2012-01-03 8:15 AM	2012-01-03 8:11 AM		2012-01-03 1:25 PM	2012-01-03 1:23 PM	
world-flight-tracker	UA-581-DEN-IAD	2012-01-03 8:15 AM	2012-01-03 8:11 AM		2012-01-03 1:25 PM	2012-01-03 1:23 PM	
flightview	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03	B41	1:25 PM, Jan 03	1:23 PM, Jan 03	C11
panynj	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03	B41	1:25 PM, Jan 03	1:23 PM, Jan 03	C11
gofox	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03		1:25 PM, Jan 03	1:23 PM, Jan 03	
foxbusiness	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03	B41	1:25 PM, Jan 03	1:23 PM, Jan 03	C11
allegiantair	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03	B41	1:25 PM, Jan 03	1:23 PM, Jan 03	C11
boston	UA-581-DEN-IAD	8:15 AM, Jan 03	8:23 AM, Jan 03		1:25 PM, Jan 03	1:17 PM, Jan 03	
orbitz	UA-581-DEN-IAD	8:15aJan 3	8:11aJan 3	 B41	1:25pJan 3	1:23pJan 3	 C11
weather	UA-581-DEN-IAD	2012-01-03 08:15 AM	2012-01-03 08:23 AM		2012-01-03 01:25 PM	2012-01-03 01:17 PM	
den	UA-581-DEN-IAD	2012-01-03 8:15 AM		B41			
iad	UA-581-DEN-IAD				2012-01-03 13:25 	2012-01-03 13:23 	
usatoday	UA-581-DEN-IAD	2012-01-03 08:15 AM	2012-01-03 08:23 AM		2012-01-03 01:25 PM	2012-01-03 01:17 PM	
flightwise	UA-581-DEN-IAD	2012-01-03 08:15AM MST	2012-01-03 08:22AM MST	 B41 	2012-01-03 01:21PM EST	2012-01-03 01:17PM EST	 C11 
ua	UA-779-BOS-DEN	Tue, Jan 3 3:06 PM	Tue, Jan 3 3:03 PM	C21	Tue, Jan 3 5:40 PM	Tue, Jan 3 5:24 PM	B49
flightexplorer	UA-779-BOS-DEN		1/3/2012 3:16PM EST			1/3/2012 5:23PM MST	
airtravelcenter	UA-779-BOS-DEN		1/3/12 3:16 PM (-05:00)			1/3/12 5:23 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		1/3/12 3:16 PM (-05:00)			1/3/12 5:23 PM (-07:00)	
helloflight	UA-779-BOS-DEN		1/3/12 3:16 PM (-05:00)			1/3/12 5:23 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		1/3/12 3:16 PM (-05:00)			1/3/12 5:23 PM (-07:00)	
flightaware	UA-779-BOS-DEN	2012-01-03 03:06PM EST	2012-01-03 03:17PM EST	 C21 	2012-01-03 05:23PM MST	2012-01-03 05:18PM MST	 B49 
wunderground	UA-779-BOS-DEN	2012-01-03 03:06PM EST	2012-01-03 03:17PM EST	 C21 	2012-01-03 05:23PM MST	2012-01-03 05:18PM MST	 B49 
flights	UA-779-BOS-DEN	03:06 PM  Tue 03-Jan-2012	03:03 PM  Tue 03-Jan-2012	C21	05:40 PM  Tue 03-Jan-2012	05:24 PM  Tue 03-Jan-2012	B49
businesstravellogue	UA-779-BOS-DEN	03:06 PM  Tue 03-Jan-2012	03:03 PM  Tue 03-Jan-2012	C21	05:40 PM  Tue 03-Jan-2012	05:24 PM  Tue 03-Jan-2012	B49
flylouisville	UA-779-BOS-DEN	03:06 PM  Tue 03-Jan-2012	03:03 PM  Tue 03-Jan-2012	C21	05:40 PM  Tue 03-Jan-2012	05:24 PM  Tue 03-Jan-2012	B49
flightstats	UA-779-BOS-DEN	2012-01-03 3:06 PM	2012-01-03 3:03 PM		2012-01-03 5:40 PM	2012-01-03 5:24 PM	
quicktrip	UA-779-BOS-DEN	2012-01-03 3:06 PM	2012-01-03 3:03 PM		2012-01-03 5:40 PM	2012-01-03 5:24 PM	
world-flight-tracker	UA-779-BOS-DEN	2012-01-03 3:06 PM	2012-01-03 3:03 PM		2012-01-03 5:40 PM	2012-01-03 5:24 PM	
flightview	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03	C21	5:40 PM, Jan 03	5:24 PM, Jan 03	B49
panynj	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03	C21	5:40 PM, Jan 03	5:24 PM, Jan 03	B49
gofox	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03		5:40 PM, Jan 03	5:24 PM, Jan 03	
foxbusiness	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03	C21	5:40 PM, Jan 03	5:24 PM, Jan 03	B49
allegiantair	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03	C21	5:40 PM, Jan 03	5:24 PM, Jan 03	B49
boston	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03		5:40 PM, Jan 03	5:20 PM, Jan 03	
orbitz	UA-779-BOS-DEN	3:06pJan 3	3:03pJan 3	 C21	5:40pJan 3	5:24pJan 3	 B49
weather	UA-779-BOS-DEN	2012-01-03 03:06 PM			2012-01-03 05:40 PM		
flightwise	UA-779-BOS-DEN	2012-01-03 03:06PM EST	2012-01-03 03:17PM EST	 C21 	2012-01-03 05:23PM MST	2012-01-03 05:18PM MST	 B49 
flightarrival	UA-779-BOS-DEN	3:06 PM, Jan 03	3:17 PM, Jan 03		5:40 PM, Jan 03	5:20 PM, Jan 03	
ua	UA-780-DEN-OMA	Tue, Jan 3 10:03 AM	Tue, Jan 3 9:59 AM	B46	Tue, Jan 3 12:29 PM	Tue, Jan 3 12:13 PM	B13
flightexplorer	UA-780-DEN-OMA		1/3/2012 10:07AM MST			1/3/2012 12:06PM CST	
airtravelcenter	UA-780-DEN-OMA		1/3/12 10:09 AM (-07:00)			1/3/12 12:06 PM (-06:00)	
myrateplan	UA-780-DEN-OMA		1/3/12 10:09 AM (-07:00)			1/3/12 12:06 PM (-06:00)	
helloflight	UA-780-DEN-OMA		1/3/12 10:09 AM (-07:00)			1/3/12 12:06 PM (-06:00)	
flytecomm	UA-780-DEN-OMA		1/3/12 10:09 AM (-07:00)			1/3/12 12:06 PM (-06:00)	
flightaware	UA-780-DEN-OMA	2012-01-03 10:03AM MST	2012-01-03 10:09AM MST	 B46 	2012-01-03 12:14PM CST	2012-01-03 12:09PM CST	 B13 
wunderground	UA-780-DEN-OMA	2012-01-03 10:03AM MST	2012-01-03 10:09AM MST	 B46 	2012-01-03 12:14PM CST	2012-01-03 12:09PM CST	 B13 
flights	UA-780-DEN-OMA	10:03 AM  Tue 03-Jan-2012	09:59 AM  Tue 03-Jan-2012	B46	12:29 PM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	B13
businesstravellogue	UA-780-DEN-OMA	10:03 AM  Tue 03-Jan-2012	09:59 AM  Tue 03-Jan-2012	B46	12:29 PM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	B13
flylouisville	UA-780-DEN-OMA	10:03 AM  Tue 03-Jan-2012	09:59 AM  Tue 03-Jan-2012	B46	12:29 PM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	B13
world-flight-tracker	UA-780-DEN-OMA	2012-01-03 10:03 AM	2012-01-03 9:59 AM		2012-01-03 12:29 PM	2012-01-03 12:13 PM	
flightview	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03	B46	12:29 PM, Jan 03	12:13 PM, Jan 03	B13
panynj	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03	B46	12:29 PM, Jan 03	12:13 PM, Jan 03	B13
gofox	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03		12:29 PM, Jan 03	12:13 PM, Jan 03	
foxbusiness	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03	B46	12:29 PM, Jan 03	12:13 PM, Jan 03	B13
allegiantair	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03	B46	12:29 PM, Jan 03	12:13 PM, Jan 03	B13
boston	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03		12:29 PM, Jan 03	12:10 PM, Jan 03	
orbitz	UA-780-DEN-OMA	10:12aJan 3	10:08aJan 3	 B46	12:29pJan 3	12:13pJan 3	 -
weather	UA-780-DEN-OMA	2012-01-03 10:03 AM	2012-01-03 10:09 AM		2012-01-03 12:29 PM	2012-01-03 12:10 PM	
den	UA-780-DEN-OMA	2012-01-03 10:03 AM		B46			
usatoday	UA-780-DEN-OMA	10:03 AM, Jan 03	10:09 AM, Jan 03		12:29 PM, Jan 03	12:10 PM, Jan 03	
ua	UA-1974-CVG-CLT	Tue, Jan 3 7:59 PM	Tue, Jan 3 7:59 PM	7	Tue, Jan 3 9:25 PM	Tue, Jan 3 9:05 PM	E16
airtravelcenter	UA-1974-CVG-CLT		1/3/12 8:04 PM (-05:00)			1/3/12 8:49 PM (-05:00)	
myrateplan	UA-1974-CVG-CLT		1/3/12 8:04 PM (-05:00)			1/3/12 8:49 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		1/3/12 8:04 PM (-05:00)			1/3/12 8:49 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		1/3/12 8:04 PM (-05:00)			1/3/12 8:49 PM (-05:00)	
flightaware	UA-1974-CVG-CLT	2012-01-03 07:05AM EST	2012-01-03 07:42AM EST		2012-01-03 08:19AM EST	2012-01-03 08:43AM EST	
wunderground	UA-1974-CVG-CLT	2012-01-03 07:05AM EST	2012-01-03 07:42AM EST		2012-01-03 08:19AM EST	2012-01-03 08:43AM EST	
flights	UA-1974-CVG-CLT		2012-01-03 07:51 PM	7		2012-01-03 09:05 PM	E16
businesstravellogue	UA-1974-CVG-CLT		2012-01-03 07:51 PM	7		2012-01-03 09:05 PM	E16
flylouisville	UA-1974-CVG-CLT		2012-01-03 07:51 PM	7		2012-01-03 09:05 PM	E16
flightstats	UA-1974-CVG-CLT	2012-01-03 7:59 PM	2012-01-03 7:51 PM		2012-01-03 9:25 PM	2012-01-03 9:05 PM	
