aa	AA-2446-LAX-DFW	12/07/2011 01:10 PM	12/07/2011 01:19 PM	42B	12/07/2011 06:10 PM	12/07/2011 06:08 PM	C2
gofox	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07		5:13 PM, Dec 07	7:45 PM, Dec 07	
foxbusiness	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07	Terminal I - G92	5:13 PM, Dec 07	7:45 PM, Dec 07	D13
allegiantair	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07	Terminal I - G92	5:13 PM, Dec 07	7:45 PM, Dec 07	D13
boston	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07		5:13 PM, Dec 07	7:38 PM, Dec 07	
travelocity	UA-864-SFO-PHL	Dec 07 - Not Available	Dec 07 - 11:39am	92	Dec 07 - Not Available	Dec 07 - 7:45pm	D13
orbitz	UA-864-SFO-PHL	9:13aDec 7	11:39aDec 7	 92	5:13pDec 7	7:45pDec 7	 -
weather	UA-864-SFO-PHL	2011-12-07 08:57 AM			2011-12-07 05:13 PM		
phl	UA-864-SFO-PHL				2011-12-07 5:13 PM		D13
usatoday	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07		5:13 PM, Dec 07	7:38 PM, Dec 07	
flightarrival	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07		5:13 PM, Dec 07	7:38 PM, Dec 07	
aa	AA-2312-DFW-DTW	12/07/2011 08:25 PM		C19	12/07/2011 11:50 PM		D32
flightexplorer	AA-2312-DFW-DTW	12/7/2011 8:25PM CST			12/7/2011 11:50PM EST		
airtravelcenter	AA-2312-DFW-DTW		12/7/11 8:30 PM (-06:00)			12/7/11 11:24 PM (-05:00)	
myrateplan	AA-2312-DFW-DTW		12/7/11 8:30 PM (-06:00)			12/7/11 11:24 PM (-05:00)	
helloflight	AA-2312-DFW-DTW		12/7/11 8:30 PM (-06:00)			12/7/11 11:24 PM (-05:00)	
flytecomm	AA-2312-DFW-DTW		12/7/11 8:30 PM (-06:00)			12/7/11 11:24 PM (-05:00)	
flightaware	AA-2312-DFW-DTW	2011-12-07 08:25PM CST	2011-12-07 08:30PM CST	 C19 	2011-12-07 11:19PM EST	2011-12-07 11:24PM EST	 D32 
wunderground	AA-2312-DFW-DTW	2011-12-07 08:25PM CST	2011-12-07 08:30PM CST	 C19 	2011-12-07 11:19PM EST	2011-12-07 11:24PM EST	 D32 
flights	AA-2312-DFW-DTW	08:25 PM  Wed 07-Dec-2011		C19	11:50 PM  Wed 07-Dec-2011		D32
businesstravellogue	AA-2312-DFW-DTW	08:25 PM  Wed 07-Dec-2011		C19	11:50 PM  Wed 07-Dec-2011		D32
flylouisville	AA-2312-DFW-DTW	08:25 PM  Wed 07-Dec-2011		C19	11:50 PM  Wed 07-Dec-2011		D32
flightstats	AA-2312-DFW-DTW	2011-12-07 8:25 PM	2011-12-07 8:30 PM (Estimated runway)		2011-12-07 11:50 PM	2011-12-07 11:24 PM (Estimated runway)	
quicktrip	AA-2312-DFW-DTW	2011-12-07 8:25 PM	2011-12-07 8:30 PM (Estimated runway)		2011-12-07 11:50 PM	2011-12-07 11:24 PM (Estimated runway)	
world-flight-tracker	AA-2312-DFW-DTW	2011-12-07 8:25 PM	2011-12-07 8:30 PM (Estimated runway)		2011-12-07 11:50 PM	2011-12-07 11:24 PM (Estimated runway)	
flightview	AA-2312-DFW-DTW	8:25 PM, Dec 07			11:50 PM, Dec 07		
panynj	AA-2312-DFW-DTW	8:25 PM, Dec 07			11:50 PM, Dec 07		
gofox	AA-2312-DFW-DTW	8:25 PM, Dec 07			11:50 PM, Dec 07		
foxbusiness	AA-2312-DFW-DTW	8:25 PM, Dec 07			11:50 PM, Dec 07		
allegiantair	AA-2312-DFW-DTW	8:25 PM, Dec 07			11:50 PM, Dec 07		
boston	AA-2312-DFW-DTW	8:25 PM, Dec 07	Not Available		11:50 PM, Dec 07	Not Available	
travelocity	AA-2312-DFW-DTW	Dec 07 - 8:25pm	Dec 07 - Not Available	C19/C	Dec 07 - 11:50pm	Dec 07 - Not Available	D32
orbitz	AA-2312-DFW-DTW	8:25pDec 7		 C19	11:50pDec 7		 D32
weather	AA-2312-DFW-DTW	2011-12-07 08:25 PM	2011-12-07 08:37 PM		2011-12-07 11:50 PM	2011-12-07 11:23 PM	
usatoday	AA-2312-DFW-DTW	2011-12-07 8:25 PM	2011-12-07 8:30 PM (Estimated runway)		2011-12-07 11:50 PM	2011-12-07 11:24 PM (Estimated runway)	
aa	AA-1007-TPA-MIA	12/07/2011 01:55 PM	12/07/2011 02:01 PM	F78	12/07/2011 03:00 PM	12/07/2011 03:00 PM	D30
flightexplorer	AA-1007-TPA-MIA		12/7/2011 2:02PM EST			12/7/2011 2:48PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/7/11 2:02 PM (-05:00)			12/7/11 2:48 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/7/11 2:02 PM (-05:00)			12/7/11 2:48 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/7/11 2:02 PM (-05:00)			12/7/11 2:48 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/7/11 2:02 PM (-05:00)			12/7/11 2:48 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-07 02:01 PM	F78		2011-12-07 03:00 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-07 02:01 PM	F78		2011-12-07 03:00 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-07 02:01 PM	F78		2011-12-07 03:00 PM	D30
flightview	AA-1007-TPA-MIA		2:02 PMDec 07			3:00 PMDec 07	
panynj	AA-1007-TPA-MIA		2:02 PMDec 07			3:00 PMDec 07	
gofox	AA-1007-TPA-MIA		2:02 PMDec 07			3:00 PMDec 07	
foxbusiness	AA-1007-TPA-MIA		2:02 PMDec 07			3:00 PMDec 07	
allegiantair	AA-1007-TPA-MIA		2:02 PMDec 07			3:00 PMDec 07	
boston	AA-1007-TPA-MIA		2:02 PMDec 07			2:46 PMDec 07	
travelocity	AA-1007-TPA-MIA	Dec 07 - 1:55pm	Dec 07 - 1:52pm	F78	Dec 07 - 3:00pm	Dec 07 - 3:00pm	D30
orbitz	AA-1007-TPA-MIA	1:55pDec 7	1:52pDec 7	 F78	3:00pDec 7	3:00pDec 7	 D30
weather	AA-1007-TPA-MIA	2011-12-07 01:55 PM			2011-12-07 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-07-11	2011-12-07  3:00P	
usatoday	AA-1007-TPA-MIA		2:02 PMDec 07			2:46 PMDec 07	
mytripandmore	AA-1007-TPA-MIA	1:55pDec 7	1:52pDec 7	 F78	3:00pDec 7	3:00pDec 7	 D30
aa	AA-1518-DFW-SDF	12/07/2011 12:10 PM	12/07/2011 12:24 PM	C4	12/07/2011 03:10 PM	12/07/2011 03:05 PM	A15
flightexplorer	AA-1518-DFW-SDF		12/7/2011 12:25PM CST			12/7/2011 2:58PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/7/11 12:25 PM (-06:00)			12/7/11 2:58 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/7/11 12:25 PM (-06:00)			12/7/11 2:58 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/7/11 12:25 PM (-06:00)			12/7/11 2:58 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/7/11 12:25 PM (-06:00)			12/7/11 2:58 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-07 12:10PM CST	2011-12-07 12:24PM CST	 C4 	2011-12-07 02:50PM EST	2011-12-07 03:01PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-07 12:10PM CST	2011-12-07 12:24PM CST	 C4 	2011-12-07 02:50PM EST	2011-12-07 03:01PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Wed 07-Dec-2011	12:24 PM  Wed 07-Dec-2011	C4	03:10 PM  Wed 07-Dec-2011	03:05 PM  Wed 07-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Wed 07-Dec-2011	12:24 PM  Wed 07-Dec-2011	C4	03:10 PM  Wed 07-Dec-2011	03:05 PM  Wed 07-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Wed 07-Dec-2011	12:24 PM  Wed 07-Dec-2011	C4	03:10 PM  Wed 07-Dec-2011	03:05 PM  Wed 07-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-07 12:10 PM	2011-12-07 12:24 PM		2011-12-07 3:10 PM	2011-12-07 3:05 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-07 12:10 PM	2011-12-07 12:24 PM		2011-12-07 3:10 PM	2011-12-07 3:05 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-07 12:10 PM	2011-12-07 12:24 PM		2011-12-07 3:10 PM	2011-12-07 3:05 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 07	12:25 PM, Dec 07		3:10 PM, Dec 07	3:02 PM, Dec 07	
travelocity	AA-1518-DFW-SDF	Dec 07 - 12:10pm	Dec 07 - 12:14pm	C4/C	Dec 07 - 3:10pm	Dec 07 - 3:05pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 7	12:14pDec 7	 C4	3:10pDec 7	3:05pDec 7	 A15
weather	AA-1518-DFW-SDF	2011-12-07 12:10 PM			2011-12-07 03:10 PM		
mytripandmore	AA-1518-DFW-SDF	12:10pDec 7	12:14pDec 7	 C4	3:10pDec 7	3:05pDec 7	 A15
ua	UA-1974-AVL-CLT	Wed, Dec 7 7:15 AM	Wed, Dec 7 7:15 AM	4	Wed, Dec 7 8:14 AM	Wed, Dec 7 7:48 AM	E38B
airtravelcenter	UA-1974-AVL-CLT	12/7/11 7:15 AM (-05:00)			12/7/11 8:14 AM (-05:00)		
myrateplan	UA-1974-AVL-CLT	12/7/11 7:15 AM (-05:00)			12/7/11 8:14 AM (-05:00)		
helloflight	UA-1974-AVL-CLT	12/7/11 7:15 AM (-05:00)			12/7/11 8:14 AM (-05:00)		
flytecomm	UA-1974-AVL-CLT	12/7/11 7:15 AM (-05:00)			12/7/11 8:14 AM (-05:00)		
flights	UA-1974-AVL-CLT	07:15 AM  Wed 07-Dec-2011	07:04 AM  Wed 07-Dec-2011	4	08:14 AM  Wed 07-Dec-2011	07:48 AM  Wed 07-Dec-2011	E38B
businesstravellogue	UA-1974-AVL-CLT	07:15 AM  Wed 07-Dec-2011	07:04 AM  Wed 07-Dec-2011	4	08:14 AM  Wed 07-Dec-2011	07:48 AM  Wed 07-Dec-2011	E38B
flylouisville	UA-1974-AVL-CLT	07:15 AM  Wed 07-Dec-2011	07:04 AM  Wed 07-Dec-2011	4	08:14 AM  Wed 07-Dec-2011	07:48 AM  Wed 07-Dec-2011	E38B
world-flight-tracker	UA-1974-AVL-CLT	2011-12-07 7:15 AM	2011-12-07 7:04 AM		2011-12-07 8:14 AM	2011-12-07 7:48 AM	
flightview	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
panynj	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
gofox	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
foxbusiness	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
allegiantair	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
boston	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
travelocity	UA-1974-AVL-CLT	Dec 07 - 7:15am	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 8:14am	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-1974-AVL-CLT	7:15aDec 7	7:04aDec 7	 -	8:14aDec 7	7:48aDec 7	 -
usatoday	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
flightarrival	UA-1974-AVL-CLT	7:15 AM, Dec 07	7:20 AM, Dec 07		8:14 AM, Dec 07	7:44 AM, Dec 07	
ua	UA-4642-IAH-AMA	Wed, Dec 7 6:20 PM	Wed, Dec 7 6:20 PM	B72A	Wed, Dec 7 8:03 PM	Wed, Dec 7 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/7/11 6:20 PM (-06:00)			12/7/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/7/11 6:20 PM (-06:00)			12/7/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/7/11 6:20 PM (-06:00)			12/7/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/7/11 6:20 PM (-06:00)			12/7/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Wed 07-Dec-2011			08:03 PM  Wed 07-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Wed 07-Dec-2011			08:03 PM  Wed 07-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Wed 07-Dec-2011			08:03 PM  Wed 07-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-07 6:20 PM	2011-12-07 6:20 PM (Estimated)		2011-12-07 8:03 PM	2011-12-07 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-07 6:20 PM	2011-12-07 6:20 PM (Estimated)		2011-12-07 8:03 PM	2011-12-07 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-07 6:20 PM	2011-12-07 6:20 PM (Estimated)		2011-12-07 8:03 PM	2011-12-07 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 07		Term B - B72A	8:03 PM, Dec 07		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 07		Term B - B72A	8:03 PM, Dec 07		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 07			8:03 PM, Dec 07		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 07		Term B - B72A	8:03 PM, Dec 07		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 07		Term B - B72A	8:03 PM, Dec 07		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 07	Not Available		8:03 PM, Dec 07	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 07 - 6:20pm	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 8:03pm	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 7		 B72A	8:03pDec 7		 4
usatoday	UA-4642-IAH-AMA	6:20 PM, Dec 07	Not Available		8:03 PM, Dec 07	Not Available	
ua	UA-432-SFO-ORD	Wed, Dec 7 6:00 AM	Wed, Dec 7 5:56 AM	81	Wed, Dec 7 12:18 PM	Wed, Dec 7 12:12 PM	C19
flightexplorer	UA-432-SFO-ORD		12/7/2011 6:23AM PST			12/7/2011 12:04PM CST	
airtravelcenter	UA-432-SFO-ORD		12/7/11 6:25 AM (-08:00)			12/7/11 12:04 PM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/7/11 6:25 AM (-08:00)			12/7/11 12:04 PM (-06:00)	
helloflight	UA-432-SFO-ORD		12/7/11 6:25 AM (-08:00)			12/7/11 12:04 PM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/7/11 6:25 AM (-08:00)			12/7/11 12:04 PM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-07 05:56 AM	81		2011-12-07 12:12 PM	C19
businesstravellogue	UA-432-SFO-ORD		2011-12-07 05:56 AM	81		2011-12-07 12:12 PM	C19
flylouisville	UA-432-SFO-ORD		2011-12-07 05:56 AM	81		2011-12-07 12:12 PM	C19
flightview	UA-432-SFO-ORD		6:25 AMDec 07			12:12 PMDec 07	
panynj	UA-432-SFO-ORD		6:25 AMDec 07			12:12 PMDec 07	
gofox	UA-432-SFO-ORD		6:25 AMDec 07			12:12 PMDec 07	
foxbusiness	UA-432-SFO-ORD		6:25 AMDec 07			12:12 PMDec 07	
allegiantair	UA-432-SFO-ORD		6:25 AMDec 07			12:12 PMDec 07	
boston	UA-432-SFO-ORD		6:25 AMDec 07			12:02 PMDec 07	
travelocity	UA-432-SFO-ORD	Dec 07 - Not Available	Dec 07 - 6:24am	81	Dec 07 - Not Available	Dec 07 - 12:12pm	C19
orbitz	UA-432-SFO-ORD	6:28aDec 7	6:24aDec 7	 81	12:18pDec 7	12:12pDec 7	 C19
weather	UA-432-SFO-ORD	2011-12-07 06:00 AM			2011-12-07 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-07 6:00 AM		81	2011-12-07 12:18 PM		C19
usatoday	UA-432-SFO-ORD		6:25 AMDec 07			12:02 PMDec 07	
mytripandmore	UA-432-SFO-ORD	6:28aDec 7	6:24aDec 7	 81	12:18pDec 7	12:12pDec 7	 C19
flightarrival	UA-432-SFO-ORD	2011-12-07 06:00 AM			2011-12-07 12:18 PM		
ua	UA-1099-ORD-SNA	Wed, Dec 7 9:25 AM	Wed, Dec 7 9:22 AM            On Time	B5	Wed, Dec 7 11:40 AM	Wed, Dec 7 11:41 AM	9
flightexplorer	UA-1099-ORD-SNA		12/7/2011 9:33AM CST			12/7/2011 11:32AM PST	
airtravelcenter	UA-1099-ORD-SNA	12/7/11 9:25 AM (-06:00)			12/7/11 11:40 AM (-08:00)		
myrateplan	UA-1099-ORD-SNA	12/7/11 9:25 AM (-06:00)			12/7/11 11:40 AM (-08:00)		
helloflight	UA-1099-ORD-SNA	12/7/11 9:25 AM (-06:00)			12/7/11 11:40 AM (-08:00)		
flytecomm	UA-1099-ORD-SNA	12/7/11 9:25 AM (-06:00)			12/7/11 11:40 AM (-08:00)		
flightaware	UA-1099-ORD-SNA	2011-12-07 09:25AM CST	2011-12-07 09:34AM CST	 B5 	2011-12-07 11:30AM PST	2011-12-07 11:28AM PST	 9 
wunderground	UA-1099-ORD-SNA	2011-12-07 09:25AM CST	2011-12-07 09:34AM CST	 B5 	2011-12-07 11:30AM PST	2011-12-07 11:28AM PST	 9 
flights	UA-1099-ORD-SNA		2011-12-07 09:22 AM	B5		2011-12-07 11:41 AM	9
businesstravellogue	UA-1099-ORD-SNA		2011-12-07 09:22 AM	B5		2011-12-07 11:41 AM	9
flylouisville	UA-1099-ORD-SNA		2011-12-07 09:22 AM	B5		2011-12-07 11:41 AM	9
flightview	UA-1099-ORD-SNA		9:34 AMDec 07			11:41 AMDec 07	
panynj	UA-1099-ORD-SNA		9:34 AMDec 07			11:41 AMDec 07	
gofox	UA-1099-ORD-SNA		9:34 AMDec 07			11:41 AMDec 07	
foxbusiness	UA-1099-ORD-SNA		9:34 AMDec 07			11:41 AMDec 07	
allegiantair	UA-1099-ORD-SNA		9:34 AMDec 07			11:41 AMDec 07	
boston	UA-1099-ORD-SNA		9:34 AMDec 07			11:28 AMDec 07	
orbitz	UA-1099-ORD-SNA	9:25aDec 7	9:22aDec 7	 B5	11:40aDec 7	11:41aDec 7	 9
ord	UA-1099-ORD-SNA	2011-12-07 9:25 AM		B5	2011-12-07 11:40 AM		9
mytripandmore	UA-1099-ORD-SNA	9:25aDec 7	9:22aDec 7	 B5	11:40aDec 7	11:41aDec 7	 9
flightwise	UA-1099-ORD-SNA	2011-12-07 09:25AM CST	2011-12-07 09:34AM CST	 B5 	2011-12-07 11:30AM PST	2011-12-07 11:28AM PST	 9 
CO	CO-4461-EWR-CVG	Wed., Dec.07, 2011 1:55 p.m.	Wed., Dec.07, 2011 2:08 p.m.		Wed., Dec.07, 2011 4:00 p.m.	Wed., Dec.07, 2011 4:16 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/7/11 1:55 PM (-05:00)			12/7/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/7/11 1:55 PM (-05:00)			12/7/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/7/11 1:55 PM (-05:00)			12/7/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/7/11 1:55 PM (-05:00)			12/7/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-07 02:08 PM	28		2011-12-07 04:16 PM	
businesstravellogue	CO-4461-EWR-CVG		2011-12-07 02:08 PM	28		2011-12-07 04:16 PM	
flylouisville	CO-4461-EWR-CVG		2011-12-07 02:08 PM	28		2011-12-07 04:16 PM	
flightstats	CO-4461-EWR-CVG	2011-12-07 1:55 PM	2011-12-07 2:08 PM		2011-12-07 4:00 PM	2011-12-07 4:16 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-07 1:55 PM	2011-12-07 2:08 PM		2011-12-07 4:00 PM	2011-12-07 4:16 PM	
flightview	CO-4461-EWR-CVG		2:22 PMDec 07			4:16 PMDec 07	
panynj	CO-4461-EWR-CVG		2:22 PMDec 07			4:16 PMDec 07	
gofox	CO-4461-EWR-CVG		2:22 PMDec 07			4:16 PMDec 07	
foxbusiness	CO-4461-EWR-CVG		2:22 PMDec 07			4:16 PMDec 07	
allegiantair	CO-4461-EWR-CVG		2:22 PMDec 07			4:16 PMDec 07	
boston	CO-4461-EWR-CVG		2:22 PMDec 07			4:12 PMDec 07	
orbitz	CO-4461-EWR-CVG	1:55pDec 7	2:08pDec 7	 -	4:00pDec 7	4:16pDec 7	 -
orbitz	CO-4461-EWR-CVG	1:55pDec 7	2:08pDec 7	 A28	4:00pDec 7	4:16pDec 7	 -
weather	CO-4461-EWR-CVG	2011-12-07 01:55 PM			2011-12-07 04:00 PM		
ifly	CO-4461-EWR-CVG	2011-12-07 1:55 PM	2011-12-07 2:08 PM		2011-12-07 4:00 PM	2011-12-07 4:16 PM	
