aa	AA-1007-TPA-MIA	December 9, 2011               01:55 PM    	December 9, 2011               01:57 PM    	 F78	December 9, 2011               03:00 PM    	December 9, 2011               02:57 PM    	 D47    
mytripandmore	AA-1007-TPA-MIA	1:55pDec 9	1:57pDec 9	 F78	3:00pDec 9	2:57pDec 9	 D47
aa	AA-1518-DFW-SDF	December 9, 2011               12:10 PM    	December 9, 2011               12:19 PM    	 C31	December 9, 2011               03:10 PM    	December 9, 2011               03:08 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/9/2011 12:33PM CST			12/9/2011 3:03PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/9/11 12:33 PM (-06:00)			12/9/11 3:03 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/9/11 12:33 PM (-06:00)			12/9/11 3:03 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/9/11 12:33 PM (-06:00)			12/9/11 3:03 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/9/11 12:33 PM (-06:00)			12/9/11 3:03 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-09 12:10PM CST	2011-12-09 12:33PM CST	 C31 	2011-12-09 02:50PM EST	2011-12-09 03:00PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-09 12:10PM CST	2011-12-09 12:33PM CST	 C31 	2011-12-09 02:50PM EST	2011-12-09 03:00PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Fri 09-Dec-2011	12:19 PM  Fri 09-Dec-2011	C31	03:10 PM  Fri 09-Dec-2011	03:08 PM  Fri 09-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Fri 09-Dec-2011	12:19 PM  Fri 09-Dec-2011	C31	03:10 PM  Fri 09-Dec-2011	03:08 PM  Fri 09-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Fri 09-Dec-2011	12:19 PM  Fri 09-Dec-2011	C31	03:10 PM  Fri 09-Dec-2011	03:08 PM  Fri 09-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-09 12:10 PM	2011-12-09 12:19 PM		2011-12-09 3:10 PM	2011-12-09 3:08 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-09 12:10 PM	2011-12-09 12:19 PM		2011-12-09 3:10 PM	2011-12-09 3:08 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-09 12:10 PM	2011-12-09 12:19 PM		2011-12-09 3:10 PM	2011-12-09 3:08 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 09	12:33 PM, Dec 09		3:10 PM, Dec 09	3:01 PM, Dec 09	
travelocity	AA-1518-DFW-SDF	Dec 09 - 12:10pm	Dec 09 - 12:19pm	C31/C	Dec 09 - 3:10pm	Dec 09 - 3:08pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 9	12:19pDec 9	 C31	3:10pDec 9	3:08pDec 9	 A15
weather	AA-1518-DFW-SDF	2011-12-09 12:10 PM			2011-12-09 03:10 PM		
ifly	AA-1518-DFW-SDF	2011-12-09 12:10 PM	2011-12-09 12:19 PM		2011-12-09 3:10 PM	2011-12-09 3:08 PM	
mytripandmore	AA-1518-DFW-SDF	12:10pDec 9	12:19pDec 9	 C31	3:10pDec 9	3:08pDec 9	 A15
flightwise	AA-1518-DFW-SDF	2011-12-09 12:10PM CST	2011-12-09 12:33PM CST	 C31 	2011-12-09 02:50PM EST	2011-12-09 03:00PM EST	 A15 
ua	UA-4642-IAH-AMA	Fri, Dec 9 6:20 PM	Fri, Dec 9 6:20 PM	B76A	Fri, Dec 9 8:03 PM	Fri, Dec 9 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/9/11 6:20 PM (-06:00)			12/9/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/9/11 6:20 PM (-06:00)			12/9/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/9/11 6:20 PM (-06:00)			12/9/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/9/11 6:20 PM (-06:00)			12/9/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Fri 09-Dec-2011			08:03 PM  Fri 09-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Fri 09-Dec-2011			08:03 PM  Fri 09-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Fri 09-Dec-2011			08:03 PM  Fri 09-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-09 6:20 PM	2011-12-09 6:20 PM (Estimated)		2011-12-09 8:03 PM	2011-12-09 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-09 6:20 PM	2011-12-09 6:20 PM (Estimated)		2011-12-09 8:03 PM	2011-12-09 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-09 6:20 PM	2011-12-09 6:20 PM (Estimated)		2011-12-09 8:03 PM	2011-12-09 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 09		Term B - B76A	8:03 PM, Dec 09		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 09		Term B - B76A	8:03 PM, Dec 09		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 09			8:03 PM, Dec 09		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 09		Term B - B76A	8:03 PM, Dec 09		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 09		Term B - B76A	8:03 PM, Dec 09		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 09	Not Available		8:03 PM, Dec 09	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 09 - 6:20pm	Dec 09 - Contact Airline	Not provided by airline	Dec 09 - 8:03pm	Dec 09 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 9		 B76A	8:03pDec 9		 4
usatoday	UA-4642-IAH-AMA	2011-12-09 6:20 PM	2011-12-09 6:20 PM (Estimated)		2011-12-09 8:03 PM	2011-12-09 8:03 PM (Estimated)	
ua	UA-432-SFO-ORD	Fri, Dec 9 6:00 AM	Fri, Dec 9 6:02 AM	84	Fri, Dec 9 12:18 PM	Fri, Dec 9 12:55 PM	B16
flightexplorer	UA-432-SFO-ORD		12/9/2011 6:29AM PST			12/9/2011 12:23PM CST	
airtravelcenter	UA-432-SFO-ORD		12/9/11 6:29 AM (-08:00)			12/9/11 12:23 PM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/9/11 6:29 AM (-08:00)			12/9/11 12:23 PM (-06:00)	
helloflight	UA-432-SFO-ORD		12/9/11 6:29 AM (-08:00)			12/9/11 12:23 PM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/9/11 6:29 AM (-08:00)			12/9/11 12:23 PM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-09 06:02 AM	84		2011-12-09 12:55 PM	B16
businesstravellogue	UA-432-SFO-ORD		2011-12-09 06:02 AM	84		2011-12-09 12:55 PM	B16
flylouisville	UA-432-SFO-ORD		2011-12-09 06:02 AM	84		2011-12-09 12:55 PM	B16
flightview	UA-432-SFO-ORD		6:31 AMDec 09			12:55 PMDec 09	
panynj	UA-432-SFO-ORD		6:31 AMDec 09			12:55 PMDec 09	
gofox	UA-432-SFO-ORD		6:31 AMDec 09			12:55 PMDec 09	
foxbusiness	UA-432-SFO-ORD		6:31 AMDec 09			12:55 PMDec 09	
allegiantair	UA-432-SFO-ORD		6:31 AMDec 09			12:55 PMDec 09	
boston	UA-432-SFO-ORD		6:31 AMDec 09			12:21 PMDec 09	
travelocity	UA-432-SFO-ORD	Dec 09 - Not Available	Dec 09 - 6:29am	84	Dec 09 - Not Available	Dec 09 - 12:55pm	B16
orbitz	UA-432-SFO-ORD	6:00aDec 9	6:02aDec 9	 84	12:18pDec 9	12:55pDec 9	 B16
weather	UA-432-SFO-ORD	2011-12-09 06:00 AM			2011-12-09 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-09 12/8 6:00 AM		82	2011-12-09 12/8 12:18 PM		C17
mytripandmore	UA-432-SFO-ORD	6:00aDec 9	6:02aDec 9	 84	12:18pDec 9	12:55pDec 9	 B16
CO	CO-4461-EWR-CVG	Fri., Dec.09, 2011 1:55 p.m.	Fri., Dec.09, 2011 2:11 p.m.		Fri., Dec.09, 2011 4:00 p.m.	Fri., Dec.09, 2011 4:24 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/9/11 1:55 PM (-05:00)			12/9/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/9/11 1:55 PM (-05:00)			12/9/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/9/11 1:55 PM (-05:00)			12/9/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/9/11 1:55 PM (-05:00)			12/9/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-09 02:11 PM	20A		2011-12-09 04:24 PM	
businesstravellogue	CO-4461-EWR-CVG		2011-12-09 02:11 PM	20A		2011-12-09 04:24 PM	
flylouisville	CO-4461-EWR-CVG		2011-12-09 02:11 PM	20A		2011-12-09 04:24 PM	
flightstats	CO-4461-EWR-CVG	2011-12-09 1:55 PM	2011-12-09 2:11 PM		2011-12-09 4:00 PM	2011-12-09 4:24 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-09 1:55 PM	2011-12-09 2:11 PM		2011-12-09 4:00 PM	2011-12-09 4:24 PM	
flightview	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
panynj	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
gofox	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
foxbusiness	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
allegiantair	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
boston	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
orbitz	CO-4461-EWR-CVG	1:55pDec 9	2:11pDec 9	 -	4:00pDec 9	4:24pDec 9	 -
orbitz	CO-4461-EWR-CVG	1:55pDec 9	2:11pDec 9	 A20A	4:00pDec 9	4:24pDec 9	 -
weather	CO-4461-EWR-CVG	2011-12-09 01:55 PM			2011-12-09 04:00 PM		
usatoday	CO-4461-EWR-CVG		2:30 PMDec 09			4:24 PMDec 09	
mytripandmore	CO-4461-EWR-CVG	1:55pDec 9	2:11pDec 9	 A20A	4:00pDec 9	4:24pDec 9	 -
ua	UA-2706-EWR-CLT	Fri, Dec 9 6:29 PM	Fri, Dec 9 6:29 PM	A38	Fri, Dec 9 8:33 PM	Fri, Dec 9 8:38 PM	D7
airtravelcenter	UA-2706-EWR-CLT		12/9/11 7:05 PM (-05:00)			12/9/11 8:33 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/9/11 7:05 PM (-05:00)			12/9/11 8:33 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/9/11 7:05 PM (-05:00)			12/9/11 8:33 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/9/11 7:05 PM (-05:00)			12/9/11 8:33 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-09 06:29PM EST	2011-12-09 07:04PM EST		2011-12-09 08:05PM EST	2011-12-09 08:33PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-09 06:29PM EST	2011-12-09 07:04PM EST		2011-12-09 08:05PM EST	2011-12-09 08:33PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Fri 09-Dec-2011	06:26 PM  Fri 09-Dec-2011	38	08:33 PM  Fri 09-Dec-2011	08:38 PM  Fri 09-Dec-2011	D7
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Fri 09-Dec-2011	06:26 PM  Fri 09-Dec-2011	38	08:33 PM  Fri 09-Dec-2011	08:38 PM  Fri 09-Dec-2011	D7
flylouisville	UA-2706-EWR-CLT	06:29 PM  Fri 09-Dec-2011	06:26 PM  Fri 09-Dec-2011	38	08:33 PM  Fri 09-Dec-2011	08:38 PM  Fri 09-Dec-2011	D7
flightstats	UA-2706-EWR-CLT	2011-12-09 6:29 PM	2011-12-09 6:26 PM		2011-12-09 8:33 PM	2011-12-09 8:38 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-09 6:29 PM	2011-12-09 6:26 PM		2011-12-09 8:33 PM	2011-12-09 8:38 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-09 6:29 PM	2011-12-09 6:26 PM		2011-12-09 8:33 PM	2011-12-09 8:38 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 09	7:05 PM, Dec 09		8:33 PM, Dec 09	8:36 PM, Dec 09	
travelocity	UA-2706-EWR-CLT	Dec 09 - 6:29pm	Dec 09 - Contact Airline	Not provided by airline	Dec 09 - 8:33pm	Dec 09 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 9	6:26pDec 9	 -	8:33pDec 9	8:38pDec 9	 -
weather	UA-2706-EWR-CLT	2011-12-09 06:29 PM			2011-12-09 08:33 PM		
mytripandmore	UA-2706-EWR-CLT	6:29pDec 9	6:26pDec 9	 -	8:33pDec 9	8:38pDec 9	 -
flightwise	UA-2706-EWR-CLT	2011-12-09 06:29PM EST	2011-12-09 07:04PM EST		2011-12-09 08:05PM EST	2011-12-09 08:33PM EST	
flightarrival	UA-2706-EWR-CLT	2011-12-09 06:29 PM			2011-12-09 08:33 PM		
ua	UA-581-DEN-IAD	Fri, Dec 9 8:36 AM	Fri, Dec 9 8:34 AM	B43	Fri, Dec 9 1:52 PM	Fri, Dec 9 1:49 PM	C19
airtravelcenter	UA-581-DEN-IAD		12/9/11 9:00 AM (-07:00)			12/9/11 1:40 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/9/11 9:00 AM (-07:00)			12/9/11 1:40 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/9/11 9:00 AM (-07:00)			12/9/11 1:40 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/9/11 9:00 AM (-07:00)			12/9/11 1:40 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-09 08:36AM MST	2011-12-09 09:00AM MST	 B43 	2011-12-09 01:35PM EST	2011-12-09 01:42PM EST	 C19 
wunderground	UA-581-DEN-IAD	2011-12-09 08:36AM MST	2011-12-09 09:00AM MST	 B43 	2011-12-09 01:35PM EST	2011-12-09 01:42PM EST	 C19 
flights	UA-581-DEN-IAD	08:36 AM  Fri 09-Dec-2011	08:34 AM  Fri 09-Dec-2011	B43	01:52 PM  Fri 09-Dec-2011	01:49 PM  Fri 09-Dec-2011	C19
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Fri 09-Dec-2011	08:34 AM  Fri 09-Dec-2011	B43	01:52 PM  Fri 09-Dec-2011	01:49 PM  Fri 09-Dec-2011	C19
flylouisville	UA-581-DEN-IAD	08:36 AM  Fri 09-Dec-2011	08:34 AM  Fri 09-Dec-2011	B43	01:52 PM  Fri 09-Dec-2011	01:49 PM  Fri 09-Dec-2011	C19
flightstats	UA-581-DEN-IAD	2011-12-09 8:36 AM	2011-12-09 8:34 AM		2011-12-09 1:52 PM	2011-12-09 1:49 PM	
quicktrip	UA-581-DEN-IAD	2011-12-09 8:36 AM	2011-12-09 8:34 AM		2011-12-09 1:52 PM	2011-12-09 1:49 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-09 8:36 AM	2011-12-09 8:34 AM		2011-12-09 1:52 PM	2011-12-09 1:49 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09	B43	1:52 PM, Dec 09	1:49 PM, Dec 09	C19
panynj	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09	B43	1:52 PM, Dec 09	1:49 PM, Dec 09	C19
gofox	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09		1:52 PM, Dec 09	1:49 PM, Dec 09	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09	B43	1:52 PM, Dec 09	1:49 PM, Dec 09	C19
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09	B43	1:52 PM, Dec 09	1:49 PM, Dec 09	C19
boston	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09		1:52 PM, Dec 09	1:43 PM, Dec 09	
travelocity	UA-581-DEN-IAD	Dec 09 - Not Available	Dec 09 - 8:59am	B43	Dec 09 - Not Available	Dec 09 - 1:49pm	C19
orbitz	UA-581-DEN-IAD	8:36aDec 9	8:34aDec 9	 B43	1:52pDec 9	1:49pDec 9	 C19
weather	UA-581-DEN-IAD	2011-12-09 08:36 AM	2011-12-09 09:00 AM		2011-12-09 01:52 PM	2011-12-09 01:39 PM	
iad	UA-581-DEN-IAD				2011-12-09 13:52 	2011-12-09 13:49 	
ifly	UA-581-DEN-IAD	2011-12-09 8:36 AM	2011-12-09 8:34 AM		2011-12-09 1:52 PM	2011-12-09 1:49 PM	
usatoday	UA-581-DEN-IAD	2011-12-09 08:36 AM	2011-12-09 09:00 AM		2011-12-09 01:52 PM	2011-12-09 01:39 PM	
mytripandmore	UA-581-DEN-IAD	8:36aDec 9	8:34aDec 9	 B43	1:52pDec 9	1:49pDec 9	 C19
flightarrival	UA-581-DEN-IAD	8:36 AM, Dec 09	9:00 AM, Dec 09		1:52 PM, Dec 09	1:43 PM, Dec 09	
ua	UA-779-BOS-DEN	Fri, Dec 9 2:40 PM	Fri, Dec 9 2:38 PM            On Time	C18	Fri, Dec 9 5:22 PM	Fri, Dec 9 5:12 PM	B29
airtravelcenter	UA-779-BOS-DEN		12/9/11 2:49 PM (-05:00)			12/9/11 5:12 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/9/11 2:49 PM (-05:00)			12/9/11 5:12 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/9/11 2:49 PM (-05:00)			12/9/11 5:12 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/9/11 2:49 PM (-05:00)			12/9/11 5:12 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-09 02:38 PM	C18		2011-12-09 05:12 PM	B29
businesstravellogue	UA-779-BOS-DEN		2011-12-09 02:38 PM	C18		2011-12-09 05:12 PM	B29
flylouisville	UA-779-BOS-DEN		2011-12-09 02:38 PM	C18		2011-12-09 05:12 PM	B29
flightstats	UA-779-BOS-DEN	2011-12-09 2:40 PM	2011-12-09 2:38 PM		2011-12-09 5:22 PM	2011-12-09 5:12 PM	
quicktrip	UA-779-BOS-DEN	2011-12-09 2:40 PM	2011-12-09 2:38 PM		2011-12-09 5:22 PM	2011-12-09 5:12 PM	
flightview	UA-779-BOS-DEN		2:49 PMDec 09			5:12 PMDec 09	
panynj	UA-779-BOS-DEN		2:49 PMDec 09			5:12 PMDec 09	
gofox	UA-779-BOS-DEN		2:49 PMDec 09			5:12 PMDec 09	
foxbusiness	UA-779-BOS-DEN		2:49 PMDec 09			5:12 PMDec 09	
allegiantair	UA-779-BOS-DEN		2:49 PMDec 09			5:12 PMDec 09	
boston	UA-779-BOS-DEN		2:49 PMDec 09			5:11 PMDec 09	
orbitz	UA-779-BOS-DEN	2:50pDec 9	2:48pDec 9	 C18	5:22pDec 9	5:12pDec 9	 B29
ifly	UA-779-BOS-DEN	2011-12-09 2:40 PM	2011-12-09 2:38 PM		2011-12-09 5:22 PM	2011-12-09 5:12 PM	
ua	UA-1411-EWR-BQN	Fri, Dec 9 8:25 PM	Fri, Dec 9 8:35 PM	C88	Sat, Dec 10 1:10 AM	Sat, Dec 10 1:22 AM	--
flightexplorer	UA-1411-EWR-BQN		12/9/2011 8:56PM EST			12/10/2011 1:18AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Fri 09-Dec-2011			01:10 AM  Sat 10-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Fri 09-Dec-2011			01:10 AM  Sat 10-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Fri 09-Dec-2011			01:10 AM  Sat 10-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 09			1:10 AM, Dec 10		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 09			1:10 AM, Dec 10		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 09			1:10 AM, Dec 10		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 09			1:10 AM, Dec 10		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 09			1:10 AM, Dec 10		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 09	8:58 PM, Dec 09&nbsp(Estimated)		1:10 AM, Dec 10	1:18 AM, Dec 10&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 09 - 8:25pm	Dec 09 - Contact Airline	Not provided by airline	Dec 10 - 1:10am	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 9	8:35pDec 9	 C88	1:34aDec 10		 -
mytripandmore	UA-1411-EWR-BQN	Dec 09 - 8:25pm	Dec 09 - Contact Airline	Not provided by airline	Dec 10 - 1:10am	Dec 10 - Contact Airline	Not provided by airline
flightarrival	UA-1411-EWR-BQN	8:25 PM, Dec 09	8:58 PM, Dec 09&nbsp(Estimated)		1:10 AM, Dec 10	1:18 AM, Dec 10&nbsp(Estimated)	
ua	UA-2708-EWR-CLT	Fri, Dec 9 2:55 PM	Fri, Dec 9 2:55 PM	A38	Fri, Dec 9 4:53 PM	Fri, Dec 9 4:41 PM	B14
airtravelcenter	UA-2708-EWR-CLT		12/9/11 3:08 PM (-05:00)			12/9/11 4:38 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/9/11 3:08 PM (-05:00)			12/9/11 4:38 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/9/11 3:08 PM (-05:00)			12/9/11 4:38 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/9/11 3:08 PM (-05:00)			12/9/11 4:38 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-09 02:51 PM	38		2011-12-09 04:41 PM	B14
businesstravellogue	UA-2708-EWR-CLT		2011-12-09 02:51 PM	38		2011-12-09 04:41 PM	B14
flylouisville	UA-2708-EWR-CLT		2011-12-09 02:51 PM	38		2011-12-09 04:41 PM	B14
flightstats	UA-2708-EWR-CLT	2011-12-09 2:55 PM	2011-12-09 2:51 PM		2011-12-09 4:53 PM	2011-12-09 4:41 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-09 2:55 PM	2011-12-09 2:51 PM		2011-12-09 4:53 PM	2011-12-09 4:41 PM	
flightview	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
panynj	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
gofox	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
foxbusiness	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
allegiantair	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
boston	UA-2708-EWR-CLT		3:08 PMDec 09			4:41 PMDec 09	
travelocity	UA-2708-EWR-CLT	Dec 09 - 2:55pm	Dec 09 - Contact Airline	Not provided by airline	Dec 09 - 4:53pm	Dec 09 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 9	2:51pDec 9	 -	4:53pDec 9	4:41pDec 9	 -
weather	UA-2708-EWR-CLT	2011-12-09 02:55 PM			2011-12-09 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 9	2:51pDec 9	 -	4:53pDec 9	4:41pDec 9	 -
flightarrival	UA-2708-EWR-CLT	2011-12-09 2:55 PM	2011-12-09 2:51 PM		2011-12-09 4:53 PM	2011-12-09 4:41 PM	
CO	CO-53-LAX-IAH	Fri., Dec.09, 2011 2:40 p.m.	Fri., Dec.09, 2011 2:45 p.m.		Fri., Dec.09, 2011 7:48 p.m.	Fri., Dec.09, 2011 7:46 p.m.	
