CO	CO-4237-EWR-DTW	Sun., Dec.25, 2011 12:09 p.m.	Sun., Dec.25, 2011 12:02 p.m.		Sun., Dec.25, 2011 2:16 p.m.	Sun., Dec.25, 2011 2:03 p.m.	
flightaware	UA-3500-HPN-ORD	2011-12-25 07:30AM EST	2011-12-25 07:43AM EST		2011-12-25 09:11AM CST	2011-12-25 08:54AM CST	 B22 
wunderground	UA-3500-HPN-ORD	2011-12-25 07:30AM EST	2011-12-25 07:43AM EST		2011-12-25 09:11AM CST	2011-12-25 08:54AM CST	 B22 
flights	UA-3500-HPN-ORD	07:30 AM  Sun 25-Dec-2011	07:29 AM  Sun 25-Dec-2011		09:08 AM  Sun 25-Dec-2011	09:06 AM  Sun 25-Dec-2011	
businesstravellogue	UA-3500-HPN-ORD	07:30 AM  Sun 25-Dec-2011	07:29 AM  Sun 25-Dec-2011		09:08 AM  Sun 25-Dec-2011	09:06 AM  Sun 25-Dec-2011	
flylouisville	UA-3500-HPN-ORD	07:30 AM  Sun 25-Dec-2011	07:29 AM  Sun 25-Dec-2011		09:08 AM  Sun 25-Dec-2011	09:06 AM  Sun 25-Dec-2011	
world-flight-tracker	UA-3500-HPN-ORD	2011-12-25 7:30 AM	2011-12-25 7:29 AM		2011-12-25 9:08 AM	2011-12-25 9:06 AM	
flightview	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	9:06 AM, Dec 25	
panynj	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	9:06 AM, Dec 25	
gofox	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	9:06 AM, Dec 25	
foxbusiness	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	9:06 AM, Dec 25	
allegiantair	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	9:06 AM, Dec 25	
boston	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	8:58 AM, Dec 25	
travelocity	UA-3500-HPN-ORD	Dec 25 - Not Available	Dec 25 - 7:42am	CHK	Dec 25 - Not Available	Dec 25 - 9:06am	B22
orbitz	UA-3500-HPN-ORD	7:30aDec 25	7:29aDec 25	 -	9:08aDec 25	9:06aDec 25	 B22
weather	UA-3500-HPN-ORD	2011-12-25 07:30 AM			2011-12-25 09:08 AM		
ord	UA-3500-HPN-ORD	2011-12-25 7:30 AM		 	2011-12-25 9:08 AM		B22
usatoday	UA-3500-HPN-ORD	7:30 AM, Dec 25	7:43 AM, Dec 25		9:08 AM, Dec 25	8:58 AM, Dec 25	
mytripandmore	UA-3500-HPN-ORD	7:30aDec 25	7:29aDec 25	 -	9:08aDec 25	9:06aDec 25	 B22
aa	AA-1518-DFW-SDF	December 25, 2011               12:10 PM    	December 25, 2011               12:04 PM    	 C26	December 25, 2011               03:10 PM    	December 25, 2011               02:43 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/25/2011 12:14PM CST			12/25/2011 2:40PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/25/11 12:14 PM (-06:00)			12/25/11 2:40 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/25/11 12:14 PM (-06:00)			12/25/11 2:40 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/25/11 12:14 PM (-06:00)			12/25/11 2:40 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/25/11 12:14 PM (-06:00)			12/25/11 2:40 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-25 12:10PM CST	2011-12-25 12:14PM CST	 C26 	2011-12-25 02:50PM EST	2011-12-25 02:38PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-25 12:10PM CST	2011-12-25 12:14PM CST	 C26 	2011-12-25 02:50PM EST	2011-12-25 02:38PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sun 25-Dec-2011	12:04 PM  Sun 25-Dec-2011	C26	03:10 PM  Sun 25-Dec-2011	02:43 PM  Sun 25-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sun 25-Dec-2011	12:04 PM  Sun 25-Dec-2011	C26	03:10 PM  Sun 25-Dec-2011	02:43 PM  Sun 25-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sun 25-Dec-2011	12:04 PM  Sun 25-Dec-2011	C26	03:10 PM  Sun 25-Dec-2011	02:43 PM  Sun 25-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-25 12:10 PM	2011-12-25 12:04 PM		2011-12-25 3:10 PM	2011-12-25 2:43 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-25 12:10 PM	2011-12-25 12:04 PM		2011-12-25 3:10 PM	2011-12-25 2:43 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-25 12:10 PM	2011-12-25 12:04 PM		2011-12-25 3:10 PM	2011-12-25 2:43 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 25	12:14 PM, Dec 25		3:10 PM, Dec 25	2:38 PM, Dec 25	
travelocity	AA-1518-DFW-SDF	Dec 25 - 12:10pm	Dec 25 - 12:04pm	C26/C	Dec 25 - 3:10pm	Dec 25 - 2:43pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 25	12:04pDec 25	 C26	3:10pDec 25	2:43pDec 25	 A15
weather	AA-1518-DFW-SDF	2011-12-25 12:10 PM			2011-12-25 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-25 12:10 pm		C26			
usatoday	AA-1518-DFW-SDF	2011-12-25 12:10 PM			2011-12-25 03:10 PM		
CO	CO-4284-EWR-SDF	Sun., Dec.25, 2011 4:05 p.m.	Sun., Dec.25, 2011 4:16 p.m.		Sun., Dec.25, 2011 6:26 p.m.	Sun., Dec.25, 2011 6:44 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/25/11 4:05 PM (-05:00)			12/25/11 6:26 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/25/11 4:05 PM (-05:00)			12/25/11 6:26 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/25/11 4:05 PM (-05:00)			12/25/11 6:26 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/25/11 4:05 PM (-05:00)			12/25/11 6:26 PM (-05:00)		
flightaware	CO-4284-EWR-SDF	2011-12-25 04:00PM EST	2011-12-25 04:00PM EST		2011-12-25 06:23PM EST	2011-12-25 06:23PM EST	
wunderground	CO-4284-EWR-SDF	2011-12-25 04:00PM EST	2011-12-25 04:00PM EST		2011-12-25 06:23PM EST	2011-12-25 06:23PM EST	
flights	CO-4284-EWR-SDF		2011-12-25 04:16 PM	20		2011-12-25 06:44 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-25 04:16 PM	20		2011-12-25 06:44 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-25 04:16 PM	20		2011-12-25 06:44 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-25 4:05 PM	2011-12-25 4:16 PM		2011-12-25 6:26 PM	2011-12-25 6:44 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-25 4:05 PM	2011-12-25 4:16 PM		2011-12-25 6:26 PM	2011-12-25 6:44 PM	
flightview	CO-4284-EWR-SDF		4:35 PMDec 25			6:44 PMDec 25	
panynj	CO-4284-EWR-SDF		4:35 PMDec 25			6:44 PMDec 25	
gofox	CO-4284-EWR-SDF		4:35 PMDec 25			6:44 PMDec 25	
foxbusiness	CO-4284-EWR-SDF		4:35 PMDec 25			6:44 PMDec 25	
allegiantair	CO-4284-EWR-SDF		4:35 PMDec 25			6:44 PMDec 25	
boston	CO-4284-EWR-SDF		4:35 PMDec 25			6:38 PMDec 25	
orbitz	CO-4284-EWR-SDF	4:05pDec 25	4:16pDec 25	 -	6:26pDec 25	6:44pDec 25	 -
weather	CO-4284-EWR-SDF	2011-12-25 04:05 PM			2011-12-25 06:26 PM		
flightarrival	CO-4284-EWR-SDF		4:35 PMDec 25			6:38 PMDec 25	
ua	UA-581-DEN-IAD	Sun, Dec 25 8:28 AM	Sun, Dec 25 8:23 AM	B41	Sun, Dec 25 1:41 PM	Sun, Dec 25 1:24 PM	C17
airtravelcenter	UA-581-DEN-IAD		12/25/11 8:35 AM (-07:00)			12/25/11 1:13 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/25/11 8:35 AM (-07:00)			12/25/11 1:13 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/25/11 8:35 AM (-07:00)			12/25/11 1:13 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/25/11 8:35 AM (-07:00)			12/25/11 1:13 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-25 08:28AM MST	2011-12-25 08:34AM MST	 B41 	2011-12-25 01:28PM EST	2011-12-25 01:18PM EST	 C17 
wunderground	UA-581-DEN-IAD	2011-12-25 08:28AM MST	2011-12-25 08:34AM MST	 B41 	2011-12-25 01:28PM EST	2011-12-25 01:18PM EST	 C17 
flights	UA-581-DEN-IAD	08:28 AM  Sun 25-Dec-2011	08:23 AM  Sun 25-Dec-2011	B41	01:41 PM  Sun 25-Dec-2011	01:24 PM  Sun 25-Dec-2011	C17
businesstravellogue	UA-581-DEN-IAD	08:28 AM  Sun 25-Dec-2011	08:23 AM  Sun 25-Dec-2011	B41	01:41 PM  Sun 25-Dec-2011	01:24 PM  Sun 25-Dec-2011	C17
flylouisville	UA-581-DEN-IAD	08:28 AM  Sun 25-Dec-2011	08:23 AM  Sun 25-Dec-2011	B41	01:41 PM  Sun 25-Dec-2011	01:24 PM  Sun 25-Dec-2011	C17
flightstats	UA-581-DEN-IAD	2011-12-25 8:28 AM	2011-12-25 8:23 AM		2011-12-25 1:41 PM	2011-12-25 1:24 PM	
quicktrip	UA-581-DEN-IAD	2011-12-25 8:28 AM	2011-12-25 8:23 AM		2011-12-25 1:41 PM	2011-12-25 1:24 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-25 8:28 AM	2011-12-25 8:23 AM		2011-12-25 1:41 PM	2011-12-25 1:24 PM	
flightview	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25	B41	1:41 PM, Dec 25	1:24 PM, Dec 25	C17
panynj	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25	B41	1:41 PM, Dec 25	1:24 PM, Dec 25	C17
gofox	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25		1:41 PM, Dec 25	1:24 PM, Dec 25	
foxbusiness	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25	B41	1:41 PM, Dec 25	1:24 PM, Dec 25	C17
allegiantair	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25	B41	1:41 PM, Dec 25	1:24 PM, Dec 25	C17
boston	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25		1:41 PM, Dec 25	1:18 PM, Dec 25	
travelocity	UA-581-DEN-IAD	Dec 25 - Not Available	Dec 25 - 8:34am	B41	Dec 25 - Not Available	Dec 25 - 1:24pm	C17
orbitz	UA-581-DEN-IAD	8:28aDec 25	8:23aDec 25	 B41	1:41pDec 25	1:24pDec 25	 C17
weather	UA-581-DEN-IAD	2011-12-25 08:28 AM	2011-12-25 08:35 AM		2011-12-25 01:41 PM	2011-12-25 01:17 PM	
iad	UA-581-DEN-IAD				2011-12-25 13:41 	2011-12-25 13:24 	
mytripandmore	UA-581-DEN-IAD	8:28aDec 25	8:23aDec 25	 B41	1:41pDec 25	1:24pDec 25	 C17
flightarrival	UA-581-DEN-IAD	8:28 AM, Dec 25	8:35 AM, Dec 25		1:41 PM, Dec 25	1:18 PM, Dec 25	
ua	UA-2451-TPA-CLT	Sun, Dec 25 11:55 AM	Sun, Dec 25 11:55 AM	F87	Sun, Dec 25 1:35 PM	Sun, Dec 25 1:23 PM	B6
airtravelcenter	UA-2451-TPA-CLT		12/25/11 12:03 PM (-05:00)			12/25/11 1:19 PM (-05:00)	
myrateplan	UA-2451-TPA-CLT		12/25/11 12:03 PM (-05:00)			12/25/11 1:19 PM (-05:00)	
helloflight	UA-2451-TPA-CLT		12/25/11 12:03 PM (-05:00)			12/25/11 1:19 PM (-05:00)	
flytecomm	UA-2451-TPA-CLT		12/25/11 12:03 PM (-05:00)			12/25/11 1:19 PM (-05:00)	
flights	UA-2451-TPA-CLT		2011-12-25 11:53 AM	F87		2011-12-25 01:23 PM	B6
businesstravellogue	UA-2451-TPA-CLT		2011-12-25 11:53 AM	F87		2011-12-25 01:23 PM	B6
flylouisville	UA-2451-TPA-CLT		2011-12-25 11:53 AM	F87		2011-12-25 01:23 PM	B6
flightview	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
panynj	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
gofox	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
foxbusiness	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
allegiantair	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
boston	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
travelocity	UA-2451-TPA-CLT	Dec 25 - 11:55am	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 1:35pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-2451-TPA-CLT	11:55aDec 25	11:53aDec 25	 -	1:35pDec 25	1:23pDec 25	 -
weather	UA-2451-TPA-CLT	2011-12-25 11:55 AM			2011-12-25 01:35 PM		
usatoday	UA-2451-TPA-CLT	2011-12-25 11:55 AM			2011-12-25 01:35 PM		
mytripandmore	UA-2451-TPA-CLT	11:55aDec 25	11:53aDec 25	 -	1:35pDec 25	1:23pDec 25	 -
flightarrival	UA-2451-TPA-CLT	11:55 AM, Dec 25	12:04 PM, Dec 25		1:35 PM, Dec 25	1:21 PM, Dec 25	
CO	CO-1240-IAH-SFO	Sun., Dec.25, 2011 4:10 p.m.	Sun., Dec.25, 2011 4:10 p.m.		Sun., Dec.25, 2011 6:38 p.m.	Sun., Dec.25, 2011 6:06 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/25/2011 4:10PM CST			12/25/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/25/11 4:10 PM (-06:00)			12/25/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/25/11 4:10 PM (-06:00)			12/25/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/25/11 4:10 PM (-06:00)			12/25/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/25/11 4:10 PM (-06:00)			12/25/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-25 04:10 PM		22	2011-12-25 06:38 PM		88
businesstravellogue	CO-1240-IAH-SFO	2011-12-25 04:10 PM		22	2011-12-25 06:38 PM		88
flylouisville	CO-1240-IAH-SFO	2011-12-25 04:10 PM		22	2011-12-25 06:38 PM		88
flightstats	CO-1240-IAH-SFO	2011-12-25 4:10 PM	2011-12-25 4:10 PM (Estimated)		2011-12-25 6:38 PM	2011-12-25 6:06 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-25 4:10 PM	2011-12-25 4:10 PM (Estimated)		2011-12-25 6:38 PM	2011-12-25 6:06 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 25			6:06 PMDec 25		
panynj	CO-1240-IAH-SFO	4:10 PMDec 25			6:06 PMDec 25		
gofox	CO-1240-IAH-SFO	4:10 PMDec 25			6:06 PMDec 25		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 25			6:06 PMDec 25		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 25			6:06 PMDec 25		
boston	CO-1240-IAH-SFO	4:10 PMDec 25			6:38 PMDec 25		
orbitz	CO-1240-IAH-SFO	4:10pDec 25		 22	5:34pDec 25		 88
ifly	CO-1240-IAH-SFO	2011-12-25 4:10 PM	2011-12-25 4:10 PM (Estimated)		2011-12-25 6:38 PM	2011-12-25 6:06 PM (Estimated)	
usatoday	CO-1240-IAH-SFO	4:10 PMDec 25			6:38 PMDec 25		
flightarrival	CO-1240-IAH-SFO	4:10 PMDec 25			6:38 PMDec 25		
ua	UA-2708-EWR-CLT	Sun, Dec 25 2:55 PM	Sun, Dec 25 2:55 PM	A37	Sun, Dec 25 4:53 PM	Sun, Dec 25 5:03 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/25/11 3:08 PM (-05:00)			12/25/11 4:41 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/25/11 3:08 PM (-05:00)			12/25/11 4:41 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/25/11 3:08 PM (-05:00)			12/25/11 4:41 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/25/11 3:08 PM (-05:00)			12/25/11 4:41 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-25 02:53 PM	37		2011-12-25 05:03 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-25 02:53 PM	37		2011-12-25 05:03 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-25 02:53 PM	37		2011-12-25 05:03 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-25 2:55 PM	2011-12-25 2:53 PM		2011-12-25 4:53 PM	2011-12-25 5:03 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-25 2:55 PM	2011-12-25 2:53 PM		2011-12-25 4:53 PM	2011-12-25 5:03 PM	
flightview	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
panynj	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
gofox	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
foxbusiness	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
allegiantair	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
boston	UA-2708-EWR-CLT		3:08 PMDec 25			4:40 PMDec 25	
travelocity	UA-2708-EWR-CLT	Dec 25 - 2:55pm	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 4:53pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 25	2:53pDec 25	 -	4:53pDec 25	5:03pDec 25	 -
weather	UA-2708-EWR-CLT	2011-12-25 02:55 PM			2011-12-25 04:53 PM		
