ua	UA-1534-RTB-IAH	Sat, Dec 3 2:05 PM	Sat, Dec 3 2:59 PM	--	Sat, Dec 3 5:01 PM	Sat, Dec 3 5:49 PM	E17
orbitz	UA-1411-EWR-BQN	8:25pDec 3	8:34pDec 3	 134	1:25aDec 4		 -
mytripandmore	UA-1411-EWR-BQN	8:25pDec 3	8:34pDec 3	 134	1:25aDec 4		 -
ua	UA-2708-EWR-CLT	Sat, Dec 3 2:55 PM	Sat, Dec 3 2:55 PM	A37	Sat, Dec 3 4:53 PM	Sat, Dec 3 4:29 PM	C12
airtravelcenter	UA-2708-EWR-CLT	12/3/11 2:55 PM (-05:00)			12/3/11 4:53 PM (-05:00)		
myrateplan	UA-2708-EWR-CLT	12/3/11 2:55 PM (-05:00)			12/3/11 4:53 PM (-05:00)		
helloflight	UA-2708-EWR-CLT	12/3/11 2:55 PM (-05:00)			12/3/11 4:53 PM (-05:00)		
flytecomm	UA-2708-EWR-CLT	12/3/11 2:55 PM (-05:00)			12/3/11 4:53 PM (-05:00)		
flights	UA-2708-EWR-CLT	02:55 PM  Sat 03-Dec-2011	02:49 PM  Sat 03-Dec-2011	37	04:53 PM  Sat 03-Dec-2011	04:29 PM  Sat 03-Dec-2011	C12
businesstravellogue	UA-2708-EWR-CLT	02:55 PM  Sat 03-Dec-2011	02:49 PM  Sat 03-Dec-2011	37	04:53 PM  Sat 03-Dec-2011	04:29 PM  Sat 03-Dec-2011	C12
flylouisville	UA-2708-EWR-CLT	02:55 PM  Sat 03-Dec-2011	02:49 PM  Sat 03-Dec-2011	37	04:53 PM  Sat 03-Dec-2011	04:29 PM  Sat 03-Dec-2011	C12
flightstats	UA-2708-EWR-CLT	2011-12-03 2:55 PM	2011-12-03 2:49 PM		2011-12-03 4:53 PM	2011-12-03 4:29 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-03 2:55 PM	2011-12-03 2:49 PM		2011-12-03 4:53 PM	2011-12-03 4:29 PM	
world-flight-tracker	UA-2708-EWR-CLT	2011-12-03 2:55 PM	2011-12-03 2:49 PM		2011-12-03 4:53 PM	2011-12-03 4:29 PM	
flightview	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
panynj	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
gofox	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
foxbusiness	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
allegiantair	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
boston	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
travelocity	UA-2708-EWR-CLT	Dec 03 - 2:55pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 4:53pm	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 3	2:49pDec 3	 -	4:53pDec 3	4:29pDec 3	 -
weather	UA-2708-EWR-CLT	2011-12-03 02:55 PM			2011-12-03 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-03 2:55 PM	2011-12-03 2:49 PM		2011-12-03 4:53 PM	2011-12-03 4:29 PM	
usatoday	UA-2708-EWR-CLT	2011-12-03 2:55 PM	2011-12-03 2:49 PM		2011-12-03 4:53 PM	2011-12-03 4:29 PM	
flightarrival	UA-2708-EWR-CLT	2:55 PM, Dec 03	3:05 PM, Dec 03		4:53 PM, Dec 03	4:20 PM, Dec 03	
ua	UA-235-MCO-IAD	Sat, Dec 3 1:24 PM	Sat, Dec 3 1:21 PM	42	Sat, Dec 3 3:33 PM	Sat, Dec 3 3:18 PM	D26
flightexplorer	UA-235-MCO-IAD		12/3/2011 1:30PM EST			12/3/2011 3:11PM EST	
airtravelcenter	UA-235-MCO-IAD		12/3/11 1:31 PM (-05:00)			12/3/11 3:18 PM (-05:00)	
myrateplan	UA-235-MCO-IAD		12/3/11 1:31 PM (-05:00)			12/3/11 3:18 PM (-05:00)	
helloflight	UA-235-MCO-IAD		12/3/11 1:31 PM (-05:00)			12/3/11 3:18 PM (-05:00)	
flytecomm	UA-235-MCO-IAD		12/3/11 1:31 PM (-05:00)			12/3/11 3:18 PM (-05:00)	
flights	UA-235-MCO-IAD		2011-12-03 01:21 PM	42		2011-12-03 03:18 PM	D26
businesstravellogue	UA-235-MCO-IAD		2011-12-03 01:21 PM	42		2011-12-03 03:18 PM	D26
flylouisville	UA-235-MCO-IAD		2011-12-03 01:21 PM	42		2011-12-03 03:18 PM	D26
flightview	UA-235-MCO-IAD		1:31 PMDec 03			3:18 PMDec 03	
panynj	UA-235-MCO-IAD		1:31 PMDec 03			3:18 PMDec 03	
gofox	UA-235-MCO-IAD		1:31 PMDec 03			3:18 PMDec 03	
foxbusiness	UA-235-MCO-IAD		1:31 PMDec 03			3:18 PMDec 03	
allegiantair	UA-235-MCO-IAD		1:31 PMDec 03			3:18 PMDec 03	
boston	UA-235-MCO-IAD		1:31 PMDec 03			3:17 PMDec 03	
travelocity	UA-235-MCO-IAD	Dec 03 - Not Available	Dec 03 - 1:30pm	42	Dec 03 - Not Available	Dec 03 - 3:18pm	D26
orbitz	UA-235-MCO-IAD	1:24pDec 3	1:21pDec 3	 42	3:33pDec 3	3:18pDec 3	 D26
weather	UA-235-MCO-IAD	2011-12-03 01:24 PM			2011-12-03 03:33 PM		
iad	UA-235-MCO-IAD				2011-12-03 15:33 	2011-12-03 15:27 	
mco	UA-235-MCO-IAD	2011-12-03 Sat  13:24		42?			
usatoday	UA-235-MCO-IAD	2011-12-03 01:24 PM			2011-12-03 03:33 PM		
flightarrival	UA-235-MCO-IAD	2011-12-03 01:24 PM			2011-12-03 03:33 PM		
CO	CO-53-LAX-IAH	Sat., Dec.03, 2011 2:40 p.m.	Sat., Dec.03, 2011 2:31 p.m.		Sat., Dec.03, 2011 7:48 p.m.	Sat., Dec.03, 2011 7:34 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/3/11 2:40 PM (-08:00)			12/3/11 7:48 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/3/11 2:40 PM (-08:00)			12/3/11 7:48 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/3/11 2:40 PM (-08:00)			12/3/11 7:48 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/3/11 2:40 PM (-08:00)			12/3/11 7:48 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-03 02:31 PM	62		2011-12-03 07:34 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-03 02:31 PM	62		2011-12-03 07:34 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-03 02:31 PM	62		2011-12-03 07:34 PM	43
flightstats	CO-53-LAX-IAH	2011-12-03 2:40 PM	2011-12-03 2:31 PM		2011-12-03 7:48 PM	2011-12-03 7:34 PM	
quicktrip	CO-53-LAX-IAH	2011-12-03 2:40 PM	2011-12-03 2:31 PM		2011-12-03 7:48 PM	2011-12-03 7:34 PM	
flightview	CO-53-LAX-IAH		2:43 PMDec 03			7:34 PMDec 03	
panynj	CO-53-LAX-IAH		2:43 PMDec 03			7:34 PMDec 03	
gofox	CO-53-LAX-IAH		2:43 PMDec 03			7:34 PMDec 03	
foxbusiness	CO-53-LAX-IAH		2:43 PMDec 03			7:34 PMDec 03	
allegiantair	CO-53-LAX-IAH		2:43 PMDec 03			7:34 PMDec 03	
boston	CO-53-LAX-IAH		2:43 PMDec 03			7:25 PMDec 03	
travelocity	CO-53-LAX-IAH	Dec 03 - 2:40pm	Dec 03 - 2:31pm	62	Dec 03 - 7:48pm	Dec 03 - 7:34pm	C-43
orbitz	CO-53-LAX-IAH	2:40pDec 3	2:31pDec 3	 62	7:48pDec 3	7:34pDec 3	 43
weather	CO-53-LAX-IAH	2011-12-03 02:40 PM			2011-12-03 07:48 PM		
usatoday	CO-53-LAX-IAH		2:43 PMDec 03			7:25 PMDec 03	
mytripandmore	CO-53-LAX-IAH	2:40pDec 3	2:31pDec 3	 62	7:48pDec 3	7:34pDec 3	 43
flightarrival	CO-53-LAX-IAH	2011-12-03 02:40 PM			2011-12-03 07:48 PM		
CO	CO-1030-DEN-IAH	Sat., Dec.03, 2011 2:15 p.m.	Sat., Dec.03, 2011 2:34 p.m.		Sat., Dec.03, 2011 5:32 p.m.	Sat., Dec.03, 2011 6:01 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/3/2011 2:43PM MST			12/3/2011 5:39PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/3/11 2:15 PM (-07:00)			12/3/11 5:32 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/3/11 2:15 PM (-07:00)			12/3/11 5:32 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/3/11 2:15 PM (-07:00)			12/3/11 5:32 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/3/11 2:15 PM (-07:00)			12/3/11 5:32 PM (-06:00)		
flightaware	CO-1030-DEN-IAH	2011-12-03 02:15PM MST	2011-12-03 02:45PM MST	 B20 	2011-12-03 05:22PM CST	2011-12-03 05:40PM CST	 43 
wunderground	CO-1030-DEN-IAH	2011-12-03 02:15PM MST	2011-12-03 02:45PM MST	 B20 	2011-12-03 05:22PM CST	2011-12-03 05:40PM CST	 43 
flights	CO-1030-DEN-IAH	02:15 PM  Sat 03-Dec-2011	02:34 PM  Sat 03-Dec-2011	B20	05:32 PM  Sat 03-Dec-2011	06:01 PM  Sat 03-Dec-2011	43
businesstravellogue	CO-1030-DEN-IAH	02:15 PM  Sat 03-Dec-2011	02:34 PM  Sat 03-Dec-2011	B20	05:32 PM  Sat 03-Dec-2011	06:01 PM  Sat 03-Dec-2011	43
flylouisville	CO-1030-DEN-IAH	02:15 PM  Sat 03-Dec-2011	02:34 PM  Sat 03-Dec-2011	B20	05:32 PM  Sat 03-Dec-2011	06:01 PM  Sat 03-Dec-2011	43
flightstats	CO-1030-DEN-IAH	2011-12-03 2:15 PM	2011-12-03 2:34 PM		2011-12-03 5:32 PM	2011-12-03 6:01 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-03 2:15 PM	2011-12-03 2:34 PM		2011-12-03 5:32 PM	2011-12-03 6:01 PM	
world-flight-tracker	CO-1030-DEN-IAH	2011-12-03 2:15 PM	2011-12-03 2:34 PM		2011-12-03 5:32 PM	2011-12-03 6:01 PM	
flightview	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03	Terminal Conc B - B20	5:32 PM, Dec 03	6:01 PM, Dec 03	Term C - C43
panynj	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03	Terminal Conc B - B20	5:32 PM, Dec 03	6:01 PM, Dec 03	Term C - C43
gofox	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03		5:32 PM, Dec 03	6:01 PM, Dec 03	
foxbusiness	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03	Terminal Conc B - B20	5:32 PM, Dec 03	6:01 PM, Dec 03	Term C - C43
allegiantair	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03	Terminal Conc B - B20	5:32 PM, Dec 03	6:01 PM, Dec 03	Term C - C43
boston	CO-1030-DEN-IAH	2:15 PM, Dec 03	2:45 PM, Dec 03		5:32 PM, Dec 03	5:41 PM, Dec 03	
travelocity	CO-1030-DEN-IAH	Dec 03 - 2:15pm	Dec 03 - 2:34pm	B20	Dec 03 - 5:32pm	Dec 03 - 6:01pm	C-43
orbitz	CO-1030-DEN-IAH	2:15pDec 3	2:34pDec 3	 B20	5:32pDec 3	6:01pDec 3	 C-43
weather	CO-1030-DEN-IAH	2011-12-03 02:15 PM			2011-12-03 05:32 PM		
den	CO-1030-DEN-IAH	2011-12-03 2:15 PM		B20			
usatoday	CO-1030-DEN-IAH	2011-12-03 02:15 PM			2011-12-03 05:32 PM		
mytripandmore	CO-1030-DEN-IAH	2:15pDec 3	2:34pDec 3	 B20	5:32pDec 3	6:01pDec 3	 C-43
flightwise	CO-1030-DEN-IAH	2011-12-03 02:15PM MST	2011-12-03 02:45PM MST	 B20 	2011-12-03 05:22PM CST	2011-12-03 05:40PM CST	 43 
flightarrival	CO-1030-DEN-IAH	2011-12-03 02:15 PM			2011-12-03 05:32 PM		
ua	UA-6449-BFL-LAX	Sat, Dec 3 9:12 AM	Sat, Dec 3 10:05 AM	--	Sat, Dec 3 10:05 AM	Sat, Dec 3 10:54 AM	71B
airtravelcenter	UA-6449-BFL-LAX		12/3/11 10:19 AM (-08:00)			12/3/11 10:43 AM (-08:00)	
myrateplan	UA-6449-BFL-LAX		12/3/11 10:19 AM (-08:00)			12/3/11 10:43 AM (-08:00)	
helloflight	UA-6449-BFL-LAX		12/3/11 10:19 AM (-08:00)			12/3/11 10:43 AM (-08:00)	
flytecomm	UA-6449-BFL-LAX		12/3/11 10:19 AM (-08:00)			12/3/11 10:43 AM (-08:00)	
flights	UA-6449-BFL-LAX		2011-12-03 10:05 AM			2011-12-03 10:54 AM	71B
businesstravellogue	UA-6449-BFL-LAX		2011-12-03 10:05 AM			2011-12-03 10:54 AM	71B
flylouisville	UA-6449-BFL-LAX		2011-12-03 10:05 AM			2011-12-03 10:54 AM	71B
flightview	UA-6449-BFL-LAX		10:19 AMDec 03			10:54 AMDec 03	
panynj	UA-6449-BFL-LAX		10:19 AMDec 03			10:54 AMDec 03	
gofox	UA-6449-BFL-LAX		10:19 AMDec 03			10:54 AMDec 03	
foxbusiness	UA-6449-BFL-LAX		10:19 AMDec 03			10:54 AMDec 03	
allegiantair	UA-6449-BFL-LAX		10:19 AMDec 03			10:54 AMDec 03	
boston	UA-6449-BFL-LAX		10:19 AMDec 03			10:47 AMDec 03	
travelocity	UA-6449-BFL-LAX	Dec 03 - Not Available	Dec 03 - 10:18am	CHK	Dec 03 - Not Available	Dec 03 - 10:54am	71B
orbitz	UA-6449-BFL-LAX	9:12aDec 3	10:05aDec 3	 -	10:05aDec 3	10:54aDec 3	 71B
flightarrival	UA-6449-BFL-LAX		10:19 AMDec 03			10:47 AMDec 03	
aa	AA-185-JFK-LAX	12/03/2011 09:00 PM		46	12/04/2011 12:23 AM		47B
flightexplorer	AA-185-JFK-LAX		12/2/2011 9:33PM EST			12/3/2011 12:45AM PST	
flightexplorer	AA-185-JFK-LAX	12/3/2011 9:00PM EST			12/4/2011 12:23AM PST		
airtravelcenter	AA-185-JFK-LAX		12/3/11 9:04 PM (-05:00)			12/3/11 11:52 PM (-08:00)	
myrateplan	AA-185-JFK-LAX		12/3/11 9:04 PM (-05:00)			12/3/11 11:52 PM (-08:00)	
helloflight	AA-185-JFK-LAX		12/3/11 9:04 PM (-05:00)			12/3/11 11:52 PM (-08:00)	
flytecomm	AA-185-JFK-LAX		12/3/11 9:04 PM (-05:00)			12/3/11 11:52 PM (-08:00)	
flightaware	AA-185-JFK-LAX	2011-12-03 09:00PM EST	2011-12-03 09:04PM EST		2011-12-03 11:48PM PST	2011-12-03 11:52PM PST	
