CO	CO-4237-EWR-DTW	Thu., Dec.29, 2011 12:17 p.m.	Thu., Dec.29, 2011 12:21 p.m.		Thu., Dec.29, 2011 2:24 p.m.	Thu., Dec.29, 2011 2:19 p.m.	
flightview	CO-4284-EWR-SDF		4:46 PMDec 29			6:43 PMDec 29	
panynj	CO-4284-EWR-SDF		4:46 PMDec 29			6:43 PMDec 29	
gofox	CO-4284-EWR-SDF		4:46 PMDec 29			6:43 PMDec 29	
foxbusiness	CO-4284-EWR-SDF		4:46 PMDec 29			6:43 PMDec 29	
allegiantair	CO-4284-EWR-SDF		4:46 PMDec 29			6:43 PMDec 29	
boston	CO-4284-EWR-SDF		4:46 PMDec 29			6:38 PMDec 29	
orbitz	CO-4284-EWR-SDF	4:00pDec 29	4:25pDec 29	 -	6:23pDec 29	6:43pDec 29	 -
weather	CO-4284-EWR-SDF	2011-12-29 04:00 PM			2011-12-29 06:23 PM		
mytripandmore	CO-4284-EWR-SDF	4:00pDec 29	4:25pDec 29	 -	6:23pDec 29	6:43pDec 29	 -
flightarrival	CO-4284-EWR-SDF	2011-12-29 4:00 PM	2011-12-29 4:25 PM		2011-12-29 6:23 PM	2011-12-29 6:43 PM	
ua	UA-2706-EWR-CLT	Thu, Dec 29 6:29 PM	Thu, Dec 29 6:29 PM	A38	Thu, Dec 29 8:33 PM	Thu, Dec 29 8:16 PM	C2
airtravelcenter	UA-2706-EWR-CLT		12/29/11 6:34 PM (-05:00)			12/29/11 7:58 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/29/11 6:34 PM (-05:00)			12/29/11 7:58 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/29/11 6:34 PM (-05:00)			12/29/11 7:58 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/29/11 6:34 PM (-05:00)			12/29/11 7:58 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-29 06:29PM EST	2011-12-29 06:34PM EST		2011-12-29 08:23PM EST	2011-12-29 07:55PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-29 06:29PM EST	2011-12-29 06:34PM EST		2011-12-29 08:23PM EST	2011-12-29 07:55PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Thu 29-Dec-2011	06:16 PM  Thu 29-Dec-2011	38	08:33 PM  Thu 29-Dec-2011	08:16 PM  Thu 29-Dec-2011	C2
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Thu 29-Dec-2011	06:16 PM  Thu 29-Dec-2011	38	08:33 PM  Thu 29-Dec-2011	08:16 PM  Thu 29-Dec-2011	C2
flylouisville	UA-2706-EWR-CLT	06:29 PM  Thu 29-Dec-2011	06:16 PM  Thu 29-Dec-2011	38	08:33 PM  Thu 29-Dec-2011	08:16 PM  Thu 29-Dec-2011	C2
flightstats	UA-2706-EWR-CLT	2011-12-29 6:29 PM	2011-12-29 6:16 PM		2011-12-29 8:33 PM	2011-12-29 8:16 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-29 6:29 PM	2011-12-29 6:16 PM		2011-12-29 8:33 PM	2011-12-29 8:16 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-29 6:29 PM	2011-12-29 6:16 PM		2011-12-29 8:33 PM	2011-12-29 8:16 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 29	6:34 PM, Dec 29		8:33 PM, Dec 29	7:59 PM, Dec 29	
travelocity	UA-2706-EWR-CLT	Dec 29 - 6:29pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 8:33pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 29	6:16pDec 29	 -	8:33pDec 29	8:16pDec 29	 -
weather	UA-2706-EWR-CLT	2011-12-29 06:29 PM			2011-12-29 08:33 PM		
usatoday	UA-2706-EWR-CLT	2011-12-29 06:29 PM			2011-12-29 08:33 PM		
CO	CO-1240-IAH-SFO	Thu., Dec.29, 2011 4:10 p.m.	Thu., Dec.29, 2011 4:10 p.m.		Thu., Dec.29, 2011 6:38 p.m.	Thu., Dec.29, 2011 6:14 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/29/2011 4:10PM CST			12/29/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/29/11 4:10 PM (-06:00)			12/29/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/29/11 4:10 PM (-06:00)			12/29/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/29/11 4:10 PM (-06:00)			12/29/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/29/11 4:10 PM (-06:00)			12/29/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-29 04:10 PM		29	2011-12-29 06:38 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-29 04:10 PM		29	2011-12-29 06:38 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-29 04:10 PM		29	2011-12-29 06:38 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-29 4:10 PM	2011-12-29 4:10 PM (Estimated)		2011-12-29 6:38 PM	2011-12-29 6:14 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-29 4:10 PM	2011-12-29 4:10 PM (Estimated)		2011-12-29 6:38 PM	2011-12-29 6:14 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 29			6:14 PMDec 29		
panynj	CO-1240-IAH-SFO	4:10 PMDec 29			6:14 PMDec 29		
gofox	CO-1240-IAH-SFO	4:10 PMDec 29			6:14 PMDec 29		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 29			6:14 PMDec 29		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 29			6:14 PMDec 29		
boston	CO-1240-IAH-SFO	4:10 PMDec 29			6:38 PMDec 29		
orbitz	CO-1240-IAH-SFO	4:10pDec 29		 29	5:50pDec 29		 89
usatoday	CO-1240-IAH-SFO	4:10 PMDec 29			6:38 PMDec 29		
mytripandmore	CO-1240-IAH-SFO	4:10pDec 29		 29	5:50pDec 29		 89
flightarrival	CO-1240-IAH-SFO	2011-12-29 4:10 PM	2011-12-29 4:10 PM (Estimated)		2011-12-29 6:38 PM	2011-12-29 6:14 PM (Estimated)	
ua	UA-6344-ABQ-LAX	Thu, Dec 29 8:46 PM	Thu, Dec 29 8:41 PM	--	Thu, Dec 29 9:53 PM	Thu, Dec 29 9:45 PM	88
flightexplorer	UA-6344-ABQ-LAX		12/29/2011 9:10PM MST			12/29/2011 9:39PM PST	
airtravelcenter	UA-6344-ABQ-LAX	12/29/11 8:46 PM (-07:00)			12/29/11 9:53 PM (-08:00)		
myrateplan	UA-6344-ABQ-LAX	12/29/11 8:46 PM (-07:00)			12/29/11 9:53 PM (-08:00)		
helloflight	UA-6344-ABQ-LAX	12/29/11 8:46 PM (-07:00)			12/29/11 9:53 PM (-08:00)		
flytecomm	UA-6344-ABQ-LAX	12/29/11 8:46 PM (-07:00)			12/29/11 9:53 PM (-08:00)		
flightaware	UA-6344-ABQ-LAX	2011-12-29 08:46PM MST	2011-12-29 09:10PM MST		2011-12-29 09:21PM PST	2011-12-29 09:39PM PST	 88 
wunderground	UA-6344-ABQ-LAX	2011-12-29 08:46PM MST	2011-12-29 09:10PM MST		2011-12-29 09:21PM PST	2011-12-29 09:39PM PST	 88 
flights	UA-6344-ABQ-LAX		2011-12-29 08:41 PM			2011-12-29 09:53 PM	88
businesstravellogue	UA-6344-ABQ-LAX		2011-12-29 08:41 PM			2011-12-29 09:53 PM	88
flylouisville	UA-6344-ABQ-LAX		2011-12-29 08:41 PM			2011-12-29 09:53 PM	88
flightview	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
panynj	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
gofox	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
foxbusiness	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
allegiantair	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
boston	UA-6344-ABQ-LAX		9:10 PMDec 29			9:39 PMDec 29	
travelocity	UA-6344-ABQ-LAX	Dec 29 - Not Available	Dec 29 - 9:10pm	CHK	Dec 29 - Not Available	Dec 29 - 9:45pm*	88
orbitz	UA-6344-ABQ-LAX	8:46pDec 29	8:41pDec 29	 -	9:37pDec 29		 88
weather	UA-6344-ABQ-LAX	2011-12-29 08:46 PM			2011-12-29 09:53 PM		
ua	UA-1974-CVG-CLT	Thu, Dec 29 7:59 PM	Thu, Dec 29 7:59 PM	7	Thu, Dec 29 9:25 PM	Thu, Dec 29 9:06 PM	E22
airtravelcenter	UA-1974-CVG-CLT		12/29/11 8:05 PM (-05:00)			12/29/11 8:55 PM (-05:00)	
myrateplan	UA-1974-CVG-CLT		12/29/11 8:05 PM (-05:00)			12/29/11 8:55 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		12/29/11 8:05 PM (-05:00)			12/29/11 8:55 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		12/29/11 8:05 PM (-05:00)			12/29/11 8:55 PM (-05:00)	
flights	UA-1974-CVG-CLT		2011-12-29 07:51 PM	7		2011-12-29 09:06 PM	E22
businesstravellogue	UA-1974-CVG-CLT		2011-12-29 07:51 PM	7		2011-12-29 09:06 PM	E22
flylouisville	UA-1974-CVG-CLT		2011-12-29 07:51 PM	7		2011-12-29 09:06 PM	E22
flightstats	UA-1974-CVG-CLT	2011-12-29 7:59 PM	2011-12-29 7:51 PM		2011-12-29 9:25 PM	2011-12-29 9:06 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-29 7:59 PM	2011-12-29 7:51 PM		2011-12-29 9:25 PM	2011-12-29 9:06 PM	
flightview	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
panynj	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
gofox	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
foxbusiness	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
allegiantair	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
boston	UA-1974-CVG-CLT		8:05 PMDec 29			8:53 PMDec 29	
travelocity	UA-1974-CVG-CLT	Dec 29 - 7:59pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 9:25pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 29	7:51pDec 29	 -	9:25pDec 29	9:06pDec 29	 -
weather	UA-1974-CVG-CLT	2011-12-29 07:59 PM			2011-12-29 09:25 PM		
ifly	UA-1974-CVG-CLT	2011-12-29 7:59 PM	2011-12-29 7:51 PM		2011-12-29 9:25 PM	2011-12-29 9:06 PM	
mytripandmore	UA-1974-CVG-CLT	7:59pDec 29	7:51pDec 29	 -	9:25pDec 29	9:06pDec 29	 -
flightarrival	UA-1974-CVG-CLT	2011-12-29 7:59 PM	2011-12-29 7:51 PM		2011-12-29 9:25 PM	2011-12-29 9:06 PM	
ua	UA-2708-EWR-CLT	Thu, Dec 29 2:55 PM	Thu, Dec 29 2:55 PM	A37	Thu, Dec 29 4:53 PM	Thu, Dec 29 4:37 PM	C7
airtravelcenter	UA-2708-EWR-CLT		12/29/11 3:07 PM (-05:00)			12/29/11 4:32 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/29/11 3:07 PM (-05:00)			12/29/11 4:32 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/29/11 3:07 PM (-05:00)			12/29/11 4:32 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/29/11 3:07 PM (-05:00)			12/29/11 4:32 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-29 02:54 PM	37		2011-12-29 04:37 PM	C7
businesstravellogue	UA-2708-EWR-CLT		2011-12-29 02:54 PM	37		2011-12-29 04:37 PM	C7
flylouisville	UA-2708-EWR-CLT		2011-12-29 02:54 PM	37		2011-12-29 04:37 PM	C7
flightstats	UA-2708-EWR-CLT	2011-12-29 2:55 PM	2011-12-29 2:54 PM		2011-12-29 4:53 PM	2011-12-29 4:37 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-29 2:55 PM	2011-12-29 2:54 PM		2011-12-29 4:53 PM	2011-12-29 4:37 PM	
flightview	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
panynj	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
gofox	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
foxbusiness	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
allegiantair	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
boston	UA-2708-EWR-CLT		3:07 PMDec 29			4:34 PMDec 29	
travelocity	UA-2708-EWR-CLT	Dec 29 - 2:55pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 4:53pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 29	2:54pDec 29	 -	4:53pDec 29	4:37pDec 29	 -
weather	UA-2708-EWR-CLT	2011-12-29 02:55 PM			2011-12-29 04:53 PM		
usatoday	UA-2708-EWR-CLT	2011-12-29 02:55 PM			2011-12-29 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 29	2:54pDec 29	 -	4:53pDec 29	4:37pDec 29	 -
CO	CO-53-LAX-IAH	Thu., Dec.29, 2011 2:45 p.m.	Thu., Dec.29, 2011 2:42 p.m.		Thu., Dec.29, 2011 7:56 p.m.	Thu., Dec.29, 2011 7:51 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/29/11 2:45 PM (-08:00)			12/29/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/29/11 2:45 PM (-08:00)			12/29/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/29/11 2:45 PM (-08:00)			12/29/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/29/11 2:45 PM (-08:00)			12/29/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-29 02:42 PM	60		2011-12-29 07:51 PM	44
businesstravellogue	CO-53-LAX-IAH		2011-12-29 02:42 PM	60		2011-12-29 07:51 PM	44
flylouisville	CO-53-LAX-IAH		2011-12-29 02:42 PM	60		2011-12-29 07:51 PM	44
flightstats	CO-53-LAX-IAH	2011-12-29 2:45 PM	2011-12-29 2:42 PM		2011-12-29 7:56 PM	2011-12-29 7:51 PM	
quicktrip	CO-53-LAX-IAH	2011-12-29 2:45 PM	2011-12-29 2:42 PM		2011-12-29 7:56 PM	2011-12-29 7:51 PM	
flightview	CO-53-LAX-IAH		2:56 PMDec 29			7:51 PMDec 29	
panynj	CO-53-LAX-IAH		2:56 PMDec 29			7:51 PMDec 29	
gofox	CO-53-LAX-IAH		2:56 PMDec 29			7:51 PMDec 29	
foxbusiness	CO-53-LAX-IAH		2:56 PMDec 29			7:51 PMDec 29	
allegiantair	CO-53-LAX-IAH		2:56 PMDec 29			7:51 PMDec 29	
boston	CO-53-LAX-IAH		2:56 PMDec 29			7:46 PMDec 29	
travelocity	CO-53-LAX-IAH	Dec 29 - 2:45pm	Dec 29 - 2:42pm	60	Dec 29 - 7:56pm	Dec 29 - 7:51pm	C-44
orbitz	CO-53-LAX-IAH	2:45pDec 29	2:42pDec 29	 60	7:56pDec 29	7:51pDec 29	 44
weather	CO-53-LAX-IAH	2011-12-29 02:45 PM			2011-12-29 07:56 PM		
usatoday	CO-53-LAX-IAH	2011-12-29 02:45 PM			2011-12-29 07:56 PM		
mytripandmore	CO-53-LAX-IAH	2:45pDec 29	2:42pDec 29	 60	7:56pDec 29	7:51pDec 29	 44
flightarrival	CO-53-LAX-IAH		2:56 PMDec 29			7:46 PMDec 29	
CO	CO-1030-DEN-IAH	Thu., Dec.29, 2011 2:25 p.m.	Thu., Dec.29, 2011 2:29 p.m.		Thu., Dec.29, 2011 5:51 p.m.	Thu., Dec.29, 2011 5:36 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/29/11 2:25 PM (-07:00)			12/29/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/29/11 2:25 PM (-07:00)			12/29/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/29/11 2:25 PM (-07:00)			12/29/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/29/11 2:25 PM (-07:00)			12/29/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-29 02:29 PM	B18		2011-12-29 05:36 PM	41
businesstravellogue	CO-1030-DEN-IAH		2011-12-29 02:29 PM	B18		2011-12-29 05:36 PM	41
flylouisville	CO-1030-DEN-IAH		2011-12-29 02:29 PM	B18		2011-12-29 05:36 PM	41
flightstats	CO-1030-DEN-IAH	2011-12-29 2:25 PM	2011-12-29 2:29 PM		2011-12-29 5:51 PM	2011-12-29 5:36 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-29 2:25 PM	2011-12-29 2:29 PM		2011-12-29 5:51 PM	2011-12-29 5:36 PM	
flightview	CO-1030-DEN-IAH		2:41 PMDec 29			5:36 PMDec 29	
panynj	CO-1030-DEN-IAH		2:41 PMDec 29			5:36 PMDec 29	
