CO	CO-4237-EWR-DTW	Tue., Dec.20, 2011 12:17 p.m.	Tue., Dec.20, 2011 12:12 p.m.		Tue., Dec.20, 2011 2:24 p.m.	Tue., Dec.20, 2011 2:24 p.m.	
helloflight	AA-1007-TPA-MIA		12/20/11 2:06 PM (-05:00)			12/20/11 2:47 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/20/11 2:06 PM (-05:00)			12/20/11 2:47 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-20 01:50 PM	F78		2011-12-20 02:55 PM	D3
businesstravellogue	AA-1007-TPA-MIA		2011-12-20 01:50 PM	F78		2011-12-20 02:55 PM	D3
flylouisville	AA-1007-TPA-MIA		2011-12-20 01:50 PM	F78		2011-12-20 02:55 PM	D3
flightview	AA-1007-TPA-MIA		2:07 PMDec 20			2:55 PMDec 20	
panynj	AA-1007-TPA-MIA		2:07 PMDec 20			2:55 PMDec 20	
gofox	AA-1007-TPA-MIA		2:07 PMDec 20			2:55 PMDec 20	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 20			2:55 PMDec 20	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 20			2:55 PMDec 20	
boston	AA-1007-TPA-MIA		2:07 PMDec 20			2:45 PMDec 20	
travelocity	AA-1007-TPA-MIA	Dec 20 - 1:55pm	Dec 20 - 1:50pm	F78	Dec 20 - 3:00pm	Dec 20 - 2:55pm	D3
orbitz	AA-1007-TPA-MIA	1:55pDec 20	1:50pDec 20	 F78	3:00pDec 20	2:55pDec 20	 D3
weather	AA-1007-TPA-MIA	2011-12-20 01:55 PM			2011-12-20 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-20-11	2011-12-20  2:55P	
usatoday	AA-1007-TPA-MIA	2011-12-20 01:55 PM			2011-12-20 03:00 PM		
aa	AA-1518-DFW-SDF	December 20, 2011               12:10 PM    	December 20, 2011               12:07 PM    	 A17	December 20, 2011               03:10 PM    	December 20, 2011               02:56 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/20/2011 12:20PM CST			12/20/2011 2:53PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/20/11 12:19 PM (-06:00)			12/20/11 2:53 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/20/11 12:19 PM (-06:00)			12/20/11 2:53 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/20/11 12:19 PM (-06:00)			12/20/11 2:53 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/20/11 12:19 PM (-06:00)			12/20/11 2:53 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-20 12:10PM CST	2011-12-20 12:20PM CST	 A17 	2011-12-20 02:51PM EST	2011-12-20 02:50PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-20 12:10PM CST	2011-12-20 12:20PM CST	 A17 	2011-12-20 02:51PM EST	2011-12-20 02:50PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Tue 20-Dec-2011	12:07 PM  Tue 20-Dec-2011	A17	03:10 PM  Tue 20-Dec-2011	02:56 PM  Tue 20-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Tue 20-Dec-2011	12:07 PM  Tue 20-Dec-2011	A17	03:10 PM  Tue 20-Dec-2011	02:56 PM  Tue 20-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Tue 20-Dec-2011	12:07 PM  Tue 20-Dec-2011	A17	03:10 PM  Tue 20-Dec-2011	02:56 PM  Tue 20-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-20 12:10 PM	2011-12-20 12:07 PM		2011-12-20 3:10 PM	2011-12-20 2:56 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-20 12:10 PM	2011-12-20 12:07 PM		2011-12-20 3:10 PM	2011-12-20 2:56 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-20 12:10 PM	2011-12-20 12:07 PM		2011-12-20 3:10 PM	2011-12-20 2:56 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
travelocity	AA-1518-DFW-SDF	Dec 20 - 12:10pm	Dec 20 - 12:07pm	A17/A	Dec 20 - 3:10pm	Dec 20 - 2:56pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 20	12:07pDec 20	 A17	3:10pDec 20	2:56pDec 20	 A15
weather	AA-1518-DFW-SDF	2011-12-20 12:10 PM			2011-12-20 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-20 12:10 pm		A17			
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
mytripandmore	AA-1518-DFW-SDF	Dec 20 - 12:10pm	Dec 20 - 12:07pm	A17/A	Dec 20 - 3:10pm	Dec 20 - 2:56pm	A15
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 20	12:20 PM, Dec 20		3:10 PM, Dec 20	2:50 PM, Dec 20	
CO	CO-4284-EWR-SDF	Tue., Dec.20, 2011 3:50 p.m.	Tue., Dec.20, 2011 3:43 p.m.		Tue., Dec.20, 2011 6:13 p.m.	Tue., Dec.20, 2011 5:57 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/20/11 3:50 PM (-05:00)			12/20/11 6:13 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/20/11 3:50 PM (-05:00)			12/20/11 6:13 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/20/11 3:50 PM (-05:00)			12/20/11 6:13 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/20/11 3:50 PM (-05:00)			12/20/11 6:13 PM (-05:00)		
flightaware	CO-4284-EWR-SDF	2011-12-20 03:50PM EST	2011-12-20 03:59PM EST		2011-12-20 06:10PM EST	2011-12-20 05:52PM EST	
wunderground	CO-4284-EWR-SDF	2011-12-20 03:50PM EST	2011-12-20 03:59PM EST		2011-12-20 06:10PM EST	2011-12-20 05:52PM EST	
flights	CO-4284-EWR-SDF		2011-12-20 03:43 PM	20		2011-12-20 05:57 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-20 03:43 PM	20		2011-12-20 05:57 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-20 03:43 PM	20		2011-12-20 05:57 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-20 3:50 PM	2011-12-20 3:43 PM		2011-12-20 6:13 PM	2011-12-20 5:57 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-20 3:50 PM	2011-12-20 3:43 PM		2011-12-20 6:13 PM	2011-12-20 5:57 PM	
flightview	CO-4284-EWR-SDF		4:00 PMDec 20			5:57 PMDec 20	
panynj	CO-4284-EWR-SDF		4:00 PMDec 20			5:57 PMDec 20	
gofox	CO-4284-EWR-SDF		4:00 PMDec 20			5:57 PMDec 20	
foxbusiness	CO-4284-EWR-SDF		4:00 PMDec 20			5:57 PMDec 20	
allegiantair	CO-4284-EWR-SDF		4:00 PMDec 20			5:57 PMDec 20	
boston	CO-4284-EWR-SDF		4:00 PMDec 20			5:52 PMDec 20	
orbitz	CO-4284-EWR-SDF	3:50pDec 20	3:43pDec 20	 -	6:13pDec 20	5:57pDec 20	 -
weather	CO-4284-EWR-SDF	2011-12-20 03:50 PM			2011-12-20 06:13 PM		
usatoday	CO-4284-EWR-SDF	2011-12-20 03:50 PM			2011-12-20 06:13 PM		
flightwise	CO-4284-EWR-SDF	2011-12-20 03:50PM EST	2011-12-20 03:59PM EST		2011-12-20 06:10PM EST	2011-12-20 05:52PM EST	
ua	UA-3750-ORD-DFW	Tue, Dec 20 2:55 PM	Tue, Dec 20 4:31 PM	C31	Tue, Dec 20 5:26 PM	Tue, Dec 20 6:52 PM	E4
flightexplorer	UA-3750-ORD-DFW		12/20/2011 4:49PM CST			12/20/2011 6:43PM CST	
airtravelcenter	UA-3750-ORD-DFW		12/20/11 4:48 PM (-06:00)			12/20/11 6:46 PM (-06:00)	
myrateplan	UA-3750-ORD-DFW		12/20/11 4:48 PM (-06:00)			12/20/11 6:46 PM (-06:00)	
helloflight	UA-3750-ORD-DFW		12/20/11 4:48 PM (-06:00)			12/20/11 6:46 PM (-06:00)	
flytecomm	UA-3750-ORD-DFW		12/20/11 4:48 PM (-06:00)			12/20/11 6:46 PM (-06:00)	
flightaware	UA-3750-ORD-DFW	2011-12-20 02:55PM CST	2011-12-20 04:49PM CST	 C31 	2011-12-20 05:04PM CST	2011-12-20 06:44PM CST	 E4 
wunderground	UA-3750-ORD-DFW	2011-12-20 02:55PM CST	2011-12-20 04:49PM CST	 C31 	2011-12-20 05:04PM CST	2011-12-20 06:44PM CST	 E4 
flights	UA-3750-ORD-DFW		2011-12-20 04:31 PM	C31		2011-12-20 05:26 PM	E4
businesstravellogue	UA-3750-ORD-DFW		2011-12-20 04:31 PM	C31		2011-12-20 05:26 PM	E4
flylouisville	UA-3750-ORD-DFW		2011-12-20 04:31 PM	C31		2011-12-20 05:26 PM	E4
flightstats	UA-3750-ORD-DFW	2011-12-20 2:55 PM	2011-12-20 4:31 PM		2011-12-20 5:26 PM	2011-12-20 6:52 PM (Estimated)	
quicktrip	UA-3750-ORD-DFW	2011-12-20 2:55 PM	2011-12-20 4:31 PM		2011-12-20 5:26 PM	2011-12-20 6:52 PM (Estimated)	
flightview	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
panynj	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
gofox	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
foxbusiness	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
allegiantair	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
boston	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
travelocity	UA-3750-ORD-DFW	Dec 20 - Not Available	Dec 20 - 4:48pm	C31	Dec 20 - Not Available	Dec 20 - 6:52pm*	CHK
orbitz	UA-3750-ORD-DFW	2:55pDec 20	4:31pDec 20	 C31	8:18pDec 20		 E4
weather	UA-3750-ORD-DFW	2011-12-20 02:55 PM			2011-12-20 05:26 PM		
dfw	UA-3750-ORD-DFW				2011-12-20 5:26 pm		E4
ord	UA-3750-ORD-DFW	2011-12-20 2:55 PM		C31	2011-12-20 5:26 PM		E4
mytripandmore	UA-3750-ORD-DFW	Dec 20 - Not Available	Dec 20 - 4:48pm	C31	Dec 20 - Not Available	Dec 20 - 6:52pm*	CHK
flightarrival	UA-3750-ORD-DFW		4:49 PMDec 20			6:48 PMDec 20	
ua	UA-2706-EWR-CLT	Tue, Dec 20 6:29 PM	Tue, Dec 20 6:29 PM	A38	Tue, Dec 20 8:33 PM	Tue, Dec 20 8:32 PM	C7
airtravelcenter	UA-2706-EWR-CLT		12/20/11 6:52 PM (-05:00)			12/20/11 8:16 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/20/11 6:52 PM (-05:00)			12/20/11 8:16 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/20/11 6:52 PM (-05:00)			12/20/11 8:16 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/20/11 6:52 PM (-05:00)			12/20/11 8:16 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-20 06:29PM EST	2011-12-20 06:51PM EST		2011-12-20 07:59PM EST	2011-12-20 08:13PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-20 06:29PM EST	2011-12-20 06:51PM EST		2011-12-20 07:59PM EST	2011-12-20 08:13PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Tue 20-Dec-2011	06:22 PM  Tue 20-Dec-2011	38	08:33 PM  Tue 20-Dec-2011	08:32 PM  Tue 20-Dec-2011	C7
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Tue 20-Dec-2011	06:22 PM  Tue 20-Dec-2011	38	08:33 PM  Tue 20-Dec-2011	08:32 PM  Tue 20-Dec-2011	C7
flylouisville	UA-2706-EWR-CLT	06:29 PM  Tue 20-Dec-2011	06:22 PM  Tue 20-Dec-2011	38	08:33 PM  Tue 20-Dec-2011	08:32 PM  Tue 20-Dec-2011	C7
flightstats	UA-2706-EWR-CLT	2011-12-20 6:29 PM	2011-12-20 6:22 PM		2011-12-20 8:33 PM	2011-12-20 8:32 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-20 6:29 PM	2011-12-20 6:22 PM		2011-12-20 8:33 PM	2011-12-20 8:32 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-20 6:29 PM	2011-12-20 6:22 PM		2011-12-20 8:33 PM	2011-12-20 8:32 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 20	6:52 PM, Dec 20		8:33 PM, Dec 20	8:14 PM, Dec 20	
travelocity	UA-2706-EWR-CLT	Dec 20 - 6:29pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 8:33pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 20	6:22pDec 20	 -	8:33pDec 20	8:32pDec 20	 -
weather	UA-2706-EWR-CLT	2011-12-20 06:29 PM			2011-12-20 08:33 PM		
mytripandmore	UA-2706-EWR-CLT	6:29pDec 20	6:22pDec 20	 -	8:33pDec 20	8:32pDec 20	 -
CO	CO-1240-IAH-SFO	Tue., Dec.20, 2011 4:10 p.m.	Tue., Dec.20, 2011 4:10 p.m.		Tue., Dec.20, 2011 6:38 p.m.	Tue., Dec.20, 2011 6:02 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/20/2011 4:10PM CST			12/20/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/20/11 4:10 PM (-06:00)			12/20/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/20/11 4:10 PM (-06:00)			12/20/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/20/11 4:10 PM (-06:00)			12/20/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/20/11 4:10 PM (-06:00)			12/20/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-20 04:10 PM		16	2011-12-20 06:38 PM		90
businesstravellogue	CO-1240-IAH-SFO	2011-12-20 04:10 PM		16	2011-12-20 06:38 PM		90
flylouisville	CO-1240-IAH-SFO	2011-12-20 04:10 PM		16	2011-12-20 06:38 PM		90
flightstats	CO-1240-IAH-SFO	2011-12-20 4:10 PM	2011-12-20 4:10 PM (Estimated)		2011-12-20 6:38 PM	2011-12-20 6:02 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-20 4:10 PM	2011-12-20 4:10 PM (Estimated)		2011-12-20 6:38 PM	2011-12-20 6:02 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 20			6:02 PMDec 20		
panynj	CO-1240-IAH-SFO	4:10 PMDec 20			6:02 PMDec 20		
gofox	CO-1240-IAH-SFO	4:10 PMDec 20			6:02 PMDec 20		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 20			6:02 PMDec 20		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 20			6:02 PMDec 20		
boston	CO-1240-IAH-SFO	4:10 PMDec 20			6:38 PMDec 20		
orbitz	CO-1240-IAH-SFO	4:10pDec 20		 E16	5:26pDec 20		 90
ifly	CO-1240-IAH-SFO	2011-12-20 4:10 PM	2011-12-20 4:10 PM (Estimated)		2011-12-20 6:38 PM	2011-12-20 6:02 PM (Estimated)	
usatoday	CO-1240-IAH-SFO	4:10 PMDec 20			6:38 PMDec 20		
ua	UA-1974-CVG-CLT	Tue, Dec 20 7:59 PM	Tue, Dec 20 8:24 PM	7	Tue, Dec 20 9:25 PM	Tue, Dec 20 9:47 PM	E19
airtravelcenter	UA-1974-CVG-CLT	12/20/11 7:59 PM (-05:00)			12/20/11 9:25 PM (-05:00)		
myrateplan	UA-1974-CVG-CLT	12/20/11 7:59 PM (-05:00)			12/20/11 9:25 PM (-05:00)		
helloflight	UA-1974-CVG-CLT	12/20/11 7:59 PM (-05:00)			12/20/11 9:25 PM (-05:00)		
flytecomm	UA-1974-CVG-CLT	12/20/11 7:59 PM (-05:00)			12/20/11 9:25 PM (-05:00)		
flights	UA-1974-CVG-CLT		2011-12-20 08:24 PM	7		2011-12-20 09:47 PM	E19
businesstravellogue	UA-1974-CVG-CLT		2011-12-20 08:24 PM	7		2011-12-20 09:47 PM	E19
flylouisville	UA-1974-CVG-CLT		2011-12-20 08:24 PM	7		2011-12-20 09:47 PM	E19
flightstats	UA-1974-CVG-CLT	2011-12-20 7:59 PM	2011-12-20 8:24 PM		2011-12-20 9:25 PM	2011-12-20 9:47 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-20 7:59 PM	2011-12-20 8:24 PM		2011-12-20 9:25 PM	2011-12-20 9:47 PM	
flightview	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
panynj	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
gofox	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
foxbusiness	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
allegiantair	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
boston	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
travelocity	UA-1974-CVG-CLT	Dec 20 - 7:59pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 9:25pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 20	8:24pDec 20	 -	9:25pDec 20	9:47pDec 20	 -
weather	UA-1974-CVG-CLT	2011-12-20 07:59 PM			2011-12-20 09:25 PM		
usatoday	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
flightarrival	UA-1974-CVG-CLT		8:34 PMDec 20			9:39 PMDec 20	
ua	UA-2708-EWR-CLT	Tue, Dec 20 2:55 PM	Tue, Dec 20 2:55 PM	A37	Tue, Dec 20 4:53 PM	Tue, Dec 20 4:43 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/20/11 3:18 PM (-05:00)			12/20/11 4:42 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/20/11 3:18 PM (-05:00)			12/20/11 4:42 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/20/11 3:18 PM (-05:00)			12/20/11 4:42 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/20/11 3:18 PM (-05:00)			12/20/11 4:42 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-20 02:58 PM	37		2011-12-20 04:43 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-20 02:58 PM	37		2011-12-20 04:43 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-20 02:58 PM	37		2011-12-20 04:43 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-20 2:55 PM	2011-12-20 2:58 PM		2011-12-20 4:53 PM	2011-12-20 4:43 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-20 2:55 PM	2011-12-20 2:58 PM		2011-12-20 4:53 PM	2011-12-20 4:43 PM	
flightview	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
panynj	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
gofox	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
foxbusiness	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
allegiantair	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
boston	UA-2708-EWR-CLT		3:18 PMDec 20			4:44 PMDec 20	
travelocity	UA-2708-EWR-CLT	Dec 20 - 2:55pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 4:53pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 20	2:58pDec 20	 -	4:53pDec 20	4:43pDec 20	 -
weather	UA-2708-EWR-CLT	2011-12-20 02:55 PM			2011-12-20 04:53 PM		
usatoday	UA-2708-EWR-CLT	2011-12-20 02:55 PM			2011-12-20 04:53 PM		
mytripandmore	UA-2708-EWR-CLT	2:55pDec 20	2:58pDec 20	 -	4:53pDec 20	4:43pDec 20	 -
CO	CO-53-LAX-IAH	Tue., Dec.20, 2011 2:45 p.m.	Tue., Dec.20, 2011 2:58 p.m.		Tue., Dec.20, 2011 7:56 p.m.	Tue., Dec.20, 2011 8:15 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/20/11 2:45 PM (-08:00)			12/20/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/20/11 2:45 PM (-08:00)			12/20/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/20/11 2:45 PM (-08:00)			12/20/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/20/11 2:45 PM (-08:00)			12/20/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-20 02:58 PM	60		2011-12-20 08:15 PM	44
businesstravellogue	CO-53-LAX-IAH		2011-12-20 02:58 PM	60		2011-12-20 08:15 PM	44
flylouisville	CO-53-LAX-IAH		2011-12-20 02:58 PM	60		2011-12-20 08:15 PM	44
flightstats	CO-53-LAX-IAH	2011-12-20 2:45 PM	2011-12-20 2:58 PM		2011-12-20 7:56 PM	2011-12-20 8:15 PM	
quicktrip	CO-53-LAX-IAH	2011-12-20 2:45 PM	2011-12-20 2:58 PM		2011-12-20 7:56 PM	2011-12-20 8:15 PM	
flightview	CO-53-LAX-IAH		3:20 PMDec 20			8:15 PMDec 20	
panynj	CO-53-LAX-IAH		3:20 PMDec 20			8:15 PMDec 20	
gofox	CO-53-LAX-IAH		3:20 PMDec 20			8:15 PMDec 20	
foxbusiness	CO-53-LAX-IAH		3:20 PMDec 20			8:15 PMDec 20	
allegiantair	CO-53-LAX-IAH		3:20 PMDec 20			8:15 PMDec 20	
boston	CO-53-LAX-IAH		3:20 PMDec 20			8:09 PMDec 20	
orbitz	CO-53-LAX-IAH	2:45pDec 20	2:58pDec 20	 60	7:56pDec 20	8:15pDec 20	 44
weather	CO-53-LAX-IAH	2011-12-20 02:45 PM			2011-12-20 07:56 PM		
ifly	CO-53-LAX-IAH	2011-12-20 2:45 PM	2011-12-20 2:58 PM		2011-12-20 7:56 PM	2011-12-20 8:15 PM	
usatoday	CO-53-LAX-IAH	2011-12-20 02:45 PM			2011-12-20 07:56 PM		
CO	CO-1030-DEN-IAH	Tue., Dec.20, 2011 2:25 p.m.	Tue., Dec.20, 2011 2:25 p.m.		Tue., Dec.20, 2011 5:51 p.m.	Tue., Dec.20, 2011 5:41 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/20/11 2:25 PM (-07:00)			12/20/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/20/11 2:25 PM (-07:00)			12/20/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/20/11 2:25 PM (-07:00)			12/20/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/20/11 2:25 PM (-07:00)			12/20/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-20 02:25 PM	B18		2011-12-20 05:41 PM	16
businesstravellogue	CO-1030-DEN-IAH		2011-12-20 02:25 PM	B18		2011-12-20 05:41 PM	16
