CO	CO-4237-EWR-DTW	Fri., Dec.30, 2011 12:17 p.m.	Fri., Dec.30, 2011 12:12 p.m.		Fri., Dec.30, 2011 2:24 p.m.	Fri., Dec.30, 2011 2:16 p.m.	
ua	UA-1974-CVG-CLT	Fri, Dec 30 7:59 PM	Fri, Dec 30 7:59 PM	7	Fri, Dec 30 9:25 PM	Fri, Dec 30 9:28 PM	E12
airtravelcenter	UA-1974-CVG-CLT		12/30/11 8:16 PM (-05:00)			12/30/11 9:20 PM (-05:00)	
myrateplan	UA-1974-CVG-CLT		12/30/11 8:16 PM (-05:00)			12/30/11 9:20 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		12/30/11 8:16 PM (-05:00)			12/30/11 9:20 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		12/30/11 8:16 PM (-05:00)			12/30/11 9:20 PM (-05:00)	
flights	UA-1974-CVG-CLT		2011-12-30 07:58 PM	7		2011-12-30 09:28 PM	E12
businesstravellogue	UA-1974-CVG-CLT		2011-12-30 07:58 PM	7		2011-12-30 09:28 PM	E12
flylouisville	UA-1974-CVG-CLT		2011-12-30 07:58 PM	7		2011-12-30 09:28 PM	E12
flightstats	UA-1974-CVG-CLT	2011-12-30 7:59 PM	2011-12-30 7:58 PM		2011-12-30 9:25 PM	2011-12-30 9:28 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-30 7:59 PM	2011-12-30 7:58 PM		2011-12-30 9:25 PM	2011-12-30 9:28 PM	
flightview	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
panynj	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
gofox	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
foxbusiness	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
allegiantair	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
boston	UA-1974-CVG-CLT		8:16 PMDec 30			9:17 PMDec 30	
travelocity	UA-1974-CVG-CLT	Dec 30 - 7:59pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 9:25pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 30	7:58pDec 30	 -	9:25pDec 30	9:28pDec 30	 -
weather	UA-1974-CVG-CLT	2011-12-30 07:59 PM			2011-12-30 09:25 PM		
mytripandmore	UA-1974-CVG-CLT	7:59pDec 30	7:58pDec 30	 -	9:25pDec 30	9:28pDec 30	 -
ua	UA-2708-EWR-CLT	Fri, Dec 30 2:55 PM	Fri, Dec 30 2:55 PM	A37	Fri, Dec 30 4:53 PM	Fri, Dec 30 4:42 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/30/11 3:09 PM (-05:00)			12/30/11 4:35 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/30/11 3:09 PM (-05:00)			12/30/11 4:35 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/30/11 3:09 PM (-05:00)			12/30/11 4:35 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/30/11 3:09 PM (-05:00)			12/30/11 4:35 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-30 02:53 PM	37		2011-12-30 04:42 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-30 02:53 PM	37		2011-12-30 04:42 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-30 02:53 PM	37		2011-12-30 04:42 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-30 2:55 PM	2011-12-30 2:53 PM		2011-12-30 4:53 PM	2011-12-30 4:42 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-30 2:55 PM	2011-12-30 2:53 PM		2011-12-30 4:53 PM	2011-12-30 4:42 PM	
flightview	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
panynj	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
gofox	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
foxbusiness	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
allegiantair	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
boston	UA-2708-EWR-CLT		3:09 PMDec 30			4:36 PMDec 30	
travelocity	UA-2708-EWR-CLT	Dec 30 - 2:55pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 4:53pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 30	2:53pDec 30	 -	4:53pDec 30	4:42pDec 30	 -
weather	UA-2708-EWR-CLT	2011-12-30 02:55 PM			2011-12-30 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-30 2:55 PM	2011-12-30 2:53 PM		2011-12-30 4:53 PM	2011-12-30 4:42 PM	
mytripandmore	UA-2708-EWR-CLT	Dec 30 - 2:55pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 4:53pm	Dec 30 - Contact Airline	Not provided by airline
flightarrival	UA-2708-EWR-CLT	2011-12-30 02:55 PM			2011-12-30 04:53 PM		
CO	CO-53-LAX-IAH	Fri., Dec.30, 2011 2:45 p.m.	Fri., Dec.30, 2011 3:08 p.m.		Fri., Dec.30, 2011 7:56 p.m.	Fri., Dec.30, 2011 8:23 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/30/11 2:45 PM (-08:00)			12/30/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/30/11 2:45 PM (-08:00)			12/30/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/30/11 2:45 PM (-08:00)			12/30/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/30/11 2:45 PM (-08:00)			12/30/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-30 03:08 PM	60		2011-12-30 08:23 PM	44
businesstravellogue	CO-53-LAX-IAH		2011-12-30 03:08 PM	60		2011-12-30 08:23 PM	44
flylouisville	CO-53-LAX-IAH		2011-12-30 03:08 PM	60		2011-12-30 08:23 PM	44
flightstats	CO-53-LAX-IAH	2011-12-30 2:45 PM	2011-12-30 3:08 PM		2011-12-30 7:56 PM	2011-12-30 8:23 PM	
quicktrip	CO-53-LAX-IAH	2011-12-30 2:45 PM	2011-12-30 3:08 PM		2011-12-30 7:56 PM	2011-12-30 8:23 PM	
flightview	CO-53-LAX-IAH		3:25 PMDec 30			8:23 PMDec 30	
panynj	CO-53-LAX-IAH		3:25 PMDec 30			8:23 PMDec 30	
gofox	CO-53-LAX-IAH		3:25 PMDec 30			8:23 PMDec 30	
foxbusiness	CO-53-LAX-IAH		3:25 PMDec 30			8:23 PMDec 30	
allegiantair	CO-53-LAX-IAH		3:25 PMDec 30			8:23 PMDec 30	
boston	CO-53-LAX-IAH		3:25 PMDec 30			8:17 PMDec 30	
orbitz	CO-53-LAX-IAH	2:45pDec 30	3:08pDec 30	 60	7:56pDec 30	8:23pDec 30	 44
weather	CO-53-LAX-IAH	2011-12-30 02:45 PM			2011-12-30 07:56 PM		
usatoday	CO-53-LAX-IAH	2011-12-30 02:45 PM			2011-12-30 07:56 PM		
mytripandmore	CO-53-LAX-IAH	2:45pDec 30	3:08pDec 30	 60	7:56pDec 30	8:23pDec 30	 44
flightarrival	CO-53-LAX-IAH		3:25 PMDec 30			8:17 PMDec 30	
CO	CO-1030-DEN-IAH	Fri., Dec.30, 2011 2:25 p.m.	Fri., Dec.30, 2011 2:43 p.m.		Fri., Dec.30, 2011 5:51 p.m.	Fri., Dec.30, 2011 6:00 p.m.	
flightexplorer	CO-1030-DEN-IAH		12/30/2011 2:56PM MST			12/30/2011 5:45PM CST	
airtravelcenter	CO-1030-DEN-IAH	12/30/11 2:25 PM (-07:00)			12/30/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/30/11 2:25 PM (-07:00)			12/30/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/30/11 2:25 PM (-07:00)			12/30/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/30/11 2:25 PM (-07:00)			12/30/11 5:51 PM (-06:00)		
