ua	UA-1534-RTB-IAH	Sun, Dec 4 2:05 PM	Sun, Dec 4 1:53 PM	--	Sun, Dec 4 5:01 PM	Sun, Dec 4 4:43 PM	E2
usatoday	AA-1007-TPA-MIA	2011-12-04 01:55 PM			2011-12-04 03:00 PM		
flightarrival	AA-1007-TPA-MIA		2:10 PMDec 04			2:54 PMDec 04	
aa	AA-1518-DFW-SDF	12/04/2011 12:10 PM	12/04/2011 12:43 PM	D38	12/04/2011 03:10 PM	12/04/2011 03:18 PM	A15
flightexplorer	AA-1518-DFW-SDF		12/4/2011 12:43PM CST			12/4/2011 3:15PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/4/11 12:42 PM (-06:00)			12/4/11 3:15 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/4/11 12:42 PM (-06:00)			12/4/11 3:15 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/4/11 12:42 PM (-06:00)			12/4/11 3:15 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/4/11 12:42 PM (-06:00)			12/4/11 3:15 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-04 12:10PM CST	2011-12-04 12:43PM CST	 D38 	2011-12-04 02:46PM EST	2011-12-04 03:15PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-04 12:10PM CST	2011-12-04 12:43PM CST	 D38 	2011-12-04 02:46PM EST	2011-12-04 03:15PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sun 04-Dec-2011	12:43 PM  Sun 04-Dec-2011	D38	03:10 PM  Sun 04-Dec-2011	03:18 PM  Sun 04-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sun 04-Dec-2011	12:43 PM  Sun 04-Dec-2011	D38	03:10 PM  Sun 04-Dec-2011	03:18 PM  Sun 04-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sun 04-Dec-2011	12:43 PM  Sun 04-Dec-2011	D38	03:10 PM  Sun 04-Dec-2011	03:18 PM  Sun 04-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-04 12:10 PM	2011-12-04 12:43 PM		2011-12-04 3:10 PM	2011-12-04 3:18 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-04 12:10 PM	2011-12-04 12:43 PM		2011-12-04 3:10 PM	2011-12-04 3:18 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-04 12:10 PM	2011-12-04 12:43 PM		2011-12-04 3:10 PM	2011-12-04 3:18 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 04	12:43 PM, Dec 04		3:10 PM, Dec 04	3:13 PM, Dec 04	
travelocity	AA-1518-DFW-SDF	Dec 04 - 12:10pm	Dec 04 - 12:29pm	D38/D	Dec 04 - 3:10pm	Dec 04 - 3:18pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 4	12:29pDec 4	 D38	3:10pDec 4	3:18pDec 4	 A15
weather	AA-1518-DFW-SDF	2011-12-04 12:10 PM			2011-12-04 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-04 12:10 pm		D38			
mytripandmore	AA-1518-DFW-SDF	12:10pDec 4	12:29pDec 4	 D38	3:10pDec 4	3:18pDec 4	 A15
ua	UA-4642-IAH-AMA	Sun, Dec 4 6:20 PM	Sun, Dec 4 6:20 PM	B72A	Sun, Dec 4 8:03 PM	Sun, Dec 4 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/4/11 6:20 PM (-06:00)			12/4/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/4/11 6:20 PM (-06:00)			12/4/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/4/11 6:20 PM (-06:00)			12/4/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/4/11 6:20 PM (-06:00)			12/4/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Sun 04-Dec-2011			08:03 PM  Sun 04-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Sun 04-Dec-2011			08:03 PM  Sun 04-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Sun 04-Dec-2011			08:03 PM  Sun 04-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-04 6:20 PM	2011-12-04 6:20 PM (Estimated)		2011-12-04 8:03 PM	2011-12-04 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-04 6:20 PM	2011-12-04 6:20 PM (Estimated)		2011-12-04 8:03 PM	2011-12-04 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-04 6:20 PM	2011-12-04 6:20 PM (Estimated)		2011-12-04 8:03 PM	2011-12-04 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 04		Term B - B72A	8:03 PM, Dec 04		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 04		Term B - B72A	8:03 PM, Dec 04		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 04			8:03 PM, Dec 04		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 04		Term B - B72A	8:03 PM, Dec 04		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 04		Term B - B72A	8:03 PM, Dec 04		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 04	Not Available		8:03 PM, Dec 04	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 04 - 6:20pm	Dec 04 - Contact Airline	Not provided by airline	Dec 04 - 8:03pm	Dec 04 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 4		 B72A	8:03pDec 4		 4
usatoday	UA-4642-IAH-AMA	2011-12-04 6:20 PM	2011-12-04 6:20 PM (Estimated)		2011-12-04 8:03 PM	2011-12-04 8:03 PM (Estimated)	
mytripandmore	UA-4642-IAH-AMA	6:20pDec 4		 B72A	8:03pDec 4		 4
CO	CO-4461-EWR-CVG	Sun., Dec.04, 2011 1:55 p.m.	Sun., Dec.04, 2011 1:47 p.m.		Sun., Dec.04, 2011 4:00 p.m.	Sun., Dec.04, 2011 3:41 p.m.	
airtravelcenter	CO-4461-EWR-CVG	12/4/11 1:55 PM (-05:00)			12/4/11 4:00 PM (-05:00)		
myrateplan	CO-4461-EWR-CVG	12/4/11 1:55 PM (-05:00)			12/4/11 4:00 PM (-05:00)		
helloflight	CO-4461-EWR-CVG	12/4/11 1:55 PM (-05:00)			12/4/11 4:00 PM (-05:00)		
flytecomm	CO-4461-EWR-CVG	12/4/11 1:55 PM (-05:00)			12/4/11 4:00 PM (-05:00)		
flights	CO-4461-EWR-CVG		2011-12-04 01:47 PM	27A		2011-12-04 03:41 PM	2
businesstravellogue	CO-4461-EWR-CVG		2011-12-04 01:47 PM	27A		2011-12-04 03:41 PM	2
flylouisville	CO-4461-EWR-CVG		2011-12-04 01:47 PM	27A		2011-12-04 03:41 PM	2
flightstats	CO-4461-EWR-CVG	2011-12-04 1:55 PM	2011-12-04 1:47 PM		2011-12-04 4:00 PM	2011-12-04 3:41 PM	
quicktrip	CO-4461-EWR-CVG	2011-12-04 1:55 PM	2011-12-04 1:47 PM		2011-12-04 4:00 PM	2011-12-04 3:41 PM	
flightview	CO-4461-EWR-CVG		1:59 PMDec 04			3:41 PMDec 04	
panynj	CO-4461-EWR-CVG		1:59 PMDec 04			3:41 PMDec 04	
gofox	CO-4461-EWR-CVG		1:59 PMDec 04			3:41 PMDec 04	
foxbusiness	CO-4461-EWR-CVG		1:59 PMDec 04			3:41 PMDec 04	
allegiantair	CO-4461-EWR-CVG		1:59 PMDec 04			3:41 PMDec 04	
boston	CO-4461-EWR-CVG		1:59 PMDec 04			3:39 PMDec 04	
orbitz	CO-4461-EWR-CVG	1:55pDec 4	1:47pDec 4	 -	4:00pDec 4	3:41pDec 4	 -
weather	CO-4461-EWR-CVG	2011-12-04 01:55 PM			2011-12-04 04:00 PM		
mytripandmore	CO-4461-EWR-CVG	1:55pDec 4	1:47pDec 4	 -	4:00pDec 4	3:41pDec 4	 -
ua	UA-2706-EWR-CLT	Sun, Dec 4 6:29 PM	Sun, Dec 4 6:29 PM	A38	Sun, Dec 4 8:33 PM	Sun, Dec 4 8:17 PM	C18
airtravelcenter	UA-2706-EWR-CLT		12/4/11 6:49 PM (-05:00)			12/4/11 8:09 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/4/11 6:49 PM (-05:00)			12/4/11 8:09 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/4/11 6:49 PM (-05:00)			12/4/11 8:09 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/4/11 6:49 PM (-05:00)			12/4/11 8:09 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-04 06:29PM EST	2011-12-04 06:48PM EST		2011-12-04 07:58PM EST	2011-12-04 08:07PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-04 06:29PM EST	2011-12-04 06:48PM EST		2011-12-04 07:58PM EST	2011-12-04 08:07PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sun 04-Dec-2011	06:26 PM  Sun 04-Dec-2011	38	08:33 PM  Sun 04-Dec-2011	08:17 PM  Sun 04-Dec-2011	C18
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sun 04-Dec-2011	06:26 PM  Sun 04-Dec-2011	38	08:33 PM  Sun 04-Dec-2011	08:17 PM  Sun 04-Dec-2011	C18
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sun 04-Dec-2011	06:26 PM  Sun 04-Dec-2011	38	08:33 PM  Sun 04-Dec-2011	08:17 PM  Sun 04-Dec-2011	C18
flightstats	UA-2706-EWR-CLT	2011-12-04 6:29 PM	2011-12-04 6:26 PM		2011-12-04 8:33 PM	2011-12-04 8:17 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-04 6:29 PM	2011-12-04 6:26 PM		2011-12-04 8:33 PM	2011-12-04 8:17 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-04 6:29 PM	2011-12-04 6:26 PM		2011-12-04 8:33 PM	2011-12-04 8:17 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 04	6:49 PM, Dec 04		8:33 PM, Dec 04	8:07 PM, Dec 04	
travelocity	UA-2706-EWR-CLT	Dec 04 - 6:29pm	Dec 04 - Contact Airline	Not provided by airline	Dec 04 - 8:33pm	Dec 04 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 4	6:26pDec 4	 -	8:33pDec 4	8:17pDec 4	 -
weather	UA-2706-EWR-CLT	2011-12-04 06:29 PM			2011-12-04 08:33 PM		
ifly	UA-2706-EWR-CLT	2011-12-04 6:29 PM	2011-12-04 6:26 PM		2011-12-04 8:33 PM	2011-12-04 8:17 PM	
ua	UA-581-DEN-IAD	Sun, Dec 4 8:36 AM	Sun, Dec 4 8:36 AM	B44	Sun, Dec 4 1:50 PM	Sun, Dec 4 1:45 PM	C23
flightexplorer	UA-581-DEN-IAD		12/4/2011 9:02AM MST			12/4/2011 1:34PM EST	
airtravelcenter	UA-581-DEN-IAD		12/4/11 9:04 AM (-07:00)			12/4/11 1:34 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		12/4/11 9:04 AM (-07:00)			12/4/11 1:34 PM (-05:00)	
helloflight	UA-581-DEN-IAD		12/4/11 9:04 AM (-07:00)			12/4/11 1:34 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		12/4/11 9:04 AM (-07:00)			12/4/11 1:34 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2011-12-04 08:36AM MST	2011-12-04 09:04AM MST	 B44 	2011-12-04 01:43PM EST	2011-12-04 01:41PM EST	 C23 
wunderground	UA-581-DEN-IAD	2011-12-04 08:36AM MST	2011-12-04 09:04AM MST	 B44 	2011-12-04 01:43PM EST	2011-12-04 01:41PM EST	 C23 
flights	UA-581-DEN-IAD	08:36 AM  Sun 04-Dec-2011	08:36 AM  Sun 04-Dec-2011	B44	01:50 PM  Sun 04-Dec-2011	01:45 PM  Sun 04-Dec-2011	C23
businesstravellogue	UA-581-DEN-IAD	08:36 AM  Sun 04-Dec-2011	08:36 AM  Sun 04-Dec-2011	B44	01:50 PM  Sun 04-Dec-2011	01:45 PM  Sun 04-Dec-2011	C23
flylouisville	UA-581-DEN-IAD	08:36 AM  Sun 04-Dec-2011	08:36 AM  Sun 04-Dec-2011	B44	01:50 PM  Sun 04-Dec-2011	01:45 PM  Sun 04-Dec-2011	C23
flightstats	UA-581-DEN-IAD	2011-12-04 8:36 AM	2011-12-04 8:36 AM		2011-12-04 1:50 PM	2011-12-04 1:45 PM	
quicktrip	UA-581-DEN-IAD	2011-12-04 8:36 AM	2011-12-04 8:36 AM		2011-12-04 1:50 PM	2011-12-04 1:45 PM	
world-flight-tracker	UA-581-DEN-IAD	2011-12-04 8:36 AM	2011-12-04 8:36 AM		2011-12-04 1:50 PM	2011-12-04 1:45 PM	
flightview	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04	B44	1:50 PM, Dec 04	1:45 PM, Dec 04	C23
panynj	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04	B44	1:50 PM, Dec 04	1:45 PM, Dec 04	C23
gofox	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04		1:50 PM, Dec 04	1:45 PM, Dec 04	
foxbusiness	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04	B44	1:50 PM, Dec 04	1:45 PM, Dec 04	C23
allegiantair	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04	B44	1:50 PM, Dec 04	1:45 PM, Dec 04	C23
boston	UA-581-DEN-IAD	8:36 AM, Dec 04	9:04 AM, Dec 04		1:50 PM, Dec 04	1:46 PM, Dec 04	
travelocity	UA-581-DEN-IAD	Dec 04 - Not Available	Dec 04 - 9:03am	B44	Dec 04 - Not Available	Dec 04 - 1:45pm	C23
orbitz	UA-581-DEN-IAD	8:36aDec 4	8:36aDec 4	 B44	1:50pDec 4	1:45pDec 4	 C23
weather	UA-581-DEN-IAD	2011-12-04 08:36 AM	2011-12-04 09:04 AM		2011-12-04 01:50 PM	2011-12-04 01:40 PM	
den	UA-581-DEN-IAD	2011-12-04 8:36 AM		B44			
iad	UA-581-DEN-IAD				2011-12-04 13:50 	2011-12-04 13:45 	
usatoday	UA-581-DEN-IAD	2011-12-04 08:36 AM	2011-12-04 09:04 AM		2011-12-04 01:50 PM	2011-12-04 01:40 PM	
mytripandmore	UA-581-DEN-IAD	8:36aDec 4	8:36aDec 4	 B44	1:50pDec 4	1:45pDec 4	 C23
ua	UA-779-BOS-DEN	Sun, Dec 4 2:46 PM	Sun, Dec 4 2:44 PM	C18	Sun, Dec 4 5:28 PM	Sun, Dec 4 5:44 PM	B27
airtravelcenter	UA-779-BOS-DEN		12/4/11 2:55 PM (-05:00)			12/4/11 5:27 PM (-07:00)	
myrateplan	UA-779-BOS-DEN		12/4/11 2:55 PM (-05:00)			12/4/11 5:27 PM (-07:00)	
helloflight	UA-779-BOS-DEN		12/4/11 2:55 PM (-05:00)			12/4/11 5:27 PM (-07:00)	
flytecomm	UA-779-BOS-DEN		12/4/11 2:55 PM (-05:00)			12/4/11 5:27 PM (-07:00)	
flights	UA-779-BOS-DEN		2011-12-04 02:44 PM	C18		2011-12-04 05:44 PM	B27
businesstravellogue	UA-779-BOS-DEN		2011-12-04 02:44 PM	C18		2011-12-04 05:44 PM	B27
flylouisville	UA-779-BOS-DEN		2011-12-04 02:44 PM	C18		2011-12-04 05:44 PM	B27
flightstats	UA-779-BOS-DEN	2011-12-04 2:46 PM	2011-12-04 2:44 PM		2011-12-04 5:28 PM	2011-12-04 5:44 PM	
quicktrip	UA-779-BOS-DEN	2011-12-04 2:46 PM	2011-12-04 2:44 PM		2011-12-04 5:28 PM	2011-12-04 5:44 PM	
flightview	UA-779-BOS-DEN		2:56 PMDec 04			5:44 PMDec 04	
panynj	UA-779-BOS-DEN		2:56 PMDec 04			5:44 PMDec 04	
gofox	UA-779-BOS-DEN		2:56 PMDec 04			5:44 PMDec 04	
foxbusiness	UA-779-BOS-DEN		2:56 PMDec 04			5:44 PMDec 04	
allegiantair	UA-779-BOS-DEN		2:56 PMDec 04			5:44 PMDec 04	
boston	UA-779-BOS-DEN		2:56 PMDec 04			5:41 PMDec 04	
travelocity	UA-779-BOS-DEN	Dec 04 - Not Available	Dec 04 - 2:55pm	CHK	Dec 04 - Not Available	Dec 04 - 5:44pm	B27
orbitz	UA-779-BOS-DEN	2:46pDec 4	2:44pDec 4	 C18	5:28pDec 4	5:44pDec 4	 B27
weather	UA-779-BOS-DEN	2011-12-04 02:46 PM			2011-12-04 05:28 PM		
usatoday	UA-779-BOS-DEN		2:56 PMDec 04			5:41 PMDec 04	
flightarrival	UA-779-BOS-DEN	2011-12-04 02:46 PM			2011-12-04 05:28 PM		
ua	UA-947-SAN-DEN	Sun, Dec 4 3:05 PM	Sun, Dec 4 2:59 PM            On Time	14	Sun, Dec 4 6:16 PM	Sun, Dec 4 6:10 PM	B29
airtravelcenter	UA-947-SAN-DEN		12/4/11 3:10 PM (-08:00)			12/4/11 5:54 PM (-07:00)	
myrateplan	UA-947-SAN-DEN		12/4/11 3:10 PM (-08:00)			12/4/11 5:54 PM (-07:00)	
helloflight	UA-947-SAN-DEN		12/4/11 3:10 PM (-08:00)			12/4/11 5:54 PM (-07:00)	
flytecomm	UA-947-SAN-DEN		12/4/11 3:10 PM (-08:00)			12/4/11 5:54 PM (-07:00)	
flights	UA-947-SAN-DEN		2011-12-04 02:59 PM	14		2011-12-04 06:10 PM	B29
businesstravellogue	UA-947-SAN-DEN		2011-12-04 02:59 PM	14		2011-12-04 06:10 PM	B29
flylouisville	UA-947-SAN-DEN		2011-12-04 02:59 PM	14		2011-12-04 06:10 PM	B29
flightview	UA-947-SAN-DEN		3:10 PMDec 04			6:10 PMDec 04	
panynj	UA-947-SAN-DEN		3:10 PMDec 04			6:10 PMDec 04	
gofox	UA-947-SAN-DEN		3:10 PMDec 04			6:10 PMDec 04	
foxbusiness	UA-947-SAN-DEN		3:10 PMDec 04			6:10 PMDec 04	
allegiantair	UA-947-SAN-DEN		3:10 PMDec 04			6:10 PMDec 04	
boston	UA-947-SAN-DEN		3:10 PMDec 04			6:06 PMDec 04	
orbitz	UA-947-SAN-DEN	3:05pDec 4	2:59pDec 4	 14	6:16pDec 4	6:10pDec 4	 B29
mytripandmore	UA-947-SAN-DEN	3:05pDec 4	2:59pDec 4	 14	6:16pDec 4	6:10pDec 4	 B29
ua	UA-1411-EWR-BQN	Sun, Dec 4 8:25 PM	Sun, Dec 4 8:33 PM	C137	Mon, Dec 5 1:10 AM	Mon, Dec 5 1:10 AM	--
flightexplorer	UA-1411-EWR-BQN		12/4/2011 8:50PM EST			12/5/2011 1:03AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Sun 04-Dec-2011			01:10 AM  Mon 05-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Sun 04-Dec-2011			01:10 AM  Mon 05-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Sun 04-Dec-2011			01:10 AM  Mon 05-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05	1:03 AM, Dec 05&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 04 - 8:25pm	Dec 04 - Contact Airline	Not provided by airline	Dec 05 - 1:10am	Dec 05 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-BQN	8:25pDec 4	8:33pDec 4	 C137	1:04aDec 5		 -
usatoday	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05	1:03 AM, Dec 05&nbsp(Estimated)	
mytripandmore	UA-1411-EWR-BQN	8:25pDec 4	8:33pDec 4	 C137	1:04aDec 5		 -
flightarrival	UA-1411-EWR-BQN	8:25 PM, Dec 04	8:51 PM, Dec 04		1:10 AM, Dec 05	1:03 AM, Dec 05&nbsp(Estimated)	
ua	UA-2708-EWR-CLT	Sun, Dec 4 2:55 PM	Sun, Dec 4 2:55 PM	A37	Sun, Dec 4 4:53 PM	Sun, Dec 4 4:32 PM	D3
airtravelcenter	UA-2708-EWR-CLT		12/4/11 3:05 PM (-05:00)			12/4/11 4:29 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/4/11 3:05 PM (-05:00)			12/4/11 4:29 PM (-05:00)	
