CO	CO-4237-EWR-DTW	Mon., Dec.26, 2011 12:17 p.m.	Mon., Dec.26, 2011 12:12 p.m.		Mon., Dec.26, 2011 2:24 p.m.	Mon., Dec.26, 2011 2:03 p.m.	
wunderground	AA-1518-DFW-SDF	2011-12-26 12:10PM CST	2011-12-26 12:29PM CST	 D22 	2011-12-26 03:01PM EST	2011-12-26 03:05PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Mon 26-Dec-2011	12:14 PM  Mon 26-Dec-2011	D22	03:10 PM  Mon 26-Dec-2011	03:14 PM  Mon 26-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Mon 26-Dec-2011	12:14 PM  Mon 26-Dec-2011	D22	03:10 PM  Mon 26-Dec-2011	03:14 PM  Mon 26-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Mon 26-Dec-2011	12:14 PM  Mon 26-Dec-2011	D22	03:10 PM  Mon 26-Dec-2011	03:14 PM  Mon 26-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-26 12:10 PM	2011-12-26 12:14 PM		2011-12-26 3:10 PM	2011-12-26 3:14 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-26 12:10 PM	2011-12-26 12:14 PM		2011-12-26 3:10 PM	2011-12-26 3:14 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-26 12:10 PM	2011-12-26 12:14 PM		2011-12-26 3:10 PM	2011-12-26 3:14 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
orbitz	AA-1518-DFW-SDF	12:10pDec 26	12:14pDec 26	 D22	3:10pDec 26	3:14pDec 26	 A15
weather	AA-1518-DFW-SDF	2011-12-26 12:10 PM			2011-12-26 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-26 12:10 pm		D22			
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 26	12:29 PM, Dec 26		3:10 PM, Dec 26	3:06 PM, Dec 26	
mytripandmore	AA-1518-DFW-SDF	12:10pDec 26	12:14pDec 26	 D22	3:10pDec 26	3:14pDec 26	 A15
CO	CO-4284-EWR-SDF	Mon., Dec.26, 2011 4:00 p.m.	Mon., Dec.26, 2011 4:11 p.m.		Mon., Dec.26, 2011 6:23 p.m.	Mon., Dec.26, 2011 6:18 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
flightaware	CO-4284-EWR-SDF	2011-12-26 04:00PM EST	2011-12-26 04:00PM EST		2011-12-26 06:23PM EST	2011-12-26 06:23PM EST	
wunderground	CO-4284-EWR-SDF	2011-12-26 04:00PM EST	2011-12-26 04:00PM EST		2011-12-26 06:23PM EST	2011-12-26 06:23PM EST	
flights	CO-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-26 4:00 PM	2011-12-26 4:11 PM		2011-12-26 6:23 PM	2011-12-26 6:18 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-26 4:00 PM	2011-12-26 4:11 PM		2011-12-26 6:23 PM	2011-12-26 6:18 PM	
flightview	CO-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
panynj	CO-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
gofox	CO-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
foxbusiness	CO-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
allegiantair	CO-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
boston	CO-4284-EWR-SDF		4:26 PMDec 26			6:12 PMDec 26	
orbitz	CO-4284-EWR-SDF	4:00pDec 26	4:11pDec 26	 -	6:23pDec 26	6:18pDec 26	 -
weather	CO-4284-EWR-SDF	2011-12-26 04:00 PM			2011-12-26 06:23 PM		
mytripandmore	CO-4284-EWR-SDF	4:00pDec 26	4:11pDec 26	 -	6:23pDec 26	6:18pDec 26	 -
flightarrival	CO-4284-EWR-SDF	2011-12-26 04:00 PM			2011-12-26 06:23 PM		
ua	UA-2706-EWR-CLT	Mon, Dec 26 6:29 PM	Mon, Dec 26 6:29 PM	A38	Mon, Dec 26 8:33 PM	Mon, Dec 26 8:19 PM	B16
airtravelcenter	UA-2706-EWR-CLT		12/26/11 6:52 PM (-05:00)			12/26/11 8:13 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/26/11 6:52 PM (-05:00)			12/26/11 8:13 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/26/11 6:52 PM (-05:00)			12/26/11 8:13 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/26/11 6:52 PM (-05:00)			12/26/11 8:13 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-26 06:29PM EST	2011-12-26 06:52PM EST		2011-12-26 07:55PM EST	2011-12-26 08:11PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-26 06:29PM EST	2011-12-26 06:52PM EST		2011-12-26 07:55PM EST	2011-12-26 08:11PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Mon 26-Dec-2011	06:21 PM  Mon 26-Dec-2011	38	08:33 PM  Mon 26-Dec-2011	08:19 PM  Mon 26-Dec-2011	B16
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Mon 26-Dec-2011	06:21 PM  Mon 26-Dec-2011	38	08:33 PM  Mon 26-Dec-2011	08:19 PM  Mon 26-Dec-2011	B16
flylouisville	UA-2706-EWR-CLT	06:29 PM  Mon 26-Dec-2011	06:21 PM  Mon 26-Dec-2011	38	08:33 PM  Mon 26-Dec-2011	08:19 PM  Mon 26-Dec-2011	B16
flightstats	UA-2706-EWR-CLT	2011-12-26 6:29 PM	2011-12-26 6:21 PM		2011-12-26 8:33 PM	2011-12-26 8:19 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-26 6:29 PM	2011-12-26 6:21 PM		2011-12-26 8:33 PM	2011-12-26 8:19 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-26 6:29 PM	2011-12-26 6:21 PM		2011-12-26 8:33 PM	2011-12-26 8:19 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 26	6:52 PM, Dec 26		8:33 PM, Dec 26	8:11 PM, Dec 26	
orbitz	UA-2706-EWR-CLT	6:29pDec 26	6:21pDec 26	 -	8:33pDec 26	8:19pDec 26	 -
weather	UA-2706-EWR-CLT	2011-12-26 06:29 PM			2011-12-26 08:33 PM		
usatoday	UA-2706-EWR-CLT	2011-12-26 6:29 PM	2011-12-26 6:21 PM		2011-12-26 8:33 PM	2011-12-26 8:19 PM	
CO	CO-1240-IAH-SFO	Mon., Dec.26, 2011 4:34 p.m.	Mon., Dec.26, 2011 4:34 p.m.		Mon., Dec.26, 2011 7:02 p.m.	Mon., Dec.26, 2011 6:51 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/26/2011 4:34PM CST			12/26/2011 7:02PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/26/11 4:34 PM (-06:00)			12/26/11 7:02 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/26/11 4:34 PM (-06:00)			12/26/11 7:02 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/26/11 4:34 PM (-06:00)			12/26/11 7:02 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/26/11 4:34 PM (-06:00)			12/26/11 7:02 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-26 04:34 PM		45	2011-12-26 07:02 PM		89
businesstravellogue	CO-1240-IAH-SFO	2011-12-26 04:34 PM		45	2011-12-26 07:02 PM		89
flylouisville	CO-1240-IAH-SFO	2011-12-26 04:34 PM		45	2011-12-26 07:02 PM		89
flightstats	CO-1240-IAH-SFO	2011-12-26 4:34 PM	2011-12-26 4:34 PM (Estimated)		2011-12-26 7:02 PM	2011-12-26 6:51 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-26 4:34 PM	2011-12-26 4:34 PM (Estimated)		2011-12-26 7:02 PM	2011-12-26 6:51 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:34 PMDec 26			6:51 PMDec 26		
panynj	CO-1240-IAH-SFO	4:34 PMDec 26			6:51 PMDec 26		
gofox	CO-1240-IAH-SFO	4:34 PMDec 26			6:51 PMDec 26		
foxbusiness	CO-1240-IAH-SFO	4:34 PMDec 26			6:51 PMDec 26		
allegiantair	CO-1240-IAH-SFO	4:34 PMDec 26			6:51 PMDec 26		
boston	CO-1240-IAH-SFO	4:34 PMDec 26			7:02 PMDec 26		
orbitz	CO-1240-IAH-SFO	4:34pDec 26		 43	6:40pDec 26		 89
ifly	CO-1240-IAH-SFO	2011-12-26 4:34 PM	2011-12-26 4:34 PM (Estimated)		2011-12-26 7:02 PM	2011-12-26 6:51 PM (Estimated)	
usatoday	CO-1240-IAH-SFO	2011-12-26 4:34 PM	2011-12-26 4:34 PM (Estimated)		2011-12-26 7:02 PM	2011-12-26 6:51 PM (Estimated)	
flightarrival	CO-1240-IAH-SFO	2011-12-26 4:34 PM	2011-12-26 4:34 PM (Estimated)		2011-12-26 7:02 PM	2011-12-26 6:51 PM (Estimated)	
ua	UA-1974-CVG-CLT	Mon, Dec 26 7:59 PM	Mon, Dec 26 8:25 PM	7	Mon, Dec 26 9:25 PM	Mon, Dec 26 9:56 PM	E29
airtravelcenter	UA-1974-CVG-CLT		12/26/11 8:39 PM (-05:00)			12/26/11 9:43 PM (-05:00)	
myrateplan	UA-1974-CVG-CLT		12/26/11 8:39 PM (-05:00)			12/26/11 9:43 PM (-05:00)	
helloflight	UA-1974-CVG-CLT		12/26/11 8:39 PM (-05:00)			12/26/11 9:43 PM (-05:00)	
flytecomm	UA-1974-CVG-CLT		12/26/11 8:39 PM (-05:00)			12/26/11 9:43 PM (-05:00)	
flights	UA-1974-CVG-CLT		2011-12-26 08:25 PM	7		2011-12-26 09:56 PM	E29
businesstravellogue	UA-1974-CVG-CLT		2011-12-26 08:25 PM	7		2011-12-26 09:56 PM	E29
flylouisville	UA-1974-CVG-CLT		2011-12-26 08:25 PM	7		2011-12-26 09:56 PM	E29
flightstats	UA-1974-CVG-CLT	2011-12-26 7:59 PM	2011-12-26 8:25 PM		2011-12-26 9:25 PM	2011-12-26 9:56 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-26 7:59 PM	2011-12-26 8:25 PM		2011-12-26 9:25 PM	2011-12-26 9:56 PM	
flightview	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
panynj	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
gofox	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
foxbusiness	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
allegiantair	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
boston	UA-1974-CVG-CLT		8:40 PMDec 26			9:44 PMDec 26	
orbitz	UA-1974-CVG-CLT	7:59pDec 26	8:25pDec 26	 -	9:25pDec 26	9:56pDec 26	 -
weather	UA-1974-CVG-CLT	2011-12-26 07:59 PM			2011-12-26 09:25 PM		
mytripandmore	UA-1974-CVG-CLT	7:59pDec 26	8:25pDec 26	 -	9:25pDec 26	9:56pDec 26	 -
flightarrival	UA-1974-CVG-CLT	2011-12-26 7:59 PM	2011-12-26 8:25 PM		2011-12-26 9:25 PM	2011-12-26 9:56 PM	
ua	UA-2708-EWR-CLT	Mon, Dec 26 2:55 PM	Mon, Dec 26 2:55 PM	A37	Mon, Dec 26 4:53 PM	Mon, Dec 26 4:37 PM	C13
airtravelcenter	UA-2708-EWR-CLT		12/26/11 3:14 PM (-05:00)			12/26/11 4:33 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/26/11 3:14 PM (-05:00)			12/26/11 4:33 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/26/11 3:14 PM (-05:00)			12/26/11 4:33 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/26/11 3:14 PM (-05:00)			12/26/11 4:33 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-26 02:53 PM	37		2011-12-26 04:37 PM	C13
businesstravellogue	UA-2708-EWR-CLT		2011-12-26 02:53 PM	37		2011-12-26 04:37 PM	C13
flylouisville	UA-2708-EWR-CLT		2011-12-26 02:53 PM	37		2011-12-26 04:37 PM	C13
flightstats	UA-2708-EWR-CLT	2011-12-26 2:55 PM	2011-12-26 2:53 PM		2011-12-26 4:53 PM	2011-12-26 4:37 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-26 2:55 PM	2011-12-26 2:53 PM		2011-12-26 4:53 PM	2011-12-26 4:37 PM	
flightview	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
panynj	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
gofox	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
foxbusiness	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
allegiantair	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
boston	UA-2708-EWR-CLT		3:14 PMDec 26			4:31 PMDec 26	
orbitz	UA-2708-EWR-CLT	2:55pDec 26	2:53pDec 26	 -	4:53pDec 26	4:37pDec 26	 -
weather	UA-2708-EWR-CLT	2011-12-26 02:55 PM			2011-12-26 04:53 PM		
CO	CO-53-LAX-IAH	Mon., Dec.26, 2011 2:45 p.m.	Mon., Dec.26, 2011 3:02 p.m.		Mon., Dec.26, 2011 7:56 p.m.	Mon., Dec.26, 2011 8:05 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/26/11 2:45 PM (-08:00)			12/26/11 7:56 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/26/11 2:45 PM (-08:00)			12/26/11 7:56 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/26/11 2:45 PM (-08:00)			12/26/11 7:56 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/26/11 2:45 PM (-08:00)			12/26/11 7:56 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-26 03:02 PM	62		2011-12-26 08:05 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-26 03:02 PM	62		2011-12-26 08:05 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-26 03:02 PM	62		2011-12-26 08:05 PM	43
flightstats	CO-53-LAX-IAH	2011-12-26 2:45 PM	2011-12-26 3:02 PM		2011-12-26 7:56 PM	2011-12-26 8:05 PM	
quicktrip	CO-53-LAX-IAH	2011-12-26 2:45 PM	2011-12-26 3:02 PM		2011-12-26 7:56 PM	2011-12-26 8:05 PM	
flightview	CO-53-LAX-IAH		3:18 PMDec 26			8:05 PMDec 26	
panynj	CO-53-LAX-IAH		3:18 PMDec 26			8:05 PMDec 26	
gofox	CO-53-LAX-IAH		3:18 PMDec 26			8:05 PMDec 26	
foxbusiness	CO-53-LAX-IAH		3:18 PMDec 26			8:05 PMDec 26	
allegiantair	CO-53-LAX-IAH		3:18 PMDec 26			8:05 PMDec 26	
boston	CO-53-LAX-IAH		3:18 PMDec 26			7:58 PMDec 26	
orbitz	CO-53-LAX-IAH	2:45pDec 26	3:02pDec 26	 62	7:56pDec 26	8:05pDec 26	 43
weather	CO-53-LAX-IAH	2011-12-26 02:45 PM			2011-12-26 07:56 PM		
usatoday	CO-53-LAX-IAH	2011-12-26 2:45 PM	2011-12-26 3:02 PM		2011-12-26 7:56 PM	2011-12-26 8:05 PM	
mytripandmore	CO-53-LAX-IAH	2:45pDec 26	3:02pDec 26	 62	7:56pDec 26	8:05pDec 26	 43
flightarrival	CO-53-LAX-IAH	2011-12-26 02:45 PM			2011-12-26 07:56 PM		
CO	CO-1030-DEN-IAH	Mon., Dec.26, 2011 2:25 p.m.	Mon., Dec.26, 2011 2:29 p.m.		Mon., Dec.26, 2011 5:51 p.m.	Mon., Dec.26, 2011 5:33 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/26/11 2:25 PM (-07:00)			12/26/11 5:51 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/26/11 2:25 PM (-07:00)			12/26/11 5:51 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/26/11 2:25 PM (-07:00)			12/26/11 5:51 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/26/11 2:25 PM (-07:00)			12/26/11 5:51 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-26 02:29 PM	B18		2011-12-26 05:33 PM	14
businesstravellogue	CO-1030-DEN-IAH		2011-12-26 02:29 PM	B18		2011-12-26 05:33 PM	14
flylouisville	CO-1030-DEN-IAH		2011-12-26 02:29 PM	B18		2011-12-26 05:33 PM	14
flightstats	CO-1030-DEN-IAH	2011-12-26 2:25 PM	2011-12-26 2:29 PM		2011-12-26 5:51 PM	2011-12-26 5:33 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-26 2:25 PM	2011-12-26 2:29 PM		2011-12-26 5:51 PM	2011-12-26 5:33 PM	
flightview	CO-1030-DEN-IAH		2:41 PMDec 26			5:33 PMDec 26	
panynj	CO-1030-DEN-IAH		2:41 PMDec 26			5:33 PMDec 26	
gofox	CO-1030-DEN-IAH		2:41 PMDec 26			5:33 PMDec 26	
foxbusiness	CO-1030-DEN-IAH		2:41 PMDec 26			5:33 PMDec 26	
allegiantair	CO-1030-DEN-IAH		2:41 PMDec 26			5:33 PMDec 26	
boston	CO-1030-DEN-IAH		2:41 PMDec 26			5:26 PMDec 26	
orbitz	CO-1030-DEN-IAH	2:25pDec 26	2:29pDec 26	 B18	5:51pDec 26	5:33pDec 26	 37
weather	CO-1030-DEN-IAH	2011-12-26 02:25 PM			2011-12-26 05:51 PM		
den	CO-1030-DEN-IAH	2011-12-26 2:25 PM		B18			
usatoday	CO-1030-DEN-IAH	2011-12-26 02:25 PM			2011-12-26 05:51 PM		
ua	UA-4288-EWR-STL	Mon, Dec 26 5:29 PM	Mon, Dec 26 5:29 PM	A26A	Mon, Dec 26 7:21 PM	Mon, Dec 26 7:21 PM	A9
airtravelcenter	UA-4288-EWR-STL	12/26/11 5:29 PM (-05:00)			12/26/11 7:21 PM (-06:00)		
myrateplan	UA-4288-EWR-STL	12/26/11 5:29 PM (-05:00)			12/26/11 7:21 PM (-06:00)		
helloflight	UA-4288-EWR-STL	12/26/11 5:29 PM (-05:00)			12/26/11 7:21 PM (-06:00)		
flytecomm	UA-4288-EWR-STL	12/26/11 5:29 PM (-05:00)			12/26/11 7:21 PM (-06:00)		
flights	UA-4288-EWR-STL	2011-12-26 05:29 PM		26A	2011-12-26 07:21 PM		A9
businesstravellogue	UA-4288-EWR-STL	2011-12-26 05:29 PM		26A	2011-12-26 07:21 PM		A9
flylouisville	UA-4288-EWR-STL	2011-12-26 05:29 PM		26A	2011-12-26 07:21 PM		A9
flightview	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
panynj	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
gofox	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
foxbusiness	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
allegiantair	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
boston	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
travelocity	UA-4288-EWR-STL	Dec 26 - 5:29pm	Dec 26 - Contact Airline	Not provided by airline	Dec 26 - 7:21pm	Dec 26 - Contact Airline	Not provided by airline
orbitz	UA-4288-EWR-STL	5:29pDec 26		 -	7:21pDec 26		 -
weather	UA-4288-EWR-STL	2011-12-26 05:29 PM			2011-12-26 07:21 PM		
usatoday	UA-4288-EWR-STL	5:29 PMDec 26			7:21 PMDec 26		
mytripandmore	UA-4288-EWR-STL	5:29pDec 26		 -	7:21pDec 26		 -
flightarrival	UA-4288-EWR-STL	2011-12-26 05:29 PM			2011-12-26 07:21 PM		
