ua	UA-479-SAN-SFO	Sun, Jan 1 7:57 PM	Sun, Jan 1 7:57 PM	13	Sun, Jan 1 9:35 PM	Sun, Jan 1 9:35 PM	84
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sun 01-Jan-2012	12:15 PM  Sun 01-Jan-2012	C7	03:10 PM  Sun 01-Jan-2012	03:10 PM  Sun 01-Jan-2012	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sun 01-Jan-2012	12:15 PM  Sun 01-Jan-2012	C7	03:10 PM  Sun 01-Jan-2012	03:10 PM  Sun 01-Jan-2012	A15
flightstats	AA-1518-DFW-SDF	2012-01-01 12:10 PM	2012-01-01 12:15 PM		2012-01-01 3:10 PM	2012-01-01 3:10 PM	
quicktrip	AA-1518-DFW-SDF	2012-01-01 12:10 PM	2012-01-01 12:15 PM		2012-01-01 3:10 PM	2012-01-01 3:10 PM	
world-flight-tracker	AA-1518-DFW-SDF	2012-01-01 12:10 PM	2012-01-01 12:15 PM		2012-01-01 3:10 PM	2012-01-01 3:10 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
panynj	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
gofox	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
boston	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
orbitz	AA-1518-DFW-SDF	12:10pJan 1	12:15pJan 1	 C7	3:10pJan 1	3:10pJan 1	 A15
weather	AA-1518-DFW-SDF	2012-01-01 12:10 PM			2012-01-01 03:10 PM		
dfw	AA-1518-DFW-SDF	2012-01-01 12:10 pm		C7			
usatoday	AA-1518-DFW-SDF	2012-01-01 12:10 PM			2012-01-01 03:10 PM		
mytripandmore	AA-1518-DFW-SDF	12:10pJan 1	12:15pJan 1	 C7	3:10pJan 1	3:10pJan 1	 A15
flightarrival	AA-1518-DFW-SDF	12:10 PM, Jan 01	12:29 PM, Jan 01		3:10 PM, Jan 01	3:05 PM, Jan 01	
CO	CO-4284-EWR-SDF	Sun., Jan.01, 2012 4:10 p.m.	Sun., Jan.01, 2012 4:55 p.m.		Sun., Jan.01, 2012 6:25 p.m.	Sun., Jan.01, 2012 7:21 p.m.	
airtravelcenter	CO-4284-EWR-SDF	1/1/12 4:10 PM (-05:00)			1/1/12 6:25 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	1/1/12 4:10 PM (-05:00)			1/1/12 6:25 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	1/1/12 4:10 PM (-05:00)			1/1/12 6:25 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	1/1/12 4:10 PM (-05:00)			1/1/12 6:25 PM (-05:00)		
flights	CO-4284-EWR-SDF		2012-01-01 04:55 PM	20A		2012-01-01 07:21 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2012-01-01 04:55 PM	20A		2012-01-01 07:21 PM	A11
flylouisville	CO-4284-EWR-SDF		2012-01-01 04:55 PM	20A		2012-01-01 07:21 PM	A11
flightstats	CO-4284-EWR-SDF	2012-01-01 4:10 PM	2012-01-01 4:55 PM		2012-01-01 6:25 PM	2012-01-01 7:21 PM	
quicktrip	CO-4284-EWR-SDF	2012-01-01 4:10 PM	2012-01-01 4:55 PM		2012-01-01 6:25 PM	2012-01-01 7:21 PM	
flightview	CO-4284-EWR-SDF		5:17 PMJan 01			7:21 PMJan 01	
panynj	CO-4284-EWR-SDF		5:17 PMJan 01			7:21 PMJan 01	
gofox	CO-4284-EWR-SDF		5:17 PMJan 01			7:21 PMJan 01	
foxbusiness	CO-4284-EWR-SDF		5:17 PMJan 01			7:21 PMJan 01	
allegiantair	CO-4284-EWR-SDF		5:17 PMJan 01			7:21 PMJan 01	
boston	CO-4284-EWR-SDF		5:17 PMJan 01			7:16 PMJan 01	
orbitz	CO-4284-EWR-SDF	4:10pJan 1	4:55pJan 1	 -	6:25pJan 1	7:21pJan 1	 -
weather	CO-4284-EWR-SDF	2012-01-01 04:10 PM			2012-01-01 06:25 PM		
flightarrival	CO-4284-EWR-SDF		5:17 PMJan 01			7:16 PMJan 01	
ua	UA-442-FSD-DEN	Sun, Jan 1 5:19 PM	Sun, Jan 1 5:26 PM	6	Sun, Jan 1 6:00 PM	Sun, Jan 1 6:00 PM	B31
flightexplorer	UA-442-FSD-DEN		1/1/2012 5:36PM CST			1/1/2012 5:56PM MST	
airtravelcenter	UA-442-FSD-DEN		1/1/12 5:38 PM (-06:00)			1/1/12 5:56 PM (-07:00)	
myrateplan	UA-442-FSD-DEN		1/1/12 5:38 PM (-06:00)			1/1/12 5:56 PM (-07:00)	
helloflight	UA-442-FSD-DEN		1/1/12 5:38 PM (-06:00)			1/1/12 5:56 PM (-07:00)	
flytecomm	UA-442-FSD-DEN		1/1/12 5:38 PM (-06:00)			1/1/12 5:56 PM (-07:00)	
flightaware	UA-442-FSD-DEN	2012-01-01 05:19PM CST	2012-01-01 05:38PM CST	 6 	2012-01-01 05:45PM MST	2012-01-01 05:46PM MST	 B31 
wunderground	UA-442-FSD-DEN	2012-01-01 05:19PM CST	2012-01-01 05:38PM CST	 6 	2012-01-01 05:45PM MST	2012-01-01 05:46PM MST	 B31 
flights	UA-442-FSD-DEN	05:19 PM  Sun 01-Jan-2012		6	06:00 PM  Sun 01-Jan-2012		B31
businesstravellogue	UA-442-FSD-DEN	05:19 PM  Sun 01-Jan-2012		6	06:00 PM  Sun 01-Jan-2012		B31
flylouisville	UA-442-FSD-DEN	05:19 PM  Sun 01-Jan-2012		6	06:00 PM  Sun 01-Jan-2012		B31
world-flight-tracker	UA-442-FSD-DEN	2012-01-01 5:19 PM	2012-01-01 5:26 PM		2012-01-01 6:00 PM	2012-01-01 6:00 PM (Estimated)	
flightview	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01		
panynj	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01		
gofox	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01		
foxbusiness	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01		
allegiantair	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01		
boston	UA-442-FSD-DEN	5:19 PM, Jan 01	5:38 PM, Jan 01		6:00 PM, Jan 01	5:56 PM, Jan 01&nbsp(Estimated)	
orbitz	UA-442-FSD-DEN	5:19pJan 1	5:26pJan 1	 6	6:02pJan 1		 B31
weather	UA-442-FSD-DEN	2012-01-01 05:19 PM			2012-01-01 06:00 PM		
usatoday	UA-442-FSD-DEN	2012-01-01 05:19 PM			2012-01-01 06:00 PM		
ua	UA-1596-AUS-EWR	Sun, Jan 1 6:35 AM	Sun, Jan 1 6:32 AM	16	Sun, Jan 1 11:00 AM	Sun, Jan 1 11:00 AM	C133
flightexplorer	UA-1596-AUS-EWR		1/1/2012 6:44AM CST			1/1/2012 10:51AM EST	
airtravelcenter	UA-1596-AUS-EWR		1/1/12 6:46 AM (-06:00)			1/1/12 10:51 AM (-05:00)	
airtravelcenter	UA-1596-AUS-EWR	1/1/12 6:35 AM (-06:00)			1/1/12 11:00 AM (-05:00)		
myrateplan	UA-1596-AUS-EWR		1/1/12 6:46 AM (-06:00)			1/1/12 10:51 AM (-05:00)	
myrateplan	UA-1596-AUS-EWR	1/1/12 6:35 AM (-06:00)			1/1/12 11:00 AM (-05:00)		
helloflight	UA-1596-AUS-EWR		1/1/12 6:46 AM (-06:00)			1/1/12 10:51 AM (-05:00)	
helloflight	UA-1596-AUS-EWR	1/1/12 6:35 AM (-06:00)			1/1/12 11:00 AM (-05:00)		
flytecomm	UA-1596-AUS-EWR		1/1/12 6:46 AM (-06:00)			1/1/12 10:51 AM (-05:00)	
flytecomm	UA-1596-AUS-EWR	1/1/12 6:35 AM (-06:00)			1/1/12 11:00 AM (-05:00)		
flightaware	UA-1596-AUS-EWR	2012-01-01 06:35AM CST	2012-01-01 06:46AM CST	 16 	2012-01-01 10:52AM EST	2012-01-01 10:48AM EST	 133 
wunderground	UA-1596-AUS-EWR	2012-01-01 06:35AM CST	2012-01-01 06:46AM CST	 16 	2012-01-01 10:52AM EST	2012-01-01 10:48AM EST	 133 
flights	UA-1596-AUS-EWR	06:35 AM  Sun 01-Jan-2012	06:32 AM  Sun 01-Jan-2012	16	11:00 AM  Sun 01-Jan-2012	11:00 AM  Sun 01-Jan-2012	133
businesstravellogue	UA-1596-AUS-EWR	06:35 AM  Sun 01-Jan-2012	06:32 AM  Sun 01-Jan-2012	16	11:00 AM  Sun 01-Jan-2012	11:00 AM  Sun 01-Jan-2012	133
flylouisville	UA-1596-AUS-EWR	06:35 AM  Sun 01-Jan-2012	06:32 AM  Sun 01-Jan-2012	16	11:00 AM  Sun 01-Jan-2012	11:00 AM  Sun 01-Jan-2012	133
world-flight-tracker	UA-1596-AUS-EWR	2012-01-01 6:35 AM	2012-01-01 6:32 AM		2012-01-01 11:00 AM	2012-01-01 11:00 AM	
flightview	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01	Main Term - 16	11:00 AM, Jan 01	11:00 AM, Jan 01	Term C - C133
panynj	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01	Main Term - 16	11:00 AM, Jan 01	11:00 AM, Jan 01	Term C - C133
gofox	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01		11:00 AM, Jan 01	11:00 AM, Jan 01	
foxbusiness	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01	Main Term - 16	11:00 AM, Jan 01	11:00 AM, Jan 01	Term C - C133
allegiantair	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01	Main Term - 16	11:00 AM, Jan 01	11:00 AM, Jan 01	Term C - C133
boston	UA-1596-AUS-EWR	6:35 AM, Jan 01	6:46 AM, Jan 01		11:00 AM, Jan 01	10:48 AM, Jan 01	
orbitz	UA-1596-AUS-EWR	6:35aJan 1	6:32aJan 1	 16	11:00aJan 1	11:00aJan 1	 C133
weather	UA-1596-AUS-EWR	2012-01-01 06:35 AM			2012-01-01 11:00 AM		
mytripandmore	UA-1596-AUS-EWR	6:35aJan 1	6:32aJan 1	 16	11:00aJan 1	11:00aJan 1	 C133
flightarrival	UA-1596-AUS-EWR	2012-01-01 06:35 AM			2012-01-01 11:00 AM		
ua	UA-2706-EWR-CLT	Sun, Jan 1 6:29 PM	Sun, Jan 1 6:29 PM	A38	Sun, Jan 1 8:33 PM	Sun, Jan 1 8:47 PM	C4
airtravelcenter	UA-2706-EWR-CLT		1/1/12 6:50 PM (-05:00)			1/1/12 8:46 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		1/1/12 6:50 PM (-05:00)			1/1/12 8:46 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		1/1/12 6:50 PM (-05:00)			1/1/12 8:46 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		1/1/12 6:50 PM (-05:00)			1/1/12 8:46 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2012-01-01 06:29PM EST	2012-01-01 06:51PM EST		2012-01-01 08:02PM EST	2012-01-01 08:43PM EST	
wunderground	UA-2706-EWR-CLT	2012-01-01 06:29PM EST	2012-01-01 06:51PM EST		2012-01-01 08:02PM EST	2012-01-01 08:43PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sun 01-Jan-2012	06:26 PM  Sun 01-Jan-2012	38	08:33 PM  Sun 01-Jan-2012	08:47 PM  Sun 01-Jan-2012	C4
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sun 01-Jan-2012	06:26 PM  Sun 01-Jan-2012	38	08:33 PM  Sun 01-Jan-2012	08:47 PM  Sun 01-Jan-2012	C4
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sun 01-Jan-2012	06:26 PM  Sun 01-Jan-2012	38	08:33 PM  Sun 01-Jan-2012	08:47 PM  Sun 01-Jan-2012	C4
flightstats	UA-2706-EWR-CLT	2012-01-01 6:29 PM	2012-01-01 6:26 PM		2012-01-01 8:33 PM	2012-01-01 8:47 PM	
quicktrip	UA-2706-EWR-CLT	2012-01-01 6:29 PM	2012-01-01 6:26 PM		2012-01-01 8:33 PM	2012-01-01 8:47 PM	
world-flight-tracker	UA-2706-EWR-CLT	2012-01-01 6:29 PM	2012-01-01 6:26 PM		2012-01-01 8:33 PM	2012-01-01 8:47 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
panynj	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
gofox	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
boston	UA-2706-EWR-CLT	6:29 PM, Jan 01	6:52 PM, Jan 01		8:33 PM, Jan 01	8:47 PM, Jan 01	
orbitz	UA-2706-EWR-CLT	6:29pJan 1	6:26pJan 1	 -	8:33pJan 1	8:47pJan 1	 -
weather	UA-2706-EWR-CLT	2012-01-01 06:29 PM			2012-01-01 08:33 PM		
usatoday	UA-2706-EWR-CLT	2012-01-01 6:29 PM	2012-01-01 6:26 PM		2012-01-01 8:33 PM	2012-01-01 8:47 PM	
ua	UA-581-DEN-IAD	Sun, Jan 1 8:28 AM	Sun, Jan 1 8:26 AM	B39	Sun, Jan 1 1:41 PM	Sun, Jan 1 1:27 PM	C11
airtravelcenter	UA-581-DEN-IAD		1/1/12 8:38 AM (-07:00)			1/1/12 1:18 PM (-05:00)	
myrateplan	UA-581-DEN-IAD		1/1/12 8:38 AM (-07:00)			1/1/12 1:18 PM (-05:00)	
helloflight	UA-581-DEN-IAD		1/1/12 8:38 AM (-07:00)			1/1/12 1:18 PM (-05:00)	
flytecomm	UA-581-DEN-IAD		1/1/12 8:38 AM (-07:00)			1/1/12 1:18 PM (-05:00)	
flightaware	UA-581-DEN-IAD	2012-01-01 08:28AM MST	2012-01-01 08:38AM MST	 B39 	2012-01-01 01:26PM EST	2012-01-01 01:23PM EST	 C11 
wunderground	UA-581-DEN-IAD	2012-01-01 08:28AM MST	2012-01-01 08:38AM MST	 B39 	2012-01-01 01:26PM EST	2012-01-01 01:23PM EST	 C11 
flights	UA-581-DEN-IAD	08:28 AM  Sun 01-Jan-2012	08:26 AM  Sun 01-Jan-2012	B39	01:41 PM  Sun 01-Jan-2012	01:27 PM  Sun 01-Jan-2012	C11
businesstravellogue	UA-581-DEN-IAD	08:28 AM  Sun 01-Jan-2012	08:26 AM  Sun 01-Jan-2012	B39	01:41 PM  Sun 01-Jan-2012	01:27 PM  Sun 01-Jan-2012	C11
flylouisville	UA-581-DEN-IAD	08:28 AM  Sun 01-Jan-2012	08:26 AM  Sun 01-Jan-2012	B39	01:41 PM  Sun 01-Jan-2012	01:27 PM  Sun 01-Jan-2012	C11
flightstats	UA-581-DEN-IAD	2012-01-01 8:28 AM	2012-01-01 8:26 AM		2012-01-01 1:41 PM	2012-01-01 1:27 PM	
quicktrip	UA-581-DEN-IAD	2012-01-01 8:28 AM	2012-01-01 8:26 AM		2012-01-01 1:41 PM	2012-01-01 1:27 PM	
world-flight-tracker	UA-581-DEN-IAD	2012-01-01 8:28 AM	2012-01-01 8:26 AM		2012-01-01 1:41 PM	2012-01-01 1:27 PM	
flightview	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01	B39	1:41 PM, Jan 01	1:27 PM, Jan 01	C11
panynj	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01	B39	1:41 PM, Jan 01	1:27 PM, Jan 01	C11
gofox	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01		1:41 PM, Jan 01	1:27 PM, Jan 01	
foxbusiness	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01	B39	1:41 PM, Jan 01	1:27 PM, Jan 01	C11
allegiantair	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01	B39	1:41 PM, Jan 01	1:27 PM, Jan 01	C11
boston	UA-581-DEN-IAD	8:28 AM, Jan 01	8:38 AM, Jan 01		1:41 PM, Jan 01	1:24 PM, Jan 01	
orbitz	UA-581-DEN-IAD	8:28aJan 1		 B39	1:41pJan 1		 C11
weather	UA-581-DEN-IAD	2012-01-01 08:28 AM	2012-01-01 08:38 AM		2012-01-01 01:41 PM	2012-01-01 01:22 PM	
iad	UA-581-DEN-IAD				2012-01-01 13:41 	2012-01-01 13:27 	
flightarrival	UA-581-DEN-IAD	2012-01-01 08:28 AM	2012-01-01 08:38 AM		2012-01-01 01:41 PM	2012-01-01 01:22 PM	
ua	UA-2451-TPA-CLT	Sun, Jan 1 11:55 AM	Sun, Jan 1 11:55 AM	F86	Sun, Jan 1 1:35 PM	Sun, Jan 1 1:28 PM	B2
airtravelcenter	UA-2451-TPA-CLT		1/1/12 12:07 PM (-05:00)			1/1/12 1:24 PM (-05:00)	
myrateplan	UA-2451-TPA-CLT		1/1/12 12:07 PM (-05:00)			1/1/12 1:24 PM (-05:00)	
helloflight	UA-2451-TPA-CLT		1/1/12 12:07 PM (-05:00)			1/1/12 1:24 PM (-05:00)	
flytecomm	UA-2451-TPA-CLT		1/1/12 12:07 PM (-05:00)			1/1/12 1:24 PM (-05:00)	
flights	UA-2451-TPA-CLT		2012-01-01 11:56 AM	F86		2012-01-01 01:28 PM	B2
businesstravellogue	UA-2451-TPA-CLT		2012-01-01 11:56 AM	F86		2012-01-01 01:28 PM	B2
flylouisville	UA-2451-TPA-CLT		2012-01-01 11:56 AM	F86		2012-01-01 01:28 PM	B2
flightview	UA-2451-TPA-CLT	11:55 AM, Jan 01	12:08 PM, Jan 01		1:35 PM, Jan 01	1:25 PM, Jan 01	
panynj	UA-2451-TPA-CLT	11:55 AM, Jan 01	12:08 PM, Jan 01		1:35 PM, Jan 01	1:25 PM, Jan 01	
gofox	UA-2451-TPA-CLT	11:55 AM, Jan 01	12:08 PM, Jan 01		1:35 PM, Jan 01	1:25 PM, Jan 01	
foxbusiness	UA-2451-TPA-CLT	11:55 AM, Jan 01	12:08 PM, Jan 01		1:35 PM, Jan 01	1:25 PM, Jan 01	
allegiantair	UA-2451-TPA-CLT	11:55 AM, Jan 01	12:08 PM, Jan 01		1:35 PM, Jan 01	1:25 PM, Jan 01	
