Flight_Num,Scheduled_Dept,Actual_Dept,Scheduled_Arrival,Actual_Arrival
2011-12-05-UA-3373-IAD-PHL,8:29,8:49,9:24,10:26
2011-12-05-UA-2906-PHL-MCO,3:50,4:44,6:23,7:04
2011-12-05-UA-938-DEN-ORD,4:16,4:19,7:35,7:40
2011-12-05-UA-3099-PHX-PHL,11:55,11:55,6:17,5:48
2011-12-05-UA-3925-IAD-ORF,8:42,8:46,9:55,9:51
2011-12-05-UA-5487-SFO-MRY,10:39,10:30,11:19,11:11
2011-12-05-UA-3050-PHX-CLT,11:05,11:21,4:57,5:07
2011-12-05-UA-828-SFO-ORD,11:08,11:08,5:11,5:11
2011-12-05-UA-2830-MCO-CLT,3:27,3:27,5:05,5:07
2011-12-05-UA-37-EWR-MCO,1:29,1:28,4:17,4:12
2011-12-05-UA-37-EDI-EWR,9:05,10:51,11:53,2:12
2011-12-05-UA-2708-EWR-CLT,2:55,2:55,4:53,4:36
2011-12-05-UA-233-LAX-JFK,4:25,4:25,12:29,12:29
2011-12-05-UA-2726-FLL-PHL,4:00,4:00,6:46,6:13
2011-12-05-UA-2945-PHL-CLT,12:00,6:12,1:45,1:50
2011-12-05-UA-6273-YYC-SFO,7:35,7:28,9:43,9:38
2011-12-05-UA-2314-ATL-PHL,2:55,3:20,5:00,5:23
2011-12-05-UA-382-IAD-LAX,12:30,12:31,3:19,2:50
2011-12-05-UA-382-IAD-LAX,12:30,12:31,3:19,3:06
2011-12-05-UA-858-PVG-SFO,1:45,,8:27,
2011-12-05-UA-854-SFO-IAH,7:53,7:50,1:39,1:32
2011-12-05-CO-1586-IAH-MCO,7:00,7:42,10:15,11:18
2011-12-05-CO-4888-IAH-DAL,5:30,5:30,6:40,7:25
2011-12-05-CO-1088-CLE-IAH,8:40,8:40,10:54,11:49
2011-12-05-CO-16-LAX-EWR,10:25,10:30,6:44,6:57
2011-12-05-CO-58-DEN-IAH,11:25,11:28,2:50,2:53
2011-12-05-CO-1193-EWR-MCO,9:15,9:40,12:18,12:52
2011-12-05-CO-1023-IAH-DEN,11:40,11:57,1:17,1:15
2011-12-05-CO-1250-MIA-IAH,2:53,2:55,4:48,4:48
2011-12-05-CO-62-IAH-EWR,2:30,2:33,7:03,7:24
2011-12-05-CO-52-IAH-LAX,7:35,7:37,9:21,9:32
2011-12-05-CO-1614-LAX-IAH,12:30,12:57,5:35,5:55
2011-12-05-CO-89-IAH-EWR,6:00,6:04,10:20,10:29
2011-12-05-CO-1090-BOS-IAH,9:45,9:39,1:16,1:00
2011-12-05-CO-45-EWR-MIA,4:00,4:38,7:05,7:25
2011-12-05-CO-63-EWR-IAH,5:25,6:17,8:22,9:25
2011-12-05-CO-50-CLE-EWR,2:55,3:35,4:49,6:05
2011-12-05-CO-1561-PHX-IAH,8:05,8:03,11:35,11:30
2011-12-05-CO-47-IAH-LAX,7:10,7:20,8:56,9:31
2011-12-07-AA-1221-MCO-ORD,8:00,8:08,9:50,9:32
2011-12-07-AA-4307-ORD-DTW,6:45,6:59,9:10,8:52
2011-12-07-AA-616-DFW-DTW,9:05,9:14,12:35,12:43
2011-12-07-AA-431-MIA-SFO,8:35,8:42,11:50,11:22
2011-12-07-AA-3756-ORD-SLC,12:15,12:29,2:45,2:43
2011-12-07-AA-2050-ORD-MIA,10:40,10:50,2:45,2:34
2011-12-07-AA-3804-PHL-ORD,2:35,3:13,4:05,4:10
2011-12-07-AA-1664-MIA-ATL,10:15,10:26,12:10,11:59
2011-12-07-AA-789-ORD-DEN,1:05,1:11,2:35,2:29
2011-12-07-AA-1733-ORD-PHX,7:45,8:01,10:30,
2011-12-07-AA-1733-ORD-PHX,7:45,8:01,10:30,
2011-12-07-AA-4277-CVG-JFK,12:10,12:16,2:15,1:58
2011-12-07-AA-2312-DFW-DTW,8:25,,11:50,
2011-12-07-AA-85-JFK-SFO,3:05,4:38,6:30,
2011-12-07-AA-404-MIA-MCO,6:45,6:52,7:45,7:38
2011-12-07-AA-446-DFW-PHL,11:50,1:40,3:50,5:27
2011-12-07-AA-2268-PHX-ORD,7:15,7:25,11:35,11:23
2011-12-07-AA-4344-ORD-DTW,11:45,11:54,2:00,1:54
2011-12-07-AA-484-DFW-MIA,4:15,4:36,7:55,7:57
2011-12-07-AA-3979-CVG-ORD,7:30,7:56,8:00,7:49
2011-12-07-AA-3063-SLC-LAX,8:20,8:29,9:20,
2011-12-07-AA-3859-IAH-ORD,7:10,7:22,9:40,9:29
2011-12-07-AA-3842-MSP-ORD,6:00,6:24,7:30,7:24
2011-12-07-AA-1544-SAN-ORD,11:25,11:31,5:25,5:20
2011-12-07-AA-649-ORD-SNA,1:30,,3:50,
2011-12-07-AA-1640-MIA-MCO,6:30,,7:25,
2011-12-07-AA-518-MIA-JFK,6:30,6:35,9:15,9:01
2011-12-07-AA-1279-DFW-PHX,1:00,1:16,2:35,2:29
2011-12-07-AA-1522-SFO-ORD,11:55,,5:50,
2011-12-07-AA-59-JFK-SFO,7:10,7:40,10:45,10:45
2011-12-07-AA-415-BOS-ORD,8:35,8:50,10:40,10:33
2011-12-07-AA-222-LAX-BOS,7:10,7:22,3:30,3:29
2011-12-07-AA-3823-LAX-DEN,9:00,,12:15,
2011-12-07-AA-1165-JFK-MIA,6:59,7:11,10:34,9:59
2011-12-07-AA-3786-IAH-ORD,4:00,4:15,6:40,6:44
2011-12-07-AA-4330-CVG-ORD,3:35,3:47,4:00,3:41
2011-12-07-AA-3468-CVG-MIA,7:00,7:25,9:55,9:47
2011-12-07-AA-204-LAX-MCO,11:25,,6:55,
2011-12-07-AA-466-IAH-MIA,6:00,6:10,9:20,9:11
2011-12-07-AA-3-JFK-LAX,12:00,12:04,3:15,2:35
2011-12-07-AA-1007-MIA-PHX,4:55,5:12,8:05,7:54
2011-12-07-AA-271-MIA-LAX,11:35,11:57,2:25,2:14
2011-12-07-AA-643-MIA-ORD,7:10,7:23,9:35,9:03
2011-12-07-AA-4198-ORD-CLE,10:40,10:44,12:55,12:43
2011-12-07-AA-400-DFW-JFK,10:40,10:52,2:59,2:50
2011-12-07-AA-1886-BOS-MIA,10:45,11:01,2:20,2:22
2011-12-07-AA-1917-JFK-MCO,2:55,3:45,5:55,6:37
2011-12-07-AA-3809-PHX-LAX,6:00,6:16,6:40,6:25
2011-12-07-AA-2957-DFW-CVG,7:55,8:25,11:05,11:17
2011-12-07-UA-1500-IAH-GUA,8:55,10:59,11:45,1:35
2011-12-07-UA-3515-IAD-MSP,8:22,8:16,10:13,10:06
2011-12-07-UA-664-ORD-PHL,1:33,2:35,4:31,5:57
2011-12-07-UA-414-LAX-SFO,6:00,5:55,7:23,7:12
2011-12-07-UA-257-JFK-SFO,2:30,2:29,6:15,5:47
2011-12-07-UA-62-IAH-EWR,2:30,3:01,7:03,7:08
2011-12-07-UA-843-LAX-ORD,1:55,1:57,7:53,7:40
2011-12-07-UA-248-PHX-ORD,12:57,12:57,5:15,5:10
2011-12-07-UA-248-PHX-ORD,12:57,1:02,5:15,5:09
2011-12-07-UA-397-JFK-SFO,8:00,8:00,11:55,11:22
2011-12-07-UA-2704-DTW-PHX,11:15,11:15,1:40,1:17
2011-12-07-UA-2515-DFW-CLT,7:05,7:11,10:31,10:53
2011-12-07-UA-3373-IAD-PHL,8:29,9:06,9:24,10:01
2011-12-07-UA-2906-PHL-MCO,3:50,3:59,6:23,7:05
2011-12-07-UA-938-DEN-ORD,4:16,4:16,7:35,7:24
2011-12-07-UA-3099-PHX-PHL,11:55,12:41,6:17,7:16
2011-12-07-UA-3925-IAD-ORF,8:42,8:36,9:55,9:54
2011-12-07-UA-5487-SFO-MRY,10:39,11:29,11:19,12:13
2011-12-07-UA-3050-PHX-CLT,11:05,11:10,4:57,5:14
2011-12-07-UA-828-SFO-ORD,11:08,11:08,5:11,5:11
2011-12-07-UA-2830-MCO-CLT,3:27,3:43,5:05,5:25
2011-12-07-UA-37-EDI-EWR,9:05,10:53,11:53,2:04
2011-12-07-UA-2708-EWR-CLT,2:55,3:01,4:53,5:12
2011-12-07-UA-233-LAX-JFK,4:25,4:25,12:29,12:29
2011-12-07-UA-2726-FLL-PHL,4:00,4:00,6:46,6:32
2011-12-07-UA-2945-PHL-CLT,12:00,6:11,1:45,1:59
2011-12-07-UA-6273-YYC-SFO,7:35,7:25,9:43,9:42
2011-12-07-UA-2314-ATL-PHL,2:55,3:28,5:00,5:14
2011-12-07-UA-382-IAD-LAX,12:30,12:44,3:19,3:02
2011-12-07-UA-382-IAD-LAX,12:30,12:44,3:19,3:06
2011-12-07-UA-858-PVG-SFO,1:45,1:38,8:27,8:18
2011-12-07-UA-854-SFO-IAH,7:53,7:50,1:39,1:38
2011-12-07-CO-1586-IAH-MCO,7:00,7:05,10:15,10:14
2011-12-07-CO-1694-LAX-IAH,7:15,7:15,12:21,12:21
2011-12-07-CO-4888-IAH-DAL,5:30,5:30,6:40,6:40
2011-12-07-CO-1088-CLE-IAH,8:40,8:35,10:54,10:38
2011-12-07-CO-16-LAX-EWR,10:25,1:27,6:44,10:17
2011-12-07-CO-58-DEN-IAH,11:25,11:33,2:50,2:51
2011-12-07-CO-1193-EWR-MCO,9:15,9:14,12:18,12:53
2011-12-07-CO-1023-IAH-DEN,11:40,11:37,1:17,1:12
2011-12-07-CO-1250-MIA-IAH,2:53,2:54,4:45,4:33
2011-12-07-CO-62-IAH-EWR,2:30,3:01,7:03,7:08
2011-12-07-CO-52-IAH-LAX,7:35,10:51,9:21,12:27
2011-12-07-CO-1614-LAX-IAH,12:30,12:32,5:35,5:38
2011-12-07-CO-89-IAH-EWR,6:00,5:59,10:20,10:06
2011-12-07-CO-1090-BOS-IAH,9:45,12:30,1:16,3:57
2011-12-07-CO-45-EWR-MIA,4:00,4:09,7:05,7:27
2011-12-07-CO-63-EWR-IAH,5:25,5:49,8:22,8:27
2011-12-07-CO-50-CLE-EWR,2:55,4:30,4:49,6:24
2011-12-07-CO-1561-PHX-IAH,8:05,8:00,11:35,11:21
2011-12-07-CO-47-IAH-LAX,7:10,7:35,8:56,9:02
2011-12-08-AA-1221-MCO-ORD,8:00,7:52,9:50,9:24
2011-12-08-AA-4307-ORD-DTW,6:45,6:37,9:10,8:57
2011-12-08-AA-616-DFW-DTW,9:05,9:00,12:35,12:20
2011-12-08-AA-431-MIA-SFO,8:35,8:31,11:50,11:31
2011-12-08-AA-3756-ORD-SLC,12:15,12:12,2:45,2:35
2011-12-08-AA-2050-ORD-MIA,10:40,10:39,2:45,2:32
2011-12-08-AA-3804-PHL-ORD,2:35,2:31,4:05,3:38
2011-12-08-AA-1664-MIA-ATL,10:15,10:09,12:10,12:02
2011-12-08-AA-789-ORD-DEN,1:05,1:00,2:35,2:48
2011-12-08-AA-1733-ORD-PHX,7:45,7:42,10:30,December 8; 2011     
2011-12-08-AA-1733-ORD-PHX,7:45,7:42,10:30,December 8; 2011     
2011-12-08-AA-4277-CVG-JFK,12:10,12:02,2:15,1:46
2011-12-08-AA-2312-DFW-DTW,8:25,December 8; 2011     ,11:50,December 8; 2011     
2011-12-08-AA-85-JFK-SFO,3:05,3:12,6:30,6:35
2011-12-08-AA-404-MIA-MCO,6:45,6:40,7:45,7:35
2011-12-08-AA-446-DFW-PHL,11:50,11:47,3:50,3:51
2011-12-08-AA-2268-PHX-ORD,7:15,7:12,11:35,11:12
2011-12-08-AA-4344-ORD-DTW,11:45,11:43,2:00,1:59
2011-12-08-AA-484-DFW-MIA,4:15,4:12,7:55,7:57
2011-12-08-AA-3979-CVG-ORD,7:30,7:35,8:00,8:01
2011-12-08-AA-3063-SLC-LAX,8:20,8:10,9:20,December 8; 2011     
2011-12-08-AA-3859-IAH-ORD,7:10,7:02,9:40,9:16
2011-12-08-AA-3842-MSP-ORD,6:00,5:56,7:30,7:08
2011-12-08-AA-1544-SAN-ORD,11:25,11:18,5:25,5:12
2011-12-08-AA-649-ORD-SNA,1:30,December 8; 2011     ,3:50,December 8; 2011     
2011-12-08-AA-1640-MIA-MCO,6:30,December 8; 2011     ,7:25,December 8; 2011     
2011-12-08-AA-518-MIA-JFK,6:30,6:26,9:15,8:56
2011-12-08-AA-2525-DFW-MIA,7:25,7:26,11:10,11:20
2011-12-08-AA-1279-DFW-PHX,1:00,12:57,2:35,2:33
2011-12-08-AA-1522-SFO-ORD,11:55,December 8; 2011     ,5:50,December 9; 2011     
2011-12-08-AA-1434-DFW-MCO,7:15,7:10,10:35,10:40
2011-12-08-AA-59-JFK-SFO,7:10,7:06,10:45,10:41
2011-12-08-AA-415-BOS-ORD,8:35,8:30,10:40,10:57
2011-12-08-AA-222-LAX-BOS,7:10,7:07,3:30,3:07
2011-12-08-AA-3823-LAX-DEN,9:00,December 8; 2011     ,12:15,December 9; 2011     
2011-12-08-AA-1165-JFK-MIA,6:59,7:11,10:34,10:14
2011-12-08-AA-3786-IAH-ORD,4:00,3:54,6:40,6:20
2011-12-08-AA-4330-CVG-ORD,3:35,3:27,4:00,3:35
2011-12-08-AA-3468-CVG-MIA,7:00,6:58,9:55,9:51
2011-12-08-AA-204-LAX-MCO,11:25,December 8; 2011     ,6:55,December 9; 2011     
2011-12-08-AA-466-IAH-MIA,6:00,5:55,9:20,9:12
2011-12-08-AA-3-JFK-LAX,12:00,11:54,3:15,3:03
2011-12-08-AA-1007-MIA-PHX,4:55,5:05,8:05,8:17
2011-12-08-AA-271-MIA-LAX,11:35,11:34,2:25,2:13
2011-12-08-AA-643-MIA-ORD,7:10,7:06,9:35,9:08
2011-12-08-AA-4198-ORD-CLE,10:40,10:40,12:55,12:39
2011-12-08-AA-400-DFW-JFK,10:40,10:50,2:59,2:54
2011-12-08-AA-1886-BOS-MIA,10:45,10:45,2:20,2:19
2011-12-08-AA-1917-JFK-MCO,2:55,2:49,5:55,5:46
2011-12-08-AA-3809-PHX-LAX,6:00,6:14,6:40,6:45
2011-12-08-AA-2957-DFW-CVG,7:55,7:51,11:05,10:51
2011-12-08-UA-1500-IAH-GUA,8:55,8:58,11:45,11:38
2011-12-08-UA-3515-IAD-MSP,8:15,8:38,10:06,10:43
2011-12-08-UA-664-ORD-PHL,1:33,1:31,4:31,4:26
2011-12-08-UA-414-LAX-SFO,6:00,5:53,7:23,7:15
2011-12-08-UA-257-JFK-SFO,2:30,2:23,6:15,5:51
2011-12-08-UA-62-IAH-EWR,2:30,4:16,7:03,8:45
2011-12-08-UA-843-LAX-ORD,1:55,1:55,7:53,7:39
2011-12-08-UA-248-PHX-ORD,12:57,12:57,5:15,5:15
2011-12-08-UA-248-PHX-ORD,12:57,12:53,5:15,5:06
2011-12-08-UA-397-JFK-SFO,8:00,7:58,11:55,11:36
2011-12-08-UA-2704-DTW-PHX,11:15,11:15,1:40,1:42
2011-12-08-UA-2515-DFW-CLT,7:05,7:05,10:31,10:23
2011-12-08-UA-3373-IAD-PHL,8:29,8:35,9:24,9:28
2011-12-08-UA-2906-PHL-MCO,3:50,3:50,6:23,6:27
2011-12-08-UA-938-DEN-ORD,4:16,4:17,7:35,7:37
2011-12-08-UA-3099-PHX-PHL,11:55,11:55,6:17,5:50
2011-12-08-UA-3925-IAD-ORF,8:42,8:59,9:55,9:53
2011-12-08-UA-5487-SFO-MRY,10:39,10:30,11:19,11:12
2011-12-08-UA-3050-PHX-CLT,11:05,11:05,4:57,4:43
2011-12-08-UA-828-SFO-ORD,11:08,11:08,5:11,5:11
2011-12-08-UA-2830-MCO-CLT,3:27,3:27,5:05,5:10
2011-12-08-UA-37-EWR-MCO,1:29,1:27,4:17,4:18
2011-12-08-UA-37-EDI-EWR,9:05,9:01,11:53,12:01
2011-12-08-UA-2708-EWR-CLT,2:55,2:55,4:53,4:50
2011-12-08-UA-233-LAX-JFK,4:25,4:25,12:29,12:29
2011-12-08-UA-2726-FLL-PHL,4:00,4:00,6:46,6:13
2011-12-08-UA-2945-PHL-CLT,12:00,5:11,1:45,1:37
2011-12-08-UA-6273-YYC-SFO,7:35,7:24,9:43,9:03
2011-12-08-UA-2314-ATL-PHL,2:55,2:55,5:00,4:54
2011-12-08-UA-382-IAD-LAX,12:30,12:25,3:19,2:59
2011-12-08-UA-382-IAD-LAX,12:30,12:25,3:19,3:13
2011-12-08-UA-858-PVG-SFO,1:45,1:44,8:27,8:13
2011-12-08-UA-854-SFO-IAH,7:53,7:49,1:39,1:17
2011-12-08-CO-16-LAX-EWR,10:25,10:36,6:44,7:14
2011-12-08-CO-1193-EWR-MCO,9:15,9:14,12:18,12:36
2011-12-08-CO-1614-LAX-IAH,12:30,12:25,5:35,5:09
2011-12-08-CO-45-EWR-MIA,4:00,4:01,7:05,7:08
2011-12-08-CO-63-EWR-IAH,5:25,5:41,8:22,8:26
2011-12-08-CO-50-CLE-EWR,2:55,2:56,4:49,4:36
2011-12-08-CO-1561-PHX-IAH,8:05,8:00,11:35,11:09
2011-12-08-CO-47-IAH-LAX,7:10,7:12,8:56,8:51
2011-12-08-CO-1586-IAH-MCO,7:00,7:34,10:15,10:50
2011-12-08-CO-1694-LAX-IAH,7:15,7:15,12:21,12:21
2011-12-08-CO-4888-IAH-DAL,5:30,5:30,6:40,6:40
2011-12-08-CO-1088-CLE-IAH,8:40,8:39,10:54,10:54
2011-12-08-CO-58-DEN-IAH,11:25,11:24,2:50,2:40
2011-12-08-CO-1023-IAH-DEN,11:40,11:50,1:17,1:16
2011-12-08-CO-1250-MIA-IAH,2:53,2:54,4:48,4:38
2011-12-08-CO-62-IAH-EWR,2:30,4:16,7:03,8:45
2011-12-08-CO-52-IAH-LAX,7:35,7:37,9:21,9:33
2011-12-08-CO-89-IAH-EWR,6:00,6:02,10:20,10:16
2011-12-08-CO-1090-BOS-IAH,9:45,10:11,1:16,1:53
2011-12-09-AA-1221-MCO-ORD,8:00,8:03,9:50,9:31
2011-12-09-AA-4307-ORD-DTW,6:45,6:42,9:10,8:58
2011-12-09-AA-616-DFW-DTW,9:05,9:04,12:35,12:25
2011-12-09-AA-431-MIA-SFO,8:35,8:28,11:50,11:22
2011-12-09-AA-3756-ORD-SLC,12:15,1:44,2:45,3:48
2011-12-09-AA-2050-ORD-MIA,10:40,10:41,2:45,2:46
2011-12-09-AA-3804-PHL-ORD,2:35,2:29,4:05,3:48
2011-12-09-AA-1664-MIA-ATL,10:15,10:16,12:10,12:10
2011-12-09-AA-789-ORD-DEN,1:05,1:02,2:35,2:44
2011-12-09-AA-1733-ORD-PHX,7:45,7:40,10:30,December 9; 2011     
2011-12-09-AA-1733-ORD-PHX,7:45,7:40,10:30,December 9; 2011     
2011-12-09-AA-4277-CVG-JFK,12:10,12:02,2:15,2:06
2011-12-09-AA-2312-DFW-DTW,8:25,December 9; 2011     ,11:50,December 9; 2011     
2011-12-09-AA-85-JFK-SFO,3:05,3:13,6:30,6:25
2011-12-09-AA-404-MIA-MCO,6:45,7:10,7:45,8:07
2011-12-09-AA-446-DFW-PHL,11:50,11:56,3:50,3:43
2011-12-09-AA-2268-PHX-ORD,7:15,7:47,11:35,11:52
2011-12-09-AA-4344-ORD-DTW,11:45,11:56,2:00,2:19
2011-12-09-AA-484-DFW-MIA,4:15,4:29,7:55,8:08
2011-12-09-AA-3979-CVG-ORD,7:30,7:24,8:00,7:45
2011-12-09-AA-3063-SLC-LAX,8:20,8:16,9:20,December 9; 2011     
2011-12-09-AA-3859-IAH-ORD,7:10,7:08,9:40,9:12
2011-12-09-AA-3842-MSP-ORD,6:00,6:00,7:30,7:36
2011-12-09-AA-1544-SAN-ORD,11:25,11:19,5:25,5:12
2011-12-09-AA-649-ORD-SNA,1:30,December 9; 2011     ,3:50,December 9; 2011     
2011-12-09-AA-1640-MIA-MCO,6:30,December 9; 2011     ,7:25,December 9; 2011     
2011-12-09-AA-518-MIA-JFK,6:30,6:39,9:15,9:14
2011-12-09-AA-2525-DFW-MIA,7:25,7:25,11:10,10:56
2011-12-09-AA-1279-DFW-PHX,1:00,1:00,2:35,2:32
2011-12-09-AA-1522-SFO-ORD,11:55,December 9; 2011     ,5:50,December 10; 2011     
2011-12-09-AA-1434-DFW-MCO,7:15,7:06,10:35,10:27
2011-12-09-AA-59-JFK-SFO,,December 9; 2011     ,,December 9; 2011     
2011-12-09-AA-415-BOS-ORD,8:35,8:30,10:40,10:34
2011-12-09-AA-222-LAX-BOS,7:10,7:10,3:30,3:17
2011-12-09-AA-3823-LAX-DEN,9:00,December 9; 2011     ,12:15,December 10; 2011     
2011-12-09-AA-1165-JFK-MIA,6:59,6:55,10:34,10:22
2011-12-09-AA-3786-IAH-ORD,4:00,4:27,6:40,6:44
2011-12-09-AA-4330-CVG-ORD,3:35,3:29,4:00,3:33
2011-12-09-AA-3468-CVG-MIA,7:00,7:01,9:55,10:03
2011-12-09-AA-204-LAX-MCO,11:25,December 9; 2011     ,6:55,December 10; 2011     
2011-12-09-AA-466-IAH-MIA,6:00,6:05,9:20,9:16
2011-12-09-AA-3-JFK-LAX,12:00,11:50,3:15,2:53
2011-12-09-AA-1007-MIA-PHX,4:55,4:51,8:05,7:45
2011-12-09-AA-271-MIA-LAX,11:35,11:37,2:25,2:29
2011-12-09-AA-643-MIA-ORD,7:10,7:11,9:35,9:20
2011-12-09-AA-4198-ORD-CLE,10:40,10:59,12:55,1:04
2011-12-09-AA-400-DFW-JFK,10:40,12:11,2:59,4:12
2011-12-09-AA-1886-BOS-MIA,10:45,10:42,2:20,2:16
2011-12-09-AA-1917-JFK-MCO,2:55,3:21,5:55,6:26
2011-12-09-AA-3809-PHX-LAX,6:00,5:51,6:40,6:20
2011-12-09-AA-2957-DFW-CVG,7:55,7:52,11:05,10:52
2011-12-09-UA-1500-IAH-GUA,8:55,9:02,11:45,11:49
2011-12-09-UA-3515-IAD-MSP,8:15,8:13,10:06,10:04
2011-12-09-UA-664-ORD-PHL,1:33,1:41,4:31,5:10
2011-12-09-UA-414-LAX-SFO,6:00,5:55,7:23,7:09
2011-12-09-UA-257-JFK-SFO,2:30,2:26,6:15,6:38
2011-12-09-UA-62-IAH-EWR,2:30,3:01,7:03,7:13
2011-12-09-UA-843-LAX-ORD,1:55,1:57,7:53,7:58
2011-12-09-UA-248-PHX-ORD,12:57,12:57,5:15,5:21
2011-12-09-UA-248-PHX-ORD,12:57,12:57,5:15,5:28
2011-12-09-UA-397-JFK-SFO,8:00,7:57,11:55,11:10
2011-12-09-UA-2704-DTW-PHX,11:15,11:15,1:40,1:43
2011-12-09-UA-2515-DFW-CLT,7:05,7:12,10:31,10:31
2011-12-09-UA-3373-IAD-PHL,8:29,9:07,9:24,10:34
2011-12-09-UA-2906-PHL-MCO,3:50,3:50,6:23,6:28
2011-12-09-UA-938-DEN-ORD,4:16,4:22,7:35,7:45
2011-12-09-UA-3099-PHX-PHL,11:55,11:55,6:17,6:08
2011-12-09-UA-3925-IAD-ORF,8:42,8:39,9:55,9:37
2011-12-09-UA-5487-SFO-MRY,10:39,10:36,11:19,11:26
2011-12-09-UA-3050-PHX-CLT,11:05,11:05,4:57,4:43
2011-12-09-UA-828-SFO-ORD,11:08,11:08,5:11,5:11
2011-12-09-UA-2830-MCO-CLT,3:27,3:27,5:05,5:15
2011-12-09-UA-37-EWR-MCO,1:29,1:47,4:17,4:30
2011-12-09-UA-37-EDI-EWR,9:05,9:20,11:53,12:37
2011-12-09-UA-2708-EWR-CLT,2:55,2:55,4:53,4:41
2011-12-09-UA-233-LAX-JFK,4:25,4:25,12:29,12:29
