Flight_Num,Scheduled_Dept,Actual_Dept,Dept_Gate,Scheduled_Arrival,Actual_Arrival,Arrival_Gate
AA-1522-SFO-ORD,12/03/2011 11:55 PM,,57,12/04/2011 05:50 AM,,H9
AA-1434-DFW-MCO,12/03/2011 07:15 AM,12/03/2011 07:26 AM,C15,12/03/2011 10:35 AM,12/03/2011 10:39 AM,14
AA-59-JFK-SFO,12/03/2011 07:10 AM,12/03/2011 07:31 AM,10,12/03/2011 10:45 AM,12/03/2011 10:24 AM,58B
AA-415-BOS-ORD,12/03/2011 08:35 AM,12/03/2011 08:48 AM,B36,12/03/2011 10:40 AM,12/03/2011 10:13 AM,K5
AA-222-LAX-BOS,12/03/2011 07:10 AM,12/03/2011 07:21 AM,42B,12/03/2011 03:30 PM,12/03/2011 03:13 PM,B35
AA-3823-LAX-DEN,12/03/2011 09:00 PM,,44J,12/04/2011 12:15 AM,,A49
AA-1165-JFK-MIA,12/03/2011 06:59 AM,12/03/2011 07:14 AM,36,12/03/2011 10:34 AM,12/03/2011 09:44 AM,D25
AA-3786-IAH-ORD,12/03/2011 04:00 PM,12/03/2011 04:15 PM,A29,12/03/2011 06:40 PM,12/03/2011 06:09 PM,G9
AA-4330-CVG-ORD,12/03/2011 03:35 PM,12/03/2011 03:38 PM,3,12/03/2011 04:00 PM,12/03/2011 03:39 PM,G20
AA-1664-MIA-ATL,12/03/2011 10:15 AM,12/03/2011 10:35 AM,D17,12/03/2011 12:10 PM,12/03/2011 12:11 PM,T11
AA-789-ORD-DEN,12/03/2011 01:05 PM,12/03/2011 01:11 PM,H6,12/03/2011 02:35 PM,12/03/2011 02:38 PM,A49
AA-3468-CVG-MIA,12/03/2011 07:00 AM,12/03/2011 07:17 AM,1,12/03/2011 09:55 AM,12/03/2011 09:40 AM,D60
AA-204-LAX-MCO,12/03/2011 11:25 PM,,43,12/04/2011 06:55 AM,,TBA
AA-1733-ORD-PHX,12/03/2011 07:45 PM,12/03/2011 07:57 PM,H6,12/03/2011 10:30 PM,,4
AA-1733-ORD-PHX,12/03/2011 07:45 PM,12/03/2011 07:57 PM,H6,12/03/2011 10:30 PM,,4
AA-4277-CVG-JFK,12/03/2011 12:10 PM,12/03/2011 12:17 PM,1,12/03/2011 02:15 PM,12/03/2011 02:03 PM,32H
AA-466-IAH-MIA,12/03/2011 06:00 AM,12/03/2011 06:06 AM,A27,12/03/2011 09:20 AM,12/03/2011 09:11 AM,D17
AA-2312-DFW-DTW,12/03/2011 08:25 PM,,C8,12/03/2011 11:50 PM,,D32
AA-404-MIA-MCO,12/03/2011 06:45 AM,12/03/2011 07:00 AM,E5,12/03/2011 07:45 AM,12/03/2011 07:52 AM,16
AA-85-JFK-SFO,12/03/2011 03:05 PM,12/03/2011 03:19 PM,6,12/03/2011 06:30 PM,12/03/2011 06:11 PM,57
AA-446-DFW-PHL,12/03/2011 11:50 AM,12/03/2011 12:11 PM,D33,12/03/2011 03:50 PM,12/03/2011 03:47 PM,A9
AA-3-JFK-LAX,12/03/2011 12:00 PM,12/03/2011 12:10 PM,42,12/03/2011 03:15 PM,12/03/2011 02:54 PM,46A
AA-2268-PHX-ORD,12/03/2011 07:15 AM,12/03/2011 07:20 AM,6,12/03/2011 11:35 AM,12/03/2011 11:15 AM,H15
AA-1007-MIA-PHX,12/03/2011 04:55 PM,12/03/2011 05:11 PM,D36,12/03/2011 08:05 PM,12/03/2011 08:07 PM,4
AA-4344-ORD-DTW,12/03/2011 11:45 AM,12/03/2011 11:57 AM,G6B,12/03/2011 02:00 PM,12/03/2011 01:51 PM,D28
AA-484-DFW-MIA,12/03/2011 04:15 PM,12/03/2011 04:41 PM,D16,12/03/2011 07:55 PM,12/03/2011 08:17 PM,D4
AA-3979-CVG-ORD,12/03/2011 07:30 AM,12/03/2011 07:38 AM,3,12/03/2011 08:00 AM,12/03/2011 07:35 AM,G12
AA-3063-SLC-LAX,12/03/2011 08:20 PM,12/03/2011 08:34 PM,A3,12/03/2011 09:20 PM,,44I
AA-3859-IAH-ORD,12/04/2011 07:10 AM,12/04/2011 07:09 AM,A29,12/03/2011 09:40 AM,12/03/2011 09:34 AM,H5
AA-3842-MSP-ORD,12/03/2011 06:00 AM,12/03/2011 06:15 AM,E14,12/03/2011 07:30 AM,12/03/2011 07:13 AM,G1B
AA-271-MIA-LAX,12/03/2011 11:35 AM,12/03/2011 11:55 AM,D8,12/03/2011 02:25 PM,12/03/2011 02:22 PM,46B
AA-643-MIA-ORD,12/03/2011 07:10 AM,12/03/2011 07:23 AM,D3,12/03/2011 09:35 AM,12/03/2011 09:21 AM,K16
AA-4198-ORD-CLE,12/03/2011 10:40 AM,12/03/2011 10:57 AM,G2B,12/03/2011 12:55 PM,12/03/2011 12:55 PM,A1
AA-400-DFW-JFK,12/03/2011 10:40 AM,12/03/2011 11:00 AM,C4,12/03/2011 02:59 PM,12/03/2011 03:11 PM,44
AA-1886-BOS-MIA,12/03/2011 10:45 AM,12/03/2011 11:10 AM,B35,12/03/2011 02:20 PM,12/03/2011 02:07 PM,D14
AA-1917-JFK-MCO,12/03/2011 02:55 PM,12/03/2011 03:07 PM,45,12/03/2011 05:55 PM,12/03/2011 05:27 PM,16
AA-1544-SAN-ORD,12/03/2011 11:25 AM,12/03/2011 11:39 AM,27,12/03/2011 05:25 PM,12/03/2011 04:55 PM,H6
AA-649-ORD-SNA,12/03/2011 01:30 PM,,H11B,12/03/2011 03:50 PM,,7
AA-3809-PHX-LAX,12/03/2011 06:00 AM,12/03/2011 06:07 AM,2,12/03/2011 06:40 AM,12/03/2011 06:18 AM,44J
AA-2957-DFW-CVG,12/03/2011 07:55 AM,12/03/2011 08:40 AM,B21,12/03/2011 11:05 AM,12/03/2011 11:31 AM,3
UA-1500-IAH-GUA,Sat; Dec 3 8:55 AM,Sat; Dec 3 10:39 AM,E20,Sat; Dec 3 11:45 AM,Sat; Dec 3 1:22 PM,15
UA-257-JFK-SFO,Sat; Dec 3 2:30 PM,Sat; Dec 3 2:24 PM,12,Sat; Dec 3 6:07 PM,Sat; Dec 3 5:34 PM,80
UA-62-IAH-EWR,Sat; Dec 3 2:30 PM,Sat; Dec 3 2:52 PM,C-39,Sat; Dec 3 7:01 PM,Sat; Dec 3 6:57 PM,C73
UA-397-JFK-SFO,Sat; Dec 3 8:00 AM,Sat; Dec 3 7:58 AM,10,Sat; Dec 3 11:55 AM,Sat; Dec 3 11:08 AM,80
UA-2704-DTW-PHX,Sat; Dec 3 11:15 AM,Sat; Dec 3 11:15 AM,D25,Sat; Dec 3 1:40 PM,Sat; Dec 3 2:12 PM,A19
UA-3373-IAD-PHL,Sat; Dec 3 8:27 AM,Sat; Dec 3 8:25 AM,C26,Sat; Dec 3 9:22 AM,Sat; Dec 3 9:32 AM,D7
UA-2906-PHL-MCO,Sat; Dec 3 3:50 PM,Sat; Dec 3 3:50 PM            Delayed,B15,Sat; Dec 3 6:23 PM,Sat; Dec 3 6:19 PM,58
UA-938-DEN-ORD,Sat; Dec 3 3:55 PM,Sat; Dec 3 4:01 PM,B36,Sat; Dec 3 7:15 PM,Sat; Dec 3 7:24 PM,B11
UA-3099-PHX-PHL,Sat; Dec 3 11:55 AM,Sat; Dec 3 12:45 PM,A22,Sat; Dec 3 6:17 PM,Sat; Dec 3 6:47 PM,A8
UA-3925-IAD-ORF,Sat; Dec 3 8:41 AM,Sat; Dec 3 10:17 AM,A2A,Sat; Dec 3 9:54 AM,Sat; Dec 3 11:17 AM,--
UA-5487-SFO-MRY,Sat; Dec 3 10:39 AM,Sat; Dec 3 10:34 AM,87A,Sat; Dec 3 11:19 AM,Sat; Dec 3 11:09 AM,--
UA-3050-PHX-CLT,Sat; Dec 3 11:05 AM,Sat; Dec 3 11:05 AM,A11,Sat; Dec 3 4:57 PM,Sat; Dec 3 4:48 PM,B11
UA-828-SFO-ORD,Sat; Dec 3 10:59 PM,Sat; Dec 3 10:59 PM,74,Sun; Dec 4 5:14 AM,Sun; Dec 4 5:14 AM,C29
