akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
QUICK CONNECTION  (T1 B1),1966930,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161021,Risk 3 (Low),(42.008536400868735,34223,Grocery Store,11601 W TOUHY AVE ,Canvass,QUICK CONNECTION,60666
MAX'S TAKE OUT,1966887,CHICAGO,IL,Fail,-87.62699911,41.87960813,20161020,Risk 1 (High),(41.87960812540506,11172,Restaurant,20 E ADAMS ST ,Complaint,MAX'S TAKE OUT,60603
TRANSPORTATION CENTER/SNACK SHOP,1966757,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161019,Risk 2 (Medium),(42.008536400868735,1909531,Restaurant,11601 W TOUHY AVE ,Canvass,TRANSPORTATION CENTER,60666
THE ANGRY CRAB,1966927,CHICAGO,IL,Fail,-87.69722674,41.98450761,20161021,Risk 1 (High),(41.98450761309772,2379885,Restaurant,5665 N LINCOLN AVE ,Complaint Re-Inspection,THE ANGRY CRAB,60659
WEST LAWN FOODS,1966926,CHICAGO,IL,Pass,-87.72313003,41.78660841,20161021,Risk 1 (High),(41.786608409502335,1591726,Grocery Store,5838 S PULASKI RD ,Complaint Re-Inspection,WEST LAWN FOODS,60629
THE P BERRY CAFE,1966923,CHICAGO,IL,Pass,-87.6174801,41.83195818,20161021,Risk 2 (Medium),(41.831958178116174,2482916,Restaurant,3428 S DR MARTIN LUTHER KING JR DR ,License Re-Inspection,THE P BERRY CAFE,60616
A&T PANCAKE HOUSE,1966917,CHICAGO,IL,Pass,-87.6743699,42.01012437,20161021,Risk 1 (High),(42.01012437485032,2293343,Restaurant,7036 N CLARK ST ,Complaint,A&T PANCAKE HOUSE,60626
BREAKFAST HOUSE RESTAURANT,1966916,CHICAGO,IL,Pass,-87.67214746,41.89101119,20161021,Risk 1 (High),(41.89101118647223,2196316,Restaurant,1800 W GRAND AVE ,Short Form Complaint,BREAKFAST HOUSE RESTAURANT INC.,60622
QUICK CONNECT/CARRY OUT  (T2-E2),1966902,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161020,Risk 3 (Low),(42.008536400868735,1928324,Grocery Store,11601 W TOUHY AVE ,Canvass,E-2 QUICK CONNECT,60666
JERK PARADISE GRILLE,1966901,CHICAGO,IL,Pass,-87.64428597,41.75436101,20161020,Risk 1 (High),(41.754361010855725,2464202,Restaurant,7660 S HALSTED ST ,License,JERK PARADISE GRILLE,60620
FARMER'S MARKET/T3 ROTUNDA,1966880,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161020,Risk 3 (Low),(42.008536400868735,2363755,Grocery Store,11601 W TOUHY AVE ,Canvass,FARMER'S MARKET,60666
HOOK & FISH,1955290,CHICAGO,IL,Out of Business,-87.66407894,41.80143854,20161017,Risk 2 (Medium),(41.801438543640344,2349525,Restaurant,1542 W 51ST ST ,Canvass,HOOK & FISH,60609
KFC,1937437,CHICAGO,IL,No Entry,-87.65497266,41.96925666,20160623,Risk 2 (Medium),(41.969256657396244,2189443,Restaurant,4804 N SHERIDAN RD ,Canvass,KFC,60640
FAIRPLAY FINER FOODS INC,1955302,CHICAGO,IL,Pass,-87.64570757,41.80962977,20161020,Risk 1 (High),(41.809629768022035,10949,Grocery Store,4640 S HALSTED ST ,Complaint,FAIRPLAY FINER FOODS INC,60609
PARLOR PIZZA BAR,1966900,CHICAGO,IL,Pass,-87.67339734,41.90335951,20161020,Risk 1 (High),(41.90335951000414,2437116,Restaurant,1824-1826 W DIVISION ST ,Complaint Re-Inspection,PARLOR PIZZA BAR,60622
CAFE TOLA II,1966898,CHICAGO,IL,Pass,-87.69806831,41.94267996,20161020,Risk 1 (High),(41.94267996160201,2495714,Restaurant,3324 N CALIFORNIA AVE ,License Re-Inspection,CAFE TOLA II,60618
NORTH AVE RENTAILS,1966894,CHICAGO,IL,Fail,-87.73452245,41.90966899,20161020,Risk 3 (Low),(41.909668990318984,2493177,Grocery Store,4317 W NORTH AVE ,License,NORTH AVE RENTAILS,60639
MYSORE WOODLANDS,1966885,CHICAGO,IL,Pass w/ Conditions,-87.69428407,41.99776535,20161020,Risk 1 (High),(41.9977653535896,2229409,Restaurant,2548-2550 W DEVON AVE ,Short Form Complaint,MYSORE WOODLANDS,60659
SUBWAY,1966881,CHICAGO,IL,Pass,-87.69830277,41.95408332,20161020,Risk 1 (High),(41.954083317714684,2488811,Restaurant,2800 W IRVING PARK RD ,Short Form Complaint,SUBWAY,60618
MCDONALD'S,1966776,CHICAGO,IL,Pass,-87.62291751,41.73625546,20161019,Risk 2 (Medium),(41.73625546179032,2428106,Restaurant,29 E 87TH ST ,Short Form Complaint,MCDONALD'S,60619
SUBWAY,1966871,CHICAGO,IL,Pass,-87.63236505,41.8887416,20161020,Risk 1 (High),(41.88874160495607,2488988,Restaurant,347 N LA SALLE ST ,License Re-Inspection,SUBWAY,60654
ALCOIRIS,1966870,CHICAGO,IL,Pass,-87.72689274,41.91705197,20161020,Risk 1 (High),(41.917051966932796,30948,Restaurant,4007 W ARMITAGE AVE ,Complaint,ALCOIRIS INC,60639
A CHILD'S WORLD EARLY LEARNING,1966866,CHICAGO,IL,Pass,-87.57163518,41.7442799,20161020,Risk 1 (High),(41.74427989606148,2215835,Daycare Above and Under 2 Years,2145 E 83RD ST ,License,A CHILD'S WORLD EARLY LEARNING,60617
HORIZON CAFE,1966867,CHICAGO,IL,Pass,-87.64946947,41.95139015,20161020,Risk 1 (High),(41.951390150873834,1495171,Restaurant,3805 N BROADWAY ,Suspected Food Poisoning Re-inspection,HORIZON CAFE,60613
B MART,1966865,CHICAGO,IL,Fail,-87.72279202,41.96112041,20161020,Risk 3 (Low),(41.961120414100584,2133654,Grocery Store,3756 W MONTROSE AVE ,Complaint,B MART,60618
WALGREENS,1966858,CHICAGO,IL,Pass,-87.74703214,41.92411902,20161020,Risk 3 (Low),(41.92411902417522,2004365,Grocery Store,4817 W FULLERTON AVE ,License,WALGREENS # 09470,60639
COOK AU VIN,1966857,CHICAGO,IL,Fail,-87.67400667,41.92250794,20161020,Risk 1 (High),(41.92250793561497,2253821,Bakery,2256 N ELSTON AVE ,Complaint,COOK AU VIN,60614
MCDONALDS,1966856,CHICAGO,IL,Fail,-87.68301753,41.75093166,20161020,Risk 2 (Medium),(41.75093165729936,1979615,Restaurant,7832 S WESTERN AVE ,Complaint,MCDONALDS,60620
STARBUCKS  (T3 H2),1966847,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161020,Risk 2 (Medium),(42.008536400868735,34150,Restaurant,11601 W TOUHY AVE ,Canvass,HOST INTERNATIONAL INC,60666
UNIVERSITY OF CHICAGO-TIFFIN CAFE,1966850,CHICAGO,IL,Pass,-87.59084354,41.78796989,20161020,Risk 1 (High),(41.787969890663675,2492429,CAFE/STORE,1414 E 59TH ST ,License,UNVERSITY OF CHICAGO-TIFFIN CAFE,60637
AMC THEATRES NAVY PIER IMAX,1966840,CHICAGO,IL,Not Ready,-87.61156988,41.89209414,20161020,,(41.892094136861786,2492758,,600 E GRAND AVE ,License,AMC THEATRES NAVY PIER IMAX,60611
VERNON PARK TAP/TUFANO'S,1966842,CHICAGO,IL,Fail,-87.65403304,41.87290437,20161020,Risk 1 (High),(41.872904374521134,1145420,Restaurant,1073 W VERNON PARK PL ,Complaint,VERNON PARK TAP,60607
THE GARDNER SCHOOL,1966839,CHICAGO,IL,Pass,-87.66036913,41.9335946,20161020,Risk 1 (High),(41.93359460097582,2363473,Daycare Above and Under 2 Years,2850 N LINCOLN AVE ,License,THE GARDNER SCHOOL LINCOLN PARK,60657
WALGREEN #03948,1966835,CHICAGO,IL,Pass,-87.75561299,41.93152062,20161020,Risk 3 (Low),(41.931520622962296,2004363,Grocery Store,5140 W DIVERSEY AVE ,License,WALGREEN #03948,60639
WALGREEN #03948,1966831,CHICAGO,IL,Pass,-87.75561299,41.93152062,20161020,Risk 3 (Low),(41.931520622962296,18556,Grocery Store,5140 W DIVERSEY AVE ,Canvass,WALGREEN #03948,60639
VILLA PALERMO PIZZA,1966837,CHICAGO,IL,Fail,-87.68478486,41.99792642,20161020,Risk 1 (High),(41.99792641964382,1470,Restaurant,2154 W DEVON AVE ,Complaint,VILLA PALERMO INC,60659
WALGREENS #4986,1966829,CHICAGO,IL,Pass,-87.74624148,41.93872475,20161020,Risk 3 (Low),(41.9387247499836,2003480,Grocery Store,4745 W BELMONT AVE ,License,WALGREENS #4986,60641
FRESHII,1966820,CHICAGO,IL,Pass,-87.6326624,41.88887789,20161020,Risk 1 (High),(41.88887789027888,2254325,Restaurant,350 N LA SALLE DR ,Complaint,FRESHII,60654
MARKET ON HOWARD,1966827,CHICAGO,IL,Fail,-87.6728975,42.01844815,20161020,Risk 2 (Medium),(42.01844814876268,2492710,Grocery Store,7519 N PAULINA ST ,License,MARKET ON HOWARD,60626
WALGREENS #4986,1966816,CHICAGO,IL,Pass,-87.74624148,41.93872475,20161020,Risk 3 (Low),(41.9387247499836,1193704,Grocery Store,4745 W BELMONT AVE ,Canvass,WALGREENS #4986,60641
STARBUCKS   T3 H-13,1966815,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161020,Risk 2 (Medium),(42.008536400868735,34228,Restaurant,11601 W TOUHY AVE ,Canvass,STARBUCKS,60666
SYMPHONY OF LINCOLN PARK,1966818,CHICAGO,IL,Pass,-87.66312244,41.92533056,20161020,Risk 1 (High),(41.925330555308214,2446871,Long Term Care,1366 W FULLERTON AVE ,License Re-Inspection,SYMPHONY OF LINCOLN PARK,60614
GHAREEB NAWAZ RESTAURANT,1966811,CHICAGO,IL,Pass,-87.68142045,41.99798375,20161020,Risk 1 (High),(41.99798375025185,2423912,Restaurant,2032-2036 W Devon AVE ,Complaint Re-Inspection,GHAREEB NAWAZ RESTAURANT,60659
TONY'S FINER FOODS,1966808,CHICAGO,IL,Pass,-87.72248283,41.9561262,20161020,Risk 1 (High),(41.95612620147909,1717529,Grocery Store,4137 N ELSTON AVE ,Complaint,TONY'S FINER FOODS ENTERPRISES,60618
REAL GOOD JUICE CO. (INSIDE WHOLEFOODS),1966767,CHICAGO,IL,Pass,-87.6530507,41.90939879,20161019,Risk 2 (Medium),(41.90939878780941,2493060,Restaurant,1550 N KINGSBURY ST ,License,REAL GOOD JUICE CO.,60642
GRAND CHINESE KITCHEN,1966762,CHICAGO,IL,Out of Business,-87.5875494,41.73677605,20161019,Risk 1 (High),(41.736776054766636,1069184,Restaurant,1511 E 87TH ST ,Canvass,GRAND CHINESE KITCHEN,60619
,1966438,,IL,Not Ready,-87.65992581,41.97306821,20161013,,(41.97306821306215,2458787,,5010 N BROADWAY ,License,BAMBU DESSERTS AND DRINKS,60640
CAFE TOLA II,1966803,CHICAGO,IL,Fail,-87.69806831,41.94267996,20161019,Risk 1 (High),(41.94267996160201,2495714,Restaurant,3324 N CALIFORNIA AVE ,License,CAFE TOLA II,60618
FIREHOUSE OF DAN RYAN,1966798,CHICAGO,IL,Pass,-87.62723156,41.73637382,20161019,Risk 2 (Medium),(41.73637382027632,1717263,Restaurant,100 W 87TH ST ,Short Form Complaint,FIREHOUSE OF DAN RYAN,60620
CHICAGO WINGS AROUND THE WORLD,1955298,CHICAGO,IL,Fail,-87.64438638,41.78350298,20161019,Risk 2 (Medium),(41.783502980089736,2492231,Restaurant,748 W 61ST ST ,License,CHICAGO WINGS AROUND THE WORLD,60621
GYRO MENA,1966797,CHICAGO,IL,Fail,-87.65180999,41.93983529,20161019,Risk 1 (High),(41.93983528881153,2129570,Restaurant,905 W BELMONT ,Complaint,GYRO MENA,60657
JERK PARADISE GRILLE,1966897,CHICAGO,IL,Not Ready,-87.64428597,41.75436101,20161019,Risk 1 (High),(41.754361010855725,2464202,Restaurant,7660 S HALSTED ST ,License,JERK PARADISE GRILLE,60620
CHINA GOURMET,1966794,CHICAGO,IL,Pass,-87.67459345,42.01146046,20161019,Risk 1 (High),(42.011460459993124,2458370,Restaurant,7100 N Clark ST ,Short Form Complaint,CHINA GOURMET,60626
CHICAGO WINGS AROUND THE WORLD,1966783,CHICAGO,IL,Pass w/ Conditions,-87.61039696,41.75837337,20161019,Risk 2 (Medium),(41.758373367094116,2451478,Restaurant,557 E 75TH ST ,Short Form Complaint,CHICAGO WINGS AROUND THE WORLD 75TH LLC,60619
CAFE LOGAN,1950893,CHICAGO,IL,Pass,-87.60374469,41.78579096,20160822,Risk 1 (High),(41.78579095767523,2470398,Restaurant,915 E 60TH ST ,License,CAFE LOGAN,60637
GRAND CHINESE KITCHEN,1966760,CHICAGO,IL,Pass,-87.5875494,41.73677605,20161019,Risk 1 (High),(41.736776054766636,2493286,Restaurant,1511 E 87TH ST ,License,GRAND CHINESE KITCHEN,60619
SYMPHONY OF SOUTH SHORE,1966747,CHICAGO,IL,Fail,-87.56548242,41.76620346,20161018,Risk 1 (High),(41.766203459922444,2447190,Long Term Care,2425 E SOUTH SHORE DR ,License,SYMPHONY OF SOUTH SHORE,60649
NHU LAN BAKERY,1966744,CHICAGO,IL,Pass,-87.69436907,41.96867613,20161018,Risk 1 (High),(41.968676134286625,1772039,Bakery,2612 W LAWRENCE AVE ,Complaint Re-Inspection,NHU LAN BAKERY,60625
MIKE'S BIG GYROS,1966739,CHICAGO,IL,Pass,-87.62440142,41.75100958,20161018,Risk 1 (High),(41.751009580289924,2492978,Restaurant,7859 S STATE ST ,License,MIKE'S BIG GYROS,60619
THE ANGRY CRAB,1966736,CHICAGO,IL,Fail,-87.69722674,41.98450761,20161018,Risk 1 (High),(41.98450761309772,2379885,Restaurant,5665 N LINCOLN AVE ,Complaint,THE ANGRY CRAB,60659
CHINA WOK,1955297,CHICAGO,IL,Pass,-87.6752214,41.83050042,20161018,Risk 1 (High),(41.83050041795062,2488771,Restaurant,1958 W 35TH ST ,License Re-Inspection,CHINA WOK,60609
ANGELS 'R' US KIDZ ACADEMY INC,1966738,CHICAGO,IL,Pass,-87.62142025,41.82237019,20161018,Risk 1 (High),(41.82237019007892,2216065,Daycare (2 - 6 Years),3941-3943 S INDIANA AVE ,License Re-Inspection,ANGELS 'R' US KIDZ ACADEMY INC,60653
SUNDA,1610179,CHICAGO,IL,Pass,-87.63161779,41.89092422,20160126,Risk 1 (High),(41.890924221316645,2432361,Restaurant,110 W ILLINOIS ST ,License,SUNDA,60654
UNITED CLUB (T2/F9),1966725,CHICAGO,IL,Pass w/ Conditions,-87.91442844,42.0085364,20161018,Risk 1 (High),(42.008536400868735,2184012,Restaurant,11601 W TOUHY AVE ,Canvass,UNITED CLUB,60666
NEW AGUILA # 1 GROCERY,1966727,CHICAGO,IL,Pass,-87.75997485,41.92394813,20161018,Risk 3 (Low),(41.923948127343664,2492840,Grocery Store,5333 W FULLERTON AVE ,License,NEW AGUILA # 1 GROCERY,60639
SABORES DE AMERICA,1966723,CHICAGO,IL,Fail,-87.80699727,41.94921947,20161018,Risk 1 (High),(41.94921947071411,2493152,Restaurant,3809-3811 N HARLEM AVE ,License,SABORES DE AMERICA,60634
I.H.O.P. RESTAURANT,1966720,CHICAGO,IL,Fail,-87.74757442,41.95742942,20161018,Risk 1 (High),(41.95742941661818,46344,Restaurant,4210 N CICERO AVE ,Complaint,I.H.O.P.,60641
TRUE FOOD KITCHEN,1966711,CHICAGO,IL,Not Ready,-87.62854665,41.89395586,20161018,Risk 3 (Low),(41.89395585670853,2446280,,9 W ERIE ST ,License,TRUE FOOD KITCHEN,60654
KIMURA SUSHI,1966707,CHICAGO,IL,Pass,-87.66264704,41.86943381,20161018,Risk 1 (High),(41.86943380987853,2483580,Restaurant,1422 W Taylor ST ,License Re-Inspection,KIMURA SUSHI,60607
BASIL CAMPUS,1955296,CHICAGO,IL,Pass,-87.67023496,41.79407037,20161018,Risk 1 (High),(41.79407037097534,1982031,School,1816 W GARFIELD BLVD ,Canvass,CHICAGO INTERNATIONAL CHARTER SCHOOL,60609
MR SALSA,1966700,CHICAGO,IL,Pass,-87.6558299,41.96165172,20161018,Risk 1 (High),(41.96165171832781,1596802,Restaurant,1025 W MONTROSE AVE ,Complaint,MR SALSA,60613
CAFE #10,1966697,CHICAGO,IL,Fail,-87.80624603,41.92792702,20161018,Risk 3 (Low),(41.927927018691754,2470707,Restaurant,2625 N HARLEM AVE ,License,CAFE #10,60707
SU CASA,1966699,CHICAGO,IL,Pass,-87.62617281,41.89319256,20161018,Risk 1 (High),(41.89319255965124,1194932,Restaurant,49 E ONTARIO ST ,Complaint Re-Inspection,SU CASA,60611
ALCOIRIS,1966691,CHICAGO,IL,No Entry,-87.72689274,41.91705197,20161018,Risk 1 (High),(41.917051966932796,30948,Restaurant,4007 W ARMITAGE AVE ,Complaint,ALCOIRIS INC,60639
CAFE #10,1966693,CHICAGO,IL,Fail,-87.80624603,41.92792702,20161018,Risk 1 (High),(41.927927018691754,2470706,Restaurant,2625 N HARLEM AVE ,License,CAFE #10,60707
HAMPTON INN CHICAGO/ LOYOLA STATION,1966688,CHICAGO,IL,Pass,-87.66119115,42.00243764,20161018,Risk 3 (Low),(42.002437642824745,2457768,Restaurant,1209 W ALBION AVE ,License,HAMPTON INN CHICAGO/ LOYOLA STATION,60626
ROCKWOOD,1966689,CHICAGO,IL,No Entry,-87.65504219,41.94515977,20161018,Risk 1 (High),(41.9451597671042,1167794,Restaurant,3466-3470 N CLARK ST ,Complaint,ROCKWOOD,60657
INSTITUTE OF POSITIVE EDUCATION,1966685,CHICAGO,IL,Pass,-87.60021772,41.75245012,20161018,Risk 1 (High),(41.75245012387641,2215576,Daycare (2 - 6 Years),7823 S ELLIS AVE ,License,INSTITUTE OF POSITIVE EDUCATION,60619
HAMPTON INN CHICAGO/ LOYOLA STATION,1966683,CHICAGO,IL,Pass,-87.66119115,42.00243764,20161018,Risk 2 (Medium),(42.002437642824745,2457769,Restaurant,1209 W ALBION AVE ,License,HAMPTON INN CHICAGO/ LOYOLA STATION,60626
PUBLIC HOUSE,1966679,CHICAGO,IL,Pass,-87.62815267,41.88931871,20161018,Risk 1 (High),(41.88931871105875,2008148,Restaurant,400 N STATE ST ,Complaint,PUBLIC HOUSE,60654
THE LUNATIC,1966678,CHICAGO,IL,Pass,-87.64721548,41.88451904,20161018,Risk 1 (High),(41.88451904314297,2464695,Restaurant,736 W RANDOLPH ST ,License,THE LUNATIC,60661
RAW BAR & GRILL,1966631,CHICAGO,IL,Pass,-87.65860702,41.94959069,20161017,Risk 1 (High),(41.94959069063464,19444,Restaurant,3720 N CLARK ST ,Short Form Complaint,RAW BAR & GRILL,60613
MANEE THAI PAN ASIAN RESTAURANT & SUSHI,1966676,CHICAGO,IL,Pass,-87.72754688,41.94633265,20161018,Risk 1 (High),(41.946332650823166,2031570,Restaurant,3558 N PULASKI RD ,Complaint Re-Inspection,MANEETHAI RESTAURANT,60641
POPEYE'S CHICKEN,1966673,CHICAGO,IL,Pass,-87.66583086,41.83533622,20161018,Risk 1 (High),(41.8353362239431,2489026,Restaurant,3204 S ASHLAND AVE ,License,POPEYE'S,60608
ROCKY MOUNTAIN  CHOCOLATE FACTORY  (T3 H5),1966662,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161018,Risk 2 (Medium),(42.008536400868735,1926569,Restaurant,11601 W TOUHY AVE ,Canvass,ROCKY MOUNTAIN CHOCOLATE FACTORY,60666
NEW PEARL'S PLACE RESTAURANT,1966665,CHICAGO,IL,Pass,-87.62302379,41.82364932,20161018,Risk 1 (High),(41.82364931821311,2458709,Restaurant,3901 S MICHIGAN AVE ,Complaint,NEW PEARL'S PLACE RESTAURANT,60653
SMART START DEVELOPMENT CENTER,1966765,CHICAGO,IL,No Entry,-87.68304372,41.76278715,20161018,Risk 1 (High),(41.76278714835731,2215978,Children's Services Facility,7201 S WESTERN AVE ,License,SMART START DEVELOPMENT CENTER,60636
Dewey CPC,1955295,CHICAGO,IL,Pass,-87.64191534,41.79538643,20161018,Risk 1 (High),(41.79538642870011,22952,School,638 W 54th Place (5432S) ,Canvass Re-Inspection,Dewey CPC,60609
ARETHA'S DREAM,1966656,CHICAGO,IL,Pass,-87.60935464,41.7513221,20161018,Risk 1 (High),(41.751322101891866,2488238,Restaurant,616 E 79TH ST ,License,ARETHA'S DREAM,60619
MAKI MASTERS,1966655,CHICAGO,IL,Pass,-87.64466272,41.94014914,20161018,Risk 1 (High),(41.94014913764849,2493168,Restaurant,604 W BELMONT AVE ,License,MAKI MASTERS,60657
TARGET,1966650,CHICAGO,IL,Pass,-87.59376104,41.79959787,20161018,Risk 3 (Low),(41.79959786938958,2469770,Grocery Store,1330 E 53RD ST ,License Re-Inspection,TARGET STORE T-3219,60615
TRUE FOOD KITCHEN,1966647,CHICAGO,IL,Not Ready,-87.62854665,41.89395586,20161018,Risk 1 (High),(41.89395585670853,2446139,,9 W ERIE ST ,License,TRUE FOOD KITCHEN,60654
J & B GYROS,1955291,CHICAGO,IL,Out of Business,-87.65539596,41.80155641,20161017,Risk 2 (Medium),(41.80155641340045,2334461,Restaurant,1206 W 51ST ST ,Canvass,J & B GYROS,60609
THE JERK STOP CARIBBEAN,1966652,CHICAGO,IL,Pass,-87.6587916,41.96549259,20161018,Risk 1 (High),(41.96549258637949,2492992,Restaurant,1132 W WILSON AVE ,License,JERK STOP,60640
RAPHA,1966648,CHICAGO,IL,Pass,-87.67547637,41.90896025,20161018,Risk 2 (Medium),(41.90896024738321,2492527,Restaurant,1514 N MILWAUKEE AVE ,License Re-Inspection,RAPHA,60622
Scandinavian Lounge (T5-M13),1966644,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161018,Risk 2 (Medium),(42.008536400868735,2487849,Airport Lounge,11601 W TOUHY AVE ,License Re-Inspection,SAS,60666
Scandinavian Lounge (T5-M13),1966646,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161018,Risk 3 (Low),(42.008536400868735,2487848,Airport Lounge,11601 W TOUHY AVE ,License Re-Inspection,SAS,60666
Dewey,1955294,CHICAGO,IL,Pass,,,20161018,Risk 1 (High),,22951,School,5415 S Union(700W) AVE ,Canvass Re-Inspection,Dewey,60609
THE LUNATIC,1966645,CHICAGO,IL,Pass,-87.64721548,41.88451904,20161018,Risk 1 (High),(41.88451904314297,2464694,Restaurant,736 W RANDOLPH ST ,License,THE LUNATIC,60661
