akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
breakfast house restaurant,1966916,chicago,il,pass,-87.67214746,41.89101119,20161021,risk 1 (high),(41.89101118647223,2196316,restaurant,1800 w grand ave,short form complaint,breakfast house restaurant inc.,60622
quick connect/carry out  (t2-e2),1966902,chicago,il,pass,-87.91442844,42.0085364,20161020,risk 3 (low),(42.008536400868735,1928324,grocery store,11601 w touhy ave,canvass,e-2 quick connect,60666
jerk paradise grille,1966901,chicago,il,pass,-87.64428597,41.75436101,20161020,risk 1 (high),(41.754361010855725,2464202,restaurant,7660 s halsted st,license,jerk paradise grille,60620
farmers market/t3 rotunda,1966880,chicago,il,pass,-87.91442844,42.0085364,20161020,risk 3 (low),(42.008536400868735,2363755,grocery store,11601 w touhy ave,canvass,farmers market,60666
hook & fish,1955290,chicago,il,out of business,-87.66407894,41.80143854,20161017,risk 2 (medium),(41.801438543640344,2349525,restaurant,1542 w 51st st,canvass,hook & fish,60609
kfc,1937437,chicago,il,no entry,-87.65497266,41.96925666,20160623,risk 2 (medium),(41.969256657396244,2189443,restaurant,4804 n sheridan rd,canvass,kfc,60640
fairplay finer foods inc,1955302,chicago,il,pass,-87.64570757,41.80962977,20161020,risk 1 (high),(41.809629768022035,10949,grocery store,4640 s halsted st,complaint,fairplay finer foods inc,60609
parlor pizza bar,1966900,chicago,il,pass,-87.67339734,41.90335951,20161020,risk 1 (high),(41.90335951000414,2437116,restaurant,1824-1826 w division st,complaint re-inspection,parlor pizza bar,60622
cafe tola ii,1966898,chicago,il,pass,-87.69806831,41.94267996,20161020,risk 1 (high),(41.94267996160201,2495714,restaurant,3324 n california ave,license re-inspection,cafe tola ii,60618
north ave rentails,1966894,chicago,il,fail,-87.73452245,41.90966899,20161020,risk 3 (low),(41.909668990318984,2493177,grocery store,4317 w north ave,license,north ave rentails,60639
mysore woodlands,1966885,chicago,il,pass w/ conditions,-87.69428407,41.99776535,20161020,risk 1 (high),(41.9977653535896,2229409,restaurant,2548-2550 w devon ave,short form complaint,mysore woodlands,60659
subway,1966881,chicago,il,pass,-87.69830277,41.95408332,20161020,risk 1 (high),(41.954083317714684,2488811,restaurant,2800 w irving park rd,short form complaint,subway,60618
mcdonalds,1966776,chicago,il,pass,-87.62291751,41.73625546,20161019,risk 2 (medium),(41.73625546179032,2428106,restaurant,29 e 87th st,short form complaint,mcdonalds,60619
subway,1966871,chicago,il,pass,-87.63236505,41.8887416,20161020,risk 1 (high),(41.88874160495607,2488988,restaurant,347 n la salle st,license re-inspection,subway,60654
alcoiris,1966870,chicago,il,pass,-87.72689274,41.91705197,20161020,risk 1 (high),(41.917051966932796,30948,restaurant,4007 w armitage ave,complaint,alcoiris inc,60639
a childs world early learning,1966866,chicago,il,pass,-87.57163518,41.7442799,20161020,risk 1 (high),(41.74427989606148,2215835,daycare above and under 2 years,2145 e 83rd st,license,a childs world early learning,60617
horizon cafe,1966867,chicago,il,pass,-87.64946947,41.95139015,20161020,risk 1 (high),(41.951390150873834,1495171,restaurant,3805 n broadway,suspected food poisoning re-inspection,horizon cafe,60613
b mart,1966865,chicago,il,fail,-87.72279202,41.96112041,20161020,risk 3 (low),(41.961120414100584,2133654,grocery store,3756 w montrose ave,complaint,b mart,60618
walgreens,1966858,chicago,il,pass,-87.74703214,41.92411902,20161020,risk 3 (low),(41.92411902417522,2004365,grocery store,4817 w fullerton ave,license,walgreens # 09470,60639
cook au vin,1966857,chicago,il,fail,-87.67400667,41.92250794,20161020,risk 1 (high),(41.92250793561497,2253821,bakery,2256 n elston ave,complaint,cook au vin,60614
mcdonalds,1966856,chicago,il,fail,-87.68301753,41.75093166,20161020,risk 2 (medium),(41.75093165729936,1979615,restaurant,7832 s western ave,complaint,mcdonalds,60620
starbucks  (t3 h2),1966847,chicago,il,pass,-87.91442844,42.0085364,20161020,risk 2 (medium),(42.008536400868735,34150,restaurant,11601 w touhy ave,canvass,host international inc,60666
university of chicago-tiffin cafe,1966850,chicago,il,pass,-87.59084354,41.78796989,20161020,risk 1 (high),(41.787969890663675,2492429,cafe/store,1414 e 59th st,license,unversity of chicago-tiffin cafe,60637
amc theatres navy pier imax,1966840,chicago,il,not ready,-87.61156988,41.89209414,20161020,,(41.892094136861786,2492758,,600 e grand ave,license,amc theatres navy pier imax,60611
vernon park tap/tufanos,1966842,chicago,il,fail,-87.65403304,41.87290437,20161020,risk 1 (high),(41.872904374521134,1145420,restaurant,1073 w vernon park pl,complaint,vernon park tap,60607
the gardner school,1966839,chicago,il,pass,-87.66036913,41.9335946,20161020,risk 1 (high),(41.93359460097582,2363473,daycare above and under 2 years,2850 n lincoln ave,license,the gardner school lincoln park,60657
walgreen #03948,1966835,chicago,il,pass,-87.75561299,41.93152062,20161020,risk 3 (low),(41.931520622962296,2004363,grocery store,5140 w diversey ave,license,walgreen #03948,60639
walgreen #03948,1966831,chicago,il,pass,-87.75561299,41.93152062,20161020,risk 3 (low),(41.931520622962296,18556,grocery store,5140 w diversey ave,canvass,walgreen #03948,60639
villa palermo pizza,1966837,chicago,il,fail,-87.68478486,41.99792642,20161020,risk 1 (high),(41.99792641964382,1470,restaurant,2154 w devon ave,complaint,villa palermo inc,60659
walgreens #4986,1966829,chicago,il,pass,-87.74624148,41.93872475,20161020,risk 3 (low),(41.9387247499836,2003480,grocery store,4745 w belmont ave,license,walgreens #4986,60641
freshii,1966820,chicago,il,pass,-87.6326624,41.88887789,20161020,risk 1 (high),(41.88887789027888,2254325,restaurant,350 n la salle dr,complaint,freshii,60654
market on howard,1966827,chicago,il,fail,-87.6728975,42.01844815,20161020,risk 2 (medium),(42.01844814876268,2492710,grocery store,7519 n paulina st,license,market on howard,60626
walgreens #4986,1966816,chicago,il,pass,-87.74624148,41.93872475,20161020,risk 3 (low),(41.9387247499836,1193704,grocery store,4745 w belmont ave,canvass,walgreens #4986,60641
starbucks   t3 h-13,1966815,chicago,il,pass,-87.91442844,42.0085364,20161020,risk 2 (medium),(42.008536400868735,34228,restaurant,11601 w touhy ave,canvass,starbucks,60666
symphony of lincoln park,1966818,chicago,il,pass,-87.66312244,41.92533056,20161020,risk 1 (high),(41.925330555308214,2446871,long term care,1366 w fullerton ave,license re-inspection,symphony of lincoln park,60614
ghareeb nawaz restaurant,1966811,chicago,il,pass,-87.68142045,41.99798375,20161020,risk 1 (high),(41.99798375025185,2423912,restaurant,2032-2036 w devon ave,complaint re-inspection,ghareeb nawaz restaurant,60659
tonys finer foods,1966808,chicago,il,pass,-87.72248283,41.9561262,20161020,risk 1 (high),(41.95612620147909,1717529,grocery store,4137 n elston ave,complaint,tonys finer foods enterprises,60618
real good juice co. (inside wholefoods),1966767,chicago,il,pass,-87.6530507,41.90939879,20161019,risk 2 (medium),(41.90939878780941,2493060,restaurant,1550 n kingsbury st,license,real good juice co.,60642
grand chinese kitchen,1966762,chicago,il,out of business,-87.5875494,41.73677605,20161019,risk 1 (high),(41.736776054766636,1069184,restaurant,1511 e 87th st,canvass,grand chinese kitchen,60619
,1966438,,il,not ready,-87.65992581,41.97306821,20161013,,(41.97306821306215,2458787,,5010 n broadway,license,bambu desserts and drinks,60640
cafe tola ii,1966803,chicago,il,fail,-87.69806831,41.94267996,20161019,risk 1 (high),(41.94267996160201,2495714,restaurant,3324 n california ave,license,cafe tola ii,60618
firehouse of dan ryan,1966798,chicago,il,pass,-87.62723156,41.73637382,20161019,risk 2 (medium),(41.73637382027632,1717263,restaurant,100 w 87th st,short form complaint,firehouse of dan ryan,60620
chicago wings around the world,1955298,chicago,il,fail,-87.64438638,41.78350298,20161019,risk 2 (medium),(41.783502980089736,2492231,restaurant,748 w 61st st,license,chicago wings around the world,60621
gyro mena,1966797,chicago,il,fail,-87.65180999,41.93983529,20161019,risk 1 (high),(41.93983528881153,2129570,restaurant,905 w belmont,complaint,gyro mena,60657
jerk paradise grille,1966897,chicago,il,not ready,-87.64428597,41.75436101,20161019,risk 1 (high),(41.754361010855725,2464202,restaurant,7660 s halsted st,license,jerk paradise grille,60620
china gourmet,1966794,chicago,il,pass,-87.67459345,42.01146046,20161019,risk 1 (high),(42.011460459993124,2458370,restaurant,7100 n clark st,short form complaint,china gourmet,60626
chicago wings around the world,1966783,chicago,il,pass w/ conditions,-87.61039696,41.75837337,20161019,risk 2 (medium),(41.758373367094116,2451478,restaurant,557 e 75th st,short form complaint,chicago wings around the world 75th llc,60619
cafe logan,1950893,chicago,il,pass,-87.60374469,41.78579096,20160822,risk 1 (high),(41.78579095767523,2470398,restaurant,915 e 60th st,license,cafe logan,60637
grand chinese kitchen,1966760,chicago,il,pass,-87.5875494,41.73677605,20161019,risk 1 (high),(41.736776054766636,2493286,restaurant,1511 e 87th st,license,grand chinese kitchen,60619
symphony of south shore,1966747,chicago,il,fail,-87.56548242,41.76620346,20161018,risk 1 (high),(41.766203459922444,2447190,long term care,2425 e south shore dr,license,symphony of south shore,60649
nhu lan bakery,1966744,chicago,il,pass,-87.69436907,41.96867613,20161018,risk 1 (high),(41.968676134286625,1772039,bakery,2612 w lawrence ave,complaint re-inspection,nhu lan bakery,60625
mikes big gyros,1966739,chicago,il,pass,-87.62440142,41.75100958,20161018,risk 1 (high),(41.751009580289924,2492978,restaurant,7859 s state st,license,mikes big gyros,60619
the angry crab,1966736,chicago,il,fail,-87.69722674,41.98450761,20161018,risk 1 (high),(41.98450761309772,2379885,restaurant,5665 n lincoln ave,complaint,the angry crab,60659
china wok,1955297,chicago,il,pass,-87.6752214,41.83050042,20161018,risk 1 (high),(41.83050041795062,2488771,restaurant,1958 w 35th st,license re-inspection,china wok,60609
angels r us kidz academy inc,1966738,chicago,il,pass,-87.62142025,41.82237019,20161018,risk 1 (high),(41.82237019007892,2216065,daycare (2 - 6 years),3941-3943 s indiana ave,license re-inspection,angels r us kidz academy inc,60653
sunda,1610179,chicago,il,pass,-87.63161779,41.89092422,20160126,risk 1 (high),(41.890924221316645,2432361,restaurant,110 w illinois st,license,sunda,60654
united club (t2/f9),1966725,chicago,il,pass w/ conditions,-87.91442844,42.0085364,20161018,risk 1 (high),(42.008536400868735,2184012,restaurant,11601 w touhy ave,canvass,united club,60666
new aguila # 1 grocery,1966727,chicago,il,pass,-87.75997485,41.92394813,20161018,risk 3 (low),(41.923948127343664,2492840,grocery store,5333 w fullerton ave,license,new aguila # 1 grocery,60639
sabores de america,1966723,chicago,il,fail,-87.80699727,41.94921947,20161018,risk 1 (high),(41.94921947071411,2493152,restaurant,3809-3811 n harlem ave,license,sabores de america,60634
i.h.o.p. restaurant,1966720,chicago,il,fail,-87.74757442,41.95742942,20161018,risk 1 (high),(41.95742941661818,46344,restaurant,4210 n cicero ave,complaint,i.h.o.p.,60641
true food kitchen,1966711,chicago,il,not ready,-87.62854665,41.89395586,20161018,risk 3 (low),(41.89395585670853,2446280,,9 w erie st,license,true food kitchen,60654
kimura sushi,1966707,chicago,il,pass,-87.66264704,41.86943381,20161018,risk 1 (high),(41.86943380987853,2483580,restaurant,1422 w taylor st,license re-inspection,kimura sushi,60607
basil campus,1955296,chicago,il,pass,-87.67023496,41.79407037,20161018,risk 1 (high),(41.79407037097534,1982031,school,1816 w garfield blvd,canvass,chicago international charter school,60609
mr salsa,1966700,chicago,il,pass,-87.6558299,41.96165172,20161018,risk 1 (high),(41.96165171832781,1596802,restaurant,1025 w montrose ave,complaint,mr salsa,60613
cafe #10,1966697,chicago,il,fail,-87.80624603,41.92792702,20161018,risk 3 (low),(41.927927018691754,2470707,restaurant,2625 n harlem ave,license,cafe #10,60707
su casa,1966699,chicago,il,pass,-87.62617281,41.89319256,20161018,risk 1 (high),(41.89319255965124,1194932,restaurant,49 e ontario st,complaint re-inspection,su casa,60611
alcoiris,1966691,chicago,il,no entry,-87.72689274,41.91705197,20161018,risk 1 (high),(41.917051966932796,30948,restaurant,4007 w armitage ave,complaint,alcoiris inc,60639
cafe #10,1966693,chicago,il,fail,-87.80624603,41.92792702,20161018,risk 1 (high),(41.927927018691754,2470706,restaurant,2625 n harlem ave,license,cafe #10,60707
hampton inn chicago/ loyola station,1966688,chicago,il,pass,-87.66119115,42.00243764,20161018,risk 3 (low),(42.002437642824745,2457768,restaurant,1209 w albion ave,license,hampton inn chicago/ loyola station,60626
rockwood,1966689,chicago,il,no entry,-87.65504219,41.94515977,20161018,risk 1 (high),(41.9451597671042,1167794,restaurant,3466-3470 n clark st,complaint,rockwood,60657
institute of positive education,1966685,chicago,il,pass,-87.60021772,41.75245012,20161018,risk 1 (high),(41.75245012387641,2215576,daycare (2 - 6 years),7823 s ellis ave,license,institute of positive education,60619
hampton inn chicago/ loyola station,1966683,chicago,il,pass,-87.66119115,42.00243764,20161018,risk 2 (medium),(42.002437642824745,2457769,restaurant,1209 w albion ave,license,hampton inn chicago/ loyola station,60626
public house,1966679,chicago,il,pass,-87.62815267,41.88931871,20161018,risk 1 (high),(41.88931871105875,2008148,restaurant,400 n state st,complaint,public house,60654
the lunatic,1966678,chicago,il,pass,-87.64721548,41.88451904,20161018,risk 1 (high),(41.88451904314297,2464695,restaurant,736 w randolph st,license,the lunatic,60661
raw bar & grill,1966631,chicago,il,pass,-87.65860702,41.94959069,20161017,risk 1 (high),(41.94959069063464,19444,restaurant,3720 n clark st,short form complaint,raw bar & grill,60613
manee thai pan asian restaurant & sushi,1966676,chicago,il,pass,-87.72754688,41.94633265,20161018,risk 1 (high),(41.946332650823166,2031570,restaurant,3558 n pulaski rd,complaint re-inspection,maneethai restaurant,60641
popeyes chicken,1966673,chicago,il,pass,-87.66583086,41.83533622,20161018,risk 1 (high),(41.8353362239431,2489026,restaurant,3204 s ashland ave,license,popeyes,60608
rocky mountain  chocolate factory  (t3 h5),1966662,chicago,il,pass,-87.91442844,42.0085364,20161018,risk 2 (medium),(42.008536400868735,1926569,restaurant,11601 w touhy ave,canvass,rocky mountain chocolate factory,60666
new pearls place restaurant,1966665,chicago,il,pass,-87.62302379,41.82364932,20161018,risk 1 (high),(41.82364931821311,2458709,restaurant,3901 s michigan ave,complaint,new pearls place restaurant,60653
smart start development center,1966765,chicago,il,no entry,-87.68304372,41.76278715,20161018,risk 1 (high),(41.76278714835731,2215978,childrens services facility,7201 s western ave,license,smart start development center,60636
dewey cpc,1955295,chicago,il,pass,-87.64191534,41.79538643,20161018,risk 1 (high),(41.79538642870011,22952,school,638 w 54th place (5432s),canvass re-inspection,dewey cpc,60609
arethas dream,1966656,chicago,il,pass,-87.60935464,41.7513221,20161018,risk 1 (high),(41.751322101891866,2488238,restaurant,616 e 79th st,license,arethas dream,60619
maki masters,1966655,chicago,il,pass,-87.64466272,41.94014914,20161018,risk 1 (high),(41.94014913764849,2493168,restaurant,604 w belmont ave,license,maki masters,60657
target,1966650,chicago,il,pass,-87.59376104,41.79959787,20161018,risk 3 (low),(41.79959786938958,2469770,grocery store,1330 e 53rd st,license re-inspection,target store t-3219,60615
true food kitchen,1966647,chicago,il,not ready,-87.62854665,41.89395586,20161018,risk 1 (high),(41.89395585670853,2446139,,9 w erie st,license,true food kitchen,60654
j & b gyros,1955291,chicago,il,out of business,-87.65539596,41.80155641,20161017,risk 2 (medium),(41.80155641340045,2334461,restaurant,1206 w 51st st,canvass,j & b gyros,60609
the jerk stop caribbean,1966652,chicago,il,pass,-87.6587916,41.96549259,20161018,risk 1 (high),(41.96549258637949,2492992,restaurant,1132 w wilson ave,license,jerk stop,60640
rapha,1966648,chicago,il,pass,-87.67547637,41.90896025,20161018,risk 2 (medium),(41.90896024738321,2492527,restaurant,1514 n milwaukee ave,license re-inspection,rapha,60622
scandinavian lounge (t5-m13),1966644,chicago,il,pass,-87.91442844,42.0085364,20161018,risk 2 (medium),(42.008536400868735,2487849,grocery store,11601 w touhy ave,license re-inspection,sas,60666
scandinavian lounge (t5-m13),1966646,chicago,il,pass,-87.91442844,42.0085364,20161018,risk 3 (low),(42.008536400868735,2487848,grocery store,11601 w touhy ave,license re-inspection,sas,60666
dewey,1955294,chicago,il,pass,,,20161018,risk 1 (high),,22951,school,5415 s union(700w) ave,canvass re-inspection,dewey,60609
the lunatic,1966645,chicago,il,pass,-87.64721548,41.88451904,20161018,risk 1 (high),(41.88451904314297,2464694,restaurant,736 w randolph st,license,the lunatic,60661
subway,1966640,chicago,il,pass,-87.63936259,41.86632954,20161018,risk 1 (high),(41.86632953539469,2289496,restaurant,1232 s canal st,complaint,subway,60607
symphony jackson square,1966638,chicago,il,pass,-87.75477136,41.87677136,20161018,risk 1 (high),(41.87677135996502,2447173,long term care,5130 w jackson blvd,license,symphony of chicago west,60644
cest bien thai,1966637,chicago,il,pass,-87.67765677,41.95234331,20161018,risk 1 (high),(41.952343305200465,2492926,restaurant,3900 n lincoln ave,license,cest bien thai,60613
danish gas & food mart,1966635,chicago,il,pass w/ conditions,-87.71048643,41.87352189,20161018,risk 3 (low),(41.8735218856565,2363374,grocery store,3353-3359 w harrison st,complaint re-inspection,danish gas & food mart,60624
rehmania lupos fish and chicken,1955293,chicago,il,pass,-87.64426896,41.76529571,20161017,risk 2 (medium),(41.7652957077341,2115107,restaurant,7059 s halsted st,canvass,rehmania lupos fish and chicken,60621
the jerk stop caribbean,1966627,chicago,il,not ready,-87.6587916,41.96549259,20161017,risk 1 (high),(41.96549258637949,2492992,restaurant,1132 w wilson ave,license,jerk stop,60640
booil restaurant,1966618,chicago,il,fail,-87.71321223,41.98312305,20161017,risk 1 (high),(41.98312305188657,2427793,restaurant,3346 w bryn mawr ave,canvass,booill galbi,60659
babas famous steak & lemonade,1966614,chicago,il,pass,-87.57518788,41.7215582,20161017,risk 2 (medium),(41.72155819719922,1820972,restaurant,9529 s jeffery ave,short form complaint,babas famous steak & lemonade,60617
pierogi heaven,1966605,chicago,il,pass,-87.63504341,41.87739707,20161017,risk 1 (high),(41.87739707385008,2278220,restaurant,329 s franklin st,canvass,pierogi heaven,60606
a step ahead learning center,1966606,chicago,il,fail,-87.65333178,41.95866655,20161017,risk 1 (high),(41.95866654787631,2215593,daycare (2 - 6 years),4208 n broadway,license,a step ahead learning center,60613
j j fish,1955292,chicago,il,pass,-87.63040492,41.79623488,20161017,risk 2 (medium),(41.796234875219376,1276007,restaurant,5401 s wentworth ave,complaint,j j fish,60609
seafood hot pot,1966600,chicago,il,fail,-87.65904239,41.97336592,20161017,risk 1 (high),(41.97336592094152,2432467,restaurant,1130 w argyle st,complaint,sea food hot pot,60640
sauganash school for the young years,1695214,,il,pass,-87.74242662,41.98985673,20161017,risk 3 (low),(41.98985673339672,2364330,childrens services facility,4541 w peterson ave,license,sauganash school for the young years,60646
flagship tavern & grill,1966591,chicago,il,pass,-87.66961665,41.93979302,20161017,risk 1 (high),(41.93979302024049,2231808,restaurant,1622 w belmont ave,complaint re-inspection,flagship tavern & grill,60657
symphony of beverly,1966582,chicago,il,pass,-87.69625291,41.7354034,20161017,risk 1 (high),(41.73540340021031,2447181,long term care,2940 w 87th st,license,symphony of beverly,60652
anatolian express,1966585,chicago,il,pass,-87.64422395,41.93919411,20161017,risk 1 (high),(41.93919411054692,2483390,restaurant,3151 n broadway,license,anatolian express,60657
united club (t1 b6),1966577,chicago,il,out of business,-87.91442844,42.0085364,20161017,risk 2 (medium),(42.008536400868735,2422908,restaurant,11601 w touhy ave,canvass,united club,60666
fun fun chinese,1966580,chicago,il,pass,-87.6498267,41.8842567,20161017,risk 3 (low),(41.88425670381661,2476128,restaurant,901-905 w randolph st,license re-inspection,fun fun chinese,60607
fun fun chinese,1966575,chicago,il,pass,-87.6498267,41.8842567,20161017,risk 1 (high),(41.88425670381661,2476127,restaurant,901-905 w randolph st,license re-inspection,fun fun chinese,60607
bambu che.coffee.teas,1966572,chicago,il,pass,-87.65992581,41.97306821,20161017,risk 2 (medium),(41.97306821306215,2458787,restaurant,5010 n broadway,license,bambu desserts and drinks,60640
united club  (t1  b6),1966566,chicago,il,pass,-87.91442844,42.0085364,20161017,risk 1 (high),(42.008536400868735,2492754,restaurant,11601 w touhy ave,license re-inspection,united club,60666
el original acambaro bakery,1955289,chicago,il,pass,-87.67731978,41.80130847,20161017,risk 2 (medium),(41.80130847172727,2124801,bakery,2108 w 51st st,canvass,el original acambaro bakery inc,60609
taqueria los comales # 12,1647215,chicago,il,fail,-87.72273813,41.7830976,20161017,risk 1 (high),(41.78309760160854,65987,restaurant,6035 s pulaski rd,complaint,taqueria los comales # 12,60629
tiny tavern,1965829,chicago,il,pass,-87.61156988,41.89209414,20161004,risk 1 (high),(41.892094136861786,2451931,restaurant,600 e grand ave,license,tiny tavern,60611
whisk chicago,1966562,chicago,il,pass w/ conditions,-87.67786193,41.89600605,20161017,risk 1 (high),(41.89600605332943,2334079,restaurant,2018 w chicago ave,complaint,whisk chicago,60622
united club  (t1  b6),1966561,chicago,il,pass,-87.91442844,42.0085364,20161017,risk 1 (high),(42.008536400868735,2492753,restaurant,11601 w touhy ave,license re-inspection,united club,60666
pipeworks production,1723220,chicago,il,fail,-87.72595816,41.91820611,20161017,risk 3 (low),(41.918206112588564,2476605,liquor,3912 w mclean ave,license,pipeworks production,60647
cafe san juan,1973212,chicago,il,not ready,-87.70804923,41.95957153,20161017,risk 1 (high),(41.959571527006716,2493115,bakery,4305 n kedzie ave,license,cafe san juan,60618
mcdonalds,1672214,chicago,il,pass,-87.68338584,41.77511657,20161017,risk 2 (medium),(41.775116565908775,1874347,restaurant,6515 s western ave,complaint re-inspection,mcdonalds,60636
chicago waldorf school,1973211,chicago,il,pass,-87.68359922,41.96149927,20161017,risk 1 (high),(41.961499265953364,2469513,childrens services facility,2156 w montrose ave,license re-inspection,chicago waldorf school,60618
gift 4 kids daycare,1966555,chicago,il,pass,-87.65480912,41.69209807,20161017,risk 1 (high),(41.6920980711081,2341291,daycare above and under 2 years,1305-1307 w 111th st,license re-inspection,gift 4 kids daycare center llc,60643
munchies food mart,1966633,chicago,il,no entry,-87.65564608,41.69230592,20161017,risk 2 (medium),(41.69230592090601,2342387,grocery store,1326 w 111th st,complaint re-inspection,munchies food mart,60643
