key_id,attribute,source_observation
0321444426,Author_list,dowd@_mark;_mcdonald@_john;_schuh@_justin
0321418700,Author_list,mcgraw@_gary;_viega@_john;_hoglund@_greg
0321397975,Author_list,woody@_buck
0321356411,Author_list,conry-murray@_andrew;_weafer@_vincent
0321335724,Author_list,seacord@_robert_c.
0321322215,Author_list,sudkamp@_thomas_a.
032131283x,Author_list,ben-ari@_m.
0321304292,Author_list,adams@_tyrone;_scollard@_sharon
0321287509,Author_list,henderson@_ken
0321263545,Author_list,coulouris@_george;_dollimore@_jean;_kindberg@_tim
032124544x,Author_list,snader@_jon_c.
0321228103,Author_list,nantz@_brian
0321219767,Author_list,filman@_robert_e.;_elrad@_tzilla;_clarke@_siobhan;_aksit@_mehmet
0321205219,Author_list,singh@_inderjeet;_brydon@_sean;_murray@_greg;_ramachandran@_vijay;_violleau@_thierry;_stearns@_beth
0321194985,Author_list,sunderraman@_rajshekhar
0321181433,Author_list,lauesen@_soren
0321165810,Author_list,brundage@_michael
0321150406,Author_list,harold@_elliotte_rusty
032112698x,Author_list,naik@_dilip_c.
0321112296,Author_list,rozanski@_nick;_woods@_eoin
0201889544,Author_list,stroustrup@_bjarne
0201823764,Author_list,abrahams@_paul_w.;_larson@_bruce_r.
0201776316,Author_list,stevens@_w._richard;_wright@_gary_r.
0201767910,Author_list,rucker@_rudy
0201749602,Author_list,park@_jack;_hunting@_sam
0201734958,Author_list,pattison@_ted;_hummel@_joe
0201722291,Author_list,smith@_connie_u.;_williams@_lloyd_g.
0201715848,Author_list,lewis@_jonathan
0201704471,Author_list,carroll@_john_m.
0201699710,Author_list,huston@_stephen_d.;_johnson@_james_ce;_syyid@_umar
0201634929,Author_list,rector@_brent_e.;_newcomer@_joseph_m.
0201633582,Author_list,feuer@_alan_r.
0201615924,Author_list,armour@_frank;_miller@_granville
0201580438,Author_list,winston@_patrick_henry
0201543303,Author_list,stroustrup@_bjarne
0201489163,Author_list,campbell@_dave;_campbell@_mary
020140009x,Author_list,sedgewick@_robert;_flajolet@_philippe
0201379236,Author_list,musser@_david_r.;_derge@_gillmer_j.;_saini@_atul
0201310058,Author_list,bloch@_joshua
0201137445,Author_list,maclennan@_bruce_j.
0131872893,Author_list,dann@_wanda_p.;_cooper@_stephen;_pausch@_randy
0131463055,Author_list,geary@_david;_horstmann@_cay
0131227068,Author_list,rubinstein@_moshe_f.;_firstenberg@_iris_r.
0130494984,Author_list,bohl@_marilyn;_rynn@_maria
0130284467,Author_list,shaffer@_clifford_a.
0126445516,Author_list,simsion@_graeme_c.;_witt@_graham_c.
0124499759,Author_list,lientz@_bennet_p.;_rea@_kathryn_p.
0123704529,Author_list,hornick@_mark_f.;_marcade@_erik;_venkayala@_sunil
0122290631,Author_list,eberly@_david_h.
0120887975,Author_list,celko@_joe
0120455994,Author_list,aiken@_peter;_allen@_m._david
1555581994,Author_list,cheek@_matthew
1555582745,Author_list,moore@_martin;_hancock@_steven
,Author_list,
